network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.145345,False
ContA-ContC,0.02944,False
ContA-DefaultA,0.688357,False
ContA-DefaultB,0.086941,False
ContA-DefaultC,0.228011,False
ContA-DorsAttnA,2.597396,False
ContA-DorsAttnB,0.975137,False
ContA-LimbicA,13.876252,False
ContA-LimbicB,6.079236,False
ContA-SalVentAttnA,0.144837,False
ContA-SalVentAttnB,0.966437,False
ContA-SomMotA,7.680501,False
ContA-SomMotB,3.1485,False
ContA-TempPar,0.256327,False
ContA-VisCent,0.184901,False
ContA-VisPeri,6.151627,False
ContB-ContA,1.129377,False
ContB-ContB,0.0,True
ContB-ContC,1.875739,False
ContB-DefaultA,0.382538,False
ContB-DefaultB,6.334096,False
ContB-DefaultC,5.377223,False
ContB-DorsAttnA,10.523582,False
ContB-DorsAttnB,0.237292,False
ContB-LimbicA,7.109435,False
ContB-LimbicB,0.059592,False
ContB-SalVentAttnA,3.960096,False
ContB-SalVentAttnB,0.121443,False
ContB-SomMotA,2.99808,False
ContB-SomMotB,10.770852,False
ContB-TempPar,1.077566,False
ContB-VisCent,1.085416,False
ContB-VisPeri,7.907828,False
ContC-ContA,0.709942,False
ContC-ContB,0.100829,False
ContC-ContC,0.0,True
ContC-DefaultA,20.016214,False
ContC-DefaultB,7.612179,False
ContC-DefaultC,0.703847,False
ContC-DorsAttnA,1.256797,False
ContC-DorsAttnB,1.112671,False
ContC-LimbicA,0.84868,False
ContC-LimbicB,1.307104,False
ContC-SalVentAttnA,3.301802,False
ContC-SalVentAttnB,1.453038,False
ContC-SomMotA,0.387543,False
ContC-SomMotB,1.874032,False
ContC-TempPar,0.870053,False
ContC-VisCent,0.954029,False
ContC-VisPeri,1.248466,False
DefaultA-ContA,0.233425,False
DefaultA-ContB,0.065082,False
DefaultA-ContC,7.87149,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.285532,False
DefaultA-DefaultC,0.752677,False
DefaultA-DorsAttnA,0.898223,False
DefaultA-DorsAttnB,0.337711,False
DefaultA-LimbicA,1.908725,False
DefaultA-LimbicB,1.533299,False
DefaultA-SalVentAttnA,3.174603,False
DefaultA-SalVentAttnB,0.048545,False
DefaultA-SomMotA,2.554155,False
DefaultA-SomMotB,4.60869,False
DefaultA-TempPar,1.100918,False
DefaultA-VisCent,0.186782,False
DefaultA-VisPeri,1.114074,False
DefaultB-ContA,1.54805,False
DefaultB-ContB,1.495036,False
DefaultB-ContC,2.146316,False
DefaultB-DefaultA,4.498961,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.629368,False
DefaultB-DorsAttnA,4.220293,False
DefaultB-DorsAttnB,2.037847,False
DefaultB-LimbicA,1.574043,False
DefaultB-LimbicB,3.231607,False
DefaultB-SalVentAttnA,0.910017,False
DefaultB-SalVentAttnB,1.786489,False
DefaultB-SomMotA,0.803949,False
DefaultB-SomMotB,3.535448,False
DefaultB-TempPar,0.316214,False
DefaultB-VisCent,1.264609,False
DefaultB-VisPeri,0.655499,False
DefaultC-ContA,0.304786,False
DefaultC-ContB,2.019744,False
DefaultC-ContC,5.909267,False
DefaultC-DefaultA,7.059362,False
DefaultC-DefaultB,7.899836,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.819055,False
DefaultC-DorsAttnB,1.21104,False
DefaultC-LimbicA,0.766793,False
DefaultC-LimbicB,4.102377,False
DefaultC-SalVentAttnA,1.712468,False
DefaultC-SalVentAttnB,0.794799,False
DefaultC-SomMotA,4.592169,False
DefaultC-SomMotB,2.606346,False
DefaultC-TempPar,0.500211,False
DefaultC-VisCent,0.32399,False
DefaultC-VisPeri,0.290311,False
DorsAttnA-ContA,4.400404,False
DorsAttnA-ContB,9.278823,False
DorsAttnA-ContC,2.755361,False
DorsAttnA-DefaultA,3.921497,False
DorsAttnA-DefaultB,2.676576,False
DorsAttnA-DefaultC,2.288339,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.685034,False
DorsAttnA-LimbicA,3.826071,False
DorsAttnA-LimbicB,3.597977,False
DorsAttnA-SalVentAttnA,0.224836,False
DorsAttnA-SalVentAttnB,4.298039,False
DorsAttnA-SomMotA,1.203008,False
DorsAttnA-SomMotB,0.943508,False
DorsAttnA-TempPar,1.170388,False
DorsAttnA-VisCent,5.920402,False
DorsAttnA-VisPeri,2.936554,False
DorsAttnB-ContA,2.733633,False
DorsAttnB-ContB,0.533475,False
DorsAttnB-ContC,2.876322,False
DorsAttnB-DefaultA,8.490799,False
DorsAttnB-DefaultB,2.668563,False
DorsAttnB-DefaultC,2.962623,False
DorsAttnB-DorsAttnA,0.496002,False
