network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,14.997907,False
ContA-ContC,0.428201,False
ContA-DefaultA,1.92004,False
ContA-DefaultB,6.345443,False
ContA-DefaultC,5.175056,False
ContA-DorsAttnA,0.334066,False
ContA-DorsAttnB,4.387684,False
ContA-LimbicA,30.120927,False
ContA-LimbicB,4.926798,False
ContA-SalVentAttnA,8.125275,False
ContA-SalVentAttnB,5.483468,False
ContA-SomMotA,13.727614,False
ContA-SomMotB,3.015159,False
ContA-TempPar,0.661864,False
ContA-VisCent,1.466885,False
ContA-VisPeri,7.473436,False
ContB-ContA,1.147074,False
ContB-ContB,0.0,True
ContB-ContC,0.265933,False
ContB-DefaultA,4.303134,False
ContB-DefaultB,3.757268,False
ContB-DefaultC,2.310625,False
ContB-DorsAttnA,0.505452,False
ContB-DorsAttnB,0.029736,False
ContB-LimbicA,0.9594,False
ContB-LimbicB,2.111802,False
ContB-SalVentAttnA,2.993314,False
ContB-SalVentAttnB,1.089849,False
ContB-SomMotA,3.677405,False
ContB-SomMotB,2.072671,False
ContB-TempPar,0.363765,False
ContB-VisCent,2.557417,False
ContB-VisPeri,6.891621,False
ContC-ContA,0.91067,False
ContC-ContB,1.834217,False
ContC-ContC,0.0,True
ContC-DefaultA,19.244212,False
ContC-DefaultB,1.175391,False
ContC-DefaultC,4.99185,False
ContC-DorsAttnA,3.760559,False
ContC-DorsAttnB,2.939253,False
ContC-LimbicA,1.574658,False
ContC-LimbicB,12.576209,False
ContC-SalVentAttnA,1.197628,False
ContC-SalVentAttnB,5.736661,False
ContC-SomMotA,2.117255,False
ContC-SomMotB,10.981705,False
ContC-TempPar,6.205871,False
ContC-VisCent,9.857595,False
ContC-VisPeri,0.904256,False
DefaultA-ContA,1.576449,False
DefaultA-ContB,1.762075,False
DefaultA-ContC,15.972178,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.827168,False
DefaultA-DefaultC,0.728417,False
DefaultA-DorsAttnA,9.157876,False
DefaultA-DorsAttnB,4.162633,False
DefaultA-LimbicA,1.166567,False
DefaultA-LimbicB,18.355926,False
DefaultA-SalVentAttnA,4.368648,False
DefaultA-SalVentAttnB,12.260973,False
DefaultA-SomMotA,8.440654,False
DefaultA-SomMotB,9.964787,False
DefaultA-TempPar,0.402899,False
DefaultA-VisCent,8.662489,False
DefaultA-VisPeri,4.598276,False
DefaultB-ContA,4.072792,False
DefaultB-ContB,3.98303,False
DefaultB-ContC,0.582427,False
DefaultB-DefaultA,8.541556,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.561956,False
DefaultB-DorsAttnA,3.047718,False
DefaultB-DorsAttnB,1.440934,False
DefaultB-LimbicA,5.403612,False
DefaultB-LimbicB,12.707288,False
DefaultB-SalVentAttnA,4.489005,False
DefaultB-SalVentAttnB,7.304381,False
DefaultB-SomMotA,10.451974,False
DefaultB-SomMotB,1.123773,False
DefaultB-TempPar,3.371024,False
DefaultB-VisCent,4.311716,False
DefaultB-VisPeri,3.380367,False
DefaultC-ContA,2.233912,False
DefaultC-ContB,5.501564,False
DefaultC-ContC,0.295821,False
DefaultC-DefaultA,5.165374,False
DefaultC-DefaultB,9.059061,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.852699,False
DefaultC-DorsAttnB,3.702215,False
DefaultC-LimbicA,4.390928,False
DefaultC-LimbicB,3.381025,False
DefaultC-SalVentAttnA,5.165365,False
DefaultC-SalVentAttnB,4.001772,False
DefaultC-SomMotA,6.689804,False
DefaultC-SomMotB,2.398515,False
DefaultC-TempPar,6.872492,False
DefaultC-VisCent,3.255699,False
DefaultC-VisPeri,8.326576,False
DorsAttnA-ContA,1.49098,False
DorsAttnA-ContB,3.161478,False
DorsAttnA-ContC,0.756043,False
DorsAttnA-DefaultA,8.706775,False
DorsAttnA-DefaultB,2.822828,False
DorsAttnA-DefaultC,7.327464,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.377257,False
DorsAttnA-LimbicA,0.24612,False
DorsAttnA-LimbicB,8.068188,False
DorsAttnA-SalVentAttnA,1.169231,False
DorsAttnA-SalVentAttnB,2.276789,False
DorsAttnA-SomMotA,3.705223,False
DorsAttnA-SomMotB,5.601416,False
DorsAttnA-TempPar,3.820514,False
DorsAttnA-VisCent,3.03612,False
DorsAttnA-VisPeri,5.929293,False
DorsAttnB-ContA,7.636203,False
DorsAttnB-ContB,3.880908,False
DorsAttnB-ContC,2.041759,False
DorsAttnB-DefaultA,1.449452,False
DorsAttnB-DefaultB,2.33134,False
DorsAttnB-DefaultC,0.660055,False
DorsAttnB-DorsAttnA,1.044818,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.896737,False
DorsAttnB-LimbicB,2.208177,False
DorsAttnB-SalVentAttnA,1.962863,False
DorsAttnB-SalVentAttnB,0.568414,False
DorsAttnB-SomMotA,8.189618,False
DorsAttnB-SomMotB,1.30187,False
DorsAttnB-TempPar,1.968982,False
DorsAttnB-VisCent,0.808855,False
DorsAttnB-VisPeri,0.390487,False
LimbicA-ContA,21.804994,False
LimbicA-ContB,22.954145,False
LimbicA-ContC,0.58881,False
LimbicA-DefaultA,2.11042,False
LimbicA-DefaultB,15.560807,False
LimbicA-DefaultC,3.794375,False
LimbicA-DorsAttnA,0.402754,False
LimbicA-DorsAttnB,7.414589,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.02965,False
LimbicA-SalVentAttnA,3.486588,False
LimbicA-SalVentAttnB,4.112868,False
LimbicA-SomMotA,18.512136,False
LimbicA-SomMotB,1.07122,False
LimbicA-TempPar,0.615133,False
LimbicA-VisCent,1.177691,False
LimbicA-VisPeri,5.984893,False
LimbicB-ContA,9.779093,False
LimbicB-ContB,4.866751,False
LimbicB-ContC,7.174063,False
LimbicB-DefaultA,12.639671,False
LimbicB-DefaultB,21.074989,False
LimbicB-DefaultC,3.239226,False
LimbicB-DorsAttnA,1.82437,False
LimbicB-DorsAttnB,10.883933,False
LimbicB-LimbicA,15.967293,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,7.198871,False
LimbicB-SalVentAttnB,14.103284,False
LimbicB-SomMotA,11.292413,False
LimbicB-SomMotB,2.734762,False
LimbicB-TempPar,0.620587,False
LimbicB-VisCent,4.32236,False
LimbicB-VisPeri,9.320439,False
SalVentAttnA-ContA,3.433356,False
SalVentAttnA-ContB,4.597415,False
SalVentAttnA-ContC,0.994693,False
SalVentAttnA-DefaultA,2.1735,False
SalVentAttnA-DefaultB,2.62399,False
SalVentAttnA-DefaultC,0.129036,False
SalVentAttnA-DorsAttnA,0.492292,False
SalVentAttnA-DorsAttnB,7.975693,False
SalVentAttnA-LimbicA,5.583658,False
SalVentAttnA-LimbicB,3.138838,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,3.641158,False
SalVentAttnA-SomMotA,7.418768,False
SalVentAttnA-SomMotB,0.729812,False
SalVentAttnA-TempPar,4.512553,False
SalVentAttnA-VisCent,0.810437,False
SalVentAttnA-VisPeri,2.733501,False
SalVentAttnB-ContA,17.627249,False
SalVentAttnB-ContB,9.453192,False
SalVentAttnB-ContC,5.792333,False
SalVentAttnB-DefaultA,17.33208,False
SalVentAttnB-DefaultB,14.634211,False
SalVentAttnB-DefaultC,1.257169,False
SalVentAttnB-DorsAttnA,0.272013,False
SalVentAttnB-DorsAttnB,15.046424,False
SalVentAttnB-LimbicA,25.045645,False
SalVentAttnB-LimbicB,41.699142,False
SalVentAttnB-SalVentAttnA,14.623422,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,24.096589,False
SalVentAttnB-SomMotB,4.611254,False
SalVentAttnB-TempPar,1.398227,False
SalVentAttnB-VisCent,4.079026,False
SalVentAttnB-VisPeri,7.214859,False
SomMotA-ContA,7.343011,False
SomMotA-ContB,29.681076,False
SomMotA-ContC,4.681321,False
SomMotA-DefaultA,1.2883,False
SomMotA-DefaultB,12.966606,False
SomMotA-DefaultC,7.781495,False
SomMotA-DorsAttnA,0.965646,False
SomMotA-DorsAttnB,5.86352,False
SomMotA-LimbicA,8.260156,False
SomMotA-LimbicB,9.9174,False
SomMotA-SalVentAttnA,2.529455,False
SomMotA-SalVentAttnB,6.848887,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.555921,False
