network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.033611,False
ContA-ContC,3.088498,False
ContA-DefaultA,2.074192,False
ContA-DefaultB,4.545992,False
ContA-DefaultC,2.070473,False
ContA-DorsAttnA,4.488326,False
ContA-DorsAttnB,0.271655,False
ContA-LimbicA,21.82055,False
ContA-LimbicB,10.571977,False
ContA-SalVentAttnA,0.049273,False
ContA-SalVentAttnB,10.898685,False
ContA-SomMotA,3.248241,False
ContA-SomMotB,2.059258,False
ContA-TempPar,0.203869,False
ContA-VisCent,1.944269,False
ContA-VisPeri,1.510816,False
ContB-ContA,5.243484,False
ContB-ContB,0.0,True
ContB-ContC,3.031697,False
ContB-DefaultA,0.556864,False
ContB-DefaultB,7.183552,False
ContB-DefaultC,11.942961,False
ContB-DorsAttnA,4.141717,False
ContB-DorsAttnB,1.186129,False
ContB-LimbicA,3.885605,False
ContB-LimbicB,1.115375,False
ContB-SalVentAttnA,3.437928,False
ContB-SalVentAttnB,1.496162,False
ContB-SomMotA,4.717306,False
ContB-SomMotB,2.894347,False
ContB-TempPar,2.92316,False
ContB-VisCent,0.336918,False
ContB-VisPeri,5.525604,False
ContC-ContA,0.537482,False
ContC-ContB,1.172205,False
ContC-ContC,0.0,True
ContC-DefaultA,5.408332,False
ContC-DefaultB,13.046548,False
ContC-DefaultC,6.192473,False
ContC-DorsAttnA,0.991316,False
ContC-DorsAttnB,1.102294,False
ContC-LimbicA,1.375854,False
ContC-LimbicB,5.931601,False
ContC-SalVentAttnA,4.304475,False
ContC-SalVentAttnB,0.499443,False
ContC-SomMotA,3.640328,False
ContC-SomMotB,3.68886,False
ContC-TempPar,9.936273,False
ContC-VisCent,2.159403,False
ContC-VisPeri,9.087322,False
DefaultA-ContA,0.341571,False
DefaultA-ContB,0.467865,False
DefaultA-ContC,22.298217,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.861174,False
DefaultA-DefaultC,7.007126,False
DefaultA-DorsAttnA,2.09823,False
DefaultA-DorsAttnB,1.422444,False
DefaultA-LimbicA,2.559403,False
DefaultA-LimbicB,12.701085,False
DefaultA-SalVentAttnA,2.946621,False
DefaultA-SalVentAttnB,4.780538,False
DefaultA-SomMotA,10.415071,False
DefaultA-SomMotB,8.109681,False
DefaultA-TempPar,6.827059,False
DefaultA-VisCent,4.042675,False
DefaultA-VisPeri,11.199787,False
DefaultB-ContA,0.284332,False
DefaultB-ContB,0.834266,False
DefaultB-ContC,10.752447,False
DefaultB-DefaultA,11.186628,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.259633,False
DefaultB-DorsAttnA,5.617579,False
DefaultB-DorsAttnB,2.02359,False
DefaultB-LimbicA,3.77169,False
DefaultB-LimbicB,10.387212,False
DefaultB-SalVentAttnA,4.92417,False
DefaultB-SalVentAttnB,6.515883,False
DefaultB-SomMotA,3.334383,False
DefaultB-SomMotB,4.988878,False
DefaultB-TempPar,10.99727,False
DefaultB-VisCent,2.087397,False
DefaultB-VisPeri,5.910973,False
DefaultC-ContA,0.597522,False
DefaultC-ContB,0.252339,False
DefaultC-ContC,4.821716,False
DefaultC-DefaultA,4.959251,False
DefaultC-DefaultB,26.45867,False
DefaultC-DefaultC,0.0,True
