network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.482879,False
ContA-ContC,1.292778,False
ContA-DefaultA,4.245399,False
ContA-DefaultB,4.411842,False
ContA-DefaultC,2.597464,False
ContA-DorsAttnA,1.573131,False
ContA-DorsAttnB,0.326661,False
ContA-LimbicA,32.230729,False
ContA-LimbicB,11.406347,False
ContA-SalVentAttnA,2.121804,False
ContA-SalVentAttnB,7.006101,False
ContA-SomMotA,7.603613,False
ContA-SomMotB,0.629225,False
ContA-TempPar,0.894033,False
ContA-VisCent,1.845713,False
ContA-VisPeri,1.857754,False
ContB-ContA,1.640097,False
ContB-ContB,0.0,True
ContB-ContC,1.058011,False
ContB-DefaultA,3.576803,False
ContB-DefaultB,2.364456,False
ContB-DefaultC,5.775549,False
ContB-DorsAttnA,0.525109,False
ContB-DorsAttnB,1.303805,False
ContB-LimbicA,3.363098,False
ContB-LimbicB,3.58687,False
ContB-SalVentAttnA,1.545774,False
ContB-SalVentAttnB,3.596609,False
ContB-SomMotA,2.222178,False
ContB-SomMotB,0.966455,False
ContB-TempPar,1.255983,False
ContB-VisCent,2.216805,False
ContB-VisPeri,0.576325,False
ContC-ContA,0.363202,False
ContC-ContB,3.665752,False
ContC-ContC,0.0,True
ContC-DefaultA,9.972816,False
ContC-DefaultB,1.239874,False
ContC-DefaultC,7.18491,False
ContC-DorsAttnA,3.567753,False
ContC-DorsAttnB,3.552301,False
ContC-LimbicA,2.166354,False
ContC-LimbicB,2.448896,False
ContC-SalVentAttnA,1.366595,False
ContC-SalVentAttnB,0.585128,False
ContC-SomMotA,0.045181,False
ContC-SomMotB,1.433574,False
ContC-TempPar,0.761053,False
ContC-VisCent,1.723692,False
ContC-VisPeri,0.001078,False
DefaultA-ContA,2.247779,False
DefaultA-ContB,3.230292,False
DefaultA-ContC,20.272792,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.106479,False
DefaultA-DefaultC,5.940458,False
DefaultA-DorsAttnA,2.184737,False
DefaultA-DorsAttnB,3.057218,False
DefaultA-LimbicA,10.767342,False
DefaultA-LimbicB,7.168168,False
DefaultA-SalVentAttnA,1.220793,False
DefaultA-SalVentAttnB,2.044603,False
DefaultA-SomMotA,0.565435,False
DefaultA-SomMotB,1.279515,False
DefaultA-TempPar,0.270031,False
DefaultA-VisCent,3.650837,False
DefaultA-VisPeri,0.710664,False
DefaultB-ContA,1.220486,False
DefaultB-ContB,0.418249,False
DefaultB-ContC,3.73894,False
DefaultB-DefaultA,3.562321,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.395386,False
DefaultB-DorsAttnA,5.301684,False
DefaultB-DorsAttnB,5.030961,False
DefaultB-LimbicA,4.041892,False
DefaultB-LimbicB,10.108081,False
DefaultB-SalVentAttnA,1.96775,False
DefaultB-SalVentAttnB,4.950454,False
DefaultB-SomMotA,1.378628,False
DefaultB-SomMotB,3.766133,False
DefaultB-TempPar,2.143101,False
DefaultB-VisCent,0.709589,False
DefaultB-VisPeri,0.632308,False
DefaultC-ContA,8.597013,False
DefaultC-ContB,10.108635,False
DefaultC-ContC,5.136996,False
DefaultC-DefaultA,18.045855,False
DefaultC-DefaultB,1.230587,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.742243,False
DefaultC-DorsAttnB,8.048548,False
DefaultC-LimbicA,12.343257,False
DefaultC-LimbicB,3.032191,False
DefaultC-SalVentAttnA,0.697987,False
DefaultC-SalVentAttnB,0.331612,False
DefaultC-SomMotA,2.999136,False
DefaultC-SomMotB,3.858128,False
DefaultC-TempPar,10.506721,False
DefaultC-VisCent,8.120289,False
DefaultC-VisPeri,3.789292,False
DorsAttnA-ContA,1.782667,False
DorsAttnA-ContB,0.320843,False
DorsAttnA-ContC,0.42912,False
DorsAttnA-DefaultA,0.773922,False
DorsAttnA-DefaultB,8.578995,False
DorsAttnA-DefaultC,3.425488,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,10.600285,False
DorsAttnA-LimbicA,0.160555,False
DorsAttnA-LimbicB,0.528543,False
DorsAttnA-SalVentAttnA,4.868441,False
DorsAttnA-SalVentAttnB,3.347041,False
DorsAttnA-SomMotA,0.127954,False
DorsAttnA-SomMotB,1.790787,False
DorsAttnA-TempPar,3.371767,False
