network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.87905,False
ContA-ContC,0.664759,False
ContA-DefaultA,2.218167,False
ContA-DefaultB,5.217684,False
ContA-DefaultC,0.53255,False
ContA-DorsAttnA,3.043986,False
ContA-DorsAttnB,0.626499,False
ContA-LimbicA,31.965614,False
ContA-LimbicB,20.727799,False
ContA-SalVentAttnA,10.522965,False
ContA-SalVentAttnB,14.148958,False
ContA-SomMotA,16.282844,False
ContA-SomMotB,1.415999,False
ContA-TempPar,4.522427,False
ContA-VisCent,1.193567,False
ContA-VisPeri,4.469209,False
ContB-ContA,0.50922,False
ContB-ContB,0.0,True
ContB-ContC,1.668355,False
ContB-DefaultA,1.298843,False
ContB-DefaultB,3.259204,False
ContB-DefaultC,2.532222,False
ContB-DorsAttnA,4.24961,False
ContB-DorsAttnB,0.299039,False
ContB-LimbicA,0.536564,False
ContB-LimbicB,0.936133,False
ContB-SalVentAttnA,0.041888,False
ContB-SalVentAttnB,2.258001,False
ContB-SomMotA,5.237379,False
ContB-SomMotB,2.604828,False
ContB-TempPar,2.363639,False
ContB-VisCent,1.339793,False
ContB-VisPeri,0.345215,False
ContC-ContA,3.55931,False
ContC-ContB,4.183837,False
ContC-ContC,0.0,True
ContC-DefaultA,10.04923,False
ContC-DefaultB,2.889638,False
ContC-DefaultC,0.667502,False
ContC-DorsAttnA,1.416605,False
ContC-DorsAttnB,0.846455,False
ContC-LimbicA,0.530453,False
ContC-LimbicB,2.913546,False
ContC-SalVentAttnA,0.70385,False
ContC-SalVentAttnB,1.197393,False
ContC-SomMotA,0.260601,False
ContC-SomMotB,2.05378,False
ContC-TempPar,0.249868,False
ContC-VisCent,1.285562,False
ContC-VisPeri,0.265056,False
DefaultA-ContA,5.587837,False
DefaultA-ContB,1.547457,False
DefaultA-ContC,19.168376,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.999461,False
DefaultA-DefaultC,0.159866,False
DefaultA-DorsAttnA,5.715124,False
DefaultA-DorsAttnB,2.318631,False
DefaultA-LimbicA,4.398914,False
DefaultA-LimbicB,8.450016,False
DefaultA-SalVentAttnA,3.149648,False
DefaultA-SalVentAttnB,5.330379,False
DefaultA-SomMotA,3.537571,False
DefaultA-SomMotB,1.211658,False
DefaultA-TempPar,9.76671,False
DefaultA-VisCent,1.672517,False
DefaultA-VisPeri,1.232227,False
DefaultB-ContA,3.51244,False
DefaultB-ContB,0.010139,False
DefaultB-ContC,1.138591,False
DefaultB-DefaultA,1.643399,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.033472,False
DefaultB-DorsAttnA,7.026194,False
DefaultB-DorsAttnB,3.379748,False
DefaultB-LimbicA,4.398348,False
DefaultB-LimbicB,4.398667,False
DefaultB-SalVentAttnA,0.902779,False
DefaultB-SalVentAttnB,2.247566,False
DefaultB-SomMotA,0.904552,False
DefaultB-SomMotB,4.948734,False
DefaultB-TempPar,6.268747,False
DefaultB-VisCent,2.276355,False
DefaultB-VisPeri,0.210565,False
DefaultC-ContA,6.876417,False
DefaultC-ContB,4.447507,False
DefaultC-ContC,1.882497,False
DefaultC-DefaultA,4.04339,False
DefaultC-DefaultB,18.946703,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.123801,False
DefaultC-DorsAttnB,3.381,False
DefaultC-LimbicA,5.487809,False
DefaultC-LimbicB,4.844016,False
DefaultC-SalVentAttnA,5.829737,False
DefaultC-SalVentAttnB,3.644448,False
DefaultC-SomMotA,7.372985,False
DefaultC-SomMotB,5.481426,False
DefaultC-TempPar,7.701403,False
DefaultC-VisCent,3.979724,False
DefaultC-VisPeri,2.189542,False
DorsAttnA-ContA,7.008182,False
DorsAttnA-ContB,0.807616,False
DorsAttnA-ContC,3.115327,False
DorsAttnA-DefaultA,1.631022,False
DorsAttnA-DefaultB,0.762858,False
DorsAttnA-DefaultC,0.249127,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.916311,False
DorsAttnA-LimbicA,6.424458,False
DorsAttnA-LimbicB,6.150247,False
DorsAttnA-SalVentAttnA,18.257599,False
DorsAttnA-SalVentAttnB,7.348776,False
DorsAttnA-SomMotA,4.041581,False
DorsAttnA-SomMotB,1.910442,False
DorsAttnA-TempPar,14.42128,False
DorsAttnA-VisCent,0.201491,False
