network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.395752,False
ContA-ContC,32.172167,False
ContA-DefaultA,39.755731,False
ContA-DefaultB,41.721461,False
ContA-DefaultC,7.446172,False
ContA-DorsAttnA,2.056025,False
ContA-DorsAttnB,12.907912,False
ContA-LimbicA,49.210092,False
ContA-LimbicB,28.72449,False
ContA-SalVentAttnA,2.116582,False
ContA-SalVentAttnB,16.839462,False
ContA-SomMotA,1.944416,False
ContA-SomMotB,3.186105,False
ContA-TempPar,4.213214,False
ContA-VisCent,15.663219,False
ContA-VisPeri,0.135697,False
ContB-ContA,4.449507,False
ContB-ContB,0.0,True
ContB-ContC,25.751729,False
ContB-DefaultA,14.455417,False
ContB-DefaultB,24.578153,False
ContB-DefaultC,6.302142,False
ContB-DorsAttnA,0.026346,False
ContB-DorsAttnB,5.676956,False
ContB-LimbicA,16.878258,False
ContB-LimbicB,10.355572,False
ContB-SalVentAttnA,3.707624,False
ContB-SalVentAttnB,4.00434,False
ContB-SomMotA,4.274889,False
ContB-SomMotB,2.699457,False
ContB-TempPar,8.979603,False
ContB-VisCent,7.221741,False
ContB-VisPeri,6.290815,False
ContC-ContA,8.068465,False
ContC-ContB,3.166493,False
ContC-ContC,0.0,True
ContC-DefaultA,13.121169,False
ContC-DefaultB,16.461376,False
ContC-DefaultC,5.009838,False
ContC-DorsAttnA,0.761421,False
ContC-DorsAttnB,7.476146,False
ContC-LimbicA,15.077012,False
ContC-LimbicB,11.392147,False
ContC-SalVentAttnA,0.40626,False
ContC-SalVentAttnB,2.229813,False
ContC-SomMotA,1.386854,False
ContC-SomMotB,6.732841,False
ContC-TempPar,5.626618,False
ContC-VisCent,7.182053,False
ContC-VisPeri,0.211311,False
DefaultA-ContA,15.152227,False
DefaultA-ContB,11.931755,False
DefaultA-ContC,36.489058,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,30.68594,False
DefaultA-DefaultC,6.417711,False
DefaultA-DorsAttnA,6.281712,False
DefaultA-DorsAttnB,7.370854,False
DefaultA-LimbicA,41.390192,False
DefaultA-LimbicB,34.80563,False
DefaultA-SalVentAttnA,0.263465,False
DefaultA-SalVentAttnB,11.106894,False
DefaultA-SomMotA,0.52017,False
DefaultA-SomMotB,1.900815,False
DefaultA-TempPar,3.235112,False
DefaultA-VisCent,13.501268,False
DefaultA-VisPeri,0.051893,False
DefaultB-ContA,8.397651,False
DefaultB-ContB,5.503694,False
DefaultB-ContC,19.919236,False
DefaultB-DefaultA,19.301805,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.706979,False
DefaultB-DorsAttnA,0.454955,False
DefaultB-DorsAttnB,3.744393,False
DefaultB-LimbicA,13.587239,False
DefaultB-LimbicB,8.913996,False
DefaultB-SalVentAttnA,1.192813,False
DefaultB-SalVentAttnB,4.936273,False
DefaultB-SomMotA,2.653496,False
DefaultB-SomMotB,2.726409,False
DefaultB-TempPar,6.371568,False
DefaultB-VisCent,4.811741,False
DefaultB-VisPeri,0.879568,False
DefaultC-ContA,16.382287,False
DefaultC-ContB,13.197475,False
DefaultC-ContC,17.572452,False
DefaultC-DefaultA,19.307129,False
DefaultC-DefaultB,18.7278,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.015159,False
DefaultC-DorsAttnB,5.488942,False
DefaultC-LimbicA,16.829618,False
DefaultC-LimbicB,7.289896,False
DefaultC-SalVentAttnA,1.83766,False
DefaultC-SalVentAttnB,6.089184,False
DefaultC-SomMotA,2.899295,False
DefaultC-SomMotB,3.178177,False
DefaultC-TempPar,2.4259,False
DefaultC-VisCent,7.995771,False
DefaultC-VisPeri,0.579424,False
DorsAttnA-ContA,4.921002,False
DorsAttnA-ContB,8.11884,False
DorsAttnA-ContC,11.074704,False
DorsAttnA-DefaultA,7.300658,False
DorsAttnA-DefaultB,14.600455,False
DorsAttnA-DefaultC,4.700906,False
