network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.982071,False
ContA-ContC,1.091698,False
ContA-DefaultA,1.472635,False
ContA-DefaultB,2.552185,False
ContA-DefaultC,5.0466,False
ContA-DorsAttnA,6.840558,False
ContA-DorsAttnB,3.004288,False
ContA-LimbicA,10.174489,False
ContA-LimbicB,11.732765,False
ContA-SalVentAttnA,1.313113,False
ContA-SalVentAttnB,8.277563,False
ContA-SomMotA,6.865342,False
ContA-SomMotB,5.381946,False
ContA-TempPar,2.813539,False
ContA-VisCent,0.079603,False
ContA-VisPeri,6.539787,False
ContB-ContA,10.719198,False
ContB-ContB,0.0,True
ContB-ContC,2.425514,False
ContB-DefaultA,3.623875,False
ContB-DefaultB,2.969545,False
ContB-DefaultC,1.125062,False
ContB-DorsAttnA,1.528156,False
ContB-DorsAttnB,3.342222,False
ContB-LimbicA,9.772261,False
ContB-LimbicB,4.219673,False
ContB-SalVentAttnA,0.12054,False
ContB-SalVentAttnB,3.606613,False
ContB-SomMotA,5.376375,False
ContB-SomMotB,4.83789,False
ContB-TempPar,2.007205,False
ContB-VisCent,0.759058,False
ContB-VisPeri,8.816746,False
ContC-ContA,1.782059,False
ContC-ContB,0.202575,False
ContC-ContC,0.0,True
ContC-DefaultA,9.355532,False
ContC-DefaultB,1.89371,False
ContC-DefaultC,0.429599,False
ContC-DorsAttnA,4.871088,False
ContC-DorsAttnB,2.398247,False
ContC-LimbicA,3.794708,False
ContC-LimbicB,3.08429,False
ContC-SalVentAttnA,1.265641,False
ContC-SalVentAttnB,1.025986,False
ContC-SomMotA,2.330093,False
ContC-SomMotB,4.77152,False
ContC-TempPar,2.316635,False
ContC-VisCent,0.40319,False
ContC-VisPeri,0.883419,False
DefaultA-ContA,1.03748,False
DefaultA-ContB,0.490163,False
DefaultA-ContC,3.266382,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.446264,False
DefaultA-DefaultC,2.026718,False
DefaultA-DorsAttnA,5.038758,False
DefaultA-DorsAttnB,0.141045,False
DefaultA-LimbicA,4.526681,False
DefaultA-LimbicB,6.192396,False
DefaultA-SalVentAttnA,0.083207,False
DefaultA-SalVentAttnB,2.034031,False
DefaultA-SomMotA,1.229908,False
DefaultA-SomMotB,2.959842,False
DefaultA-TempPar,1.295743,False
DefaultA-VisCent,0.20797,False
DefaultA-VisPeri,2.66863,False
DefaultB-ContA,7.966585,False
DefaultB-ContB,1.446816,False
DefaultB-ContC,1.285992,False
DefaultB-DefaultA,1.762966,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.981619,False
DefaultB-DorsAttnA,4.415175,False
DefaultB-DorsAttnB,2.132412,False
DefaultB-LimbicA,2.560716,False
DefaultB-LimbicB,14.413016,False
DefaultB-SalVentAttnA,3.23077,False
DefaultB-SalVentAttnB,7.9489,False
DefaultB-SomMotA,4.787501,False
DefaultB-SomMotB,4.186519,False
DefaultB-TempPar,3.029536,False
DefaultB-VisCent,0.62787,False
DefaultB-VisPeri,5.084094,False
DefaultC-ContA,2.66977,False
DefaultC-ContB,1.133635,False
DefaultC-ContC,5.345206,False
DefaultC-DefaultA,3.041687,False
DefaultC-DefaultB,8.122018,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.861593,False
DefaultC-DorsAttnB,1.479816,False
DefaultC-LimbicA,1.561366,False
DefaultC-LimbicB,13.010602,False
DefaultC-SalVentAttnA,8.719762,False
DefaultC-SalVentAttnB,5.527003,False
DefaultC-SomMotA,5.735447,False
DefaultC-SomMotB,1.107383,False
DefaultC-TempPar,2.089095,False
DefaultC-VisCent,0.158631,False
DefaultC-VisPeri,3.494404,False
DorsAttnA-ContA,1.85067,False
DorsAttnA-ContB,0.209938,False
DorsAttnA-ContC,0.593062,False
DorsAttnA-DefaultA,2.343809,False
DorsAttnA-DefaultB,4.088348,False
DorsAttnA-DefaultC,2.45108,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.322839,False
DorsAttnA-LimbicA,2.063641,False
DorsAttnA-LimbicB,2.501515,False
DorsAttnA-SalVentAttnA,0.526183,False
DorsAttnA-SalVentAttnB,4.575356,False
DorsAttnA-SomMotA,0.079397,False
DorsAttnA-SomMotB,0.578664,False
DorsAttnA-TempPar,2.928583,False
DorsAttnA-VisCent,0.80548,False
DorsAttnA-VisPeri,0.247355,False
DorsAttnB-ContA,1.632892,False
DorsAttnB-ContB,0.942593,False
DorsAttnB-ContC,2.23634,False
DorsAttnB-DefaultA,0.395255,False
DorsAttnB-DefaultB,0.056681,False
DorsAttnB-DefaultC,0.528866,False
DorsAttnB-DorsAttnA,0.154592,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.976902,False
DorsAttnB-LimbicB,0.716879,False
DorsAttnB-SalVentAttnA,0.745189,False
DorsAttnB-SalVentAttnB,0.035916,False
DorsAttnB-SomMotA,1.849928,False
DorsAttnB-SomMotB,0.730244,False
DorsAttnB-TempPar,0.056685,False
DorsAttnB-VisCent,1.030134,False
DorsAttnB-VisPeri,7.142426,False
LimbicA-ContA,6.35162,False
LimbicA-ContB,2.350028,False
LimbicA-ContC,0.328447,False
LimbicA-DefaultA,1.810384,False
LimbicA-DefaultB,0.084676,False
LimbicA-DefaultC,1.034739,False
LimbicA-DorsAttnA,0.699854,False
LimbicA-DorsAttnB,0.902903,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,1.556286,False
LimbicA-SalVentAttnA,2.007944,False
LimbicA-SalVentAttnB,3.945781,False
LimbicA-SomMotA,0.763083,False
LimbicA-SomMotB,2.984698,False
LimbicA-TempPar,0.287933,False
LimbicA-VisCent,1.260198,False
LimbicA-VisPeri,3.959077,False
LimbicB-ContA,7.588161,False
LimbicB-ContB,0.011485,False
LimbicB-ContC,3.504214,False
LimbicB-DefaultA,1.325192,False
LimbicB-DefaultB,5.722361,False
LimbicB-DefaultC,8.807305,False
LimbicB-DorsAttnA,0.324199,False
LimbicB-DorsAttnB,1.812445,False
LimbicB-LimbicA,4.270458,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.336103,False
LimbicB-SalVentAttnB,12.067816,False
LimbicB-SomMotA,3.784956,False
LimbicB-SomMotB,1.924286,False
LimbicB-TempPar,0.244974,False
LimbicB-VisCent,1.409186,False
LimbicB-VisPeri,6.301222,False
SalVentAttnA-ContA,1.991483,False
SalVentAttnA-ContB,0.933352,False
SalVentAttnA-ContC,3.515858,False
SalVentAttnA-DefaultA,2.515818,False
SalVentAttnA-DefaultB,0.246094,False
SalVentAttnA-DefaultC,2.240303,False
SalVentAttnA-DorsAttnA,1.998748,False
SalVentAttnA-DorsAttnB,0.966194,False
SalVentAttnA-LimbicA,0.154721,False
SalVentAttnA-LimbicB,2.54679,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.815059,False
SalVentAttnA-SomMotA,1.194647,False
SalVentAttnA-SomMotB,4.831995,False
SalVentAttnA-TempPar,1.55633,False
SalVentAttnA-VisCent,2.24102,False
SalVentAttnA-VisPeri,1.284312,False
SalVentAttnB-ContA,3.751996,False
SalVentAttnB-ContB,0.863101,False
SalVentAttnB-ContC,5.598817,False
SalVentAttnB-DefaultA,2.085641,False
SalVentAttnB-DefaultB,0.848646,False
SalVentAttnB-DefaultC,4.962179,False
SalVentAttnB-DorsAttnA,0.3383,False
SalVentAttnB-DorsAttnB,0.089831,False
SalVentAttnB-LimbicA,6.740772,False
SalVentAttnB-LimbicB,31.665392,False
SalVentAttnB-SalVentAttnA,17.771963,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,12.216932,False
SalVentAttnB-SomMotB,1.309878,False
SalVentAttnB-TempPar,0.142894,False
SalVentAttnB-VisCent,6.539718,False
SalVentAttnB-VisPeri,8.903709,False
SomMotA-ContA,12.358698,False
SomMotA-ContB,4.891026,False
SomMotA-ContC,5.792561,False
SomMotA-DefaultA,2.236607,False
SomMotA-DefaultB,4.611975,False
SomMotA-DefaultC,6.344831,False
SomMotA-DorsAttnA,0.953701,False
SomMotA-DorsAttnB,4.442981,False
SomMotA-LimbicA,3.148884,False
SomMotA-LimbicB,16.859661,False
SomMotA-SalVentAttnA,14.929218,False
SomMotA-SalVentAttnB,17.322049,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,2.929262,False
SomMotA-TempPar,0.537543,False
SomMotA-VisCent,7.177635,False
SomMotA-VisPeri,21.097831,False
SomMotB-ContA,0.52043,False
SomMotB-ContB,0.631932,False
SomMotB-ContC,1.995414,False
SomMotB-DefaultA,3.169674,False
SomMotB-DefaultB,3.900121,False
SomMotB-DefaultC,5.678666,False
SomMotB-DorsAttnA,1.118369,False
SomMotB-DorsAttnB,0.918025,False
SomMotB-LimbicA,0.165796,False
SomMotB-LimbicB,0.196081,False
SomMotB-SalVentAttnA,4.746331,False
SomMotB-SalVentAttnB,0.981545,False
SomMotB-SomMotA,1.085186,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.13331,False
SomMotB-VisCent,2.055096,False
SomMotB-VisPeri,0.676627,False
TempPar-ContA,0.256526,False
TempPar-ContB,0.698567,False
TempPar-ContC,0.697217,False
TempPar-DefaultA,0.445911,False
TempPar-DefaultB,2.295183,False
TempPar-DefaultC,2.896117,False
TempPar-DorsAttnA,0.071164,False
TempPar-DorsAttnB,0.31774,False
TempPar-LimbicA,2.136352,False
TempPar-LimbicB,0.693157,False
TempPar-SalVentAttnA,0.758818,False
TempPar-SalVentAttnB,0.939075,False
TempPar-SomMotA,0.090078,False
TempPar-SomMotB,0.55373,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.189419,False
TempPar-VisPeri,0.33642,False
VisCent-ContA,0.193718,False
VisCent-ContB,1.930215,False
VisCent-ContC,9.85137,False
VisCent-DefaultA,6.335577,False
VisCent-DefaultB,0.338874,False
VisCent-DefaultC,7.112153,False
VisCent-DorsAttnA,3.323816,False
VisCent-DorsAttnB,0.480214,False
VisCent-LimbicA,1.758772,False
VisCent-LimbicB,0.138652,False
VisCent-SalVentAttnA,11.358915,False
VisCent-SalVentAttnB,0.44934,False
VisCent-SomMotA,2.102195,False
VisCent-SomMotB,10.06615,False
VisCent-TempPar,3.894828,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.858237,False
VisPeri-ContA,3.737953,False
VisPeri-ContB,0.575542,False
VisPeri-ContC,3.647667,False
VisPeri-DefaultA,1.621095,False
VisPeri-DefaultB,1.398474,False
VisPeri-DefaultC,4.41317,False
VisPeri-DorsAttnA,0.668805,False
VisPeri-DorsAttnB,1.606589,False
VisPeri-LimbicA,1.515022,False
VisPeri-LimbicB,2.98969,False
VisPeri-SalVentAttnA,9.705253,False
VisPeri-SalVentAttnB,5.212434,False
VisPeri-SomMotA,3.335495,False
VisPeri-SomMotB,5.825214,False
VisPeri-TempPar,0.999002,False
VisPeri-VisCent,5.614775,False
VisPeri-VisPeri,0.0,True
