network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.883775,False
ContA-ContC,3.215976,False
ContA-DefaultA,3.430064,False
ContA-DefaultB,0.315448,False
ContA-DefaultC,7.62976,False
ContA-DorsAttnA,0.855607,False
ContA-DorsAttnB,2.129078,False
ContA-LimbicA,16.082577,False
ContA-LimbicB,12.899822,False
ContA-SalVentAttnA,3.707863,False
ContA-SalVentAttnB,5.35326,False
ContA-SomMotA,2.562694,False
ContA-SomMotB,0.667648,False
ContA-TempPar,6.237386,False
ContA-VisCent,1.913006,False
ContA-VisPeri,0.011272,False
ContB-ContA,5.325467,False
ContB-ContB,0.0,True
ContB-ContC,12.303328,False
ContB-DefaultA,6.265639,False
ContB-DefaultB,5.456205,False
ContB-DefaultC,1.417849,False
ContB-DorsAttnA,3.44012,False
ContB-DorsAttnB,2.503632,False
ContB-LimbicA,4.68334,False
ContB-LimbicB,2.471387,False
ContB-SalVentAttnA,1.161512,False
ContB-SalVentAttnB,0.112869,False
ContB-SomMotA,7.565538,False
ContB-SomMotB,7.279264,False
ContB-TempPar,1.074442,False
ContB-VisCent,0.391697,False
ContB-VisPeri,4.39682,False
ContC-ContA,4.869645,False
ContC-ContB,4.792087,False
ContC-ContC,0.0,True
ContC-DefaultA,20.619038,False
ContC-DefaultB,7.076427,False
ContC-DefaultC,1.393296,False
ContC-DorsAttnA,1.141987,False
ContC-DorsAttnB,0.863503,False
ContC-LimbicA,7.219466,False
ContC-LimbicB,5.044177,False
ContC-SalVentAttnA,0.158279,False
ContC-SalVentAttnB,0.481137,False
ContC-SomMotA,10.97568,False
ContC-SomMotB,2.999686,False
ContC-TempPar,0.789679,False
ContC-VisCent,0.252299,False
ContC-VisPeri,6.998326,False
DefaultA-ContA,6.920973,False
DefaultA-ContB,0.871144,False
DefaultA-ContC,21.721102,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.641734,False
DefaultA-DefaultC,3.761861,False
DefaultA-DorsAttnA,5.513215,False
DefaultA-DorsAttnB,4.65928,False
DefaultA-LimbicA,5.881482,False
DefaultA-LimbicB,6.74031,False
DefaultA-SalVentAttnA,1.164469,False
DefaultA-SalVentAttnB,0.988224,False
DefaultA-SomMotA,8.973487,False
DefaultA-SomMotB,2.302599,False
DefaultA-TempPar,1.561531,False
DefaultA-VisCent,0.118089,False
