network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.742195,False
ContA-ContC,0.823448,False
ContA-DefaultA,15.756847,False
ContA-DefaultB,0.831127,False
ContA-DefaultC,0.212318,False
ContA-DorsAttnA,1.71979,False
ContA-DorsAttnB,2.371311,False
ContA-LimbicA,12.230381,False
ContA-LimbicB,5.264107,False
ContA-SalVentAttnA,2.727328,False
ContA-SalVentAttnB,5.444271,False
ContA-SomMotA,5.221739,False
ContA-SomMotB,5.566746,False
ContA-TempPar,0.991791,False
ContA-VisCent,3.055813,False
ContA-VisPeri,2.175775,False
ContB-ContA,4.288273,False
ContB-ContB,0.0,True
ContB-ContC,0.97106,False
ContB-DefaultA,3.081109,False
ContB-DefaultB,1.020782,False
ContB-DefaultC,2.371927,False
ContB-DorsAttnA,0.012464,False
ContB-DorsAttnB,0.84722,False
ContB-LimbicA,6.322216,False
ContB-LimbicB,0.399327,False
ContB-SalVentAttnA,2.297651,False
ContB-SalVentAttnB,3.348059,False
ContB-SomMotA,0.813727,False
ContB-SomMotB,0.251826,False
ContB-TempPar,1.812728,False
ContB-VisCent,0.052968,False
ContB-VisPeri,1.66289,False
ContC-ContA,0.017783,False
ContC-ContB,6.179113,False
ContC-ContC,0.0,True
ContC-DefaultA,0.009031,False
ContC-DefaultB,3.076465,False
ContC-DefaultC,0.465315,False
ContC-DorsAttnA,9.020898,False
ContC-DorsAttnB,1.05151,False
ContC-LimbicA,1.135845,False
ContC-LimbicB,2.895653,False
ContC-SalVentAttnA,6.076412,False
ContC-SalVentAttnB,1.877155,False
ContC-SomMotA,1.897145,False
ContC-SomMotB,0.111209,False
ContC-TempPar,0.164796,False
ContC-VisCent,0.140949,False
ContC-VisPeri,3.644156,False
DefaultA-ContA,2.974876,False
DefaultA-ContB,1.205216,False
DefaultA-ContC,0.62739,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.62855,False
DefaultA-DefaultC,2.036953,False
DefaultA-DorsAttnA,6.526678,False
DefaultA-DorsAttnB,1.354306,False
DefaultA-LimbicA,0.954711,False
DefaultA-LimbicB,13.608984,False
DefaultA-SalVentAttnA,3.356311,False
DefaultA-SalVentAttnB,3.392303,False
DefaultA-SomMotA,7.482002,False
DefaultA-SomMotB,7.09049,False
DefaultA-TempPar,0.029529,False
DefaultA-VisCent,1.088394,False
DefaultA-VisPeri,5.956235,False
DefaultB-ContA,0.44212,False
DefaultB-ContB,0.825525,False
DefaultB-ContC,5.507484,False
DefaultB-DefaultA,3.920476,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.553099,False
DefaultB-DorsAttnA,3.804484,False
DefaultB-DorsAttnB,1.765212,False
DefaultB-LimbicA,4.880247,False
DefaultB-LimbicB,2.127139,False
DefaultB-SalVentAttnA,3.731713,False
DefaultB-SalVentAttnB,1.681752,False
DefaultB-SomMotA,0.040148,False
DefaultB-SomMotB,1.523838,False
DefaultB-TempPar,1.113413,False
DefaultB-VisCent,2.020548,False
DefaultB-VisPeri,0.363119,False
DefaultC-ContA,11.893654,False
DefaultC-ContB,4.09664,False
DefaultC-ContC,2.884916,False
DefaultC-DefaultA,2.186083,False
DefaultC-DefaultB,8.383351,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.178779,False
DefaultC-DorsAttnB,1.620837,False
DefaultC-LimbicA,17.204207,False
DefaultC-LimbicB,0.645773,False
DefaultC-SalVentAttnA,7.198971,False
DefaultC-SalVentAttnB,5.832251,False
DefaultC-SomMotA,1.066583,False
DefaultC-SomMotB,1.266799,False
DefaultC-TempPar,3.836594,False
DefaultC-VisCent,4.647399,False
DefaultC-VisPeri,0.874151,False
DorsAttnA-ContA,0.314277,False
DorsAttnA-ContB,1.848147,False
DorsAttnA-ContC,9.552671,False
DorsAttnA-DefaultA,5.308301,False
DorsAttnA-DefaultB,8.620371,False
DorsAttnA-DefaultC,0.263208,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,10.381711,False
DorsAttnA-LimbicA,0.60876,False
DorsAttnA-LimbicB,0.856524,False
DorsAttnA-SalVentAttnA,17.233063,False
DorsAttnA-SalVentAttnB,0.124027,False
DorsAttnA-SomMotA,1.560755,False
DorsAttnA-SomMotB,1.91274,False
DorsAttnA-TempPar,0.83623,False
DorsAttnA-VisCent,1.889166,False
DorsAttnA-VisPeri,2.010273,False
DorsAttnB-ContA,3.026579,False
DorsAttnB-ContB,2.634256,False
DorsAttnB-ContC,0.53922,False
DorsAttnB-DefaultA,1.984995,False
DorsAttnB-DefaultB,0.160375,False
DorsAttnB-DefaultC,2.709039,False
DorsAttnB-DorsAttnA,5.303773,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.679737,False
DorsAttnB-LimbicB,4.586547,False
DorsAttnB-SalVentAttnA,1.656562,False
DorsAttnB-SalVentAttnB,2.642217,False
DorsAttnB-SomMotA,3.868672,False
DorsAttnB-SomMotB,2.035808,False
DorsAttnB-TempPar,3.770896,False
DorsAttnB-VisCent,2.928185,False
DorsAttnB-VisPeri,4.378606,False
LimbicA-ContA,12.363598,False
LimbicA-ContB,0.18683,False
LimbicA-ContC,1.995415,False
LimbicA-DefaultA,2.718814,False
LimbicA-DefaultB,1.812896,False
LimbicA-DefaultC,0.564861,False
LimbicA-DorsAttnA,1.418295,False
LimbicA-DorsAttnB,1.129199,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.31873,False
LimbicA-SalVentAttnA,5.733597,False
LimbicA-SalVentAttnB,8.898673,False
LimbicA-SomMotA,6.925545,False
LimbicA-SomMotB,10.030805,False
LimbicA-TempPar,1.340011,False
LimbicA-VisCent,14.071931,False
LimbicA-VisPeri,3.248567,False
LimbicB-ContA,6.547735,False
LimbicB-ContB,4.339217,False
LimbicB-ContC,2.511005,False
LimbicB-DefaultA,11.176518,False
LimbicB-DefaultB,3.469914,False
LimbicB-DefaultC,1.131794,False
LimbicB-DorsAttnA,0.377175,False
LimbicB-DorsAttnB,3.269906,False
LimbicB-LimbicA,1.108695,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.076626,False
LimbicB-SalVentAttnB,3.135788,False
LimbicB-SomMotA,2.873693,False
LimbicB-SomMotB,3.086594,False
LimbicB-TempPar,0.69067,False
LimbicB-VisCent,0.097094,False
LimbicB-VisPeri,6.640537,False
SalVentAttnA-ContA,0.621104,False
SalVentAttnA-ContB,0.269853,False
SalVentAttnA-ContC,0.934724,False
SalVentAttnA-DefaultA,3.417882,False
SalVentAttnA-DefaultB,1.715608,False
SalVentAttnA-DefaultC,0.064112,False
SalVentAttnA-DorsAttnA,3.222592,False
SalVentAttnA-DorsAttnB,0.125306,False
SalVentAttnA-LimbicA,2.472629,False
SalVentAttnA-LimbicB,0.667551,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.551702,False
SalVentAttnA-SomMotA,1.610183,False
SalVentAttnA-SomMotB,1.570539,False
SalVentAttnA-TempPar,0.372631,False
SalVentAttnA-VisCent,0.644482,False
SalVentAttnA-VisPeri,0.405131,False
SalVentAttnB-ContA,9.029913,False
SalVentAttnB-ContB,0.347456,False
SalVentAttnB-ContC,0.00088,False
SalVentAttnB-DefaultA,17.114056,False
SalVentAttnB-DefaultB,6.150306,False
SalVentAttnB-DefaultC,0.020718,False
SalVentAttnB-DorsAttnA,0.624107,False
SalVentAttnB-DorsAttnB,1.786104,False
SalVentAttnB-LimbicA,7.416764,False
SalVentAttnB-LimbicB,26.340703,False
SalVentAttnB-SalVentAttnA,6.233668,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.495757,False
SalVentAttnB-SomMotB,7.696088,False
SalVentAttnB-TempPar,0.57787,False
SalVentAttnB-VisCent,4.926832,False
SalVentAttnB-VisPeri,5.550074,False
SomMotA-ContA,4.364901,False
SomMotA-ContB,2.019799,False
SomMotA-ContC,0.146703,False
SomMotA-DefaultA,5.332388,False
SomMotA-DefaultB,1.911577,False
SomMotA-DefaultC,0.253793,False
SomMotA-DorsAttnA,1.414163,False
SomMotA-DorsAttnB,0.986355,False
SomMotA-LimbicA,3.976417,False
SomMotA-LimbicB,11.211628,False
SomMotA-SalVentAttnA,1.512949,False
SomMotA-SalVentAttnB,7.363555,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,20.04737,False
SomMotA-TempPar,3.182654,False
SomMotA-VisCent,8.5977,False
SomMotA-VisPeri,8.886509,False
SomMotB-ContA,2.086108,False
SomMotB-ContB,0.836648,False
SomMotB-ContC,0.1816,False
SomMotB-DefaultA,3.917884,False
SomMotB-DefaultB,1.97648,False
SomMotB-DefaultC,0.5906,False
SomMotB-DorsAttnA,1.959196,False
SomMotB-DorsAttnB,0.738223,False
SomMotB-LimbicA,1.1832,False
SomMotB-LimbicB,1.372076,False
SomMotB-SalVentAttnA,2.331649,False
SomMotB-SalVentAttnB,3.345717,False
SomMotB-SomMotA,0.618192,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.427148,False
SomMotB-VisCent,0.807351,False
SomMotB-VisPeri,0.458797,False
TempPar-ContA,6.024525,False
TempPar-ContB,1.404113,False
TempPar-ContC,1.942159,False
TempPar-DefaultA,4.441788,False
TempPar-DefaultB,0.704554,False
TempPar-DefaultC,2.726516,False
TempPar-DorsAttnA,1.733307,False
TempPar-DorsAttnB,2.366179,False
TempPar-LimbicA,19.474063,False
TempPar-LimbicB,1.419253,False
TempPar-SalVentAttnA,2.065247,False
TempPar-SalVentAttnB,7.56095,False
TempPar-SomMotA,4.093754,False
TempPar-SomMotB,5.205767,False
TempPar-TempPar,0.0,True
TempPar-VisCent,9.486041,False
TempPar-VisPeri,1.081183,False
VisCent-ContA,1.724469,False
VisCent-ContB,0.671717,False
VisCent-ContC,1.361457,False
VisCent-DefaultA,3.604565,False
VisCent-DefaultB,0.000446,False
VisCent-DefaultC,1.471962,False
VisCent-DorsAttnA,4.350531,False
VisCent-DorsAttnB,0.122812,False
