network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.557646,False
ContA-ContC,0.78893,False
ContA-DefaultA,4.245912,False
ContA-DefaultB,7.074067,False
ContA-DefaultC,0.901502,False
ContA-DorsAttnA,0.417005,False
ContA-DorsAttnB,4.315711,False
ContA-LimbicA,27.108664,False
ContA-LimbicB,2.969537,False
ContA-SalVentAttnA,8.970306,False
ContA-SalVentAttnB,0.695044,False
ContA-SomMotA,7.100049,False
ContA-SomMotB,7.088433,False
ContA-TempPar,1.615037,False
ContA-VisCent,3.226905,False
ContA-VisPeri,8.979763,False
ContB-ContA,3.566363,False
ContB-ContB,0.0,True
ContB-ContC,1.385772,False
ContB-DefaultA,2.10875,False
ContB-DefaultB,5.445122,False
ContB-DefaultC,3.010072,False
ContB-DorsAttnA,0.63186,False
ContB-DorsAttnB,1.072675,False
ContB-LimbicA,11.984699,False
ContB-LimbicB,1.562465,False
ContB-SalVentAttnA,4.695577,False
ContB-SalVentAttnB,1.417006,False
ContB-SomMotA,9.425699,False
ContB-SomMotB,6.299833,False
ContB-TempPar,0.840695,False
ContB-VisCent,2.702235,False
ContB-VisPeri,6.761241,False
ContC-ContA,0.928778,False
ContC-ContB,1.421633,False
ContC-ContC,0.0,True
ContC-DefaultA,6.714798,False
ContC-DefaultB,5.031484,False
ContC-DefaultC,1.315972,False
ContC-DorsAttnA,0.872671,False
ContC-DorsAttnB,3.108479,False
ContC-LimbicA,2.69417,False
ContC-LimbicB,3.540278,False
ContC-SalVentAttnA,1.128056,False
ContC-SalVentAttnB,1.298521,False
ContC-SomMotA,1.336977,False
ContC-SomMotB,2.120866,False
ContC-TempPar,6.078648,False
ContC-VisCent,0.360921,False
ContC-VisPeri,0.808488,False
DefaultA-ContA,3.356165,False
DefaultA-ContB,1.558769,False
DefaultA-ContC,5.818071,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.824191,False
DefaultA-DefaultC,3.642856,False
DefaultA-DorsAttnA,4.304516,False
DefaultA-DorsAttnB,9.336437,False
DefaultA-LimbicA,2.6262,False
DefaultA-LimbicB,3.924586,False
DefaultA-SalVentAttnA,2.658106,False
DefaultA-SalVentAttnB,0.169851,False
DefaultA-SomMotA,3.061882,False
DefaultA-SomMotB,0.479251,False
DefaultA-TempPar,8.113418,False
DefaultA-VisCent,0.236703,False
DefaultA-VisPeri,3.097142,False
DefaultB-ContA,2.13456,False
DefaultB-ContB,1.697495,False
DefaultB-ContC,1.838859,False
DefaultB-DefaultA,1.361358,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.461333,False
DefaultB-DorsAttnA,2.11536,False
DefaultB-DorsAttnB,6.730639,False
DefaultB-LimbicA,2.730106,False
DefaultB-LimbicB,1.029502,False
DefaultB-SalVentAttnA,2.25954,False
DefaultB-SalVentAttnB,0.534154,False
DefaultB-SomMotA,1.244223,False
DefaultB-SomMotB,0.542581,False
DefaultB-TempPar,7.611999,False
DefaultB-VisCent,0.946276,False
DefaultB-VisPeri,2.283242,False
DefaultC-ContA,0.254077,False
DefaultC-ContB,0.194231,False
DefaultC-ContC,1.792744,False
DefaultC-DefaultA,2.47826,False
DefaultC-DefaultB,5.485587,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.828739,False
DefaultC-DorsAttnB,4.259731,False
DefaultC-LimbicA,2.319283,False
DefaultC-LimbicB,0.935552,False
DefaultC-SalVentAttnA,1.61849,False
DefaultC-SalVentAttnB,0.440668,False
DefaultC-SomMotA,3.265909,False
DefaultC-SomMotB,4.541963,False
DefaultC-TempPar,3.35211,False
DefaultC-VisCent,1.123071,False
DefaultC-VisPeri,2.703736,False
DorsAttnA-ContA,3.142047,False
DorsAttnA-ContB,2.309741,False
DorsAttnA-ContC,4.086889,False
DorsAttnA-DefaultA,11.023918,False
DorsAttnA-DefaultB,11.243676,False
DorsAttnA-DefaultC,3.713377,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,19.842165,False
DorsAttnA-LimbicA,5.607102,False
DorsAttnA-LimbicB,2.493799,False
DorsAttnA-SalVentAttnA,5.440316,False
DorsAttnA-SalVentAttnB,0.451021,False
DorsAttnA-SomMotA,1.57565,False
DorsAttnA-SomMotB,1.321794,False
DorsAttnA-TempPar,0.734811,False
DorsAttnA-VisCent,1.295971,False
DorsAttnA-VisPeri,0.211377,False
DorsAttnB-ContA,0.191323,False
DorsAttnB-ContB,1.325364,False
DorsAttnB-ContC,1.110863,False
DorsAttnB-DefaultA,0.589602,False
DorsAttnB-DefaultB,0.472307,False
DorsAttnB-DefaultC,1.706107,False
