network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.796834,False
ContA-ContC,4.678661,False
ContA-DefaultA,7.68137,False
ContA-DefaultB,12.2636,False
ContA-DefaultC,0.81463,False
ContA-DorsAttnA,6.020653,False
ContA-DorsAttnB,0.310317,False
ContA-LimbicA,21.347337,False
ContA-LimbicB,3.445305,False
ContA-SalVentAttnA,1.353167,False
ContA-SalVentAttnB,4.347324,False
ContA-SomMotA,6.004542,False
ContA-SomMotB,2.274615,False
ContA-TempPar,1.034314,False
ContA-VisCent,0.243278,False
ContA-VisPeri,3.194567,False
ContB-ContA,9.423394,False
ContB-ContB,0.0,True
ContB-ContC,8.996598,False
ContB-DefaultA,16.444502,False
ContB-DefaultB,14.623026,False
ContB-DefaultC,5.630752,False
ContB-DorsAttnA,8.339301,False
ContB-DorsAttnB,1.965753,False
ContB-LimbicA,10.286153,False
ContB-LimbicB,2.030514,False
ContB-SalVentAttnA,2.7759,False
ContB-SalVentAttnB,0.093832,False
ContB-SomMotA,6.133711,False
ContB-SomMotB,5.903558,False
ContB-TempPar,6.391787,False
ContB-VisCent,0.088169,False
ContB-VisPeri,1.886722,False
ContC-ContA,0.125572,False
ContC-ContB,0.652714,False
ContC-ContC,0.0,True
ContC-DefaultA,5.641808,False
ContC-DefaultB,0.071652,False
ContC-DefaultC,4.532741,False
ContC-DorsAttnA,1.960588,False
ContC-DorsAttnB,5.185505,False
ContC-LimbicA,0.774199,False
ContC-LimbicB,3.537119,False
ContC-SalVentAttnA,0.96628,False
ContC-SalVentAttnB,2.731155,False
ContC-SomMotA,0.495941,False
ContC-SomMotB,1.912927,False
ContC-TempPar,5.14588,False
ContC-VisCent,0.97259,False
ContC-VisPeri,0.586136,False
DefaultA-ContA,0.30314,False
DefaultA-ContB,1.080809,False
DefaultA-ContC,27.760001,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.953908,False
DefaultA-DefaultC,1.793784,False
DefaultA-DorsAttnA,9.202729,False
DefaultA-DorsAttnB,0.838674,False
DefaultA-LimbicA,3.09131,False
DefaultA-LimbicB,4.762574,False
DefaultA-SalVentAttnA,1.31109,False
DefaultA-SalVentAttnB,5.132761,False
DefaultA-SomMotA,3.512426,False
DefaultA-SomMotB,1.945066,False
DefaultA-TempPar,1.147129,False
DefaultA-VisCent,1.044298,False
DefaultA-VisPeri,0.905715,False
DefaultB-ContA,2.103879,False
DefaultB-ContB,0.981165,False
DefaultB-ContC,1.90766,False
DefaultB-DefaultA,1.564156,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.133886,False
DefaultB-DorsAttnA,5.237751,False
DefaultB-DorsAttnB,2.740576,False
DefaultB-LimbicA,1.658565,False
DefaultB-LimbicB,2.762701,False
DefaultB-SalVentAttnA,0.064058,False
DefaultB-SalVentAttnB,4.903036,False
DefaultB-SomMotA,2.659072,False
DefaultB-SomMotB,2.21921,False
DefaultB-TempPar,2.400452,False
DefaultB-VisCent,1.379714,False
DefaultB-VisPeri,2.390117,False
DefaultC-ContA,0.456437,False
DefaultC-ContB,1.135278,False
DefaultC-ContC,5.837425,False
DefaultC-DefaultA,5.749185,False
DefaultC-DefaultB,8.447732,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.716644,False
DefaultC-DorsAttnB,0.000695,False
DefaultC-LimbicA,0.75727,False
DefaultC-LimbicB,3.841938,False
DefaultC-SalVentAttnA,0.065565,False
DefaultC-SalVentAttnB,2.002006,False
DefaultC-SomMotA,2.182832,False
DefaultC-SomMotB,0.532997,False
DefaultC-TempPar,0.96334,False
DefaultC-VisCent,2.209726,False
DefaultC-VisPeri,0.53595,False
DorsAttnA-ContA,4.813082,False
DorsAttnA-ContB,3.005159,False
DorsAttnA-ContC,3.943596,False
DorsAttnA-DefaultA,4.125309,False
DorsAttnA-DefaultB,5.102237,False
DorsAttnA-DefaultC,2.054718,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,16.414738,False
DorsAttnA-LimbicA,2.690222,False
DorsAttnA-LimbicB,7.414493,False
DorsAttnA-SalVentAttnA,15.794465,False
DorsAttnA-SalVentAttnB,2.543129,False
DorsAttnA-SomMotA,4.84822,False
DorsAttnA-SomMotB,4.579369,False
DorsAttnA-TempPar,4.1504,False
DorsAttnA-VisCent,0.498763,False
DorsAttnA-VisPeri,1.550218,False
DorsAttnB-ContA,2.588051,False
DorsAttnB-ContB,3.943004,False
