network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.051858,False
ContA-ContC,0.747302,False
ContA-DefaultA,1.361579,False
ContA-DefaultB,1.394222,False
ContA-DefaultC,1.590563,False
ContA-DorsAttnA,1.472597,False
ContA-DorsAttnB,0.319003,False
ContA-LimbicA,11.596864,False
ContA-LimbicB,2.971708,False
ContA-SalVentAttnA,0.542364,False
ContA-SalVentAttnB,0.107847,False
ContA-SomMotA,5.941694,False
ContA-SomMotB,1.709281,False
ContA-TempPar,1.010576,False
ContA-VisCent,9.839102,False
ContA-VisPeri,5.551933,False
ContB-ContA,0.902095,False
ContB-ContB,0.0,True
ContB-ContC,0.024839,False
ContB-DefaultA,0.386701,False
ContB-DefaultB,2.106894,False
ContB-DefaultC,1.082798,False
ContB-DorsAttnA,0.044724,False
ContB-DorsAttnB,0.591038,False
ContB-LimbicA,0.528967,False
ContB-LimbicB,0.298912,False
ContB-SalVentAttnA,0.443586,False
ContB-SalVentAttnB,0.207418,False
ContB-SomMotA,0.252855,False
ContB-SomMotB,0.188969,False
ContB-TempPar,2.23355,False
ContB-VisCent,0.49492,False
ContB-VisPeri,0.802157,False
ContC-ContA,0.339157,False
ContC-ContB,2.503165,False
ContC-ContC,0.0,True
ContC-DefaultA,9.762277,False
ContC-DefaultB,5.116004,False
ContC-DefaultC,0.646549,False
ContC-DorsAttnA,1.105836,False
ContC-DorsAttnB,1.334271,False
ContC-LimbicA,4.322746,False
ContC-LimbicB,6.085914,False
ContC-SalVentAttnA,0.481203,False
ContC-SalVentAttnB,0.186729,False
ContC-SomMotA,0.093173,False
ContC-SomMotB,0.488538,False
ContC-TempPar,0.556755,False
ContC-VisCent,1.26623,False
ContC-VisPeri,0.77801,False
DefaultA-ContA,1.296247,False
DefaultA-ContB,1.208564,False
DefaultA-ContC,3.242361,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.534696,False
DefaultA-DefaultC,0.834852,False
DefaultA-DorsAttnA,1.029865,False
DefaultA-DorsAttnB,2.8911,False
DefaultA-LimbicA,7.051018,False
DefaultA-LimbicB,13.216459,False
DefaultA-SalVentAttnA,1.042622,False
DefaultA-SalVentAttnB,2.758708,False
DefaultA-SomMotA,3.124047,False
DefaultA-SomMotB,3.16027,False
DefaultA-TempPar,1.220223,False
DefaultA-VisCent,2.553513,False
DefaultA-VisPeri,5.481361,False
DefaultB-ContA,4.046554,False
DefaultB-ContB,2.611009,False
DefaultB-ContC,0.105205,False
DefaultB-DefaultA,3.735117,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.905114,False
DefaultB-DorsAttnA,2.154903,False
DefaultB-DorsAttnB,1.878165,False
DefaultB-LimbicA,1.84218,False
DefaultB-LimbicB,7.322623,False
DefaultB-SalVentAttnA,2.762497,False
DefaultB-SalVentAttnB,1.394131,False
DefaultB-SomMotA,4.457501,False
DefaultB-SomMotB,4.028587,False
DefaultB-TempPar,6.093303,False
DefaultB-VisCent,5.004716,False
DefaultB-VisPeri,6.518539,False
DefaultC-ContA,1.914189,False
DefaultC-ContB,2.974634,False
DefaultC-ContC,1.969717,False
DefaultC-DefaultA,5.180882,False
DefaultC-DefaultB,2.394729,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.002537,False
DefaultC-DorsAttnB,2.343768,False
DefaultC-LimbicA,0.515172,False
DefaultC-LimbicB,0.847983,False
DefaultC-SalVentAttnA,0.308398,False
DefaultC-SalVentAttnB,1.265723,False
DefaultC-SomMotA,5.498054,False
DefaultC-SomMotB,0.003466,False
DefaultC-TempPar,6.808987,False
DefaultC-VisCent,0.809264,False
DefaultC-VisPeri,0.316488,False
DorsAttnA-ContA,2.251139,False
DorsAttnA-ContB,3.713517,False
DorsAttnA-ContC,3.364098,False
DorsAttnA-DefaultA,5.773625,False
DorsAttnA-DefaultB,13.22087,False
DorsAttnA-DefaultC,5.623028,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.22052,False
DorsAttnA-LimbicA,2.741478,False
DorsAttnA-LimbicB,18.502852,False
DorsAttnA-SalVentAttnA,2.065075,False
DorsAttnA-SalVentAttnB,0.203447,False
DorsAttnA-SomMotA,8.834631,False
DorsAttnA-SomMotB,11.623543,False
DorsAttnA-TempPar,6.302892,False
DorsAttnA-VisCent,0.835246,False
DorsAttnA-VisPeri,1.771276,False
DorsAttnB-ContA,1.893039,False
DorsAttnB-ContB,3.205286,False
DorsAttnB-ContC,5.353611,False
DorsAttnB-DefaultA,1.218142,False
DorsAttnB-DefaultB,1.153032,False
DorsAttnB-DefaultC,0.149241,False
DorsAttnB-DorsAttnA,0.042456,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.944717,False
