network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.722827,False
ContA-ContC,9.707491,False
ContA-DefaultA,11.350219,False
ContA-DefaultB,10.540892,False
ContA-DefaultC,0.711229,False
ContA-DorsAttnA,2.854025,False
ContA-DorsAttnB,4.312292,False
ContA-LimbicA,35.902834,False
ContA-LimbicB,21.890763,False
ContA-SalVentAttnA,1.176143,False
ContA-SalVentAttnB,15.008923,False
ContA-SomMotA,5.204678,False
ContA-SomMotB,4.072249,False
ContA-TempPar,0.170768,False
ContA-VisCent,0.184586,False
ContA-VisPeri,11.167186,False
ContB-ContA,1.602308,False
ContB-ContB,0.0,True
ContB-ContC,6.560868,False
ContB-DefaultA,1.215521,False
ContB-DefaultB,7.16707,False
ContB-DefaultC,2.293614,False
ContB-DorsAttnA,10.173794,False
ContB-DorsAttnB,0.837584,False
ContB-LimbicA,2.66281,False
ContB-LimbicB,5.058355,False
ContB-SalVentAttnA,4.842605,False
ContB-SalVentAttnB,0.628845,False
ContB-SomMotA,2.747012,False
ContB-SomMotB,12.133412,False
ContB-TempPar,0.002291,False
ContB-VisCent,0.494533,False
ContB-VisPeri,14.801585,False
ContC-ContA,3.598659,False
ContC-ContB,11.047285,False
ContC-ContC,0.0,True
ContC-DefaultA,14.942598,False
ContC-DefaultB,2.727568,False
ContC-DefaultC,0.011237,False
ContC-DorsAttnA,2.289453,False
ContC-DorsAttnB,0.779024,False
ContC-LimbicA,4.57426,False
ContC-LimbicB,19.614545,False
ContC-SalVentAttnA,3.003583,False
ContC-SalVentAttnB,6.617306,False
ContC-SomMotA,1.811082,False
ContC-SomMotB,6.301638,False
ContC-TempPar,0.843977,False
ContC-VisCent,0.069252,False
ContC-VisPeri,0.487496,False
DefaultA-ContA,2.098916,False
DefaultA-ContB,11.63359,False
DefaultA-ContC,50.790673,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.26322,False
DefaultA-DefaultC,0.173909,False
DefaultA-DorsAttnA,4.005599,False
DefaultA-DorsAttnB,1.066588,False
DefaultA-LimbicA,4.78533,False
DefaultA-LimbicB,39.269733,False
DefaultA-SalVentAttnA,2.799259,False
DefaultA-SalVentAttnB,11.923943,False
DefaultA-SomMotA,0.411328,False
DefaultA-SomMotB,5.822215,False
DefaultA-TempPar,6.442711,False
DefaultA-VisCent,0.13268,False
DefaultA-VisPeri,4.075584,False
DefaultB-ContA,1.251089,False
DefaultB-ContB,6.671049,False
DefaultB-ContC,7.031522,False
DefaultB-DefaultA,3.733682,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.17618,False
DefaultB-DorsAttnA,18.076836,False
DefaultB-DorsAttnB,3.141617,False
DefaultB-LimbicA,1.16122,False
DefaultB-LimbicB,16.914066,False
DefaultB-SalVentAttnA,0.253528,False
DefaultB-SalVentAttnB,3.901022,False
DefaultB-SomMotA,0.709018,False
DefaultB-SomMotB,4.378457,False
DefaultB-TempPar,0.779189,False
DefaultB-VisCent,1.345222,False
DefaultB-VisPeri,5.692696,False
DefaultC-ContA,9.984115,False
DefaultC-ContB,3.563599,False
DefaultC-ContC,9.517837,False
DefaultC-DefaultA,20.977347,False
DefaultC-DefaultB,3.121964,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,13.758232,False
DefaultC-DorsAttnB,7.632255,False
DefaultC-LimbicA,5.310072,False
DefaultC-LimbicB,3.044307,False
DefaultC-SalVentAttnA,2.349172,False
DefaultC-SalVentAttnB,2.184265,False
DefaultC-SomMotA,3.05421,False
DefaultC-SomMotB,0.854857,False
DefaultC-TempPar,1.008284,False
DefaultC-VisCent,12.940217,False
DefaultC-VisPeri,2.105904,False
DorsAttnA-ContA,0.211649,False
DorsAttnA-ContB,0.286284,False
DorsAttnA-ContC,0.769489,False
DorsAttnA-DefaultA,0.265627,False
DorsAttnA-DefaultB,6.598993,False
DorsAttnA-DefaultC,7.772155,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.752572,False
DorsAttnA-LimbicA,0.543694,False
DorsAttnA-LimbicB,3.396239,False
DorsAttnA-SalVentAttnA,6.102263,False
DorsAttnA-SalVentAttnB,1.249229,False
DorsAttnA-SomMotA,1.533083,False
DorsAttnA-SomMotB,1.295724,False
DorsAttnA-TempPar,1.407547,False
DorsAttnA-VisCent,1.982814,False
DorsAttnA-VisPeri,5.505603,False
DorsAttnB-ContA,0.823704,False
DorsAttnB-ContB,0.502295,False
DorsAttnB-ContC,2.034296,False
DorsAttnB-DefaultA,2.408237,False
DorsAttnB-DefaultB,0.297977,False
DorsAttnB-DefaultC,3.904184,False
DorsAttnB-DorsAttnA,1.777139,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.231976,False
DorsAttnB-LimbicB,0.50638,False
DorsAttnB-SalVentAttnA,0.209952,False
DorsAttnB-SalVentAttnB,0.000862,False
DorsAttnB-SomMotA,1.596423,False
DorsAttnB-SomMotB,1.175002,False
DorsAttnB-TempPar,1.567048,False
DorsAttnB-VisCent,6.953449,False
DorsAttnB-VisPeri,0.61338,False
LimbicA-ContA,5.642731,False
LimbicA-ContB,3.179308,False
LimbicA-ContC,6.426485,False
LimbicA-DefaultA,6.143083,False
LimbicA-DefaultB,5.456908,False
LimbicA-DefaultC,0.263685,False
LimbicA-DorsAttnA,1.684614,False
LimbicA-DorsAttnB,2.201879,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,13.917817,False
LimbicA-SalVentAttnA,1.726399,False
LimbicA-SalVentAttnB,12.568851,False
LimbicA-SomMotA,2.014405,False
LimbicA-SomMotB,1.04188,False
LimbicA-TempPar,0.808829,False
LimbicA-VisCent,1.079635,False
LimbicA-VisPeri,10.672578,False
LimbicB-ContA,0.772437,False
LimbicB-ContB,6.969937,False
LimbicB-ContC,11.209902,False
LimbicB-DefaultA,10.815854,False
LimbicB-DefaultB,7.86131,False
LimbicB-DefaultC,0.947287,False
LimbicB-DorsAttnA,4.399756,False
LimbicB-DorsAttnB,0.008253,False
LimbicB-LimbicA,1.649226,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.910128,False
LimbicB-SalVentAttnB,2.085359,False
LimbicB-SomMotA,1.60456,False
LimbicB-SomMotB,1.127373,False
LimbicB-TempPar,1.064314,False
LimbicB-VisCent,1.538592,False
LimbicB-VisPeri,2.290114,False
SalVentAttnA-ContA,2.911639,False
SalVentAttnA-ContB,1.047456,False
SalVentAttnA-ContC,4.213614,False
SalVentAttnA-DefaultA,3.0069,False
SalVentAttnA-DefaultB,3.685013,False
SalVentAttnA-DefaultC,0.778325,False
SalVentAttnA-DorsAttnA,4.49005,False
SalVentAttnA-DorsAttnB,0.255686,False
SalVentAttnA-LimbicA,0.414585,False
SalVentAttnA-LimbicB,1.011423,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.420694,False
SalVentAttnA-SomMotA,0.859658,False
SalVentAttnA-SomMotB,0.932444,False
SalVentAttnA-TempPar,2.720792,False
SalVentAttnA-VisCent,4.876029,False
SalVentAttnA-VisPeri,0.805303,False
SalVentAttnB-ContA,2.344435,False
SalVentAttnB-ContB,2.736311,False
SalVentAttnB-ContC,10.653961,False
SalVentAttnB-DefaultA,11.101183,False
SalVentAttnB-DefaultB,13.39153,False
SalVentAttnB-DefaultC,2.456206,False
SalVentAttnB-DorsAttnA,3.101376,False
SalVentAttnB-DorsAttnB,0.678504,False
SalVentAttnB-LimbicA,7.105484,False
SalVentAttnB-LimbicB,38.310976,False
SalVentAttnB-SalVentAttnA,9.73018,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,4.526254,False
SalVentAttnB-SomMotB,0.76475,False
SalVentAttnB-TempPar,2.75816,False
SalVentAttnB-VisCent,0.605166,False
SalVentAttnB-VisPeri,1.465857,False
SomMotA-ContA,1.604307,False
SomMotA-ContB,3.267244,False
SomMotA-ContC,0.720293,False
SomMotA-DefaultA,1.408779,False
SomMotA-DefaultB,2.926331,False
SomMotA-DefaultC,14.514579,False
SomMotA-DorsAttnA,7.17004,False
SomMotA-DorsAttnB,3.563023,False
SomMotA-LimbicA,3.52298,False
SomMotA-LimbicB,2.470204,False
SomMotA-SalVentAttnA,2.556495,False
SomMotA-SalVentAttnB,5.317395,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,10.69347,False
SomMotA-TempPar,15.513438,False
SomMotA-VisCent,26.584185,False
SomMotA-VisPeri,38.346411,False
SomMotB-ContA,4.666746,False
SomMotB-ContB,7.317302,False
SomMotB-ContC,3.443194,False
SomMotB-DefaultA,3.187421,False
SomMotB-DefaultB,15.282371,False
SomMotB-DefaultC,9.41878,False
SomMotB-DorsAttnA,7.781291,False
SomMotB-DorsAttnB,1.170851,False
SomMotB-LimbicA,1.1903,False
SomMotB-LimbicB,5.002648,False
SomMotB-SalVentAttnA,1.936011,False
SomMotB-SalVentAttnB,3.088678,False
SomMotB-SomMotA,6.161245,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.53578,False
SomMotB-VisCent,8.003181,False
SomMotB-VisPeri,4.687441,False
TempPar-ContA,19.466815,False
TempPar-ContB,4.726968,False
TempPar-ContC,12.313413,False
TempPar-DefaultA,23.759557,False
TempPar-DefaultB,2.225053,False
TempPar-DefaultC,5.674005,False
TempPar-DorsAttnA,5.940569,False
TempPar-DorsAttnB,7.520352,False
TempPar-LimbicA,16.460572,False
TempPar-LimbicB,3.279053,False
TempPar-SalVentAttnA,15.175224,False
TempPar-SalVentAttnB,3.783199,False
TempPar-SomMotA,8.545408,False
TempPar-SomMotB,9.273402,False
TempPar-TempPar,0.0,True
TempPar-VisCent,17.219444,False
TempPar-VisPeri,6.772918,False
VisCent-ContA,1.28701,False
VisCent-ContB,2.87381,False
VisCent-ContC,0.901992,False
VisCent-DefaultA,1.426951,False
VisCent-DefaultB,0.049496,False
VisCent-DefaultC,5.060648,False
VisCent-DorsAttnA,5.417495,False
VisCent-DorsAttnB,5.073925,False
VisCent-LimbicA,5.611118,False
VisCent-LimbicB,1.432938,False
VisCent-SalVentAttnA,2.059282,False
VisCent-SalVentAttnB,0.998862,False
VisCent-SomMotA,5.977305,False
VisCent-SomMotB,7.725015,False
VisCent-TempPar,12.336997,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.660944,False
VisPeri-ContA,0.337377,False
VisPeri-ContB,0.077677,False
VisPeri-ContC,0.243147,False
VisPeri-DefaultA,2.374104,False
