network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.799098,False
ContA-ContC,7.314888,False
ContA-DefaultA,13.675423,False
ContA-DefaultB,16.307772,False
ContA-DefaultC,14.131745,False
ContA-DorsAttnA,2.14589,False
ContA-DorsAttnB,0.046104,False
ContA-LimbicA,57.64654,False
ContA-LimbicB,42.529163,False
ContA-SalVentAttnA,4.09287,False
ContA-SalVentAttnB,10.863602,False
ContA-SomMotA,15.431952,False
ContA-SomMotB,5.497546,False
ContA-TempPar,1.815089,False
ContA-VisCent,3.298949,False
ContA-VisPeri,11.581026,False
ContB-ContA,10.540526,False
ContB-ContB,0.0,True
ContB-ContC,27.758127,False
ContB-DefaultA,27.612768,False
ContB-DefaultB,32.112752,False
ContB-DefaultC,24.760733,False
ContB-DorsAttnA,3.514105,False
ContB-DorsAttnB,1.763359,False
ContB-LimbicA,29.344682,False
ContB-LimbicB,17.581733,False
ContB-SalVentAttnA,11.649185,False
ContB-SalVentAttnB,0.383229,False
ContB-SomMotA,14.821756,False
ContB-SomMotB,1.799122,False
ContB-TempPar,4.550634,False
ContB-VisCent,6.443365,False
ContB-VisPeri,9.984411,False
ContC-ContA,5.805999,False
ContC-ContB,10.939215,False
ContC-ContC,0.0,True
ContC-DefaultA,18.320995,False
ContC-DefaultB,22.34876,False
ContC-DefaultC,29.222338,False
ContC-DorsAttnA,8.640329,False
ContC-DorsAttnB,4.021963,False
ContC-LimbicA,10.76242,False
ContC-LimbicB,17.015606,False
ContC-SalVentAttnA,13.370232,False
ContC-SalVentAttnB,1.69907,False
ContC-SomMotA,7.835042,False
ContC-SomMotB,1.271143,False
ContC-TempPar,6.116989,False
ContC-VisCent,4.263503,False
ContC-VisPeri,11.207738,False
DefaultA-ContA,17.521662,False
DefaultA-ContB,24.795505,False
DefaultA-ContC,36.77521,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,50.294743,False
DefaultA-DefaultC,35.658853,False
DefaultA-DorsAttnA,10.707819,False
DefaultA-DorsAttnB,2.746099,False
DefaultA-LimbicA,28.093598,False
DefaultA-LimbicB,31.894406,False
DefaultA-SalVentAttnA,12.042355,False
DefaultA-SalVentAttnB,1.598535,False
DefaultA-SomMotA,18.441228,False
DefaultA-SomMotB,2.366123,False
DefaultA-TempPar,6.05808,False
DefaultA-VisCent,4.149428,False
DefaultA-VisPeri,10.617269,False
DefaultB-ContA,6.709428,False
DefaultB-ContB,17.877213,False
DefaultB-ContC,20.074029,False
DefaultB-DefaultA,28.861835,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,41.345379,False
DefaultB-DorsAttnA,8.526597,False
DefaultB-DorsAttnB,5.250526,False
DefaultB-LimbicA,25.003994,False
DefaultB-LimbicB,26.577458,False
DefaultB-SalVentAttnA,15.737725,False
DefaultB-SalVentAttnB,0.819236,False
DefaultB-SomMotA,19.360766,False
DefaultB-SomMotB,2.022521,False
DefaultB-TempPar,6.24716,False
DefaultB-VisCent,1.984461,False
DefaultB-VisPeri,12.989235,False
DefaultC-ContA,1.177555,False
DefaultC-ContB,15.902161,False
DefaultC-ContC,10.902883,False
DefaultC-DefaultA,11.475891,False
DefaultC-DefaultB,23.654386,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.928628,False
DefaultC-DorsAttnB,20.439778,False
DefaultC-LimbicA,2.896516,False
DefaultC-LimbicB,10.512783,False
DefaultC-SalVentAttnA,18.011991,False
DefaultC-SalVentAttnB,2.35559,False
DefaultC-SomMotA,11.463727,False
DefaultC-SomMotB,0.625796,False
DefaultC-TempPar,4.292635,False
DefaultC-VisCent,1.490196,False
DefaultC-VisPeri,15.721878,False
DorsAttnA-ContA,5.259343,False
DorsAttnA-ContB,2.931925,False
DorsAttnA-ContC,9.243565,False
DorsAttnA-DefaultA,1.672228,False
DorsAttnA-DefaultB,7.533265,False
DorsAttnA-DefaultC,12.614449,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,25.218896,False
DorsAttnA-LimbicA,5.795075,False
DorsAttnA-LimbicB,1.668991,False
DorsAttnA-SalVentAttnA,17.60084,False
DorsAttnA-SalVentAttnB,2.550926,False
DorsAttnA-SomMotA,1.766014,False
DorsAttnA-SomMotB,2.690884,False
DorsAttnA-TempPar,5.385088,False
DorsAttnA-VisCent,0.419749,False
DorsAttnA-VisPeri,0.615286,False
DorsAttnB-ContA,1.091437,False
DorsAttnB-ContB,2.33737,False
DorsAttnB-ContC,0.908908,False
DorsAttnB-DefaultA,0.661516,False
DorsAttnB-DefaultB,1.019413,False
DorsAttnB-DefaultC,0.042586,False
DorsAttnB-DorsAttnA,2.305548,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.258868,False
DorsAttnB-LimbicB,0.225611,False
DorsAttnB-SalVentAttnA,11.675484,False
DorsAttnB-SalVentAttnB,2.484585,False
DorsAttnB-SomMotA,1.414453,False
DorsAttnB-SomMotB,1.341637,False
DorsAttnB-TempPar,2.449377,False
DorsAttnB-VisCent,1.173902,False
DorsAttnB-VisPeri,2.313922,False
