network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.646516,False
ContA-ContC,1.193361,False
ContA-DefaultA,5.772693,False
ContA-DefaultB,3.993996,False
ContA-DefaultC,1.177499,False
ContA-DorsAttnA,0.275518,False
ContA-DorsAttnB,1.196851,False
ContA-LimbicA,36.352837,False
ContA-LimbicB,7.246559,False
ContA-SalVentAttnA,4.614498,False
ContA-SalVentAttnB,5.409718,False
ContA-SomMotA,8.875056,False
ContA-SomMotB,0.124545,False
ContA-TempPar,1.702962,False
ContA-VisCent,2.738771,False
ContA-VisPeri,0.755503,False
ContB-ContA,2.461621,False
ContB-ContB,0.0,True
ContB-ContC,2.897094,False
ContB-DefaultA,3.782411,False
ContB-DefaultB,3.015292,False
ContB-DefaultC,0.202174,False
ContB-DorsAttnA,0.963451,False
ContB-DorsAttnB,0.350323,False
ContB-LimbicA,7.637622,False
ContB-LimbicB,1.80988,False
ContB-SalVentAttnA,2.760117,False
ContB-SalVentAttnB,1.172232,False
ContB-SomMotA,5.646671,False
ContB-SomMotB,0.590459,False
ContB-TempPar,0.631995,False
ContB-VisCent,4.089669,False
ContB-VisPeri,2.164264,False
ContC-ContA,2.002859,False
ContC-ContB,0.09583,False
ContC-ContC,0.0,True
ContC-DefaultA,0.773049,False
ContC-DefaultB,1.187671,False
ContC-DefaultC,0.388876,False
ContC-DorsAttnA,0.510826,False
ContC-DorsAttnB,0.140708,False
ContC-LimbicA,0.032408,False
ContC-LimbicB,3.139169,False
ContC-SalVentAttnA,0.988633,False
ContC-SalVentAttnB,0.877181,False
ContC-SomMotA,1.023654,False
ContC-SomMotB,2.020163,False
ContC-TempPar,0.027472,False
ContC-VisCent,3.000715,False
ContC-VisPeri,0.149079,False
DefaultA-ContA,0.85454,False
DefaultA-ContB,5.465552,False
DefaultA-ContC,20.545159,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,15.861743,False
DefaultA-DefaultC,0.633651,False
DefaultA-DorsAttnA,0.274575,False
DefaultA-DorsAttnB,0.741364,False
DefaultA-LimbicA,0.961544,False
DefaultA-LimbicB,12.105232,False
DefaultA-SalVentAttnA,0.63086,False
DefaultA-SalVentAttnB,4.741674,False
DefaultA-SomMotA,5.219895,False
DefaultA-SomMotB,1.496609,False
DefaultA-TempPar,0.292509,False
DefaultA-VisCent,2.366989,False
DefaultA-VisPeri,0.466572,False
DefaultB-ContA,1.049341,False
DefaultB-ContB,2.225812,False
DefaultB-ContC,7.204616,False
DefaultB-DefaultA,2.633302,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.507083,False
DefaultB-DorsAttnA,3.72982,False
DefaultB-DorsAttnB,1.277058,False
DefaultB-LimbicA,0.882416,False
DefaultB-LimbicB,2.4662,False
DefaultB-SalVentAttnA,1.57511,False
DefaultB-SalVentAttnB,4.771263,False
DefaultB-SomMotA,1.500267,False
DefaultB-SomMotB,2.215893,False
DefaultB-TempPar,2.895758,False
DefaultB-VisCent,1.698537,False
DefaultB-VisPeri,1.432934,False
DefaultC-ContA,1.041981,False
DefaultC-ContB,0.370357,False
DefaultC-ContC,1.820753,False
DefaultC-DefaultA,2.03825,False
DefaultC-DefaultB,10.059291,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.04267,False
DefaultC-DorsAttnB,3.128728,False
DefaultC-LimbicA,1.249728,False
DefaultC-LimbicB,1.627366,False
DefaultC-SalVentAttnA,0.053182,False
DefaultC-SalVentAttnB,0.790402,False
DefaultC-SomMotA,3.749983,False
DefaultC-SomMotB,1.303461,False
DefaultC-TempPar,6.056559,False
DefaultC-VisCent,0.319788,False
DefaultC-VisPeri,2.965128,False
DorsAttnA-ContA,0.377244,False
DorsAttnA-ContB,2.023814,False
DorsAttnA-ContC,2.434051,False
DorsAttnA-DefaultA,6.868469,False
DorsAttnA-DefaultB,7.317366,False
DorsAttnA-DefaultC,2.334565,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.853813,False
DorsAttnA-LimbicA,1.83774,False
DorsAttnA-LimbicB,3.392988,False
DorsAttnA-SalVentAttnA,7.960682,False
DorsAttnA-SalVentAttnB,3.214436,False
DorsAttnA-SomMotA,0.940717,False
DorsAttnA-SomMotB,0.949502,False
DorsAttnA-TempPar,1.519221,False
DorsAttnA-VisCent,6.578086,False
DorsAttnA-VisPeri,9.095813,False
DorsAttnB-ContA,3.933027,False
DorsAttnB-ContB,2.850427,False
DorsAttnB-ContC,2.648477,False
DorsAttnB-DefaultA,0.276016,False
DorsAttnB-DefaultB,0.114125,False
DorsAttnB-DefaultC,0.059536,False
DorsAttnB-DorsAttnA,5.405946,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.464673,False
DorsAttnB-LimbicB,0.385159,False
DorsAttnB-SalVentAttnA,14.117289,False
DorsAttnB-SalVentAttnB,0.444305,False
DorsAttnB-SomMotA,0.821636,False
DorsAttnB-SomMotB,2.074306,False
DorsAttnB-TempPar,0.844015,False
DorsAttnB-VisCent,1.841087,False
DorsAttnB-VisPeri,2.958304,False
LimbicA-ContA,6.904726,False
LimbicA-ContB,13.67864,False
LimbicA-ContC,2.473001,False
LimbicA-DefaultA,8.104523,False
LimbicA-DefaultB,7.062583,False
LimbicA-DefaultC,1.015364,False
LimbicA-DorsAttnA,0.236685,False
LimbicA-DorsAttnB,0.688377,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,5.807012,False
LimbicA-SalVentAttnA,2.751827,False
LimbicA-SalVentAttnB,3.19522,False
LimbicA-SomMotA,6.00493,False
LimbicA-SomMotB,2.674002,False
LimbicA-TempPar,1.182018,False
LimbicA-VisCent,1.702168,False
LimbicA-VisPeri,2.646483,False
LimbicB-ContA,1.721707,False
LimbicB-ContB,4.81723,False
LimbicB-ContC,8.910754,False
LimbicB-DefaultA,12.898249,False
LimbicB-DefaultB,11.122482,False
LimbicB-DefaultC,0.745556,False
LimbicB-DorsAttnA,1.040007,False
LimbicB-DorsAttnB,0.167066,False
