network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.206443,False
ContA-ContC,0.732798,False
ContA-DefaultA,1.148516,False
ContA-DefaultB,5.650912,False
ContA-DefaultC,0.602408,False
ContA-DorsAttnA,0.315637,False
ContA-DorsAttnB,0.7665,False
ContA-LimbicA,8.605153,False
ContA-LimbicB,3.704342,False
ContA-SalVentAttnA,0.945702,False
ContA-SalVentAttnB,0.431333,False
ContA-SomMotA,0.426021,False
ContA-SomMotB,0.984524,False
ContA-TempPar,0.066747,False
ContA-VisCent,0.634578,False
ContA-VisPeri,0.010466,False
ContB-ContA,6.910193,False
ContB-ContB,0.0,True
ContB-ContC,0.341038,False
ContB-DefaultA,2.447481,False
ContB-DefaultB,9.524249,False
ContB-DefaultC,7.398178,False
ContB-DorsAttnA,0.566325,False
ContB-DorsAttnB,5.989785,False
ContB-LimbicA,2.841412,False
ContB-LimbicB,2.669589,False
ContB-SalVentAttnA,2.771817,False
ContB-SalVentAttnB,3.594371,False
ContB-SomMotA,1.612943,False
ContB-SomMotB,6.704711,False
ContB-TempPar,3.44548,False
ContB-VisCent,2.092011,False
ContB-VisPeri,3.252719,False
ContC-ContA,0.318183,False
ContC-ContB,3.462429,False
ContC-ContC,0.0,True
ContC-DefaultA,9.70057,False
ContC-DefaultB,1.299897,False
ContC-DefaultC,1.433412,False
ContC-DorsAttnA,0.637151,False
ContC-DorsAttnB,1.785067,False
ContC-LimbicA,5.170532,False
ContC-LimbicB,8.716977,False
ContC-SalVentAttnA,6.998452,False
ContC-SalVentAttnB,5.756706,False
ContC-SomMotA,2.431653,False
ContC-SomMotB,0.994663,False
ContC-TempPar,2.801709,False
ContC-VisCent,7.828288,False
ContC-VisPeri,1.297613,False
DefaultA-ContA,5.637206,False
DefaultA-ContB,5.381734,False
DefaultA-ContC,35.220782,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.137851,False
DefaultA-DefaultC,1.283289,False
DefaultA-DorsAttnA,0.848142,False
DefaultA-DorsAttnB,5.703565,False
DefaultA-LimbicA,13.178344,False
DefaultA-LimbicB,23.37578,False
DefaultA-SalVentAttnA,11.908562,False
DefaultA-SalVentAttnB,9.447464,False
DefaultA-SomMotA,2.445312,False
DefaultA-SomMotB,2.006706,False
DefaultA-TempPar,1.174061,False
DefaultA-VisCent,16.329097,False
DefaultA-VisPeri,3.276465,False
DefaultB-ContA,5.017557,False
DefaultB-ContB,0.101801,False
DefaultB-ContC,2.425119,False
DefaultB-DefaultA,0.485422,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.632989,False
DefaultB-DorsAttnA,3.138099,False
DefaultB-DorsAttnB,0.70918,False
DefaultB-LimbicA,5.191502,False
DefaultB-LimbicB,4.022021,False
DefaultB-SalVentAttnA,1.133741,False
DefaultB-SalVentAttnB,0.994937,False
DefaultB-SomMotA,0.447988,False
DefaultB-SomMotB,0.240979,False
DefaultB-TempPar,0.340943,False
DefaultB-VisCent,2.658492,False
DefaultB-VisPeri,0.583157,False
DefaultC-ContA,2.880202,False
DefaultC-ContB,8.37975,False
DefaultC-ContC,1.232687,False
DefaultC-DefaultA,1.661994,False
DefaultC-DefaultB,26.24109,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.904161,False
DefaultC-DorsAttnB,2.530414,False
DefaultC-LimbicA,2.222519,False
DefaultC-LimbicB,1.883906,False
DefaultC-SalVentAttnA,7.146401,False
DefaultC-SalVentAttnB,6.876485,False
DefaultC-SomMotA,5.153365,False
DefaultC-SomMotB,2.317257,False
DefaultC-TempPar,3.782137,False
DefaultC-VisCent,1.547464,False
DefaultC-VisPeri,1.406085,False
DorsAttnA-ContA,2.27207,False
DorsAttnA-ContB,4.453169,False
DorsAttnA-ContC,1.35592,False
DorsAttnA-DefaultA,2.323731,False
DorsAttnA-DefaultB,7.313324,False
DorsAttnA-DefaultC,5.18878,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.262745,False
DorsAttnA-LimbicA,0.710654,False
DorsAttnA-LimbicB,0.826986,False
DorsAttnA-SalVentAttnA,0.40678,False
DorsAttnA-SalVentAttnB,0.843021,False
DorsAttnA-SomMotA,0.813856,False
DorsAttnA-SomMotB,1.305136,False
DorsAttnA-TempPar,2.605255,False
DorsAttnA-VisCent,2.203432,False
DorsAttnA-VisPeri,0.008119,False
DorsAttnB-ContA,5.211507,False
DorsAttnB-ContB,0.631615,False
DorsAttnB-ContC,9.877178,False
DorsAttnB-DefaultA,2.510486,False
DorsAttnB-DefaultB,0.396439,False
DorsAttnB-DefaultC,0.069852,False
DorsAttnB-DorsAttnA,6.961708,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.331903,False
DorsAttnB-LimbicB,6.588935,False
DorsAttnB-SalVentAttnA,10.332259,False
DorsAttnB-SalVentAttnB,8.313793,False
DorsAttnB-SomMotA,0.731943,False
DorsAttnB-SomMotB,0.495615,False
DorsAttnB-TempPar,0.242343,False
DorsAttnB-VisCent,8.586141,False
DorsAttnB-VisPeri,0.698342,False
LimbicA-ContA,6.861563,False
LimbicA-ContB,0.588674,False
LimbicA-ContC,1.458025,False
LimbicA-DefaultA,2.66329,False
LimbicA-DefaultB,1.451598,False
LimbicA-DefaultC,0.576705,False
LimbicA-DorsAttnA,0.09135,False
LimbicA-DorsAttnB,3.395417,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.823775,False
LimbicA-SalVentAttnA,2.961408,False
LimbicA-SalVentAttnB,1.359449,False
LimbicA-SomMotA,0.583998,False
LimbicA-SomMotB,0.80696,False
LimbicA-TempPar,1.030692,False
LimbicA-VisCent,2.219951,False
LimbicA-VisPeri,0.060126,False
LimbicB-ContA,6.895598,False
LimbicB-ContB,2.041517,False
LimbicB-ContC,9.51727,False
LimbicB-DefaultA,10.347657,False
LimbicB-DefaultB,4.166736,False
LimbicB-DefaultC,2.073749,False
LimbicB-DorsAttnA,1.340974,False
LimbicB-DorsAttnB,7.951506,False
LimbicB-LimbicA,14.929015,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,19.595348,False
LimbicB-SalVentAttnB,11.032274,False
LimbicB-SomMotA,0.532121,False
LimbicB-SomMotB,0.089386,False
LimbicB-TempPar,2.506936,False
LimbicB-VisCent,15.416059,False
LimbicB-VisPeri,3.04048,False
SalVentAttnA-ContA,0.542563,False
SalVentAttnA-ContB,2.823105,False
SalVentAttnA-ContC,5.606689,False
SalVentAttnA-DefaultA,8.83975,False
SalVentAttnA-DefaultB,0.764311,False
SalVentAttnA-DefaultC,0.696334,False
SalVentAttnA-DorsAttnA,1.240733,False
SalVentAttnA-DorsAttnB,5.972373,False
SalVentAttnA-LimbicA,5.690689,False
SalVentAttnA-LimbicB,19.297564,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,7.556631,False
SalVentAttnA-SomMotA,1.555141,False
SalVentAttnA-SomMotB,1.479096,False
SalVentAttnA-TempPar,2.779219,False
SalVentAttnA-VisCent,10.95669,False
SalVentAttnA-VisPeri,1.787055,False
SalVentAttnB-ContA,8.915759,False
SalVentAttnB-ContB,2.281689,False
SalVentAttnB-ContC,24.569716,False
SalVentAttnB-DefaultA,25.933017,False
SalVentAttnB-DefaultB,5.483377,False
SalVentAttnB-DefaultC,0.899005,False
SalVentAttnB-DorsAttnA,1.007589,False
SalVentAttnB-DorsAttnB,6.010452,False
SalVentAttnB-LimbicA,22.905575,False
SalVentAttnB-LimbicB,49.395687,False
SalVentAttnB-SalVentAttnA,34.163284,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,0.088283,False
SalVentAttnB-SomMotB,0.406373,False
SalVentAttnB-TempPar,2.328666,False
