network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.633093,False
ContA-ContC,0.424802,False
ContA-DefaultA,1.808455,False
ContA-DefaultB,1.247282,False
ContA-DefaultC,0.340761,False
ContA-DorsAttnA,1.863972,False
ContA-DorsAttnB,1.488139,False
ContA-LimbicA,29.927684,False
ContA-LimbicB,1.295128,False
ContA-SalVentAttnA,2.697166,False
ContA-SalVentAttnB,1.449654,False
ContA-SomMotA,6.328743,False
ContA-SomMotB,0.589329,False
ContA-TempPar,0.407934,False
ContA-VisCent,2.963513,False
ContA-VisPeri,4.507079,False
ContB-ContA,1.55002,False
ContB-ContB,0.0,True
ContB-ContC,2.568525,False
ContB-DefaultA,0.569724,False
ContB-DefaultB,4.956311,False
ContB-DefaultC,0.630611,False
ContB-DorsAttnA,3.952144,False
ContB-DorsAttnB,1.168437,False
ContB-LimbicA,0.575449,False
ContB-LimbicB,0.124302,False
ContB-SalVentAttnA,10.159842,False
ContB-SalVentAttnB,0.662867,False
ContB-SomMotA,0.108332,False
ContB-SomMotB,3.732502,False
ContB-TempPar,0.708392,False
ContB-VisCent,0.250911,False
ContB-VisPeri,3.413366,False
ContC-ContA,1.639698,False
ContC-ContB,0.170017,False
ContC-ContC,0.0,True
ContC-DefaultA,7.134115,False
ContC-DefaultB,5.169129,False
ContC-DefaultC,0.553833,False
ContC-DorsAttnA,1.372003,False
ContC-DorsAttnB,0.067019,False
ContC-LimbicA,2.544866,False
ContC-LimbicB,1.689149,False
ContC-SalVentAttnA,1.645482,False
ContC-SalVentAttnB,1.636295,False
ContC-SomMotA,2.062911,False
ContC-SomMotB,1.381229,False
ContC-TempPar,0.67181,False
ContC-VisCent,1.817979,False
ContC-VisPeri,0.925352,False
DefaultA-ContA,1.775763,False
DefaultA-ContB,0.23358,False
DefaultA-ContC,18.166834,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.45879,False
DefaultA-DefaultC,0.278212,False
DefaultA-DorsAttnA,0.549619,False
DefaultA-DorsAttnB,0.580902,False
DefaultA-LimbicA,5.149341,False
DefaultA-LimbicB,6.18224,False
DefaultA-SalVentAttnA,0.331332,False
DefaultA-SalVentAttnB,4.276252,False
DefaultA-SomMotA,3.75563,False
DefaultA-SomMotB,0.084503,False
DefaultA-TempPar,0.561101,False
DefaultA-VisCent,1.59557,False
DefaultA-VisPeri,2.932897,False
DefaultB-ContA,0.592707,False
DefaultB-ContB,1.707248,False
DefaultB-ContC,5.320916,False
DefaultB-DefaultA,0.424774,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.88945,False
DefaultB-DorsAttnA,0.982458,False
DefaultB-DorsAttnB,0.716058,False
DefaultB-LimbicA,0.013853,False
DefaultB-LimbicB,2.178704,False
DefaultB-SalVentAttnA,0.397762,False
DefaultB-SalVentAttnB,0.037038,False
DefaultB-SomMotA,1.907061,False
DefaultB-SomMotB,0.252237,False
DefaultB-TempPar,0.013467,False
DefaultB-VisCent,2.729757,False
DefaultB-VisPeri,1.746942,False
DefaultC-ContA,4.659762,False
DefaultC-ContB,0.299797,False
DefaultC-ContC,0.719696,False
DefaultC-DefaultA,5.529791,False
DefaultC-DefaultB,0.687684,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.72666,False
DefaultC-DorsAttnB,1.54622,False
DefaultC-LimbicA,2.141875,False
DefaultC-LimbicB,4.308271,False
DefaultC-SalVentAttnA,0.405995,False
DefaultC-SalVentAttnB,1.05755,False
DefaultC-SomMotA,0.596697,False
DefaultC-SomMotB,0.385023,False
DefaultC-TempPar,0.833973,False
DefaultC-VisCent,0.060982,False
DefaultC-VisPeri,1.256732,False
DorsAttnA-ContA,3.202768,False
DorsAttnA-ContB,4.564984,False
DorsAttnA-ContC,0.172334,False
DorsAttnA-DefaultA,1.936158,False
DorsAttnA-DefaultB,1.044505,False
DorsAttnA-DefaultC,7.576137,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,16.086255,False
DorsAttnA-LimbicA,0.875311,False
DorsAttnA-LimbicB,1.041064,False
DorsAttnA-SalVentAttnA,10.985448,False
DorsAttnA-SalVentAttnB,4.315467,False
DorsAttnA-SomMotA,3.276772,False
DorsAttnA-SomMotB,2.364098,False
DorsAttnA-TempPar,16.94687,False
DorsAttnA-VisCent,0.559288,False
DorsAttnA-VisPeri,6.947032,False
DorsAttnB-ContA,0.33241,False
DorsAttnB-ContB,0.041169,False
DorsAttnB-ContC,1.269831,False
DorsAttnB-DefaultA,1.138813,False
DorsAttnB-DefaultB,1.937761,False
DorsAttnB-DefaultC,2.091193,False
DorsAttnB-DorsAttnA,5.216632,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.079799,False
DorsAttnB-LimbicB,2.132446,False
DorsAttnB-SalVentAttnA,1.807655,False
DorsAttnB-SalVentAttnB,1.01333,False
DorsAttnB-SomMotA,2.402583,False
DorsAttnB-SomMotB,1.812035,False
DorsAttnB-TempPar,0.896621,False
DorsAttnB-VisCent,1.896143,False
DorsAttnB-VisPeri,1.176699,False
LimbicA-ContA,12.847669,False
LimbicA-ContB,0.363142,False
LimbicA-ContC,0.504253,False
LimbicA-DefaultA,0.062751,False
LimbicA-DefaultB,1.127413,False
LimbicA-DefaultC,0.049597,False
LimbicA-DorsAttnA,3.008875,False
LimbicA-DorsAttnB,0.304743,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,0.020014,False
LimbicA-SalVentAttnA,0.037057,False
LimbicA-SalVentAttnB,2.812792,False
LimbicA-SomMotA,5.775586,False
LimbicA-SomMotB,1.225346,False
LimbicA-TempPar,0.433664,False
LimbicA-VisCent,4.290177,False
LimbicA-VisPeri,7.510274,False
LimbicB-ContA,6.361277,False
LimbicB-ContB,0.571076,False
LimbicB-ContC,0.944427,False
LimbicB-DefaultA,6.757514,False
LimbicB-DefaultB,2.685552,False
LimbicB-DefaultC,2.643688,False
LimbicB-DorsAttnA,2.010369,False
LimbicB-DorsAttnB,7.166284,False
LimbicB-LimbicA,12.237339,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.241309,False
LimbicB-SalVentAttnB,9.804678,False
LimbicB-SomMotA,4.58364,False
LimbicB-SomMotB,1.460962,False
LimbicB-TempPar,4.57477,False
LimbicB-VisCent,1.596814,False
LimbicB-VisPeri,1.779622,False
SalVentAttnA-ContA,1.286846,False
SalVentAttnA-ContB,1.909595,False
SalVentAttnA-ContC,0.013519,False
SalVentAttnA-DefaultA,1.76858,False
SalVentAttnA-DefaultB,0.534969,False
SalVentAttnA-DefaultC,1.598038,False
SalVentAttnA-DorsAttnA,3.197358,False
SalVentAttnA-DorsAttnB,1.056551,False
SalVentAttnA-LimbicA,0.702042,False
SalVentAttnA-LimbicB,1.985709,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.568585,False
SalVentAttnA-SomMotA,2.586313,False
SalVentAttnA-SomMotB,1.145263,False
SalVentAttnA-TempPar,0.610746,False
SalVentAttnA-VisCent,0.681673,False
SalVentAttnA-VisPeri,1.372211,False
SalVentAttnB-ContA,5.908111,False
SalVentAttnB-ContB,1.70094,False
SalVentAttnB-ContC,0.087704,False
SalVentAttnB-DefaultA,4.12381,False
SalVentAttnB-DefaultB,0.229219,False
SalVentAttnB-DefaultC,3.288385,False
SalVentAttnB-DorsAttnA,1.40133,False
SalVentAttnB-DorsAttnB,5.06806,False
SalVentAttnB-LimbicA,6.417737,False
SalVentAttnB-LimbicB,34.938328,False
SalVentAttnB-SalVentAttnA,10.418686,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.52034,False
SalVentAttnB-SomMotB,3.629577,False
SalVentAttnB-TempPar,9.197685,False
SalVentAttnB-VisCent,3.690028,False
SalVentAttnB-VisPeri,10.199175,False
SomMotA-ContA,1.339288,False
SomMotA-ContB,0.442411,False
SomMotA-ContC,1.439329,False
SomMotA-DefaultA,4.769633,False
SomMotA-DefaultB,2.391858,False
SomMotA-DefaultC,1.563919,False
SomMotA-DorsAttnA,0.60536,False
SomMotA-DorsAttnB,0.467567,False
SomMotA-LimbicA,3.859291,False
SomMotA-LimbicB,4.759971,False
SomMotA-SalVentAttnA,0.707,False
SomMotA-SalVentAttnB,4.489308,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.859446,False
SomMotA-TempPar,0.446432,False
SomMotA-VisCent,4.619011,False
SomMotA-VisPeri,8.340417,False
SomMotB-ContA,1.990582,False
SomMotB-ContB,0.139529,False
SomMotB-ContC,0.70512,False
SomMotB-DefaultA,2.057291,False
SomMotB-DefaultB,0.045433,False
SomMotB-DefaultC,0.719575,False
SomMotB-DorsAttnA,2.378439,False
SomMotB-DorsAttnB,0.669586,False
SomMotB-LimbicA,0.784707,False
SomMotB-LimbicB,0.741522,False
SomMotB-SalVentAttnA,2.145502,False
SomMotB-SalVentAttnB,3.195788,False
SomMotB-SomMotA,0.228735,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,9.377412,False
SomMotB-VisCent,2.747498,False
SomMotB-VisPeri,3.364372,False
TempPar-ContA,4.679712,False
TempPar-ContB,0.295633,False
TempPar-ContC,5.203166,False
TempPar-DefaultA,9.872748,False
TempPar-DefaultB,1.729253,False
TempPar-DefaultC,4.036428,False
TempPar-DorsAttnA,3.358889,False
TempPar-DorsAttnB,3.712461,False
TempPar-LimbicA,4.890116,False
