network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.514348,False
ContA-ContC,0.323476,False
ContA-DefaultA,1.079305,False
ContA-DefaultB,0.389998,False
ContA-DefaultC,0.125253,False
ContA-DorsAttnA,1.577876,False
ContA-DorsAttnB,0.281491,False
ContA-LimbicA,11.582635,False
ContA-LimbicB,3.219042,False
ContA-SalVentAttnA,4.188876,False
ContA-SalVentAttnB,5.380722,False
ContA-SomMotA,0.320855,False
ContA-SomMotB,5.152425,False
ContA-TempPar,6.8726,False
ContA-VisCent,0.67018,False
ContA-VisPeri,2.50143,False
ContB-ContA,1.324908,False
ContB-ContB,0.0,True
ContB-ContC,5.796448,False
ContB-DefaultA,3.088608,False
ContB-DefaultB,5.948776,False
ContB-DefaultC,0.209448,False
ContB-DorsAttnA,2.742,False
ContB-DorsAttnB,0.745736,False
ContB-LimbicA,4.300096,False
ContB-LimbicB,1.677175,False
ContB-SalVentAttnA,7.505413,False
ContB-SalVentAttnB,0.516688,False
ContB-SomMotA,3.440878,False
ContB-SomMotB,1.136655,False
ContB-TempPar,3.489416,False
ContB-VisCent,1.209723,False
ContB-VisPeri,0.450369,False
ContC-ContA,3.05604,False
ContC-ContB,3.446797,False
ContC-ContC,0.0,True
ContC-DefaultA,12.488455,False
ContC-DefaultB,7.679996,False
ContC-DefaultC,0.142103,False
ContC-DorsAttnA,3.788006,False
ContC-DorsAttnB,0.30959,False
ContC-LimbicA,3.405805,False
ContC-LimbicB,4.448726,False
ContC-SalVentAttnA,2.117998,False
ContC-SalVentAttnB,0.711378,False
ContC-SomMotA,1.846091,False
ContC-SomMotB,4.717067,False
ContC-TempPar,0.713775,False
ContC-VisCent,1.948167,False
ContC-VisPeri,0.474235,False
DefaultA-ContA,5.798274,False
DefaultA-ContB,2.471037,False
DefaultA-ContC,31.769494,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,14.776119,False
DefaultA-DefaultC,0.399448,False
DefaultA-DorsAttnA,2.86202,False
DefaultA-DorsAttnB,0.393065,False
