network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.649954,False
ContA-ContC,1.021752,False
ContA-DefaultA,3.629578,False
ContA-DefaultB,5.952214,False
ContA-DefaultC,6.524227,False
ContA-DorsAttnA,0.364602,False
ContA-DorsAttnB,0.236362,False
ContA-LimbicA,9.744136,False
ContA-LimbicB,5.991419,False
ContA-SalVentAttnA,5.367133,False
ContA-SalVentAttnB,5.484076,False
ContA-SomMotA,4.243021,False
ContA-SomMotB,2.542657,False
ContA-TempPar,5.475183,False
ContA-VisCent,0.262338,False
ContA-VisPeri,1.691478,False
ContB-ContA,6.775807,False
ContB-ContB,0.0,True
ContB-ContC,5.137318,False
ContB-DefaultA,3.405818,False
ContB-DefaultB,13.684577,False
ContB-DefaultC,17.789892,False
ContB-DorsAttnA,2.197182,False
ContB-DorsAttnB,0.329516,False
ContB-LimbicA,4.063429,False
ContB-LimbicB,9.218918,False
ContB-SalVentAttnA,0.72304,False
ContB-SalVentAttnB,10.654895,False
ContB-SomMotA,12.597121,False
ContB-SomMotB,2.662345,False
ContB-TempPar,5.681275,False
ContB-VisCent,5.198386,False
ContB-VisPeri,6.023959,False
ContC-ContA,15.545688,False
ContC-ContB,26.212393,False
ContC-ContC,0.0,True
ContC-DefaultA,4.855569,False
ContC-DefaultB,14.899261,False
ContC-DefaultC,20.32738,False
ContC-DorsAttnA,3.877754,False
ContC-DorsAttnB,3.46936,False
ContC-LimbicA,19.421651,False
ContC-LimbicB,12.427433,False
ContC-SalVentAttnA,1.069444,False
ContC-SalVentAttnB,3.970195,False
ContC-SomMotA,30.941793,False
ContC-SomMotB,5.192531,False
ContC-TempPar,2.841906,False
ContC-VisCent,1.145021,False
ContC-VisPeri,15.417821,False
DefaultA-ContA,15.010175,False
DefaultA-ContB,24.340976,False
DefaultA-ContC,5.823551,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,17.250385,False
DefaultA-DefaultC,14.834221,False
DefaultA-DorsAttnA,2.145216,False
DefaultA-DorsAttnB,6.082764,False
DefaultA-LimbicA,17.167176,False
DefaultA-LimbicB,19.476562,False
DefaultA-SalVentAttnA,0.144698,False
DefaultA-SalVentAttnB,2.602237,False
DefaultA-SomMotA,14.804505,False
DefaultA-SomMotB,5.287235,False
DefaultA-TempPar,1.268788,False
