network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.553752,False
ContA-ContC,2.349866,False
ContA-DefaultA,0.595037,False
ContA-DefaultB,0.537791,False
ContA-DefaultC,1.955093,False
ContA-DorsAttnA,1.47004,False
ContA-DorsAttnB,3.919474,False
ContA-LimbicA,38.867024,False
ContA-LimbicB,11.122608,False
ContA-SalVentAttnA,4.217115,False
ContA-SalVentAttnB,5.679435,False
ContA-SomMotA,3.733867,False
ContA-SomMotB,1.475911,False
ContA-TempPar,5.610149,False
ContA-VisCent,1.611123,False
ContA-VisPeri,0.273006,False
ContB-ContA,4.032764,False
ContB-ContB,0.0,True
ContB-ContC,0.845721,False
ContB-DefaultA,0.931655,False
ContB-DefaultB,0.442275,False
ContB-DefaultC,2.028821,False
ContB-DorsAttnA,3.767693,False
ContB-DorsAttnB,1.207513,False
ContB-LimbicA,4.42715,False
ContB-LimbicB,0.980141,False
ContB-SalVentAttnA,0.596816,False
ContB-SalVentAttnB,1.311368,False
ContB-SomMotA,6.522936,False
ContB-SomMotB,4.071592,False
ContB-TempPar,0.530066,False
ContB-VisCent,0.598162,False
ContB-VisPeri,0.80197,False
ContC-ContA,0.517883,False
ContC-ContB,1.487057,False
ContC-ContC,0.0,True
ContC-DefaultA,5.527799,False
ContC-DefaultB,1.631097,False
ContC-DefaultC,1.078705,False
ContC-DorsAttnA,4.686457,False
ContC-DorsAttnB,1.068104,False
ContC-LimbicA,0.944026,False
ContC-LimbicB,1.105373,False
ContC-SalVentAttnA,0.049713,False
ContC-SalVentAttnB,0.261101,False
ContC-SomMotA,0.1059,False
ContC-SomMotB,0.809672,False
ContC-TempPar,1.161913,False
ContC-VisCent,0.642395,False
ContC-VisPeri,0.089713,False
DefaultA-ContA,1.696753,False
DefaultA-ContB,0.10963,False
DefaultA-ContC,4.92835,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.118717,False
DefaultA-DefaultC,0.207152,False
DefaultA-DorsAttnA,0.105424,False
DefaultA-DorsAttnB,0.368025,False
DefaultA-LimbicA,2.422771,False
DefaultA-LimbicB,6.4652,False
DefaultA-SalVentAttnA,1.524772,False
DefaultA-SalVentAttnB,0.162308,False
DefaultA-SomMotA,1.144049,False
DefaultA-SomMotB,1.008568,False
DefaultA-TempPar,1.658154,False
DefaultA-VisCent,0.200422,False
DefaultA-VisPeri,3.338563,False
DefaultB-ContA,0.029982,False
DefaultB-ContB,2.731146,False
DefaultB-ContC,2.937571,False
DefaultB-DefaultA,0.752334,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.624,False
DefaultB-DorsAttnA,1.257903,False
DefaultB-DorsAttnB,0.238508,False
DefaultB-LimbicA,0.101218,False
DefaultB-LimbicB,0.075605,False
DefaultB-SalVentAttnA,0.72724,False
DefaultB-SalVentAttnB,3.112486,False
DefaultB-SomMotA,0.00819,False
DefaultB-SomMotB,0.674657,False
DefaultB-TempPar,2.992924,False
DefaultB-VisCent,2.192625,False
DefaultB-VisPeri,0.18454,False
DefaultC-ContA,0.32103,False
DefaultC-ContB,2.050537,False
DefaultC-ContC,3.665538,False
DefaultC-DefaultA,1.248604,False
DefaultC-DefaultB,31.740718,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,10.478576,False
DefaultC-DorsAttnB,1.430348,False
DefaultC-LimbicA,5.414265,False
DefaultC-LimbicB,0.096271,False
DefaultC-SalVentAttnA,1.129196,False
DefaultC-SalVentAttnB,2.6376,False
DefaultC-SomMotA,6.223843,False
DefaultC-SomMotB,1.506035,False
DefaultC-TempPar,11.580124,False
DefaultC-VisCent,2.217218,False
DefaultC-VisPeri,3.8219,False
DorsAttnA-ContA,4.961205,False
DorsAttnA-ContB,2.232886,False
