network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.509423,False
ContA-ContC,2.964056,False
ContA-DefaultA,2.082042,False
ContA-DefaultB,0.334209,False
ContA-DefaultC,1.253937,False
ContA-DorsAttnA,0.962374,False
ContA-DorsAttnB,2.606358,False
ContA-LimbicA,32.936588,False
ContA-LimbicB,8.682893,False
ContA-SalVentAttnA,4.266841,False
ContA-SalVentAttnB,13.811031,False
ContA-SomMotA,0.287889,False
ContA-SomMotB,0.200739,False
ContA-TempPar,8.461839,False
ContA-VisCent,0.270823,False
ContA-VisPeri,0.272293,False
ContB-ContA,0.038918,False
ContB-ContB,0.0,True
ContB-ContC,0.62269,False
ContB-DefaultA,3.265003,False
ContB-DefaultB,4.079139,False
ContB-DefaultC,1.775569,False
ContB-DorsAttnA,0.819466,False
ContB-DorsAttnB,0.610162,False
ContB-LimbicA,2.01764,False
ContB-LimbicB,0.430858,False
ContB-SalVentAttnA,1.294274,False
ContB-SalVentAttnB,0.098925,False
ContB-SomMotA,6.523749,False
ContB-SomMotB,0.021192,False
ContB-TempPar,1.577366,False
ContB-VisCent,2.221434,False
ContB-VisPeri,4.46238,False
ContC-ContA,0.563456,False
ContC-ContB,1.405741,False
ContC-ContC,0.0,True
ContC-DefaultA,0.600242,False
ContC-DefaultB,1.521845,False
ContC-DefaultC,0.202086,False
ContC-DorsAttnA,0.019481,False
ContC-DorsAttnB,1.488081,False
ContC-LimbicA,2.574199,False
ContC-LimbicB,6.807831,False
ContC-SalVentAttnA,1.355534,False
ContC-SalVentAttnB,2.849382,False
ContC-SomMotA,0.213843,False
ContC-SomMotB,1.08701,False
ContC-TempPar,2.692097,False
ContC-VisCent,1.04334,False
ContC-VisPeri,0.013545,False
DefaultA-ContA,0.094807,False
DefaultA-ContB,4.173865,False
DefaultA-ContC,11.299407,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.231134,False
DefaultA-DefaultC,0.717046,False
DefaultA-DorsAttnA,1.05608,False
DefaultA-DorsAttnB,0.629302,False
DefaultA-LimbicA,16.335469,False
DefaultA-LimbicB,30.362277,False
DefaultA-SalVentAttnA,2.164886,False
DefaultA-SalVentAttnB,8.662809,False
DefaultA-SomMotA,0.739059,False
DefaultA-SomMotB,1.638389,False
DefaultA-TempPar,9.499299,False
DefaultA-VisCent,7.283489,False
DefaultA-VisPeri,4.620908,False
DefaultB-ContA,0.849788,False
DefaultB-ContB,1.163508,False
DefaultB-ContC,6.751244,False
DefaultB-DefaultA,11.220858,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.525643,False
DefaultB-DorsAttnA,7.145544,False
DefaultB-DorsAttnB,0.093337,False
DefaultB-LimbicA,15.982267,False
DefaultB-LimbicB,33.335928,False
DefaultB-SalVentAttnA,0.295684,False
DefaultB-SalVentAttnB,3.655603,False
DefaultB-SomMotA,2.033973,False
DefaultB-SomMotB,0.140619,False
DefaultB-TempPar,4.975088,False
DefaultB-VisCent,1.19073,False
DefaultB-VisPeri,0.994723,False
DefaultC-ContA,0.123445,False
DefaultC-ContB,1.116868,False
DefaultC-ContC,0.294251,False
DefaultC-DefaultA,1.331223,False
DefaultC-DefaultB,3.523042,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.838445,False
DefaultC-DorsAttnB,4.601055,False
DefaultC-LimbicA,2.085804,False
DefaultC-LimbicB,4.25425,False
DefaultC-SalVentAttnA,1.086998,False
DefaultC-SalVentAttnB,1.253977,False
DefaultC-SomMotA,9.915394,False
DefaultC-SomMotB,0.871671,False
DefaultC-TempPar,1.208729,False
DefaultC-VisCent,1.077497,False
DefaultC-VisPeri,4.791349,False
DorsAttnA-ContA,5.255592,False
DorsAttnA-ContB,4.910446,False
DorsAttnA-ContC,3.836143,False
DorsAttnA-DefaultA,18.523091,False
DorsAttnA-DefaultB,11.637654,False
DorsAttnA-DefaultC,6.358038,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.284895,False
DorsAttnA-LimbicA,5.134537,False
DorsAttnA-LimbicB,4.912889,False
DorsAttnA-SalVentAttnA,7.362416,False
DorsAttnA-SalVentAttnB,1.531458,False
DorsAttnA-SomMotA,0.318344,False
DorsAttnA-SomMotB,3.231806,False
DorsAttnA-TempPar,3.827962,False
DorsAttnA-VisCent,0.669999,False
DorsAttnA-VisPeri,7.089869,False
DorsAttnB-ContA,3.119226,False
DorsAttnB-ContB,1.715392,False
DorsAttnB-ContC,0.53794,False
DorsAttnB-DefaultA,2.67825,False
DorsAttnB-DefaultB,7.392861,False
DorsAttnB-DefaultC,13.569257,False
DorsAttnB-DorsAttnA,3.889471,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.742379,False
DorsAttnB-LimbicB,0.559989,False
DorsAttnB-SalVentAttnA,10.683291,False
DorsAttnB-SalVentAttnB,6.792208,False
DorsAttnB-SomMotA,1.218827,False
DorsAttnB-SomMotB,7.758863,False
DorsAttnB-TempPar,9.087187,False
DorsAttnB-VisCent,7.061199,False
DorsAttnB-VisPeri,1.146719,False
LimbicA-ContA,4.743207,False
LimbicA-ContB,1.432019,False
LimbicA-ContC,5.073063,False
LimbicA-DefaultA,0.753149,False
LimbicA-DefaultB,0.032665,False
LimbicA-DefaultC,1.727424,False
LimbicA-DorsAttnA,0.107257,False
LimbicA-DorsAttnB,0.873032,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.034089,False
LimbicA-SalVentAttnA,0.970621,False
LimbicA-SalVentAttnB,10.054583,False
LimbicA-SomMotA,0.911704,False
LimbicA-SomMotB,0.237781,False
LimbicA-TempPar,11.204029,False
LimbicA-VisCent,0.136925,False
LimbicA-VisPeri,0.413315,False
LimbicB-ContA,0.81508,False
LimbicB-ContB,0.352095,False
LimbicB-ContC,4.649963,False
LimbicB-DefaultA,0.192749,False
LimbicB-DefaultB,5.173083,False
LimbicB-DefaultC,1.57371,False
LimbicB-DorsAttnA,0.822499,False
LimbicB-DorsAttnB,1.87922,False
LimbicB-LimbicA,2.073229,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.394855,False
LimbicB-SalVentAttnB,1.503037,False
LimbicB-SomMotA,0.340666,False
LimbicB-SomMotB,0.904373,False
LimbicB-TempPar,4.673759,False
LimbicB-VisCent,1.358702,False
LimbicB-VisPeri,2.22295,False
SalVentAttnA-ContA,1.010858,False
SalVentAttnA-ContB,3.509572,False
SalVentAttnA-ContC,3.291773,False
SalVentAttnA-DefaultA,0.648124,False
SalVentAttnA-DefaultB,0.018321,False
SalVentAttnA-DefaultC,1.639854,False
SalVentAttnA-DorsAttnA,2.429891,False
SalVentAttnA-DorsAttnB,2.523044,False
SalVentAttnA-LimbicA,2.315294,False
SalVentAttnA-LimbicB,5.386802,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,7.059583,False
SalVentAttnA-SomMotA,3.600593,False
SalVentAttnA-SomMotB,7.853601,False
SalVentAttnA-TempPar,0.854057,False
SalVentAttnA-VisCent,5.238493,False
SalVentAttnA-VisPeri,2.647345,False
SalVentAttnB-ContA,0.47203,False
SalVentAttnB-ContB,0.632539,False
SalVentAttnB-ContC,3.215331,False
SalVentAttnB-DefaultA,0.140387,False
SalVentAttnB-DefaultB,4.901942,False
SalVentAttnB-DefaultC,6.85824,False
SalVentAttnB-DorsAttnA,0.091626,False
SalVentAttnB-DorsAttnB,5.515416,False
SalVentAttnB-LimbicA,3.693632,False
SalVentAttnB-LimbicB,6.116209,False
SalVentAttnB-SalVentAttnA,6.894492,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,0.288832,False
SalVentAttnB-SomMotB,2.199497,False
SalVentAttnB-TempPar,14.195539,False
SalVentAttnB-VisCent,0.399279,False
SalVentAttnB-VisPeri,0.646452,False
SomMotA-ContA,11.143122,False
SomMotA-ContB,3.093372,False
SomMotA-ContC,1.56652,False
SomMotA-DefaultA,4.441345,False
SomMotA-DefaultB,9.58957,False
SomMotA-DefaultC,18.239353,False
SomMotA-DorsAttnA,4.083111,False
SomMotA-DorsAttnB,3.830137,False
SomMotA-LimbicA,9.941183,False
SomMotA-LimbicB,8.932414,False
SomMotA-SalVentAttnA,5.280271,False
SomMotA-SalVentAttnB,2.941401,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,6.522044,False
SomMotA-TempPar,7.980108,False
SomMotA-VisCent,6.796429,False
SomMotA-VisPeri,6.317007,False
SomMotB-ContA,3.341642,False
