network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.042006,False
ContA-ContC,1.248187,False
ContA-DefaultA,1.355787,False
ContA-DefaultB,0.394909,False
ContA-DefaultC,0.06175,False
ContA-DorsAttnA,0.862333,False
ContA-DorsAttnB,7.777539,False
ContA-LimbicA,26.539394,False
ContA-LimbicB,16.336322,False
ContA-SalVentAttnA,0.064106,False
ContA-SalVentAttnB,1.705873,False
ContA-SomMotA,1.737858,False
ContA-SomMotB,0.121547,False
ContA-TempPar,0.416292,False
ContA-VisCent,2.372373,False
ContA-VisPeri,0.548917,False
ContB-ContA,2.359306,False
ContB-ContB,0.0,True
ContB-ContC,1.518755,False
ContB-DefaultA,0.974775,False
ContB-DefaultB,1.268841,False
ContB-DefaultC,2.828104,False
ContB-DorsAttnA,0.063957,False
ContB-DorsAttnB,2.80766,False
ContB-LimbicA,4.794032,False
ContB-LimbicB,1.441342,False
ContB-SalVentAttnA,0.138378,False
ContB-SalVentAttnB,0.063168,False
ContB-SomMotA,5.320968,False
ContB-SomMotB,1.529085,False
ContB-TempPar,0.268103,False
ContB-VisCent,0.584204,False
ContB-VisPeri,5.980648,False
ContC-ContA,0.893219,False
ContC-ContB,3.644126,False
ContC-ContC,0.0,True
ContC-DefaultA,4.744943,False
ContC-DefaultB,3.822159,False
ContC-DefaultC,4.260467,False
ContC-DorsAttnA,1.603856,False
ContC-DorsAttnB,1.728881,False
ContC-LimbicA,0.066067,False
ContC-LimbicB,0.113305,False
ContC-SalVentAttnA,4.515644,False
ContC-SalVentAttnB,0.158861,False
ContC-SomMotA,0.961492,False
ContC-SomMotB,5.688015,False
ContC-TempPar,2.648813,False
ContC-VisCent,0.509833,False
ContC-VisPeri,1.845851,False
DefaultA-ContA,1.273511,False
DefaultA-ContB,1.747248,False
DefaultA-ContC,3.661432,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.596773,False
DefaultA-DefaultC,6.814565,False
DefaultA-DorsAttnA,5.009973,False
DefaultA-DorsAttnB,0.689926,False
DefaultA-LimbicA,5.325597,False
DefaultA-LimbicB,3.595296,False
DefaultA-SalVentAttnA,6.749985,False
DefaultA-SalVentAttnB,3.618763,False
DefaultA-SomMotA,4.366114,False
DefaultA-SomMotB,6.193955,False
DefaultA-TempPar,3.047284,False
DefaultA-VisCent,0.094357,False
DefaultA-VisPeri,0.971321,False
DefaultB-ContA,1.704353,False
DefaultB-ContB,1.497334,False
DefaultB-ContC,1.890142,False
DefaultB-DefaultA,2.463388,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,15.70293,False
DefaultB-DorsAttnA,3.641753,False
DefaultB-DorsAttnB,1.941695,False
DefaultB-LimbicA,0.435632,False
DefaultB-LimbicB,3.365538,False
DefaultB-SalVentAttnA,3.76712,False
DefaultB-SalVentAttnB,1.092161,False
DefaultB-SomMotA,1.159348,False
