network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.680588,False
ContA-ContC,9.481921,False
ContA-DefaultA,7.447496,False
ContA-DefaultB,3.445763,False
ContA-DefaultC,1.522277,False
ContA-DorsAttnA,3.912682,False
ContA-DorsAttnB,0.399037,False
ContA-LimbicA,18.383824,False
ContA-LimbicB,8.423301,False
ContA-SalVentAttnA,2.394691,False
ContA-SalVentAttnB,19.560013,False
ContA-SomMotA,0.914802,False
ContA-SomMotB,2.345037,False
ContA-TempPar,0.127173,False
ContA-VisCent,2.401078,False
ContA-VisPeri,1.066626,False
ContB-ContA,8.169888,False
ContB-ContB,0.0,True
ContB-ContC,8.836891,False
ContB-DefaultA,8.086287,False
ContB-DefaultB,19.387374,False
ContB-DefaultC,3.786219,False
ContB-DorsAttnA,12.437375,False
ContB-DorsAttnB,3.563475,False
ContB-LimbicA,3.765174,False
ContB-LimbicB,4.895057,False
ContB-SalVentAttnA,8.611573,False
ContB-SalVentAttnB,6.174195,False
ContB-SomMotA,4.013372,False
ContB-SomMotB,0.470034,False
ContB-TempPar,1.572261,False
ContB-VisCent,3.232189,False
ContB-VisPeri,0.972751,False
ContC-ContA,0.161087,False
ContC-ContB,2.126743,False
ContC-ContC,0.0,True
ContC-DefaultA,8.539142,False
ContC-DefaultB,0.615538,False
ContC-DefaultC,0.265056,False
ContC-DorsAttnA,2.419505,False
ContC-DorsAttnB,2.181989,False
ContC-LimbicA,0.79096,False
ContC-LimbicB,14.271245,False
ContC-SalVentAttnA,0.770505,False
ContC-SalVentAttnB,0.833952,False
ContC-SomMotA,0.367156,False
ContC-SomMotB,0.618911,False
ContC-TempPar,0.698163,False
ContC-VisCent,1.32656,False
ContC-VisPeri,1.101304,False
DefaultA-ContA,1.893601,False
DefaultA-ContB,7.201325,False
DefaultA-ContC,17.054485,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.449267,False
DefaultA-DefaultC,0.946624,False
DefaultA-DorsAttnA,1.186522,False
DefaultA-DorsAttnB,0.374553,False
DefaultA-LimbicA,1.584447,False
DefaultA-LimbicB,11.708442,False
DefaultA-SalVentAttnA,3.070845,False
DefaultA-SalVentAttnB,3.138233,False
DefaultA-SomMotA,3.57655,False
DefaultA-SomMotB,0.127064,False
DefaultA-TempPar,0.1322,False
DefaultA-VisCent,3.438808,False
DefaultA-VisPeri,0.54121,False
DefaultB-ContA,2.504274,False
DefaultB-ContB,2.074053,False
DefaultB-ContC,7.928526,False
DefaultB-DefaultA,7.656777,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.101619,False
DefaultB-DorsAttnA,3.25915,False
DefaultB-DorsAttnB,4.9772,False
DefaultB-LimbicA,0.746195,False
DefaultB-LimbicB,4.451418,False
DefaultB-SalVentAttnA,10.370804,False
DefaultB-SalVentAttnB,1.958635,False
DefaultB-SomMotA,1.152459,False
DefaultB-SomMotB,0.323683,False
DefaultB-TempPar,2.189159,False
DefaultB-VisCent,1.734886,False
DefaultB-VisPeri,1.146859,False
DefaultC-ContA,2.087058,False
DefaultC-ContB,3.237505,False
DefaultC-ContC,3.613803,False
DefaultC-DefaultA,4.744834,False
DefaultC-DefaultB,32.639017,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.559113,False
DefaultC-DorsAttnB,4.654572,False
DefaultC-LimbicA,0.296001,False
DefaultC-LimbicB,2.012016,False
DefaultC-SalVentAttnA,16.847972,False
DefaultC-SalVentAttnB,2.438818,False
DefaultC-SomMotA,5.148616,False
DefaultC-SomMotB,3.744764,False
DefaultC-TempPar,6.52823,False
DefaultC-VisCent,0.11102,False
DefaultC-VisPeri,0.372096,False
DorsAttnA-ContA,1.861616,False
DorsAttnA-ContB,5.320472,False
DorsAttnA-ContC,2.430077,False
DorsAttnA-DefaultA,5.175905,False
DorsAttnA-DefaultB,21.900507,False
DorsAttnA-DefaultC,4.974798,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.064195,False
DorsAttnA-LimbicA,3.136056,False
DorsAttnA-LimbicB,2.56811,False
DorsAttnA-SalVentAttnA,17.643224,False
DorsAttnA-SalVentAttnB,1.449811,False
DorsAttnA-SomMotA,1.178987,False
DorsAttnA-SomMotB,0.190353,False
DorsAttnA-TempPar,17.750566,False
DorsAttnA-VisCent,4.385379,False
DorsAttnA-VisPeri,2.762673,False
DorsAttnB-ContA,4.407131,False
DorsAttnB-ContB,0.342367,False
DorsAttnB-ContC,2.420979,False
DorsAttnB-DefaultA,1.382287,False
DorsAttnB-DefaultB,0.274557,False
DorsAttnB-DefaultC,2.914735,False
DorsAttnB-DorsAttnA,2.701271,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,8.557397,False
DorsAttnB-LimbicB,6.440507,False
DorsAttnB-SalVentAttnA,3.369112,False
DorsAttnB-SalVentAttnB,5.650044,False
DorsAttnB-SomMotA,0.727534,False
DorsAttnB-SomMotB,1.032711,False
DorsAttnB-TempPar,0.305786,False
DorsAttnB-VisCent,0.246411,False
DorsAttnB-VisPeri,1.448993,False
LimbicA-ContA,15.860071,False
LimbicA-ContB,0.84747,False
LimbicA-ContC,4.334491,False
LimbicA-DefaultA,5.058514,False
LimbicA-DefaultB,0.674521,False
LimbicA-DefaultC,0.214141,False
LimbicA-DorsAttnA,1.462023,False
LimbicA-DorsAttnB,0.891302,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,13.354543,False
LimbicA-SalVentAttnA,0.599889,False
LimbicA-SalVentAttnB,5.482516,False
LimbicA-SomMotA,2.013318,False
LimbicA-SomMotB,0.178712,False
LimbicA-TempPar,0.261854,False
LimbicA-VisCent,3.967735,False
LimbicA-VisPeri,1.4931,False
LimbicB-ContA,7.8727,False
LimbicB-ContB,1.973493,False
LimbicB-ContC,8.545601,False
LimbicB-DefaultA,20.428589,False
LimbicB-DefaultB,9.269215,False
LimbicB-DefaultC,2.970536,False
LimbicB-DorsAttnA,1.370474,False
LimbicB-DorsAttnB,1.499446,False
LimbicB-LimbicA,7.362015,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.874425,False
LimbicB-SalVentAttnB,10.170719,False
LimbicB-SomMotA,1.66513,False
LimbicB-SomMotB,0.701886,False
LimbicB-TempPar,1.103224,False
LimbicB-VisCent,4.11831,False
LimbicB-VisPeri,0.613944,False
SalVentAttnA-ContA,1.009648,False
SalVentAttnA-ContB,1.028414,False
SalVentAttnA-ContC,0.676627,False
SalVentAttnA-DefaultA,0.044799,False
SalVentAttnA-DefaultB,0.215434,False
SalVentAttnA-DefaultC,0.25367,False
SalVentAttnA-DorsAttnA,0.262651,False
SalVentAttnA-DorsAttnB,0.16203,False
SalVentAttnA-LimbicA,0.428754,False
SalVentAttnA-LimbicB,0.007792,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.082855,False
SalVentAttnA-SomMotA,1.951347,False
SalVentAttnA-SomMotB,0.140767,False
SalVentAttnA-TempPar,0.323811,False
SalVentAttnA-VisCent,0.467431,False
SalVentAttnA-VisPeri,0.526435,False
SalVentAttnB-ContA,10.561356,False
SalVentAttnB-ContB,0.759128,False
SalVentAttnB-ContC,7.336483,False
SalVentAttnB-DefaultA,9.581576,False
SalVentAttnB-DefaultB,2.712957,False
SalVentAttnB-DefaultC,1.618065,False
SalVentAttnB-DorsAttnA,4.968638,False
SalVentAttnB-DorsAttnB,1.678688,False
SalVentAttnB-LimbicA,15.813022,False
SalVentAttnB-LimbicB,21.18729,False
SalVentAttnB-SalVentAttnA,1.831285,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.479506,False
SalVentAttnB-SomMotB,0.515573,False
SalVentAttnB-TempPar,1.03875,False
SalVentAttnB-VisCent,3.843122,False
SalVentAttnB-VisPeri,1.771013,False
