network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.813877,False
ContA-ContC,11.154179,False
ContA-DefaultA,7.636465,False
ContA-DefaultB,7.780371,False
ContA-DefaultC,4.141594,False
ContA-DorsAttnA,0.140625,False
ContA-DorsAttnB,13.476811,False
ContA-LimbicA,40.692014,False
ContA-LimbicB,13.95081,False
ContA-SalVentAttnA,3.489458,False
ContA-SalVentAttnB,14.923562,False
ContA-SomMotA,3.361381,False
ContA-SomMotB,1.656006,False
ContA-TempPar,3.477695,False
ContA-VisCent,2.962739,False
ContA-VisPeri,1.083647,False
ContB-ContA,10.025082,False
ContB-ContB,0.0,True
ContB-ContC,12.36401,False
ContB-DefaultA,3.115432,False
ContB-DefaultB,1.553821,False
ContB-DefaultC,6.27753,False
ContB-DorsAttnA,1.70651,False
ContB-DorsAttnB,11.645078,False
ContB-LimbicA,26.220885,False
ContB-LimbicB,10.089043,False
ContB-SalVentAttnA,6.819954,False
ContB-SalVentAttnB,10.953814,False
ContB-SomMotA,2.550409,False
ContB-SomMotB,1.257695,False
ContB-TempPar,0.436117,False
ContB-VisCent,6.350522,False
ContB-VisPeri,1.681069,False
ContC-ContA,5.862569,False
ContC-ContB,16.505756,False
ContC-ContC,0.0,True
ContC-DefaultA,18.420977,False
ContC-DefaultB,17.164094,False
ContC-DefaultC,1.832432,False
ContC-DorsAttnA,0.787411,False
ContC-DorsAttnB,15.668647,False
ContC-LimbicA,11.473904,False
ContC-LimbicB,30.002099,False
ContC-SalVentAttnA,16.500917,False
ContC-SalVentAttnB,19.151888,False
ContC-SomMotA,2.090957,False
ContC-SomMotB,2.75413,False
ContC-TempPar,3.304351,False
ContC-VisCent,20.373957,False
ContC-VisPeri,5.531402,False
DefaultA-ContA,8.488064,False
DefaultA-ContB,13.332297,False
DefaultA-ContC,37.497611,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,27.779649,False
DefaultA-DefaultC,2.167191,False
DefaultA-DorsAttnA,1.80251,False
DefaultA-DorsAttnB,11.800052,False
DefaultA-LimbicA,19.097874,False
DefaultA-LimbicB,49.005417,False
DefaultA-SalVentAttnA,17.681285,False
DefaultA-SalVentAttnB,23.698478,False
DefaultA-SomMotA,1.183911,False
DefaultA-SomMotB,0.600283,False
DefaultA-TempPar,3.853737,False
DefaultA-VisCent,18.359682,False
DefaultA-VisPeri,4.735817,False
DefaultB-ContA,3.533508,False
DefaultB-ContB,4.631479,False
DefaultB-ContC,14.483923,False
DefaultB-DefaultA,7.938707,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.41633,False
DefaultB-DorsAttnA,5.770057,False
DefaultB-DorsAttnB,3.076838,False
DefaultB-LimbicA,12.044535,False
DefaultB-LimbicB,26.556907,False
DefaultB-SalVentAttnA,6.648341,False
DefaultB-SalVentAttnB,11.981047,False
DefaultB-SomMotA,1.308417,False
DefaultB-SomMotB,1.065216,False
DefaultB-TempPar,6.067,False
DefaultB-VisCent,9.508561,False
DefaultB-VisPeri,1.82826,False
DefaultC-ContA,7.906567,False
DefaultC-ContB,16.556869,False
DefaultC-ContC,9.638994,False
DefaultC-DefaultA,13.462669,False
DefaultC-DefaultB,2.494785,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.227852,False
DefaultC-DorsAttnB,6.893747,False
DefaultC-LimbicA,6.819819,False
DefaultC-LimbicB,3.012028,False
DefaultC-SalVentAttnA,2.071193,False
DefaultC-SalVentAttnB,9.031072,False
DefaultC-SomMotA,1.353331,False
DefaultC-SomMotB,2.834616,False
DefaultC-TempPar,3.128673,False
DefaultC-VisCent,3.234662,False
DefaultC-VisPeri,0.802529,False
DorsAttnA-ContA,0.015413,False
DorsAttnA-ContB,1.552934,False
DorsAttnA-ContC,0.394421,False
DorsAttnA-DefaultA,5.295595,False
DorsAttnA-DefaultB,4.131573,False
DorsAttnA-DefaultC,9.191162,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.088507,False
DorsAttnA-LimbicA,0.369767,False
DorsAttnA-LimbicB,1.65877,False
DorsAttnA-SalVentAttnA,1.150218,False
DorsAttnA-SalVentAttnB,0.118831,False
DorsAttnA-SomMotA,1.95171,False
DorsAttnA-SomMotB,3.559166,False
DorsAttnA-TempPar,1.385682,False
DorsAttnA-VisCent,3.012396,False
DorsAttnA-VisPeri,0.890661,False
DorsAttnB-ContA,8.374216,False
DorsAttnB-ContB,4.721562,False
DorsAttnB-ContC,8.858399,False
DorsAttnB-DefaultA,6.741427,False
DorsAttnB-DefaultB,2.517635,False
DorsAttnB-DefaultC,5.056038,False
DorsAttnB-DorsAttnA,1.001343,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,21.713993,False
DorsAttnB-LimbicB,15.080789,False
DorsAttnB-SalVentAttnA,11.919882,False
DorsAttnB-SalVentAttnB,32.872142,False
DorsAttnB-SomMotA,0.004997,False
DorsAttnB-SomMotB,1.185611,False
DorsAttnB-TempPar,0.232398,False
DorsAttnB-VisCent,4.588805,False
DorsAttnB-VisPeri,1.296322,False
LimbicA-ContA,6.567007,False
LimbicA-ContB,6.375749,False
LimbicA-ContC,9.250345,False
LimbicA-DefaultA,1.606482,False
LimbicA-DefaultB,6.69222,False
LimbicA-DefaultC,1.449605,False
LimbicA-DorsAttnA,0.009763,False
LimbicA-DorsAttnB,12.10635,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,18.875977,False
LimbicA-SalVentAttnA,9.347615,False
LimbicA-SalVentAttnB,18.990082,False
LimbicA-SomMotA,0.81339,False
LimbicA-SomMotB,0.067893,False
LimbicA-TempPar,5.245068,False
LimbicA-VisCent,4.758412,False
LimbicA-VisPeri,0.265914,False
LimbicB-ContA,5.886031,False
LimbicB-ContB,11.013957,False
LimbicB-ContC,8.195439,False
LimbicB-DefaultA,2.964754,False
LimbicB-DefaultB,12.142919,False
LimbicB-DefaultC,0.10786,False
LimbicB-DorsAttnA,1.784968,False
LimbicB-DorsAttnB,2.688095,False
LimbicB-LimbicA,13.34442,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,19.789577,False
LimbicB-SalVentAttnB,9.393467,False
LimbicB-SomMotA,2.38278,False
LimbicB-SomMotB,4.111867,False
LimbicB-TempPar,3.514349,False
LimbicB-VisCent,8.510223,False
LimbicB-VisPeri,6.59603,False
SalVentAttnA-ContA,5.480804,False
SalVentAttnA-ContB,9.449353,False
SalVentAttnA-ContC,1.786396,False
SalVentAttnA-DefaultA,1.706135,False
SalVentAttnA-DefaultB,5.277627,False
SalVentAttnA-DefaultC,0.319472,False
SalVentAttnA-DorsAttnA,5.501313,False
SalVentAttnA-DorsAttnB,4.48561,False
SalVentAttnA-LimbicA,4.266426,False
SalVentAttnA-LimbicB,4.14267,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.62663,False
SalVentAttnA-SomMotA,2.829245,False
SalVentAttnA-SomMotB,6.932519,False
SalVentAttnA-TempPar,2.494769,False
SalVentAttnA-VisCent,5.338487,False
SalVentAttnA-VisPeri,6.344285,False
SalVentAttnB-ContA,9.353689,False
SalVentAttnB-ContB,9.024714,False
SalVentAttnB-ContC,6.340294,False
SalVentAttnB-DefaultA,4.532145,False
SalVentAttnB-DefaultB,12.919849,False
SalVentAttnB-DefaultC,1.948334,False
SalVentAttnB-DorsAttnA,0.011116,False
SalVentAttnB-DorsAttnB,4.733253,False
SalVentAttnB-LimbicA,6.866466,False
SalVentAttnB-LimbicB,25.888185,False
SalVentAttnB-SalVentAttnA,33.923065,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.295348,False
SalVentAttnB-SomMotB,1.009394,False
SalVentAttnB-TempPar,2.939608,False
SalVentAttnB-VisCent,2.309052,False
SalVentAttnB-VisPeri,8.26425,False
SomMotA-ContA,0.235617,False
SomMotA-ContB,0.365458,False
SomMotA-ContC,0.683781,False
SomMotA-DefaultA,0.130294,False
SomMotA-DefaultB,1.03692,False
SomMotA-DefaultC,1.834946,False
SomMotA-DorsAttnA,1.907518,False
SomMotA-DorsAttnB,2.168338,False
SomMotA-LimbicA,0.349313,False
SomMotA-LimbicB,0.571667,False
SomMotA-SalVentAttnA,3.591601,False
SomMotA-SalVentAttnB,3.190458,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,6.268096,False
SomMotA-TempPar,0.090252,False
SomMotA-VisCent,6.117739,False
SomMotA-VisPeri,4.413465,False
SomMotB-ContA,3.093629,False
SomMotB-ContB,0.163568,False
SomMotB-ContC,0.312305,False
SomMotB-DefaultA,4.374754,False
SomMotB-DefaultB,2.678617,False
SomMotB-DefaultC,0.138724,False
SomMotB-DorsAttnA,3.562529,False
SomMotB-DorsAttnB,0.818881,False
SomMotB-LimbicA,2.277092,False
SomMotB-LimbicB,0.837198,False
SomMotB-SalVentAttnA,0.625356,False
SomMotB-SalVentAttnB,3.247786,False
SomMotB-SomMotA,1.777018,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.63859,False
SomMotB-VisCent,4.535636,False
SomMotB-VisPeri,1.349518,False
TempPar-ContA,2.410259,False
TempPar-ContB,5.397702,False
TempPar-ContC,8.459987,False
TempPar-DefaultA,12.070484,False
TempPar-DefaultB,8.1082,False
TempPar-DefaultC,1.378347,False
TempPar-DorsAttnA,0.101445,False
TempPar-DorsAttnB,1.749055,False
TempPar-LimbicA,0.925883,False
TempPar-LimbicB,4.655066,False
TempPar-SalVentAttnA,10.37664,False
TempPar-SalVentAttnB,3.915296,False
TempPar-SomMotA,2.331892,False
TempPar-SomMotB,3.001767,False
TempPar-TempPar,0.0,True
TempPar-VisCent,5.289795,False
TempPar-VisPeri,4.435345,False
VisCent-ContA,8.411816,False
VisCent-ContB,9.780423,False
VisCent-ContC,11.676535,False
VisCent-DefaultA,5.874682,False
VisCent-DefaultB,0.87903,False
VisCent-DefaultC,2.07236,False
VisCent-DorsAttnA,3.199646,False
VisCent-DorsAttnB,14.671009,False
VisCent-LimbicA,7.785947,False
VisCent-LimbicB,7.995809,False
VisCent-SalVentAttnA,7.453069,False
VisCent-SalVentAttnB,8.528183,False
VisCent-SomMotA,1.811212,False
VisCent-SomMotB,2.491345,False
VisCent-TempPar,1.486873,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,6.002374,False
VisPeri-ContA,2.960087,False
VisPeri-ContB,5.39444,False
VisPeri-ContC,3.982529,False
VisPeri-DefaultA,0.919577,False
VisPeri-DefaultB,0.565736,False
VisPeri-DefaultC,0.074419,False
VisPeri-DorsAttnA,2.022681,False
VisPeri-DorsAttnB,3.6848,False
VisPeri-LimbicA,4.074086,False
VisPeri-LimbicB,3.883332,False
VisPeri-SalVentAttnA,0.725945,False
VisPeri-SalVentAttnB,1.212415,False
VisPeri-SomMotA,5.059212,False
VisPeri-SomMotB,3.016678,False
VisPeri-TempPar,1.77717,False
VisPeri-VisCent,10.328804,False
VisPeri-VisPeri,0.0,True
