network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.034784,False
ContA-ContC,14.435654,False
ContA-DefaultA,7.269674,False
ContA-DefaultB,7.855033,False
ContA-DefaultC,9.47972,False
ContA-DorsAttnA,2.122996,False
ContA-DorsAttnB,1.404673,False
ContA-LimbicA,23.755286,False
ContA-LimbicB,10.514479,False
ContA-SalVentAttnA,0.454305,False
ContA-SalVentAttnB,1.484407,False
ContA-SomMotA,0.34023,False
ContA-SomMotB,1.747051,False
ContA-TempPar,6.717864,False
ContA-VisCent,2.316445,False
ContA-VisPeri,0.980701,False
ContB-ContA,1.173238,False
ContB-ContB,0.0,True
ContB-ContC,2.982092,False
ContB-DefaultA,2.288692,False
ContB-DefaultB,0.476828,False
ContB-DefaultC,2.061165,False
ContB-DorsAttnA,1.244732,False
ContB-DorsAttnB,0.641118,False
ContB-LimbicA,0.38042,False
ContB-LimbicB,2.119123,False
ContB-SalVentAttnA,1.432426,False
ContB-SalVentAttnB,0.93758,False
ContB-SomMotA,1.395686,False
ContB-SomMotB,2.155232,False
ContB-TempPar,6.042747,False
ContB-VisCent,0.901642,False
ContB-VisPeri,0.419234,False
ContC-ContA,14.514817,False
ContC-ContB,6.104739,False
ContC-ContC,0.0,True
ContC-DefaultA,8.525182,False
ContC-DefaultB,2.09759,False
ContC-DefaultC,0.847239,False
ContC-DorsAttnA,2.686465,False
ContC-DorsAttnB,5.795547,False
ContC-LimbicA,7.543447,False
ContC-LimbicB,7.12869,False
ContC-SalVentAttnA,1.97401,False
ContC-SalVentAttnB,3.927435,False
ContC-SomMotA,0.772584,False
ContC-SomMotB,1.962742,False
ContC-TempPar,0.018077,False
ContC-VisCent,0.089612,False
ContC-VisPeri,3.580484,False
DefaultA-ContA,8.480701,False
DefaultA-ContB,5.02105,False
DefaultA-ContC,12.424995,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,17.554606,False
DefaultA-DefaultC,0.33072,False
DefaultA-DorsAttnA,4.976909,False
DefaultA-DorsAttnB,4.703152,False
DefaultA-LimbicA,3.591484,False
DefaultA-LimbicB,20.801647,False
DefaultA-SalVentAttnA,1.965568,False
DefaultA-SalVentAttnB,2.867489,False
DefaultA-SomMotA,0.796631,False
DefaultA-SomMotB,2.082786,False
DefaultA-TempPar,0.505311,False
DefaultA-VisCent,2.689934,False
DefaultA-VisPeri,4.749359,False
DefaultB-ContA,4.377722,False
DefaultB-ContB,2.606104,False
DefaultB-ContC,2.929831,False
DefaultB-DefaultA,1.820415,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.00275,False
DefaultB-DorsAttnA,4.26947,False
DefaultB-DorsAttnB,7.045794,False
DefaultB-LimbicA,0.713535,False
DefaultB-LimbicB,2.632899,False
DefaultB-SalVentAttnA,1.461248,False
DefaultB-SalVentAttnB,2.23514,False
DefaultB-SomMotA,0.851615,False
DefaultB-SomMotB,0.454141,False
DefaultB-TempPar,3.007453,False
DefaultB-VisCent,2.492762,False
DefaultB-VisPeri,5.695186,False
DefaultC-ContA,2.667478,False
DefaultC-ContB,0.431601,False
DefaultC-ContC,0.308894,False
DefaultC-DefaultA,4.005469,False
DefaultC-DefaultB,0.460687,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.120368,False
DefaultC-DorsAttnB,5.430747,False
DefaultC-LimbicA,2.137194,False
DefaultC-LimbicB,0.754455,False
DefaultC-SalVentAttnA,7.74356,False
DefaultC-SalVentAttnB,2.391905,False
DefaultC-SomMotA,6.506676,False
DefaultC-SomMotB,0.519717,False
DefaultC-TempPar,1.118229,False
DefaultC-VisCent,1.605923,False
