network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.700155,False
ContA-ContC,3.351592,False
ContA-DefaultA,0.941677,False
ContA-DefaultB,1.030735,False
ContA-DefaultC,1.157861,False
ContA-DorsAttnA,0.057662,False
ContA-DorsAttnB,2.525512,False
ContA-LimbicA,14.519158,False
ContA-LimbicB,3.009615,False
ContA-SalVentAttnA,0.215401,False
ContA-SalVentAttnB,5.131708,False
ContA-SomMotA,2.889327,False
ContA-SomMotB,3.356097,False
ContA-TempPar,0.213252,False
ContA-VisCent,0.093723,False
ContA-VisPeri,0.414522,False
ContB-ContA,6.787274,False
ContB-ContB,0.0,True
ContB-ContC,7.379312,False
ContB-DefaultA,1.183518,False
ContB-DefaultB,2.096418,False
ContB-DefaultC,1.089472,False
ContB-DorsAttnA,1.765583,False
ContB-DorsAttnB,1.728435,False
ContB-LimbicA,5.234007,False
ContB-LimbicB,2.814707,False
ContB-SalVentAttnA,0.070308,False
ContB-SalVentAttnB,4.254209,False
ContB-SomMotA,5.729593,False
ContB-SomMotB,1.397271,False
ContB-TempPar,2.445733,False
ContB-VisCent,0.037882,False
ContB-VisPeri,0.204927,False
ContC-ContA,3.205208,False
ContC-ContB,3.393522,False
ContC-ContC,0.0,True
ContC-DefaultA,13.297764,False
ContC-DefaultB,8.673493,False
ContC-DefaultC,1.630317,False
ContC-DorsAttnA,1.152882,False
ContC-DorsAttnB,1.15943,False
ContC-LimbicA,6.774084,False
ContC-LimbicB,16.299497,False
ContC-SalVentAttnA,3.164229,False
ContC-SalVentAttnB,2.694418,False
ContC-SomMotA,1.870152,False
ContC-SomMotB,3.227678,False
ContC-TempPar,0.576708,False
ContC-VisCent,0.486902,False
ContC-VisPeri,0.881017,False
DefaultA-ContA,2.448252,False
DefaultA-ContB,0.775849,False
DefaultA-ContC,48.25453,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,21.088071,False
DefaultA-DefaultC,4.238028,False
DefaultA-DorsAttnA,1.424523,False
DefaultA-DorsAttnB,4.45813,False
DefaultA-LimbicA,6.517866,False
DefaultA-LimbicB,20.539688,False
DefaultA-SalVentAttnA,7.166385,False
DefaultA-SalVentAttnB,2.966301,False
DefaultA-SomMotA,1.805679,False
DefaultA-SomMotB,3.973864,False
DefaultA-TempPar,0.060462,False
DefaultA-VisCent,1.465569,False
DefaultA-VisPeri,0.700959,False
DefaultB-ContA,5.106567,False
DefaultB-ContB,1.41701,False
DefaultB-ContC,4.493026,False
DefaultB-DefaultA,7.372115,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,12.787607,False
DefaultB-DorsAttnA,3.751748,False
DefaultB-DorsAttnB,0.36694,False
DefaultB-LimbicA,3.861684,False
DefaultB-LimbicB,10.563971,False
DefaultB-SalVentAttnA,3.088252,False
DefaultB-SalVentAttnB,3.464629,False
DefaultB-SomMotA,0.782971,False
DefaultB-SomMotB,0.587654,False
DefaultB-TempPar,4.483824,False
DefaultB-VisCent,2.969842,False
DefaultB-VisPeri,0.46458,False
DefaultC-ContA,0.285867,False
DefaultC-ContB,0.568749,False
DefaultC-ContC,0.567093,False
DefaultC-DefaultA,0.872975,False
DefaultC-DefaultB,13.092818,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.383017,False
DefaultC-DorsAttnB,0.081861,False
DefaultC-LimbicA,1.249808,False
DefaultC-LimbicB,1.61294,False
DefaultC-SalVentAttnA,1.152174,False
DefaultC-SalVentAttnB,0.110365,False
DefaultC-SomMotA,2.744463,False
DefaultC-SomMotB,0.224395,False
DefaultC-TempPar,6.096852,False
DefaultC-VisCent,6.160433,False
DefaultC-VisPeri,3.834911,False
DorsAttnA-ContA,4.19457,False
DorsAttnA-ContB,0.182035,False
DorsAttnA-ContC,0.274464,False
DorsAttnA-DefaultA,0.136684,False
DorsAttnA-DefaultB,1.013193,False
DorsAttnA-DefaultC,3.098676,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.988266,False
DorsAttnA-LimbicA,5.117225,False
DorsAttnA-LimbicB,1.656875,False
DorsAttnA-SalVentAttnA,9.85039,False
DorsAttnA-SalVentAttnB,5.115464,False
DorsAttnA-SomMotA,2.097882,False
DorsAttnA-SomMotB,2.489695,False
DorsAttnA-TempPar,3.090185,False
DorsAttnA-VisCent,2.588857,False
DorsAttnA-VisPeri,2.285205,False
DorsAttnB-ContA,7.333278,False
DorsAttnB-ContB,3.007234,False
DorsAttnB-ContC,1.669748,False
DorsAttnB-DefaultA,1.785768,False
DorsAttnB-DefaultB,0.27847,False
DorsAttnB-DefaultC,2.077313,False
DorsAttnB-DorsAttnA,11.44857,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.081894,False
DorsAttnB-LimbicB,4.283897,False
DorsAttnB-SalVentAttnA,8.549433,False
DorsAttnB-SalVentAttnB,0.717502,False
DorsAttnB-SomMotA,1.961224,False
DorsAttnB-SomMotB,0.660764,False
DorsAttnB-TempPar,2.893931,False
DorsAttnB-VisCent,3.967912,False
DorsAttnB-VisPeri,0.416832,False
LimbicA-ContA,14.572479,False
LimbicA-ContB,0.008026,False
LimbicA-ContC,6.297928,False
LimbicA-DefaultA,5.368949,False
LimbicA-DefaultB,1.340963,False
LimbicA-DefaultC,0.400001,False
LimbicA-DorsAttnA,2.292182,False
LimbicA-DorsAttnB,12.16987,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,1.86925,False
LimbicA-SalVentAttnA,1.669783,False
LimbicA-SalVentAttnB,7.396402,False
LimbicA-SomMotA,1.147121,False
LimbicA-SomMotB,0.133557,False
LimbicA-TempPar,0.417493,False
LimbicA-VisCent,0.999994,False
LimbicA-VisPeri,0.432009,False
LimbicB-ContA,3.996348,False
LimbicB-ContB,0.091884,False
LimbicB-ContC,10.91966,False
LimbicB-DefaultA,11.223323,False
LimbicB-DefaultB,5.467672,False
LimbicB-DefaultC,4.861841,False
LimbicB-DorsAttnA,5.644452,False
LimbicB-DorsAttnB,5.017454,False
LimbicB-LimbicA,21.255329,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,13.856954,False
LimbicB-SalVentAttnB,10.178976,False
LimbicB-SomMotA,0.146156,False
LimbicB-SomMotB,3.819999,False
LimbicB-TempPar,2.447757,False
LimbicB-VisCent,0.04612,False
LimbicB-VisPeri,0.738431,False
SalVentAttnA-ContA,2.480765,False
SalVentAttnA-ContB,0.89357,False
SalVentAttnA-ContC,3.311795,False
SalVentAttnA-DefaultA,5.810788,False
SalVentAttnA-DefaultB,3.271308,False
SalVentAttnA-DefaultC,4.915142,False
SalVentAttnA-DorsAttnA,4.634724,False
SalVentAttnA-DorsAttnB,0.781016,False
SalVentAttnA-LimbicA,7.458557,False
SalVentAttnA-LimbicB,9.606626,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.910375,False
SalVentAttnA-SomMotA,1.96769,False
SalVentAttnA-SomMotB,2.018651,False
SalVentAttnA-TempPar,1.416983,False
SalVentAttnA-VisCent,0.707967,False
SalVentAttnA-VisPeri,1.863921,False
SalVentAttnB-ContA,16.707678,False
SalVentAttnB-ContB,1.530988,False
SalVentAttnB-ContC,20.294072,False
SalVentAttnB-DefaultA,12.928147,False
SalVentAttnB-DefaultB,20.046131,False
SalVentAttnB-DefaultC,4.557206,False
SalVentAttnB-DorsAttnA,4.260889,False
SalVentAttnB-DorsAttnB,6.082812,False
SalVentAttnB-LimbicA,34.67345,False
SalVentAttnB-LimbicB,57.51093,False
SalVentAttnB-SalVentAttnA,21.057804,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,4.301882,False
SalVentAttnB-SomMotB,2.160355,False
SalVentAttnB-TempPar,0.71305,False
SalVentAttnB-VisCent,0.615738,False
SalVentAttnB-VisPeri,2.786288,False
SomMotA-ContA,5.597287,False
SomMotA-ContB,10.045371,False
SomMotA-ContC,2.144317,False
SomMotA-DefaultA,2.818149,False
SomMotA-DefaultB,5.333484,False
SomMotA-DefaultC,3.933293,False
SomMotA-DorsAttnA,6.05314,False
SomMotA-DorsAttnB,4.839265,False
SomMotA-LimbicA,3.211263,False
SomMotA-LimbicB,7.076063,False
SomMotA-SalVentAttnA,5.885996,False
SomMotA-SalVentAttnB,7.388571,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.308361,False
SomMotA-TempPar,0.634048,False
SomMotA-VisCent,5.605937,False
SomMotA-VisPeri,5.43625,False
SomMotB-ContA,0.514715,False
SomMotB-ContB,2.821798,False
SomMotB-ContC,2.511863,False
SomMotB-DefaultA,5.139667,False
SomMotB-DefaultB,0.341711,False
SomMotB-DefaultC,0.588852,False
SomMotB-DorsAttnA,0.538388,False
SomMotB-DorsAttnB,1.451909,False
SomMotB-LimbicA,0.067751,False
SomMotB-LimbicB,1.588824,False
SomMotB-SalVentAttnA,1.8156,False
SomMotB-SalVentAttnB,1.964561,False
SomMotB-SomMotA,10.267712,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.70412,False
SomMotB-VisCent,7.832262,False
SomMotB-VisPeri,2.465052,False
TempPar-ContA,0.792066,False
TempPar-ContB,0.6229,False
TempPar-ContC,2.961939,False
TempPar-DefaultA,4.85903,False
TempPar-DefaultB,0.205255,False
TempPar-DefaultC,0.740562,False
TempPar-DorsAttnA,1.840835,False
TempPar-DorsAttnB,4.201278,False
TempPar-LimbicA,2.599849,False
TempPar-LimbicB,5.872395,False
TempPar-SalVentAttnA,4.257317,False
TempPar-SalVentAttnB,2.104106,False
TempPar-SomMotA,4.11136,False
TempPar-SomMotB,3.194529,False
TempPar-TempPar,0.0,True
TempPar-VisCent,7.568564,False
TempPar-VisPeri,5.648342,False
VisCent-ContA,3.306122,False
VisCent-ContB,0.212731,False
VisCent-ContC,1.115491,False
VisCent-DefaultA,2.400426,False
VisCent-DefaultB,0.611234,False
VisCent-DefaultC,2.792574,False
VisCent-DorsAttnA,0.644834,False
VisCent-DorsAttnB,2.324507,False
VisCent-LimbicA,1.137489,False
VisCent-LimbicB,2.495002,False
VisCent-SalVentAttnA,4.222471,False
VisCent-SalVentAttnB,0.647896,False
VisCent-SomMotA,3.558554,False
VisCent-SomMotB,5.629098,False
VisCent-TempPar,1.071372,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,7.664512,False
VisPeri-ContA,2.30919,False
VisPeri-ContB,5.866423,False
VisPeri-ContC,1.32966,False
VisPeri-DefaultA,0.712714,False
VisPeri-DefaultB,4.068924,False
VisPeri-DefaultC,12.228358,False
VisPeri-DorsAttnA,2.584466,False
VisPeri-DorsAttnB,1.200614,False
VisPeri-LimbicA,0.801755,False
VisPeri-LimbicB,3.357006,False
VisPeri-SalVentAttnA,4.288372,False
VisPeri-SalVentAttnB,2.840436,False
VisPeri-SomMotA,16.500471,False
VisPeri-SomMotB,0.32299,False
VisPeri-TempPar,1.706855,False
VisPeri-VisCent,20.175147,False
VisPeri-VisPeri,0.0,True
