network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.368951,False
ContA-ContC,3.338014,False
ContA-DefaultA,14.2881,False
ContA-DefaultB,3.167397,False
ContA-DefaultC,1.993011,False
ContA-DorsAttnA,1.872297,False
ContA-DorsAttnB,1.31239,False
ContA-LimbicA,17.5385,False
ContA-LimbicB,13.361177,False
ContA-SalVentAttnA,2.144188,False
ContA-SalVentAttnB,20.399221,False
ContA-SomMotA,3.410922,False
ContA-SomMotB,2.302391,False
ContA-TempPar,0.871417,False
ContA-VisCent,4.267472,False
ContA-VisPeri,0.250111,False
ContB-ContA,2.102267,False
ContB-ContB,0.0,True
ContB-ContC,10.522581,False
ContB-DefaultA,11.08006,False
ContB-DefaultB,4.191099,False
ContB-DefaultC,1.736575,False
ContB-DorsAttnA,5.972593,False
ContB-DorsAttnB,1.06116,False
ContB-LimbicA,3.009857,False
ContB-LimbicB,9.80661,False
ContB-SalVentAttnA,0.830818,False
ContB-SalVentAttnB,3.877184,False
ContB-SomMotA,1.700649,False
ContB-SomMotB,2.544822,False
ContB-TempPar,0.092566,False
ContB-VisCent,1.2871,False
ContB-VisPeri,0.10326,False
ContC-ContA,2.30714,False
ContC-ContB,9.902349,False
ContC-ContC,0.0,True
ContC-DefaultA,8.930434,False
ContC-DefaultB,1.835371,False
ContC-DefaultC,7.757131,False
ContC-DorsAttnA,2.584413,False
ContC-DorsAttnB,0.172403,False
ContC-LimbicA,2.367911,False
ContC-LimbicB,4.656079,False
ContC-SalVentAttnA,0.527246,False
ContC-SalVentAttnB,0.516234,False
ContC-SomMotA,2.202884,False
ContC-SomMotB,1.550938,False
ContC-TempPar,0.125848,False
ContC-VisCent,0.52983,False
ContC-VisPeri,2.784313,False
DefaultA-ContA,3.789459,False
DefaultA-ContB,4.471121,False
DefaultA-ContC,18.499374,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.891051,False
DefaultA-DefaultC,0.754812,False
DefaultA-DorsAttnA,7.531128,False
DefaultA-DorsAttnB,0.820706,False
