network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.614482,False
ContA-ContC,0.969322,False
ContA-DefaultA,1.060664,False
ContA-DefaultB,2.725091,False
ContA-DefaultC,1.117165,False
ContA-DorsAttnA,0.414656,False
ContA-DorsAttnB,0.697564,False
ContA-LimbicA,5.680349,False
ContA-LimbicB,9.130371,False
ContA-SalVentAttnA,3.074881,False
ContA-SalVentAttnB,3.293078,False
ContA-SomMotA,0.961865,False
ContA-SomMotB,1.037103,False
ContA-TempPar,0.471632,False
ContA-VisCent,0.478354,False
ContA-VisPeri,0.596999,False
ContB-ContA,0.134822,False
ContB-ContB,0.0,True
ContB-ContC,5.928415,False
ContB-DefaultA,0.49056,False
ContB-DefaultB,5.398386,False
ContB-DefaultC,2.748903,False
ContB-DorsAttnA,0.924664,False
ContB-DorsAttnB,1.459161,False
ContB-LimbicA,0.486366,False
ContB-LimbicB,1.626802,False
ContB-SalVentAttnA,0.307186,False
ContB-SalVentAttnB,0.483934,False
ContB-SomMotA,4.534267,False
ContB-SomMotB,0.461986,False
ContB-TempPar,8.125675,False
ContB-VisCent,0.160833,False
ContB-VisPeri,2.379833,False
ContC-ContA,0.383393,False
ContC-ContB,4.680826,False
ContC-ContC,0.0,True
ContC-DefaultA,3.297703,False
ContC-DefaultB,5.364068,False
ContC-DefaultC,0.896049,False
ContC-DorsAttnA,0.776417,False
ContC-DorsAttnB,1.174414,False
ContC-LimbicA,0.068556,False
ContC-LimbicB,0.916049,False
ContC-SalVentAttnA,0.097831,False
ContC-SalVentAttnB,0.659027,False
ContC-SomMotA,0.168022,False
ContC-SomMotB,0.850098,False
ContC-TempPar,2.151635,False
ContC-VisCent,1.508948,False
ContC-VisPeri,0.146522,False
DefaultA-ContA,2.965127,False
DefaultA-ContB,1.566055,False
DefaultA-ContC,2.850942,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.974351,False
DefaultA-DefaultC,0.470688,False
DefaultA-DorsAttnA,0.018743,False
DefaultA-DorsAttnB,0.314957,False
DefaultA-LimbicA,2.080546,False
DefaultA-LimbicB,11.646573,False
DefaultA-SalVentAttnA,0.141858,False
DefaultA-SalVentAttnB,0.571762,False
DefaultA-SomMotA,0.010007,False
DefaultA-SomMotB,1.830038,False
DefaultA-TempPar,0.459643,False
DefaultA-VisCent,0.705463,False
DefaultA-VisPeri,0.027391,False
DefaultB-ContA,0.428408,False
DefaultB-ContB,9.961399,False
DefaultB-ContC,9.993129,False
DefaultB-DefaultA,4.352981,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.122689,False
DefaultB-DorsAttnA,0.511757,False
DefaultB-DorsAttnB,0.618879,False
DefaultB-LimbicA,0.281759,False
DefaultB-LimbicB,5.971896,False
DefaultB-SalVentAttnA,3.512138,False
DefaultB-SalVentAttnB,1.170101,False
DefaultB-SomMotA,0.83339,False
DefaultB-SomMotB,2.143045,False
DefaultB-TempPar,12.940062,False
DefaultB-VisCent,0.602649,False
DefaultB-VisPeri,2.507658,False
DefaultC-ContA,1.309333,False
DefaultC-ContB,15.806346,False
DefaultC-ContC,4.27424,False
DefaultC-DefaultA,0.868741,False
DefaultC-DefaultB,18.630314,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.631867,False
DefaultC-DorsAttnB,0.081339,False
DefaultC-LimbicA,0.34233,False
DefaultC-LimbicB,3.099602,False
DefaultC-SalVentAttnA,2.63337,False
DefaultC-SalVentAttnB,1.608678,False
DefaultC-SomMotA,7.187955,False
DefaultC-SomMotB,4.437033,False
DefaultC-TempPar,19.598039,False
DefaultC-VisCent,1.573552,False
DefaultC-VisPeri,2.154103,False
DorsAttnA-ContA,2.027233,False
DorsAttnA-ContB,1.357055,False
DorsAttnA-ContC,0.987243,False
DorsAttnA-DefaultA,0.939908,False
DorsAttnA-DefaultB,3.565983,False
DorsAttnA-DefaultC,2.102619,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.701518,False
DorsAttnA-LimbicA,0.949399,False
DorsAttnA-LimbicB,2.51806,False
DorsAttnA-SalVentAttnA,2.658472,False
DorsAttnA-SalVentAttnB,0.205199,False
DorsAttnA-SomMotA,0.351374,False
DorsAttnA-SomMotB,0.492211,False
DorsAttnA-TempPar,3.234719,False
DorsAttnA-VisCent,0.665384,False
DorsAttnA-VisPeri,0.20312,False
DorsAttnB-ContA,4.244774,False
DorsAttnB-ContB,1.963701,False
DorsAttnB-ContC,1.467725,False
DorsAttnB-DefaultA,3.405258,False
DorsAttnB-DefaultB,1.815993,False
DorsAttnB-DefaultC,3.110093,False
DorsAttnB-DorsAttnA,5.170947,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.772581,False
DorsAttnB-LimbicB,2.604393,False
DorsAttnB-SalVentAttnA,1.685763,False
DorsAttnB-SalVentAttnB,0.750213,False
DorsAttnB-SomMotA,0.061204,False
DorsAttnB-SomMotB,0.64294,False
DorsAttnB-TempPar,0.253928,False
DorsAttnB-VisCent,3.143013,False
DorsAttnB-VisPeri,0.842064,False
LimbicA-ContA,3.179508,False
LimbicA-ContB,2.577798,False
LimbicA-ContC,1.64687,False
LimbicA-DefaultA,0.798365,False
LimbicA-DefaultB,0.530702,False
LimbicA-DefaultC,1.2854,False
LimbicA-DorsAttnA,6.40825,False
LimbicA-DorsAttnB,0.546971,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.658295,False
LimbicA-SalVentAttnA,0.628059,False
LimbicA-SalVentAttnB,1.501853,False
LimbicA-SomMotA,0.019175,False
LimbicA-SomMotB,1.218141,False
LimbicA-TempPar,0.314111,False
LimbicA-VisCent,1.474709,False
LimbicA-VisPeri,0.300372,False
LimbicB-ContA,1.086978,False
LimbicB-ContB,1.365398,False
LimbicB-ContC,2.147585,False
LimbicB-DefaultA,2.200919,False
LimbicB-DefaultB,1.919768,False
LimbicB-DefaultC,0.363969,False
LimbicB-DorsAttnA,0.803583,False
LimbicB-DorsAttnB,0.994199,False
LimbicB-LimbicA,0.678229,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.409279,False
LimbicB-SalVentAttnB,4.971276,False
LimbicB-SomMotA,0.176235,False
LimbicB-SomMotB,0.576907,False
