network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.78667,False
ContA-ContC,3.141171,False
ContA-DefaultA,6.994789,False
ContA-DefaultB,3.691099,False
ContA-DefaultC,0.526079,False
ContA-DorsAttnA,0.303757,False
ContA-DorsAttnB,2.207195,False
ContA-LimbicA,23.703671,False
ContA-LimbicB,8.948548,False
ContA-SalVentAttnA,4.967637,False
ContA-SalVentAttnB,7.213668,False
ContA-SomMotA,4.493476,False
ContA-SomMotB,1.901975,False
ContA-TempPar,0.018939,False
ContA-VisCent,0.141819,False
ContA-VisPeri,0.510828,False
ContB-ContA,8.694682,False
ContB-ContB,0.0,True
ContB-ContC,8.696956,False
ContB-DefaultA,3.508559,False
ContB-DefaultB,5.411814,False
ContB-DefaultC,0.352118,False
ContB-DorsAttnA,0.438375,False
ContB-DorsAttnB,1.52985,False
ContB-LimbicA,1.934132,False
ContB-LimbicB,4.562531,False
ContB-SalVentAttnA,0.50761,False
ContB-SalVentAttnB,1.42425,False
ContB-SomMotA,10.680768,False
ContB-SomMotB,0.462326,False
ContB-TempPar,0.370703,False
ContB-VisCent,0.309181,False
ContB-VisPeri,1.329407,False
ContC-ContA,2.280502,False
ContC-ContB,1.988033,False
ContC-ContC,0.0,True
ContC-DefaultA,14.928688,False
ContC-DefaultB,1.710451,False
ContC-DefaultC,1.013892,False
ContC-DorsAttnA,0.397878,False
ContC-DorsAttnB,2.052303,False
ContC-LimbicA,8.280661,False
ContC-LimbicB,7.893845,False
ContC-SalVentAttnA,1.783388,False
ContC-SalVentAttnB,10.573741,False
ContC-SomMotA,5.250991,False
ContC-SomMotB,0.878953,False
ContC-TempPar,1.148539,False
ContC-VisCent,0.102984,False
ContC-VisPeri,4.44641,False
DefaultA-ContA,0.83069,False
DefaultA-ContB,3.844159,False
DefaultA-ContC,15.090482,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.45793,False
DefaultA-DefaultC,7.969797,False
DefaultA-DorsAttnA,0.030531,False
DefaultA-DorsAttnB,0.066336,False
DefaultA-LimbicA,1.67995,False
DefaultA-LimbicB,8.710317,False
DefaultA-SalVentAttnA,1.300941,False
DefaultA-SalVentAttnB,5.503574,False
DefaultA-SomMotA,2.660483,False
DefaultA-SomMotB,0.735152,False
DefaultA-TempPar,1.566662,False
DefaultA-VisCent,1.160051,False
DefaultA-VisPeri,8.804102,False
DefaultB-ContA,1.449082,False
DefaultB-ContB,3.042746,False
DefaultB-ContC,2.503802,False
DefaultB-DefaultA,1.633124,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.661372,False
DefaultB-DorsAttnA,4.351414,False
DefaultB-DorsAttnB,0.154768,False
DefaultB-LimbicA,0.129992,False
DefaultB-LimbicB,0.604743,False
DefaultB-SalVentAttnA,1.093775,False
DefaultB-SalVentAttnB,2.222678,False
DefaultB-SomMotA,2.548141,False
DefaultB-SomMotB,0.15746,False
DefaultB-TempPar,0.494673,False
DefaultB-VisCent,0.063047,False
DefaultB-VisPeri,2.312021,False
DefaultC-ContA,0.572565,False
DefaultC-ContB,0.747032,False
DefaultC-ContC,0.598502,False
DefaultC-DefaultA,1.412356,False
DefaultC-DefaultB,5.493897,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,12.049942,False
DefaultC-DorsAttnB,0.418749,False
DefaultC-LimbicA,0.251294,False
DefaultC-LimbicB,0.878448,False
DefaultC-SalVentAttnA,3.477456,False
DefaultC-SalVentAttnB,0.360176,False
DefaultC-SomMotA,0.072439,False
DefaultC-SomMotB,0.941243,False
DefaultC-TempPar,8.688003,False
DefaultC-VisCent,0.948728,False
DefaultC-VisPeri,0.600943,False
DorsAttnA-ContA,0.059717,False
DorsAttnA-ContB,0.917347,False
DorsAttnA-ContC,0.010008,False
DorsAttnA-DefaultA,0.817598,False
DorsAttnA-DefaultB,4.338372,False
DorsAttnA-DefaultC,6.714512,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,18.429914,False
DorsAttnA-LimbicA,1.345754,False
DorsAttnA-LimbicB,0.879422,False
DorsAttnA-SalVentAttnA,4.533896,False
DorsAttnA-SalVentAttnB,0.770855,False
DorsAttnA-SomMotA,2.026657,False
DorsAttnA-SomMotB,1.31756,False
DorsAttnA-TempPar,10.641549,False
DorsAttnA-VisCent,0.772242,False
DorsAttnA-VisPeri,7.926746,False
DorsAttnB-ContA,4.928116,False
DorsAttnB-ContB,8.126069,False
DorsAttnB-ContC,3.082118,False
DorsAttnB-DefaultA,3.014775,False
DorsAttnB-DefaultB,0.780384,False
DorsAttnB-DefaultC,1.188791,False
DorsAttnB-DorsAttnA,4.702563,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.134619,False
DorsAttnB-LimbicB,7.29825,False
DorsAttnB-SalVentAttnA,8.001716,False
DorsAttnB-SalVentAttnB,3.80015,False
DorsAttnB-SomMotA,4.31088,False
DorsAttnB-SomMotB,5.254836,False
DorsAttnB-TempPar,7.704279,False
DorsAttnB-VisCent,1.0006,False
DorsAttnB-VisPeri,6.195705,False
LimbicA-ContA,21.396797,False
LimbicA-ContB,3.266975,False
LimbicA-ContC,6.527319,False
LimbicA-DefaultA,6.180127,False
LimbicA-DefaultB,3.601191,False
LimbicA-DefaultC,1.12617,False
LimbicA-DorsAttnA,0.306193,False
LimbicA-DorsAttnB,6.648628,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.566694,False
LimbicA-SalVentAttnA,8.200525,False
LimbicA-SalVentAttnB,7.112759,False
LimbicA-SomMotA,3.621793,False
LimbicA-SomMotB,2.764246,False
LimbicA-TempPar,2.623042,False
LimbicA-VisCent,0.081165,False
LimbicA-VisPeri,0.547739,False
LimbicB-ContA,6.089232,False
LimbicB-ContB,4.939018,False
LimbicB-ContC,6.968107,False
LimbicB-DefaultA,14.554588,False
LimbicB-DefaultB,3.360698,False
LimbicB-DefaultC,3.137166,False
LimbicB-DorsAttnA,1.171532,False
LimbicB-DorsAttnB,5.597944,False
LimbicB-LimbicA,18.228939,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,10.840285,False
LimbicB-SalVentAttnB,4.306003,False
LimbicB-SomMotA,4.407289,False
LimbicB-SomMotB,1.443668,False
LimbicB-TempPar,5.829995,False
LimbicB-VisCent,0.223847,False
LimbicB-VisPeri,2.63406,False
SalVentAttnA-ContA,0.582132,False
SalVentAttnA-ContB,0.746531,False
SalVentAttnA-ContC,0.331235,False
SalVentAttnA-DefaultA,1.955865,False
SalVentAttnA-DefaultB,0.600575,False
SalVentAttnA-DefaultC,3.730685,False
SalVentAttnA-DorsAttnA,0.103682,False
SalVentAttnA-DorsAttnB,3.017055,False
SalVentAttnA-LimbicA,0.946327,False
SalVentAttnA-LimbicB,2.875991,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.500256,False
SalVentAttnA-SomMotA,2.57479,False
SalVentAttnA-SomMotB,4.74926,False
SalVentAttnA-TempPar,0.608681,False
SalVentAttnA-VisCent,1.327458,False
SalVentAttnA-VisPeri,5.611079,False
SalVentAttnB-ContA,15.091009,False
SalVentAttnB-ContB,1.818383,False
SalVentAttnB-ContC,14.872202,False
SalVentAttnB-DefaultA,40.627455,False
SalVentAttnB-DefaultB,6.382357,False
SalVentAttnB-DefaultC,3.622227,False
SalVentAttnB-DorsAttnA,0.949638,False
SalVentAttnB-DorsAttnB,9.994979,False
SalVentAttnB-LimbicA,39.773822,False
SalVentAttnB-LimbicB,92.904489,False
SalVentAttnB-SalVentAttnA,25.798112,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,14.470658,False
SalVentAttnB-SomMotB,1.063248,False
SalVentAttnB-TempPar,10.341875,False
SalVentAttnB-VisCent,0.555407,False
SalVentAttnB-VisPeri,6.331115,False
SomMotA-ContA,20.65048,False
SomMotA-ContB,17.394821,False
SomMotA-ContC,14.82203,False
SomMotA-DefaultA,11.866684,False
SomMotA-DefaultB,6.78125,False
SomMotA-DefaultC,4.932208,False
SomMotA-DorsAttnA,1.770581,False
SomMotA-DorsAttnB,9.510616,False
SomMotA-LimbicA,23.456288,False
SomMotA-LimbicB,22.82819,False
SomMotA-SalVentAttnA,2.368654,False
SomMotA-SalVentAttnB,18.82407,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.983962,False
SomMotA-TempPar,0.101433,False
SomMotA-VisCent,1.801522,False
SomMotA-VisPeri,2.597217,False
SomMotB-ContA,1.080871,False
SomMotB-ContB,4.001195,False
SomMotB-ContC,4.136091,False
SomMotB-DefaultA,4.335273,False
SomMotB-DefaultB,1.174486,False
SomMotB-DefaultC,1.391704,False
SomMotB-DorsAttnA,0.32542,False
SomMotB-DorsAttnB,0.75823,False
SomMotB-LimbicA,1.222045,False
SomMotB-LimbicB,3.033711,False
SomMotB-SalVentAttnA,8.545719,False
SomMotB-SalVentAttnB,1.302372,False
SomMotB-SomMotA,1.050441,False
SomMotB-SomMotB,0.0,True
