network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.827386,False
ContA-ContC,0.921991,False
ContA-DefaultA,0.931451,False
ContA-DefaultB,0.657422,False
ContA-DefaultC,0.103873,False
ContA-DorsAttnA,0.225258,False
ContA-DorsAttnB,1.629416,False
ContA-LimbicA,3.95124,False
ContA-LimbicB,4.262322,False
ContA-SalVentAttnA,1.275143,False
ContA-SalVentAttnB,2.625812,False
ContA-SomMotA,1.056768,False
ContA-SomMotB,1.251329,False
ContA-TempPar,1.032154,False
ContA-VisCent,1.068887,False
ContA-VisPeri,1.717292,False
ContB-ContA,7.426326,False
ContB-ContB,0.0,True
ContB-ContC,4.138837,False
ContB-DefaultA,4.168247,False
ContB-DefaultB,3.266441,False
ContB-DefaultC,1.731836,False
ContB-DorsAttnA,0.209216,False
ContB-DorsAttnB,0.927834,False
ContB-LimbicA,2.057283,False
ContB-LimbicB,3.047982,False
ContB-SalVentAttnA,0.811615,False
ContB-SalVentAttnB,2.920784,False
ContB-SomMotA,6.466735,False
ContB-SomMotB,0.611991,False
ContB-TempPar,3.138554,False
ContB-VisCent,0.000138,False
ContB-VisPeri,1.863604,False
ContC-ContA,2.91764,False
ContC-ContB,0.554359,False
ContC-ContC,0.0,True
ContC-DefaultA,10.853941,False
ContC-DefaultB,8.422049,False
ContC-DefaultC,3.924806,False
ContC-DorsAttnA,0.795039,False
ContC-DorsAttnB,0.742237,False
ContC-LimbicA,1.378968,False
ContC-LimbicB,5.980385,False
ContC-SalVentAttnA,2.339612,False
ContC-SalVentAttnB,0.574983,False
ContC-SomMotA,0.089221,False
ContC-SomMotB,0.803075,False
ContC-TempPar,0.81468,False
ContC-VisCent,1.301433,False
ContC-VisPeri,0.285237,False
DefaultA-ContA,9.766797,False
DefaultA-ContB,0.567941,False
DefaultA-ContC,7.809015,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.36974,False
DefaultA-DefaultC,4.917841,False
DefaultA-DorsAttnA,2.133765,False
DefaultA-DorsAttnB,2.241399,False
DefaultA-LimbicA,6.388471,False
DefaultA-LimbicB,16.839102,False
DefaultA-SalVentAttnA,12.257595,False
DefaultA-SalVentAttnB,3.99615,False
DefaultA-SomMotA,2.119259,False
DefaultA-SomMotB,2.829502,False
DefaultA-TempPar,1.29681,False
DefaultA-VisCent,2.49561,False
DefaultA-VisPeri,2.633184,False
DefaultB-ContA,4.941361,False
DefaultB-ContB,1.171235,False
DefaultB-ContC,2.767549,False
