network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.688646,False
ContA-ContC,4.296219,False
ContA-DefaultA,2.898503,False
ContA-DefaultB,0.016004,False
ContA-DefaultC,1.075067,False
ContA-DorsAttnA,0.134145,False
ContA-DorsAttnB,5.300653,False
ContA-LimbicA,27.287017,False
ContA-LimbicB,3.359203,False
ContA-SalVentAttnA,1.750334,False
ContA-SalVentAttnB,2.728045,False
ContA-SomMotA,1.489535,False
ContA-SomMotB,0.430614,False
ContA-TempPar,3.65403,False
ContA-VisCent,0.278941,False
ContA-VisPeri,1.253461,False
ContB-ContA,6.351983,False
ContB-ContB,0.0,True
ContB-ContC,0.251346,False
ContB-DefaultA,0.863136,False
ContB-DefaultB,3.221516,False
ContB-DefaultC,3.414507,False
ContB-DorsAttnA,0.038602,False
ContB-DorsAttnB,0.914867,False
ContB-LimbicA,7.791387,False
ContB-LimbicB,0.451479,False
ContB-SalVentAttnA,3.170609,False
ContB-SalVentAttnB,0.689965,False
ContB-SomMotA,0.515034,False
ContB-SomMotB,0.047218,False
ContB-TempPar,2.950332,False
ContB-VisCent,0.109739,False
ContB-VisPeri,0.090835,False
ContC-ContA,1.105888,False
ContC-ContB,0.141216,False
ContC-ContC,0.0,True
ContC-DefaultA,3.091103,False
ContC-DefaultB,0.474112,False
ContC-DefaultC,0.294135,False
ContC-DorsAttnA,2.03746,False
ContC-DorsAttnB,0.365401,False
ContC-LimbicA,0.159107,False
ContC-LimbicB,1.021503,False
ContC-SalVentAttnA,7.042799,False
ContC-SalVentAttnB,0.314144,False
ContC-SomMotA,3.588856,False
ContC-SomMotB,0.124007,False
ContC-TempPar,1.407505,False
ContC-VisCent,0.849898,False
ContC-VisPeri,4.137498,False
DefaultA-ContA,0.140546,False
DefaultA-ContB,0.449572,False
DefaultA-ContC,14.603945,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.104313,False
DefaultA-DefaultC,0.150356,False
DefaultA-DorsAttnA,4.386713,False
DefaultA-DorsAttnB,0.475582,False
DefaultA-LimbicA,3.627509,False
DefaultA-LimbicB,10.300591,False
DefaultA-SalVentAttnA,12.423268,False
DefaultA-SalVentAttnB,1.693262,False
DefaultA-SomMotA,4.574824,False
DefaultA-SomMotB,0.433011,False
DefaultA-TempPar,2.082822,False
DefaultA-VisCent,1.018069,False
DefaultA-VisPeri,4.47093,False
DefaultB-ContA,1.074725,False
DefaultB-ContB,3.694116,False
DefaultB-ContC,1.695397,False
DefaultB-DefaultA,0.528376,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.014703,False
DefaultB-DorsAttnA,0.142367,False
DefaultB-DorsAttnB,0.294922,False
DefaultB-LimbicA,0.231315,False
DefaultB-LimbicB,0.542423,False
DefaultB-SalVentAttnA,0.899694,False
DefaultB-SalVentAttnB,1.653519,False
DefaultB-SomMotA,0.100953,False
DefaultB-SomMotB,0.135263,False
DefaultB-TempPar,3.677926,False
DefaultB-VisCent,0.522414,False
DefaultB-VisPeri,0.051754,False
DefaultC-ContA,0.869107,False
DefaultC-ContB,0.324626,False
DefaultC-ContC,7.455679,False
DefaultC-DefaultA,2.87903,False
DefaultC-DefaultB,18.822336,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.644199,False
DefaultC-DorsAttnB,2.69333,False
DefaultC-LimbicA,0.233446,False
DefaultC-LimbicB,1.892165,False
DefaultC-SalVentAttnA,7.372085,False
DefaultC-SalVentAttnB,3.692441,False
DefaultC-SomMotA,1.571256,False
DefaultC-SomMotB,0.865104,False
DefaultC-TempPar,2.150831,False
DefaultC-VisCent,1.134632,False
DefaultC-VisPeri,0.707086,False
DorsAttnA-ContA,0.169778,False
DorsAttnA-ContB,0.379022,False
DorsAttnA-ContC,5.719253,False
DorsAttnA-DefaultA,2.985861,False
DorsAttnA-DefaultB,1.428095,False
DorsAttnA-DefaultC,0.089998,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,14.101004,False
DorsAttnA-LimbicA,1.380746,False
DorsAttnA-LimbicB,3.36568,False
DorsAttnA-SalVentAttnA,10.295182,False
DorsAttnA-SalVentAttnB,1.926849,False
DorsAttnA-SomMotA,3.508892,False
DorsAttnA-SomMotB,4.769365,False
DorsAttnA-TempPar,0.068301,False
DorsAttnA-VisCent,1.02762,False
DorsAttnA-VisPeri,1.182048,False
DorsAttnB-ContA,0.27504,False
DorsAttnB-ContB,1.337093,False
DorsAttnB-ContC,7.084358,False
DorsAttnB-DefaultA,5.461712,False
DorsAttnB-DefaultB,1.196269,False
DorsAttnB-DefaultC,0.143523,False
DorsAttnB-DorsAttnA,2.864249,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.013123,False
DorsAttnB-LimbicB,6.322247,False
DorsAttnB-SalVentAttnA,12.105723,False
DorsAttnB-SalVentAttnB,4.280518,False
DorsAttnB-SomMotA,3.679682,False
DorsAttnB-SomMotB,4.685888,False
DorsAttnB-TempPar,0.081522,False
DorsAttnB-VisCent,2.063275,False
DorsAttnB-VisPeri,0.528964,False
LimbicA-ContA,6.366863,False
LimbicA-ContB,5.93361,False
LimbicA-ContC,6.524027,False
LimbicA-DefaultA,3.638568,False
LimbicA-DefaultB,0.571125,False
LimbicA-DefaultC,0.088589,False
LimbicA-DorsAttnA,0.481606,False
LimbicA-DorsAttnB,4.290278,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,7.945915,False
LimbicA-SalVentAttnA,4.585678,False
LimbicA-SalVentAttnB,4.201204,False
LimbicA-SomMotA,2.610532,False
LimbicA-SomMotB,1.147768,False
LimbicA-TempPar,2.496062,False
LimbicA-VisCent,1.200078,False
LimbicA-VisPeri,0.489578,False
LimbicB-ContA,1.508675,False
LimbicB-ContB,0.885084,False
LimbicB-ContC,6.852937,False
LimbicB-DefaultA,13.993892,False
LimbicB-DefaultB,0.558282,False
LimbicB-DefaultC,4.629249,False
LimbicB-DorsAttnA,4.071704,False
LimbicB-DorsAttnB,1.304562,False
LimbicB-LimbicA,5.240076,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.968362,False
LimbicB-SalVentAttnB,5.647805,False
LimbicB-SomMotA,9.854932,False
LimbicB-SomMotB,1.050341,False
LimbicB-TempPar,3.605318,False
LimbicB-VisCent,1.359552,False
LimbicB-VisPeri,4.351933,False
SalVentAttnA-ContA,0.596866,False
SalVentAttnA-ContB,0.121132,False
SalVentAttnA-ContC,10.857807,False
SalVentAttnA-DefaultA,11.047179,False
SalVentAttnA-DefaultB,1.280255,False
SalVentAttnA-DefaultC,1.71294,False
SalVentAttnA-DorsAttnA,0.119759,False
SalVentAttnA-DorsAttnB,1.363614,False
SalVentAttnA-LimbicA,2.469881,False
SalVentAttnA-LimbicB,2.726832,False
