network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.895099,False
ContA-ContC,0.999483,False
ContA-DefaultA,4.932044,False
ContA-DefaultB,2.133738,False
ContA-DefaultC,3.742339,False
ContA-DorsAttnA,4.595596,False
ContA-DorsAttnB,0.818141,False
ContA-LimbicA,30.36212,False
ContA-LimbicB,5.314022,False
ContA-SalVentAttnA,5.677289,False
ContA-SalVentAttnB,5.868756,False
ContA-SomMotA,2.135841,False
ContA-SomMotB,2.456585,False
ContA-TempPar,0.567471,False
ContA-VisCent,0.075332,False
ContA-VisPeri,4.9423,False
ContB-ContA,1.153565,False
ContB-ContB,0.0,True
ContB-ContC,2.386121,False
ContB-DefaultA,5.963595,False
ContB-DefaultB,5.789572,False
ContB-DefaultC,0.679432,False
ContB-DorsAttnA,6.112627,False
ContB-DorsAttnB,2.466421,False
ContB-LimbicA,2.525135,False
ContB-LimbicB,6.858888,False
ContB-SalVentAttnA,8.539648,False
ContB-SalVentAttnB,3.090757,False
ContB-SomMotA,0.788328,False
ContB-SomMotB,2.588761,False
ContB-TempPar,1.188357,False
ContB-VisCent,0.500537,False
ContB-VisPeri,7.951589,False
ContC-ContA,2.202117,False
ContC-ContB,1.477523,False
ContC-ContC,0.0,True
ContC-DefaultA,4.174994,False
ContC-DefaultB,5.786311,False
ContC-DefaultC,3.519468,False
ContC-DorsAttnA,5.918515,False
ContC-DorsAttnB,0.522107,False
ContC-LimbicA,1.750514,False
ContC-LimbicB,1.040767,False
ContC-SalVentAttnA,1.006718,False
ContC-SalVentAttnB,0.529628,False
ContC-SomMotA,3.387598,False
ContC-SomMotB,0.321486,False
ContC-TempPar,1.501212,False
ContC-VisCent,1.226572,False
ContC-VisPeri,0.807393,False
DefaultA-ContA,1.782821,False
DefaultA-ContB,11.226928,False
DefaultA-ContC,7.808941,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.756872,False
DefaultA-DefaultC,0.276436,False
DefaultA-DorsAttnA,2.640238,False
DefaultA-DorsAttnB,0.625608,False
DefaultA-LimbicA,5.866382,False
DefaultA-LimbicB,9.467762,False
DefaultA-SalVentAttnA,5.569776,False
DefaultA-SalVentAttnB,1.210433,False
DefaultA-SomMotA,1.025029,False
DefaultA-SomMotB,3.954295,False
DefaultA-TempPar,0.782395,False
DefaultA-VisCent,1.368459,False
DefaultA-VisPeri,3.238947,False
DefaultB-ContA,0.845944,False
DefaultB-ContB,0.719082,False
DefaultB-ContC,0.054321,False
DefaultB-DefaultA,1.299598,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.312848,False
DefaultB-DorsAttnA,5.77831,False
DefaultB-DorsAttnB,0.959847,False
DefaultB-LimbicA,0.311779,False
DefaultB-LimbicB,1.06825,False
DefaultB-SalVentAttnA,2.216689,False
DefaultB-SalVentAttnB,0.621992,False
DefaultB-SomMotA,0.072366,False
