network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.072383,False
ContA-ContC,4.299802,False
ContA-DefaultA,3.302502,False
ContA-DefaultB,2.41429,False
ContA-DefaultC,0.219626,False
ContA-DorsAttnA,1.728127,False
ContA-DorsAttnB,1.555902,False
ContA-LimbicA,16.152181,False
ContA-LimbicB,3.318193,False
ContA-SalVentAttnA,2.289662,False
ContA-SalVentAttnB,0.146981,False
ContA-SomMotA,6.32611,False
ContA-SomMotB,2.002933,False
ContA-TempPar,0.361987,False
ContA-VisCent,1.754209,False
ContA-VisPeri,3.370516,False
ContB-ContA,6.622066,False
ContB-ContB,0.0,True
ContB-ContC,3.13536,False
ContB-DefaultA,1.242211,False
ContB-DefaultB,3.157402,False
ContB-DefaultC,0.545734,False
ContB-DorsAttnA,3.654396,False
ContB-DorsAttnB,0.089458,False
ContB-LimbicA,7.04889,False
ContB-LimbicB,0.982301,False
ContB-SalVentAttnA,6.5406,False
ContB-SalVentAttnB,0.91528,False
ContB-SomMotA,9.623993,False
ContB-SomMotB,7.673281,False
ContB-TempPar,2.068351,False
ContB-VisCent,2.080736,False
ContB-VisPeri,3.605685,False
ContC-ContA,0.1224,False
ContC-ContB,1.065843,False
ContC-ContC,0.0,True
ContC-DefaultA,12.427736,False
ContC-DefaultB,2.890712,False
ContC-DefaultC,1.823094,False
ContC-DorsAttnA,1.158495,False
ContC-DorsAttnB,0.920796,False
ContC-LimbicA,0.08695,False
ContC-LimbicB,3.932887,False
ContC-SalVentAttnA,2.105301,False
ContC-SalVentAttnB,2.593184,False
ContC-SomMotA,0.516479,False
ContC-SomMotB,2.187976,False
ContC-TempPar,7.549277,False
ContC-VisCent,2.265114,False
ContC-VisPeri,1.155473,False
DefaultA-ContA,1.094328,False
DefaultA-ContB,1.72762,False
DefaultA-ContC,12.192727,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.550694,False
DefaultA-DefaultC,3.158243,False
DefaultA-DorsAttnA,8.647422,False
DefaultA-DorsAttnB,2.537703,False
DefaultA-LimbicA,3.009053,False
DefaultA-LimbicB,14.707353,False
DefaultA-SalVentAttnA,1.382026,False
DefaultA-SalVentAttnB,10.134266,False
DefaultA-SomMotA,3.072606,False
DefaultA-SomMotB,5.176323,False
DefaultA-TempPar,1.409625,False
DefaultA-VisCent,2.115053,False
DefaultA-VisPeri,2.043753,False
DefaultB-ContA,0.351143,False
DefaultB-ContB,1.36178,False
DefaultB-ContC,9.173898,False
DefaultB-DefaultA,6.794967,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.784564,False
DefaultB-DorsAttnA,4.284944,False
DefaultB-DorsAttnB,1.230762,False
DefaultB-LimbicA,0.348442,False
DefaultB-LimbicB,6.649496,False
DefaultB-SalVentAttnA,2.606406,False
DefaultB-SalVentAttnB,2.79486,False
DefaultB-SomMotA,4.767633,False
DefaultB-SomMotB,1.02559,False
DefaultB-TempPar,0.044378,False
DefaultB-VisCent,3.663077,False
DefaultB-VisPeri,4.377447,False
DefaultC-ContA,2.534376,False
DefaultC-ContB,12.876808,False
DefaultC-ContC,3.757749,False
DefaultC-DefaultA,2.225436,False
DefaultC-DefaultB,28.109635,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.394367,False
DefaultC-DorsAttnB,0.479816,False
DefaultC-LimbicA,3.835967,False
DefaultC-LimbicB,3.743889,False
DefaultC-SalVentAttnA,5.49568,False
DefaultC-SalVentAttnB,1.461413,False
DefaultC-SomMotA,3.224661,False
DefaultC-SomMotB,1.342078,False
DefaultC-TempPar,1.92702,False
DefaultC-VisCent,1.418722,False
DefaultC-VisPeri,0.358541,False
DorsAttnA-ContA,2.536135,False
DorsAttnA-ContB,1.374041,False
DorsAttnA-ContC,0.34678,False
DorsAttnA-DefaultA,7.858113,False
DorsAttnA-DefaultB,14.598308,False
DorsAttnA-DefaultC,14.689211,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.159299,False
DorsAttnA-LimbicA,1.155649,False
