network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.335676,False
ContA-ContC,1.388069,False
ContA-DefaultA,0.56874,False
ContA-DefaultB,1.237602,False
ContA-DefaultC,0.028588,False
ContA-DorsAttnA,1.348907,False
ContA-DorsAttnB,1.30848,False
ContA-LimbicA,6.922286,False
ContA-LimbicB,4.172531,False
ContA-SalVentAttnA,1.643025,False
ContA-SalVentAttnB,4.38901,False
ContA-SomMotA,2.613378,False
ContA-SomMotB,7.207905,False
ContA-TempPar,2.893335,False
ContA-VisCent,12.043266,False
ContA-VisPeri,3.45958,False
ContB-ContA,4.810429,False
ContB-ContB,0.0,True
ContB-ContC,1.050071,False
ContB-DefaultA,0.677248,False
ContB-DefaultB,3.105399,False
ContB-DefaultC,1.294479,False
ContB-DorsAttnA,1.10938,False
ContB-DorsAttnB,1.599338,False
ContB-LimbicA,7.661663,False
ContB-LimbicB,3.578232,False
ContB-SalVentAttnA,0.410671,False
ContB-SalVentAttnB,0.59435,False
ContB-SomMotA,6.703829,False
ContB-SomMotB,3.508726,False
ContB-TempPar,0.410163,False
ContB-VisCent,1.717878,False
ContB-VisPeri,7.656745,False
ContC-ContA,1.158593,False
ContC-ContB,1.651899,False
ContC-ContC,0.0,True
ContC-DefaultA,5.471385,False
ContC-DefaultB,1.619639,False
ContC-DefaultC,1.783624,False
ContC-DorsAttnA,0.932565,False
ContC-DorsAttnB,0.756798,False
ContC-LimbicA,8.720581,False
ContC-LimbicB,5.263525,False
ContC-SalVentAttnA,1.771324,False
ContC-SalVentAttnB,1.610823,False
ContC-SomMotA,1.069874,False
ContC-SomMotB,3.581637,False
ContC-TempPar,2.212331,False
ContC-VisCent,4.619755,False
ContC-VisPeri,0.373409,False
DefaultA-ContA,4.447858,False
DefaultA-ContB,0.591672,False
DefaultA-ContC,22.746882,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.94494,False
DefaultA-DefaultC,2.259471,False
DefaultA-DorsAttnA,4.057465,False
DefaultA-DorsAttnB,0.081052,False
DefaultA-LimbicA,9.807243,False
DefaultA-LimbicB,7.673835,False
DefaultA-SalVentAttnA,1.807141,False
DefaultA-SalVentAttnB,4.105409,False
DefaultA-SomMotA,3.004893,False
DefaultA-SomMotB,2.206852,False
DefaultA-TempPar,4.857078,False
DefaultA-VisCent,4.406387,False
DefaultA-VisPeri,0.62545,False
DefaultB-ContA,4.580725,False
DefaultB-ContB,0.437588,False
DefaultB-ContC,5.491687,False
DefaultB-DefaultA,3.469563,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.111067,False
DefaultB-DorsAttnA,2.07484,False
DefaultB-DorsAttnB,0.65797,False
DefaultB-LimbicA,2.348165,False
DefaultB-LimbicB,3.777166,False
DefaultB-SalVentAttnA,0.72853,False
DefaultB-SalVentAttnB,0.124601,False
DefaultB-SomMotA,7.237126,False
DefaultB-SomMotB,3.978438,False
DefaultB-TempPar,2.156397,False
DefaultB-VisCent,2.929836,False
DefaultB-VisPeri,3.0897,False
DefaultC-ContA,1.834905,False
DefaultC-ContB,1.249277,False
DefaultC-ContC,1.060281,False
DefaultC-DefaultA,0.231656,False
DefaultC-DefaultB,7.160581,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.384497,False
DefaultC-DorsAttnB,2.217874,False
DefaultC-LimbicA,1.050853,False
DefaultC-LimbicB,0.200602,False
DefaultC-SalVentAttnA,4.675988,False
DefaultC-SalVentAttnB,2.912416,False
DefaultC-SomMotA,3.643727,False
DefaultC-SomMotB,3.034977,False
DefaultC-TempPar,0.698824,False
DefaultC-VisCent,3.391392,False
DefaultC-VisPeri,2.741187,False
DorsAttnA-ContA,0.926214,False
DorsAttnA-ContB,0.538854,False
DorsAttnA-ContC,0.54959,False
