network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.999427,False
ContA-ContC,2.993018,False
ContA-DefaultA,3.439753,False
ContA-DefaultB,3.701598,False
ContA-DefaultC,0.382791,False
ContA-DorsAttnA,1.403647,False
ContA-DorsAttnB,1.403891,False
ContA-LimbicA,17.759794,False
ContA-LimbicB,11.13253,False
ContA-SalVentAttnA,2.493642,False
ContA-SalVentAttnB,5.673718,False
ContA-SomMotA,8.049291,False
ContA-SomMotB,3.818045,False
ContA-TempPar,0.139684,False
ContA-VisCent,7.0046,False
ContA-VisPeri,3.094309,False
ContB-ContA,13.217089,False
ContB-ContB,0.0,True
ContB-ContC,2.833421,False
ContB-DefaultA,1.034955,False
ContB-DefaultB,4.86013,False
ContB-DefaultC,1.837533,False
ContB-DorsAttnA,2.76283,False
ContB-DorsAttnB,6.6732,False
ContB-LimbicA,6.953686,False
ContB-LimbicB,3.076615,False
ContB-SalVentAttnA,3.250292,False
ContB-SalVentAttnB,1.444117,False
ContB-SomMotA,7.66275,False
ContB-SomMotB,2.130145,False
ContB-TempPar,0.201588,False
ContB-VisCent,0.158061,False
ContB-VisPeri,16.335261,False
ContC-ContA,6.785539,False
ContC-ContB,1.861215,False
ContC-ContC,0.0,True
ContC-DefaultA,41.604308,False
ContC-DefaultB,15.073678,False
ContC-DefaultC,2.711607,False
ContC-DorsAttnA,19.855313,False
ContC-DorsAttnB,0.919289,False
ContC-LimbicA,18.096793,False
ContC-LimbicB,24.310068,False
ContC-SalVentAttnA,0.803525,False
ContC-SalVentAttnB,11.937328,False
ContC-SomMotA,2.878898,False
ContC-SomMotB,1.819348,False
ContC-TempPar,4.377286,False
ContC-VisCent,6.05063,False
ContC-VisPeri,4.267835,False
DefaultA-ContA,6.805646,False
DefaultA-ContB,4.298028,False
DefaultA-ContC,23.867313,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.039398,False
DefaultA-DefaultC,8.787273,False
DefaultA-DorsAttnA,13.787484,False
DefaultA-DorsAttnB,7.049787,False
DefaultA-LimbicA,11.335764,False
DefaultA-LimbicB,11.220389,False
DefaultA-SalVentAttnA,0.71453,False
DefaultA-SalVentAttnB,8.481775,False
DefaultA-SomMotA,1.644963,False
DefaultA-SomMotB,0.689655,False
DefaultA-TempPar,2.262985,False
DefaultA-VisCent,9.315295,False
DefaultA-VisPeri,2.122513,False
DefaultB-ContA,1.421122,False
DefaultB-ContB,0.274944,False
DefaultB-ContC,2.61086,False
DefaultB-DefaultA,2.892148,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.147994,False
DefaultB-DorsAttnA,6.2766,False
DefaultB-DorsAttnB,0.654168,False
DefaultB-LimbicA,2.482818,False
DefaultB-LimbicB,7.451418,False
DefaultB-SalVentAttnA,2.859335,False
DefaultB-SalVentAttnB,2.239454,False
DefaultB-SomMotA,0.826015,False
DefaultB-SomMotB,4.520327,False
DefaultB-TempPar,0.695514,False
DefaultB-VisCent,2.646867,False
DefaultB-VisPeri,0.186192,False
DefaultC-ContA,5.779635,False
DefaultC-ContB,3.860378,False
DefaultC-ContC,4.595912,False
DefaultC-DefaultA,10.534483,False
DefaultC-DefaultB,10.152482,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.973586,False
DefaultC-DorsAttnB,3.418004,False
DefaultC-LimbicA,10.364448,False
DefaultC-LimbicB,4.025932,False
DefaultC-SalVentAttnA,2.114992,False
DefaultC-SalVentAttnB,1.928897,False
DefaultC-SomMotA,5.665929,False
DefaultC-SomMotB,0.014969,False
DefaultC-TempPar,1.606392,False
DefaultC-VisCent,1.925296,False
DefaultC-VisPeri,6.992226,False
DorsAttnA-ContA,5.107959,False
DorsAttnA-ContB,0.045251,False
DorsAttnA-ContC,12.94781,False
DorsAttnA-DefaultA,13.440997,False
DorsAttnA-DefaultB,21.153701,False
DorsAttnA-DefaultC,0.331888,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.159886,False
DorsAttnA-LimbicA,7.977901,False
DorsAttnA-LimbicB,7.253182,False
DorsAttnA-SalVentAttnA,4.233553,False
DorsAttnA-SalVentAttnB,7.713002,False
DorsAttnA-SomMotA,1.014521,False
DorsAttnA-SomMotB,1.415556,False
DorsAttnA-TempPar,0.405502,False
DorsAttnA-VisCent,5.346542,False
DorsAttnA-VisPeri,0.523388,False
DorsAttnB-ContA,1.857415,False
DorsAttnB-ContB,1.723442,False
DorsAttnB-ContC,13.235501,False
DorsAttnB-DefaultA,11.554818,False
DorsAttnB-DefaultB,9.123933,False
DorsAttnB-DefaultC,0.827176,False
DorsAttnB-DorsAttnA,5.57239,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.437487,False
DorsAttnB-LimbicB,6.522853,False
DorsAttnB-SalVentAttnA,2.280756,False
DorsAttnB-SalVentAttnB,8.444076,False
DorsAttnB-SomMotA,0.397254,False
DorsAttnB-SomMotB,3.651488,False
DorsAttnB-TempPar,4.858072,False
DorsAttnB-VisCent,9.779394,False
DorsAttnB-VisPeri,0.224583,False
LimbicA-ContA,8.83717,False
LimbicA-ContB,1.068713,False
LimbicA-ContC,5.42324,False
LimbicA-DefaultA,5.220994,False
LimbicA-DefaultB,0.096535,False
LimbicA-DefaultC,0.332372,False
LimbicA-DorsAttnA,3.81631,False
LimbicA-DorsAttnB,1.370014,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.419439,False
LimbicA-SalVentAttnA,1.442179,False
LimbicA-SalVentAttnB,6.63077,False
LimbicA-SomMotA,1.835958,False
LimbicA-SomMotB,3.707553,False
LimbicA-TempPar,0.815952,False
LimbicA-VisCent,3.071907,False
LimbicA-VisPeri,3.630215,False
LimbicB-ContA,2.20708,False
LimbicB-ContB,0.887479,False
LimbicB-ContC,10.763806,False
LimbicB-DefaultA,6.34289,False
LimbicB-DefaultB,1.624107,False
LimbicB-DefaultC,0.537082,False
LimbicB-DorsAttnA,3.334358,False
LimbicB-DorsAttnB,2.443233,False
LimbicB-LimbicA,10.866025,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,5.77217,False
LimbicB-SalVentAttnB,4.857468,False
LimbicB-SomMotA,1.339658,False
LimbicB-SomMotB,0.113102,False
LimbicB-TempPar,2.999461,False
LimbicB-VisCent,0.883864,False
LimbicB-VisPeri,0.3384,False
SalVentAttnA-ContA,0.15762,False
SalVentAttnA-ContB,0.877023,False
SalVentAttnA-ContC,4.007029,False
SalVentAttnA-DefaultA,1.625751,False
SalVentAttnA-DefaultB,2.611502,False
SalVentAttnA-DefaultC,1.481366,False
SalVentAttnA-DorsAttnA,1.481069,False
SalVentAttnA-DorsAttnB,0.030491,False
SalVentAttnA-LimbicA,0.311417,False
SalVentAttnA-LimbicB,1.081648,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.312147,False
SalVentAttnA-SomMotA,4.898852,False
SalVentAttnA-SomMotB,0.760734,False
SalVentAttnA-TempPar,2.229911,False
SalVentAttnA-VisCent,0.676262,False
SalVentAttnA-VisPeri,2.489067,False
SalVentAttnB-ContA,2.004125,False
SalVentAttnB-ContB,0.044171,False
SalVentAttnB-ContC,7.032574,False
SalVentAttnB-DefaultA,6.862784,False
SalVentAttnB-DefaultB,3.556407,False
SalVentAttnB-DefaultC,0.690088,False
SalVentAttnB-DorsAttnA,3.73459,False
SalVentAttnB-DorsAttnB,5.384699,False
SalVentAttnB-LimbicA,12.432242,False
SalVentAttnB-LimbicB,33.223909,False
SalVentAttnB-SalVentAttnA,11.611611,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,6.441772,False
