network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.492864,False
ContA-ContC,11.236922,False
ContA-DefaultA,11.854775,False
ContA-DefaultB,18.212994,False
ContA-DefaultC,1.345533,False
ContA-DorsAttnA,7.274434,False
ContA-DorsAttnB,2.676301,False
ContA-LimbicA,39.90619,False
ContA-LimbicB,26.915492,False
ContA-SalVentAttnA,2.981343,False
ContA-SalVentAttnB,5.960701,False
ContA-SomMotA,2.040657,False
ContA-SomMotB,2.844094,False
ContA-TempPar,0.308528,False
ContA-VisCent,5.252259,False
ContA-VisPeri,5.766693,False
ContB-ContA,17.510237,False
ContB-ContB,0.0,True
ContB-ContC,19.512704,False
ContB-DefaultA,10.314441,False
ContB-DefaultB,18.258427,False
ContB-DefaultC,1.254756,False
ContB-DorsAttnA,5.462115,False
ContB-DorsAttnB,0.173018,False
ContB-LimbicA,26.223746,False
ContB-LimbicB,22.29372,False
ContB-SalVentAttnA,11.82819,False
ContB-SalVentAttnB,4.11689,False
ContB-SomMotA,8.866592,False
ContB-SomMotB,7.950949,False
ContB-TempPar,3.426285,False
ContB-VisCent,2.034211,False
ContB-VisPeri,17.278192,False
ContC-ContA,6.58025,False
ContC-ContB,1.25703,False
ContC-ContC,0.0,True
ContC-DefaultA,8.746226,False
ContC-DefaultB,9.470924,False
ContC-DefaultC,0.194708,False
ContC-DorsAttnA,9.586919,False
ContC-DorsAttnB,1.562455,False
ContC-LimbicA,25.1507,False
ContC-LimbicB,22.246704,False
ContC-SalVentAttnA,5.585708,False
ContC-SalVentAttnB,2.242057,False
ContC-SomMotA,3.148655,False
ContC-SomMotB,3.746117,False
ContC-TempPar,1.706556,False
ContC-VisCent,0.669962,False
ContC-VisPeri,5.767879,False
DefaultA-ContA,16.393569,False
DefaultA-ContB,4.494193,False
DefaultA-ContC,49.302649,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,25.320783,False
DefaultA-DefaultC,0.3714,False
DefaultA-DorsAttnA,12.787222,False
DefaultA-DorsAttnB,2.687505,False
DefaultA-LimbicA,31.954831,False
DefaultA-LimbicB,24.32494,False
DefaultA-SalVentAttnA,7.389221,False
DefaultA-SalVentAttnB,0.590135,False
DefaultA-SomMotA,3.231555,False
DefaultA-SomMotB,5.081766,False
DefaultA-TempPar,0.448265,False
DefaultA-VisCent,2.435835,False
DefaultA-VisPeri,5.970201,False
DefaultB-ContA,7.726135,False
DefaultB-ContB,4.374015,False
DefaultB-ContC,18.945948,False
DefaultB-DefaultA,2.228832,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.67154,False
DefaultB-DorsAttnA,11.300958,False
DefaultB-DorsAttnB,5.1595,False
DefaultB-LimbicA,11.463336,False
DefaultB-LimbicB,21.630699,False
DefaultB-SalVentAttnA,4.388504,False
DefaultB-SalVentAttnB,1.795752,False
DefaultB-SomMotA,5.132162,False
DefaultB-SomMotB,2.115437,False
DefaultB-TempPar,1.219606,False
DefaultB-VisCent,0.865891,False
DefaultB-VisPeri,10.118145,False
DefaultC-ContA,1.349414,False
DefaultC-ContB,2.07033,False
DefaultC-ContC,0.154885,False
DefaultC-DefaultA,3.58552,False
DefaultC-DefaultB,2.218499,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.645752,False
DefaultC-DorsAttnB,1.168855,False
DefaultC-LimbicA,2.638247,False
DefaultC-LimbicB,0.629319,False
DefaultC-SalVentAttnA,1.75124,False
DefaultC-SalVentAttnB,3.497591,False
DefaultC-SomMotA,4.910526,False
DefaultC-SomMotB,0.297289,False
DefaultC-TempPar,1.344728,False
DefaultC-VisCent,1.276575,False
DefaultC-VisPeri,6.884362,False
DorsAttnA-ContA,0.640947,False
DorsAttnA-ContB,4.295916,False
DorsAttnA-ContC,8.348018,False
DorsAttnA-DefaultA,2.668708,False
DorsAttnA-DefaultB,2.676452,False
DorsAttnA-DefaultC,3.554187,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.195691,False
DorsAttnA-LimbicA,2.281203,False
DorsAttnA-LimbicB,2.299593,False
DorsAttnA-SalVentAttnA,5.173106,False
DorsAttnA-SalVentAttnB,2.277441,False
DorsAttnA-SomMotA,3.019445,False
DorsAttnA-SomMotB,0.638978,False
DorsAttnA-TempPar,3.438212,False
DorsAttnA-VisCent,0.495406,False
DorsAttnA-VisPeri,0.701702,False
DorsAttnB-ContA,0.086656,False
DorsAttnB-ContB,1.936333,False
DorsAttnB-ContC,0.415725,False
DorsAttnB-DefaultA,0.027439,False
DorsAttnB-DefaultB,0.507117,False
DorsAttnB-DefaultC,0.304269,False
DorsAttnB-DorsAttnA,5.923401,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.174595,False
