network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.156223,False
ContA-ContC,0.68849,False
ContA-DefaultA,4.236187,False
ContA-DefaultB,5.640743,False
ContA-DefaultC,2.405127,False
ContA-DorsAttnA,7.475913,False
ContA-DorsAttnB,1.550658,False
ContA-LimbicA,27.890425,False
ContA-LimbicB,12.917345,False
ContA-SalVentAttnA,0.51095,False
ContA-SalVentAttnB,7.164935,False
ContA-SomMotA,12.086479,False
ContA-SomMotB,0.294896,False
ContA-TempPar,3.572172,False
ContA-VisCent,1.092572,False
ContA-VisPeri,4.831203,False
ContB-ContA,6.067437,False
ContB-ContB,0.0,True
ContB-ContC,7.313126,False
ContB-DefaultA,5.094643,False
ContB-DefaultB,3.947179,False
ContB-DefaultC,1.247019,False
ContB-DorsAttnA,1.422935,False
ContB-DorsAttnB,9.309515,False
ContB-LimbicA,3.918088,False
ContB-LimbicB,7.64038,False
ContB-SalVentAttnA,2.228119,False
ContB-SalVentAttnB,4.744456,False
ContB-SomMotA,7.199103,False
ContB-SomMotB,1.825253,False
ContB-TempPar,2.201283,False
ContB-VisCent,0.298985,False
ContB-VisPeri,4.454388,False
ContC-ContA,0.064466,False
ContC-ContB,0.024658,False
ContC-ContC,0.0,True
ContC-DefaultA,6.492322,False
ContC-DefaultB,0.61652,False
ContC-DefaultC,0.881706,False
ContC-DorsAttnA,0.32991,False
ContC-DorsAttnB,0.895682,False
ContC-LimbicA,0.630985,False
ContC-LimbicB,1.887062,False
ContC-SalVentAttnA,1.073453,False
ContC-SalVentAttnB,1.162208,False
ContC-SomMotA,3.650017,False
ContC-SomMotB,0.768998,False
ContC-TempPar,0.301098,False
ContC-VisCent,0.174547,False
ContC-VisPeri,0.655139,False
DefaultA-ContA,3.055868,False
DefaultA-ContB,0.205961,False
DefaultA-ContC,16.065698,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.790181,False
DefaultA-DefaultC,0.306848,False
DefaultA-DorsAttnA,0.490519,False
DefaultA-DorsAttnB,0.372003,False
DefaultA-LimbicA,4.791524,False
DefaultA-LimbicB,7.710062,False
DefaultA-SalVentAttnA,1.465048,False
DefaultA-SalVentAttnB,8.683731,False
DefaultA-SomMotA,3.020209,False
DefaultA-SomMotB,0.564598,False
DefaultA-TempPar,6.903951,False
DefaultA-VisCent,1.130389,False
DefaultA-VisPeri,4.230702,False
DefaultB-ContA,1.908571,False
DefaultB-ContB,1.060493,False
DefaultB-ContC,2.758635,False
DefaultB-DefaultA,5.698403,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.530993,False
DefaultB-DorsAttnA,2.43877,False
DefaultB-DorsAttnB,1.721998,False
DefaultB-LimbicA,1.598366,False
DefaultB-LimbicB,4.198973,False
DefaultB-SalVentAttnA,0.260444,False
DefaultB-SalVentAttnB,1.265262,False
DefaultB-SomMotA,5.701137,False
DefaultB-SomMotB,1.053192,False
DefaultB-TempPar,0.795448,False
DefaultB-VisCent,1.556341,False
DefaultB-VisPeri,3.55181,False
DefaultC-ContA,1.049052,False
DefaultC-ContB,1.24799,False
DefaultC-ContC,0.01797,False
DefaultC-DefaultA,1.433068,False
DefaultC-DefaultB,25.044921,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.128621,False
DefaultC-DorsAttnB,0.670637,False
DefaultC-LimbicA,0.310676,False
DefaultC-LimbicB,0.117913,False
DefaultC-SalVentAttnA,0.596547,False
DefaultC-SalVentAttnB,0.162426,False
DefaultC-SomMotA,8.940987,False
DefaultC-SomMotB,3.620808,False
DefaultC-TempPar,12.311647,False
DefaultC-VisCent,4.841107,False
DefaultC-VisPeri,4.427517,False
