network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.468564,False
ContA-ContC,0.792823,False
ContA-DefaultA,2.444191,False
ContA-DefaultB,9.623421,False
ContA-DefaultC,1.42302,False
ContA-DorsAttnA,1.769633,False
ContA-DorsAttnB,4.87466,False
ContA-LimbicA,9.704376,False
ContA-LimbicB,17.686383,False
ContA-SalVentAttnA,1.220899,False
ContA-SalVentAttnB,0.780998,False
ContA-SomMotA,14.061332,False
ContA-SomMotB,6.317408,False
ContA-TempPar,3.711293,False
ContA-VisCent,0.875663,False
ContA-VisPeri,4.49293,False
ContB-ContA,5.906156,False
ContB-ContB,0.0,True
ContB-ContC,6.560667,False
ContB-DefaultA,12.105042,False
ContB-DefaultB,16.520708,False
ContB-DefaultC,4.991043,False
ContB-DorsAttnA,8.565194,False
ContB-DorsAttnB,0.417256,False
ContB-LimbicA,10.188712,False
ContB-LimbicB,4.670764,False
ContB-SalVentAttnA,0.64672,False
ContB-SalVentAttnB,2.82113,False
ContB-SomMotA,12.345607,False
ContB-SomMotB,22.206721,False
ContB-TempPar,0.889628,False
ContB-VisCent,0.37095,False
ContB-VisPeri,3.744052,False
ContC-ContA,2.704576,False
ContC-ContB,3.924849,False
ContC-ContC,0.0,True
ContC-DefaultA,33.648731,False
ContC-DefaultB,17.770449,False
ContC-DefaultC,0.613054,False
ContC-DorsAttnA,2.148426,False
ContC-DorsAttnB,3.42713,False
ContC-LimbicA,8.130962,False
ContC-LimbicB,13.366163,False
ContC-SalVentAttnA,0.724517,False
ContC-SalVentAttnB,4.038709,False
ContC-SomMotA,3.323619,False
ContC-SomMotB,16.694226,False
ContC-TempPar,2.667507,False
ContC-VisCent,7.850316,False
ContC-VisPeri,1.869409,False
DefaultA-ContA,2.196177,False
DefaultA-ContB,3.279645,False
DefaultA-ContC,11.939735,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.110689,False
DefaultA-DefaultC,4.730292,False
DefaultA-DorsAttnA,1.968193,False
DefaultA-DorsAttnB,3.934486,False
DefaultA-LimbicA,10.248301,False
DefaultA-LimbicB,23.558756,False
DefaultA-SalVentAttnA,1.293103,False
DefaultA-SalVentAttnB,8.707639,False
DefaultA-SomMotA,4.306849,False
DefaultA-SomMotB,13.45946,False
DefaultA-TempPar,3.996939,False
DefaultA-VisCent,3.247023,False
DefaultA-VisPeri,2.578785,False
DefaultB-ContA,2.378528,False
DefaultB-ContB,7.566754,False
DefaultB-ContC,2.657793,False
DefaultB-DefaultA,4.87586,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.275991,False
DefaultB-DorsAttnA,13.855412,False
DefaultB-DorsAttnB,1.15541,False
DefaultB-LimbicA,0.223564,False
DefaultB-LimbicB,13.37686,False
DefaultB-SalVentAttnA,0.130734,False
DefaultB-SalVentAttnB,2.458274,False
DefaultB-SomMotA,2.005288,False
DefaultB-SomMotB,10.167196,False
DefaultB-TempPar,0.491137,False
DefaultB-VisCent,2.347449,False
DefaultB-VisPeri,2.213332,False
DefaultC-ContA,1.644781,False
DefaultC-ContB,4.512136,False
DefaultC-ContC,0.130916,False
DefaultC-DefaultA,0.119864,False
DefaultC-DefaultB,3.21599,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,14.925833,False
DefaultC-DorsAttnB,3.553411,False
DefaultC-LimbicA,0.001332,False
DefaultC-LimbicB,2.050358,False
DefaultC-SalVentAttnA,0.511381,False
DefaultC-SalVentAttnB,0.635945,False
DefaultC-SomMotA,6.390736,False
DefaultC-SomMotB,0.142194,False
DefaultC-TempPar,1.772969,False
DefaultC-VisCent,4.309849,False
DefaultC-VisPeri,4.698385,False
DorsAttnA-ContA,2.527374,False
DorsAttnA-ContB,4.874349,False
DorsAttnA-ContC,2.199589,False
DorsAttnA-DefaultA,0.397399,False
DorsAttnA-DefaultB,5.365595,False
DorsAttnA-DefaultC,7.303288,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.841302,False
DorsAttnA-LimbicA,0.962382,False
DorsAttnA-LimbicB,0.783406,False
DorsAttnA-SalVentAttnA,0.525259,False
DorsAttnA-SalVentAttnB,1.334525,False
DorsAttnA-SomMotA,2.062447,False
DorsAttnA-SomMotB,1.490288,False
DorsAttnA-TempPar,3.05688,False
DorsAttnA-VisCent,1.454157,False
DorsAttnA-VisPeri,0.172675,False
DorsAttnB-ContA,2.059771,False
DorsAttnB-ContB,3.933314,False
DorsAttnB-ContC,1.482626,False
DorsAttnB-DefaultA,2.019448,False
DorsAttnB-DefaultB,5.281653,False
DorsAttnB-DefaultC,1.529631,False
DorsAttnB-DorsAttnA,4.787971,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.253079,False
DorsAttnB-LimbicB,0.962737,False
DorsAttnB-SalVentAttnA,1.714638,False
DorsAttnB-SalVentAttnB,0.418913,False
DorsAttnB-SomMotA,2.729041,False
DorsAttnB-SomMotB,4.862956,False
DorsAttnB-TempPar,0.211727,False
DorsAttnB-VisCent,0.880326,False
DorsAttnB-VisPeri,1.453101,False
LimbicA-ContA,19.024281,False
LimbicA-ContB,8.865581,False
LimbicA-ContC,6.070065,False
LimbicA-DefaultA,10.679117,False
LimbicA-DefaultB,7.509665,False
LimbicA-DefaultC,0.130178,False
LimbicA-DorsAttnA,0.572615,False
LimbicA-DorsAttnB,8.547719,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,20.147897,False
LimbicA-SalVentAttnA,1.332816,False
LimbicA-SalVentAttnB,11.693132,False
LimbicA-SomMotA,7.058538,False
LimbicA-SomMotB,4.70469,False
LimbicA-TempPar,2.299655,False
LimbicA-VisCent,0.355974,False
LimbicA-VisPeri,3.26898,False
LimbicB-ContA,2.75993,False
LimbicB-ContB,2.005749,False
LimbicB-ContC,1.670844,False
LimbicB-DefaultA,0.209793,False
LimbicB-DefaultB,1.868783,False
LimbicB-DefaultC,1.753834,False
LimbicB-DorsAttnA,0.039821,False
LimbicB-DorsAttnB,0.909529,False
LimbicB-LimbicA,4.375093,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,6.059697,False
LimbicB-SalVentAttnB,6.837946,False
LimbicB-SomMotA,2.480177,False
LimbicB-SomMotB,0.820029,False
LimbicB-TempPar,1.507454,False
LimbicB-VisCent,0.663907,False
LimbicB-VisPeri,1.906591,False
SalVentAttnA-ContA,5.813024,False
SalVentAttnA-ContB,0.160834,False
SalVentAttnA-ContC,1.170191,False
SalVentAttnA-DefaultA,0.523199,False
SalVentAttnA-DefaultB,0.073056,False
SalVentAttnA-DefaultC,0.485003,False
SalVentAttnA-DorsAttnA,1.161618,False
SalVentAttnA-DorsAttnB,0.136122,False
SalVentAttnA-LimbicA,4.632877,False
SalVentAttnA-LimbicB,3.008948,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.807884,False
SalVentAttnA-SomMotA,1.356458,False
SalVentAttnA-SomMotB,0.813179,False
SalVentAttnA-TempPar,5.606598,False
SalVentAttnA-VisCent,0.289264,False
SalVentAttnA-VisPeri,0.708675,False
SalVentAttnB-ContA,14.136275,False
SalVentAttnB-ContB,1.100032,False
SalVentAttnB-ContC,1.073007,False
SalVentAttnB-DefaultA,0.802469,False
SalVentAttnB-DefaultB,2.066914,False
SalVentAttnB-DefaultC,0.172576,False
SalVentAttnB-DorsAttnA,0.613516,False
SalVentAttnB-DorsAttnB,2.881209,False
SalVentAttnB-LimbicA,14.161179,False
SalVentAttnB-LimbicB,32.36207,False
SalVentAttnB-SalVentAttnA,15.78295,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.580851,False
SalVentAttnB-SomMotB,1.531121,False
SalVentAttnB-TempPar,4.144308,False
SalVentAttnB-VisCent,1.373116,False
SalVentAttnB-VisPeri,3.792131,False
SomMotA-ContA,12.007142,False
SomMotA-ContB,10.267098,False
SomMotA-ContC,1.103994,False
SomMotA-DefaultA,2.25721,False
SomMotA-DefaultB,14.531592,False
SomMotA-DefaultC,10.155299,False
SomMotA-DorsAttnA,2.091817,False
SomMotA-DorsAttnB,1.108438,False
SomMotA-LimbicA,14.793249,False
SomMotA-LimbicB,16.036034,False
SomMotA-SalVentAttnA,3.98267,False
SomMotA-SalVentAttnB,10.487575,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,6.792069,False
SomMotA-TempPar,9.258911,False
SomMotA-VisCent,5.336052,False
SomMotA-VisPeri,13.42416,False
SomMotB-ContA,4.739515,False
SomMotB-ContB,14.298461,False
SomMotB-ContC,14.053766,False
SomMotB-DefaultA,22.725884,False
SomMotB-DefaultB,32.112237,False
SomMotB-DefaultC,4.505773,False
SomMotB-DorsAttnA,1.8788,False
SomMotB-DorsAttnB,0.953203,False
SomMotB-LimbicA,6.00371,False
SomMotB-LimbicB,10.543244,False
SomMotB-SalVentAttnA,1.088841,False
SomMotB-SalVentAttnB,3.991444,False
SomMotB-SomMotA,2.231306,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.113521,False
SomMotB-VisCent,3.061997,False
SomMotB-VisPeri,0.658822,False
TempPar-ContA,3.627442,False
TempPar-ContB,1.113115,False
TempPar-ContC,2.265577,False
TempPar-DefaultA,1.780987,False
TempPar-DefaultB,1.606359,False
TempPar-DefaultC,2.101593,False
TempPar-DorsAttnA,10.061421,False
TempPar-DorsAttnB,1.923375,False
TempPar-LimbicA,2.06123,False
TempPar-LimbicB,2.669015,False
TempPar-SalVentAttnA,1.829046,False
TempPar-SalVentAttnB,3.923484,False
TempPar-SomMotA,1.022741,False
TempPar-SomMotB,0.361572,False
TempPar-TempPar,0.0,True
TempPar-VisCent,5.089611,False
TempPar-VisPeri,1.403981,False
VisCent-ContA,3.403906,False
VisCent-ContB,2.821626,False
VisCent-ContC,1.613227,False
VisCent-DefaultA,1.029404,False
VisCent-DefaultB,2.448939,False
VisCent-DefaultC,2.618687,False
VisCent-DorsAttnA,2.689007,False
VisCent-DorsAttnB,2.058717,False
VisCent-LimbicA,1.870388,False
VisCent-LimbicB,1.200533,False
VisCent-SalVentAttnA,1.945785,False
VisCent-SalVentAttnB,1.902417,False
VisCent-SomMotA,2.889549,False
VisCent-SomMotB,1.674311,False
VisCent-TempPar,1.847666,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.017453,False
VisPeri-ContA,11.439454,False
VisPeri-ContB,5.534877,False
VisPeri-ContC,0.926603,False
VisPeri-DefaultA,0.686417,False
VisPeri-DefaultB,6.385749,False
VisPeri-DefaultC,5.910294,False
VisPeri-DorsAttnA,1.195371,False
VisPeri-DorsAttnB,0.675112,False
VisPeri-LimbicA,5.086314,False
VisPeri-LimbicB,7.863959,False
VisPeri-SalVentAttnA,5.699694,False
VisPeri-SalVentAttnB,7.404636,False
VisPeri-SomMotA,9.945379,False
VisPeri-SomMotB,0.412011,False
VisPeri-TempPar,5.505722,False
VisPeri-VisCent,6.281014,False
VisPeri-VisPeri,0.0,True
