network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.967574,False
ContA-ContC,2.859547,False
ContA-DefaultA,2.422121,False
ContA-DefaultB,2.745668,False
ContA-DefaultC,0.336563,False
ContA-DorsAttnA,3.142703,False
ContA-DorsAttnB,0.985785,False
ContA-LimbicA,23.549771,False
ContA-LimbicB,14.802359,False
ContA-SalVentAttnA,2.452497,False
ContA-SalVentAttnB,2.18834,False
ContA-SomMotA,0.148856,False
ContA-SomMotB,1.372535,False
ContA-TempPar,0.413476,False
ContA-VisCent,0.340519,False
ContA-VisPeri,0.703576,False
ContB-ContA,3.821553,False
ContB-ContB,0.0,True
ContB-ContC,9.509805,False
ContB-DefaultA,3.565199,False
ContB-DefaultB,0.056244,False
ContB-DefaultC,0.933155,False
ContB-DorsAttnA,2.166905,False
ContB-DorsAttnB,1.577319,False
ContB-LimbicA,3.502735,False
ContB-LimbicB,6.472904,False
ContB-SalVentAttnA,2.235331,False
ContB-SalVentAttnB,3.03229,False
ContB-SomMotA,4.258184,False
ContB-SomMotB,2.470091,False
ContB-TempPar,0.206303,False
ContB-VisCent,2.490489,False
ContB-VisPeri,2.57819,False
ContC-ContA,0.178115,False
ContC-ContB,4.242102,False
ContC-ContC,0.0,True
ContC-DefaultA,3.240459,False
ContC-DefaultB,1.684702,False
ContC-DefaultC,1.19746,False
ContC-DorsAttnA,0.027261,False
ContC-DorsAttnB,0.071629,False
ContC-LimbicA,4.465675,False
ContC-LimbicB,9.252899,False
ContC-SalVentAttnA,0.081123,False
ContC-SalVentAttnB,0.990193,False
ContC-SomMotA,2.294929,False
ContC-SomMotB,1.547404,False
ContC-TempPar,0.676443,False
ContC-VisCent,3.062721,False
ContC-VisPeri,1.808194,False
DefaultA-ContA,6.164896,False
DefaultA-ContB,0.468735,False
DefaultA-ContC,14.526726,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.975345,False
DefaultA-DefaultC,0.943179,False
DefaultA-DorsAttnA,2.229788,False
DefaultA-DorsAttnB,0.740902,False
DefaultA-LimbicA,9.453053,False
DefaultA-LimbicB,13.77335,False
DefaultA-SalVentAttnA,0.124315,False
DefaultA-SalVentAttnB,12.220182,False
DefaultA-SomMotA,0.432904,False
DefaultA-SomMotB,1.121272,False
DefaultA-TempPar,2.686076,False
DefaultA-VisCent,1.636856,False
DefaultA-VisPeri,0.42781,False
DefaultB-ContA,1.940947,False
DefaultB-ContB,10.747922,False
DefaultB-ContC,2.1575,False
DefaultB-DefaultA,0.648114,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.988458,False
DefaultB-DorsAttnA,10.174315,False
DefaultB-DorsAttnB,8.577764,False
DefaultB-LimbicA,1.387488,False
DefaultB-LimbicB,0.796206,False
DefaultB-SalVentAttnA,1.052506,False
DefaultB-SalVentAttnB,0.230134,False
DefaultB-SomMotA,1.984121,False
DefaultB-SomMotB,5.474411,False
DefaultB-TempPar,3.911049,False
DefaultB-VisCent,2.187466,False
DefaultB-VisPeri,3.609328,False
DefaultC-ContA,1.773181,False
DefaultC-ContB,8.192434,False
DefaultC-ContC,6.58139,False
DefaultC-DefaultA,3.889306,False
DefaultC-DefaultB,14.662947,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.766696,False
DefaultC-DorsAttnB,11.672195,False
DefaultC-LimbicA,1.654865,False
DefaultC-LimbicB,1.59723,False
DefaultC-SalVentAttnA,1.267278,False
DefaultC-SalVentAttnB,2.711855,False
DefaultC-SomMotA,8.297325,False
DefaultC-SomMotB,1.014785,False
DefaultC-TempPar,18.811454,False
DefaultC-VisCent,4.4911,False
DefaultC-VisPeri,5.782555,False
DorsAttnA-ContA,0.872861,False
DorsAttnA-ContB,5.547591,False
DorsAttnA-ContC,0.605975,False
DorsAttnA-DefaultA,0.49619,False
DorsAttnA-DefaultB,9.244568,False
DorsAttnA-DefaultC,3.486432,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.992614,False
DorsAttnA-LimbicA,2.37404,False
DorsAttnA-LimbicB,1.198704,False
DorsAttnA-SalVentAttnA,4.115412,False
DorsAttnA-SalVentAttnB,0.584438,False
DorsAttnA-SomMotA,3.086642,False
DorsAttnA-SomMotB,6.644179,False
DorsAttnA-TempPar,3.226538,False
DorsAttnA-VisCent,0.226707,False
DorsAttnA-VisPeri,4.673975,False
DorsAttnB-ContA,2.747215,False
DorsAttnB-ContB,10.37157,False
DorsAttnB-ContC,7.002247,False
DorsAttnB-DefaultA,2.896085,False
DorsAttnB-DefaultB,0.577515,False
DorsAttnB-DefaultC,0.897056,False
DorsAttnB-DorsAttnA,6.313035,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.695809,False
DorsAttnB-LimbicB,2.988228,False
DorsAttnB-SalVentAttnA,5.648456,False
DorsAttnB-SalVentAttnB,4.578363,False
DorsAttnB-SomMotA,6.679157,False
DorsAttnB-SomMotB,10.016629,False
DorsAttnB-TempPar,0.886772,False
DorsAttnB-VisCent,0.55668,False
DorsAttnB-VisPeri,4.080173,False
LimbicA-ContA,7.690624,False
LimbicA-ContB,0.096139,False
LimbicA-ContC,1.033972,False
LimbicA-DefaultA,1.226805,False
LimbicA-DefaultB,0.648595,False
LimbicA-DefaultC,1.11032,False
LimbicA-DorsAttnA,2.1467,False
LimbicA-DorsAttnB,0.00928,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,12.439028,False
LimbicA-SalVentAttnA,2.327429,False
LimbicA-SalVentAttnB,3.680691,False
LimbicA-SomMotA,0.979219,False
LimbicA-SomMotB,1.748447,False
LimbicA-TempPar,2.498988,False
LimbicA-VisCent,2.488794,False
LimbicA-VisPeri,1.158065,False
LimbicB-ContA,6.726396,False
LimbicB-ContB,0.406075,False
LimbicB-ContC,5.335037,False
LimbicB-DefaultA,1.941855,False
LimbicB-DefaultB,4.471094,False
LimbicB-DefaultC,0.37782,False
LimbicB-DorsAttnA,1.118132,False
LimbicB-DorsAttnB,0.086957,False
LimbicB-LimbicA,14.271748,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.360542,False
LimbicB-SalVentAttnB,5.161754,False
LimbicB-SomMotA,3.77152,False
LimbicB-SomMotB,0.474444,False
LimbicB-TempPar,0.543189,False
LimbicB-VisCent,0.33963,False
LimbicB-VisPeri,6.994359,False
SalVentAttnA-ContA,3.319481,False
SalVentAttnA-ContB,5.475988,False
SalVentAttnA-ContC,1.729693,False
SalVentAttnA-DefaultA,0.435093,False
SalVentAttnA-DefaultB,0.392149,False
SalVentAttnA-DefaultC,2.899807,False
SalVentAttnA-DorsAttnA,4.919495,False
SalVentAttnA-DorsAttnB,1.142208,False
SalVentAttnA-LimbicA,5.734664,False
SalVentAttnA-LimbicB,0.90343,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.475,False
SalVentAttnA-SomMotA,1.99349,False
SalVentAttnA-SomMotB,0.468176,False
SalVentAttnA-TempPar,3.754951,False
SalVentAttnA-VisCent,0.408691,False
SalVentAttnA-VisPeri,1.304997,False
SalVentAttnB-ContA,16.231857,False
SalVentAttnB-ContB,3.093895,False
SalVentAttnB-ContC,9.357789,False
SalVentAttnB-DefaultA,2.486574,False
SalVentAttnB-DefaultB,0.690928,False
SalVentAttnB-DefaultC,1.277782,False
SalVentAttnB-DorsAttnA,0.130002,False
SalVentAttnB-DorsAttnB,1.10589,False
SalVentAttnB-LimbicA,33.217234,False
SalVentAttnB-LimbicB,26.945744,False
SalVentAttnB-SalVentAttnA,2.512513,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,5.799081,False
SalVentAttnB-SomMotB,0.382157,False
SalVentAttnB-TempPar,0.55796,False
SalVentAttnB-VisCent,0.019343,False
SalVentAttnB-VisPeri,6.658209,False
SomMotA-ContA,4.468547,False
SomMotA-ContB,4.464597,False
SomMotA-ContC,0.921826,False
SomMotA-DefaultA,2.994491,False
SomMotA-DefaultB,0.896234,False
SomMotA-DefaultC,5.89086,False
SomMotA-DorsAttnA,1.139046,False
SomMotA-DorsAttnB,0.230158,False
SomMotA-LimbicA,8.012706,False
SomMotA-LimbicB,8.266662,False
SomMotA-SalVentAttnA,11.156221,False
SomMotA-SalVentAttnB,6.735931,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.586547,False
SomMotA-TempPar,2.787959,False
SomMotA-VisCent,3.015462,False
SomMotA-VisPeri,5.713911,False
SomMotB-ContA,3.302625,False
SomMotB-ContB,0.567611,False
SomMotB-ContC,2.564566,False
SomMotB-DefaultA,2.980056,False
SomMotB-DefaultB,2.626391,False
SomMotB-DefaultC,3.318535,False
SomMotB-DorsAttnA,1.61459,False
SomMotB-DorsAttnB,0.720864,False
SomMotB-LimbicA,3.214534,False
SomMotB-LimbicB,4.010245,False
SomMotB-SalVentAttnA,0.077202,False
SomMotB-SalVentAttnB,2.502062,False
SomMotB-SomMotA,1.878538,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.4772,False
SomMotB-VisCent,10.543494,False
SomMotB-VisPeri,0.560958,False
TempPar-ContA,2.35631,False
TempPar-ContB,8.985947,False
TempPar-ContC,8.248785,False
TempPar-DefaultA,7.612382,False
TempPar-DefaultB,3.612715,False
TempPar-DefaultC,0.760009,False
TempPar-DorsAttnA,3.948094,False
TempPar-DorsAttnB,5.804441,False
TempPar-LimbicA,2.446986,False
TempPar-LimbicB,2.542522,False
TempPar-SalVentAttnA,0.671194,False
TempPar-SalVentAttnB,2.877627,False
TempPar-SomMotA,4.910713,False
TempPar-SomMotB,0.261096,False
TempPar-TempPar,0.0,True
TempPar-VisCent,7.166897,False
TempPar-VisPeri,2.681442,False
VisCent-ContA,0.775689,False
VisCent-ContB,0.599344,False
VisCent-ContC,0.083152,False
VisCent-DefaultA,0.560818,False
VisCent-DefaultB,1.239045,False
VisCent-DefaultC,8.041807,False
VisCent-DorsAttnA,0.058058,False
VisCent-DorsAttnB,0.739604,False
VisCent-LimbicA,0.363506,False
VisCent-LimbicB,0.036227,False
VisCent-SalVentAttnA,1.182182,False
VisCent-SalVentAttnB,0.159739,False
VisCent-SomMotA,0.237733,False
VisCent-SomMotB,1.240987,False
VisCent-TempPar,5.132735,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.359084,False
VisPeri-ContA,1.435868,False
VisPeri-ContB,5.325059,False
VisPeri-ContC,1.903955,False
VisPeri-DefaultA,2.354035,False
VisPeri-DefaultB,1.606147,False
VisPeri-DefaultC,2.95782,False
VisPeri-DorsAttnA,1.661282,False
VisPeri-DorsAttnB,1.282512,False
VisPeri-LimbicA,5.455449,False
VisPeri-LimbicB,3.390798,False
VisPeri-SalVentAttnA,8.021297,False
VisPeri-SalVentAttnB,3.857679,False
VisPeri-SomMotA,1.771784,False
VisPeri-SomMotB,0.177133,False
VisPeri-TempPar,3.005316,False
VisPeri-VisCent,0.615812,False
VisPeri-VisPeri,0.0,True
