network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.974403,False
ContA-ContC,6.904767,False
ContA-DefaultA,8.760737,False
ContA-DefaultB,9.140698,False
ContA-DefaultC,5.564338,False
ContA-DorsAttnA,1.680319,False
ContA-DorsAttnB,3.32538,False
ContA-LimbicA,9.803991,False
ContA-LimbicB,3.546371,False
ContA-SalVentAttnA,0.336079,False
ContA-SalVentAttnB,5.26953,False
ContA-SomMotA,1.926718,False
ContA-SomMotB,3.642954,False
ContA-TempPar,1.727203,False
ContA-VisCent,3.480993,False
ContA-VisPeri,1.637197,False
ContB-ContA,2.161879,False
ContB-ContB,0.0,True
ContB-ContC,10.362063,False
ContB-DefaultA,6.637876,False
ContB-DefaultB,5.089364,False
ContB-DefaultC,4.071137,False
ContB-DorsAttnA,2.7084,False
ContB-DorsAttnB,0.353214,False
ContB-LimbicA,5.666471,False
ContB-LimbicB,3.591539,False
ContB-SalVentAttnA,0.012037,False
ContB-SalVentAttnB,3.450898,False
ContB-SomMotA,2.245599,False
ContB-SomMotB,0.725842,False
ContB-TempPar,0.623151,False
ContB-VisCent,1.962204,False
ContB-VisPeri,2.089824,False
ContC-ContA,4.07827,False
ContC-ContB,6.85448,False
ContC-ContC,0.0,True
ContC-DefaultA,15.782694,False
ContC-DefaultB,4.44942,False
ContC-DefaultC,2.142884,False
ContC-DorsAttnA,0.573471,False
ContC-DorsAttnB,6.996875,False
ContC-LimbicA,4.958816,False
ContC-LimbicB,5.621021,False
ContC-SalVentAttnA,0.413872,False
ContC-SalVentAttnB,0.853822,False
ContC-SomMotA,2.892188,False
ContC-SomMotB,4.515579,False
ContC-TempPar,0.104515,False
ContC-VisCent,0.98417,False
ContC-VisPeri,4.881062,False
DefaultA-ContA,4.03179,False
DefaultA-ContB,2.622169,False
DefaultA-ContC,5.001693,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.440713,False
DefaultA-DefaultC,5.674355,False
DefaultA-DorsAttnA,0.428417,False
DefaultA-DorsAttnB,7.31526,False
DefaultA-LimbicA,14.412858,False
DefaultA-LimbicB,11.629565,False
DefaultA-SalVentAttnA,0.866392,False
DefaultA-SalVentAttnB,2.072636,False
DefaultA-SomMotA,0.878969,False
DefaultA-SomMotB,2.235236,False
DefaultA-TempPar,0.836737,False
DefaultA-VisCent,0.703051,False
DefaultA-VisPeri,4.032488,False
DefaultB-ContA,2.384244,False
DefaultB-ContB,2.388384,False
DefaultB-ContC,0.938765,False
DefaultB-DefaultA,6.737656,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,9.856882,False
DefaultB-DorsAttnA,3.105321,False
DefaultB-DorsAttnB,15.005221,False
DefaultB-LimbicA,0.931034,False
DefaultB-LimbicB,1.893943,False
DefaultB-SalVentAttnA,5.541523,False
DefaultB-SalVentAttnB,0.162819,False
DefaultB-SomMotA,4.281013,False
DefaultB-SomMotB,0.895912,False
DefaultB-TempPar,2.398208,False
DefaultB-VisCent,0.718186,False
DefaultB-VisPeri,6.622966,False
DefaultC-ContA,5.768873,False
DefaultC-ContB,1.331972,False
DefaultC-ContC,0.405656,False
DefaultC-DefaultA,0.392067,False
DefaultC-DefaultB,9.578118,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.283611,False
DefaultC-DorsAttnB,7.60607,False
DefaultC-LimbicA,4.575981,False
DefaultC-LimbicB,0.041305,False
DefaultC-SalVentAttnA,3.793334,False
DefaultC-SalVentAttnB,0.581554,False
DefaultC-SomMotA,7.607468,False
DefaultC-SomMotB,0.836143,False
DefaultC-TempPar,0.872219,False
DefaultC-VisCent,0.688576,False
DefaultC-VisPeri,2.727386,False
DorsAttnA-ContA,0.075848,False
DorsAttnA-ContB,1.682943,False
DorsAttnA-ContC,2.735493,False
DorsAttnA-DefaultA,4.086146,False
DorsAttnA-DefaultB,7.828406,False
DorsAttnA-DefaultC,3.335496,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.554656,False
DorsAttnA-LimbicA,0.010867,False
DorsAttnA-LimbicB,2.290639,False
DorsAttnA-SalVentAttnA,10.53157,False
DorsAttnA-SalVentAttnB,0.200068,False
DorsAttnA-SomMotA,0.194574,False
DorsAttnA-SomMotB,0.712199,False
DorsAttnA-TempPar,1.63394,False
DorsAttnA-VisCent,0.100073,False
DorsAttnA-VisPeri,1.527265,False
DorsAttnB-ContA,9.496744,False
DorsAttnB-ContB,5.504768,False
DorsAttnB-ContC,0.372383,False
DorsAttnB-DefaultA,2.375185,False
DorsAttnB-DefaultB,0.793083,False
DorsAttnB-DefaultC,1.401046,False
DorsAttnB-DorsAttnA,2.969473,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,5.882812,False
DorsAttnB-LimbicB,1.389516,False
DorsAttnB-SalVentAttnA,6.973213,False
DorsAttnB-SalVentAttnB,0.30129,False
DorsAttnB-SomMotA,2.779651,False
DorsAttnB-SomMotB,4.285635,False
DorsAttnB-TempPar,1.383466,False
DorsAttnB-VisCent,2.500387,False
DorsAttnB-VisPeri,0.078953,False
LimbicA-ContA,1.33693,False
LimbicA-ContB,6.057247,False
LimbicA-ContC,7.410948,False
LimbicA-DefaultA,3.454976,False
LimbicA-DefaultB,1.370534,False
LimbicA-DefaultC,2.767152,False
LimbicA-DorsAttnA,0.480922,False
LimbicA-DorsAttnB,2.740481,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.107774,False
LimbicA-SalVentAttnA,6.548586,False
LimbicA-SalVentAttnB,3.842182,False
LimbicA-SomMotA,0.888246,False
LimbicA-SomMotB,0.022905,False
LimbicA-TempPar,1.364554,False
LimbicA-VisCent,0.889843,False
LimbicA-VisPeri,2.306273,False
LimbicB-ContA,1.866039,False
LimbicB-ContB,3.289773,False
LimbicB-ContC,2.414547,False
LimbicB-DefaultA,2.357457,False
LimbicB-DefaultB,2.193631,False
LimbicB-DefaultC,1.799421,False
LimbicB-DorsAttnA,1.482252,False
LimbicB-DorsAttnB,2.858699,False
LimbicB-LimbicA,4.128864,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.859398,False
LimbicB-SalVentAttnB,6.131378,False
LimbicB-SomMotA,2.122146,False
LimbicB-SomMotB,1.152302,False
LimbicB-TempPar,1.202637,False
LimbicB-VisCent,3.06484,False
LimbicB-VisPeri,2.44553,False
SalVentAttnA-ContA,0.178421,False
SalVentAttnA-ContB,0.668896,False
SalVentAttnA-ContC,2.07439,False
SalVentAttnA-DefaultA,0.184217,False
SalVentAttnA-DefaultB,0.025593,False
SalVentAttnA-DefaultC,1.594298,False
SalVentAttnA-DorsAttnA,5.382217,False
SalVentAttnA-DorsAttnB,1.920922,False
SalVentAttnA-LimbicA,0.713507,False
SalVentAttnA-LimbicB,2.161786,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.522802,False
SalVentAttnA-SomMotA,0.656594,False
SalVentAttnA-SomMotB,0.25942,False
SalVentAttnA-TempPar,0.817863,False
SalVentAttnA-VisCent,0.437696,False
SalVentAttnA-VisPeri,0.834934,False
SalVentAttnB-ContA,1.159375,False
SalVentAttnB-ContB,1.156919,False
SalVentAttnB-ContC,0.680154,False
SalVentAttnB-DefaultA,0.715012,False
SalVentAttnB-DefaultB,3.101729,False
SalVentAttnB-DefaultC,0.376094,False
SalVentAttnB-DorsAttnA,3.995869,False
SalVentAttnB-DorsAttnB,3.713106,False
SalVentAttnB-LimbicA,6.294961,False
SalVentAttnB-LimbicB,20.302851,False
SalVentAttnB-SalVentAttnA,19.307715,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,0.281787,False
SalVentAttnB-SomMotB,1.420267,False
SalVentAttnB-TempPar,2.020066,False
SalVentAttnB-VisCent,0.254187,False
SalVentAttnB-VisPeri,3.439782,False
SomMotA-ContA,0.07579,False
SomMotA-ContB,0.212059,False
SomMotA-ContC,0.095682,False
SomMotA-DefaultA,0.428674,False
SomMotA-DefaultB,6.770094,False
SomMotA-DefaultC,5.471626,False
SomMotA-DorsAttnA,0.772066,False
SomMotA-DorsAttnB,1.133344,False
SomMotA-LimbicA,0.413731,False
SomMotA-LimbicB,7.434871,False
SomMotA-SalVentAttnA,3.001518,False
SomMotA-SalVentAttnB,8.597655,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,0.275055,False
SomMotA-TempPar,3.487805,False
SomMotA-VisCent,8.33027,False
SomMotA-VisPeri,8.935577,False
SomMotB-ContA,1.874285,False
SomMotB-ContB,1.301291,False
SomMotB-ContC,2.445905,False
SomMotB-DefaultA,3.118267,False
SomMotB-DefaultB,3.795317,False
SomMotB-DefaultC,3.347239,False
SomMotB-DorsAttnA,1.106982,False
SomMotB-DorsAttnB,2.50657,False
SomMotB-LimbicA,2.71357,False
SomMotB-LimbicB,0.331385,False
SomMotB-SalVentAttnA,1.220388,False
SomMotB-SalVentAttnB,0.162898,False
SomMotB-SomMotA,1.156944,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,5.885491,False
SomMotB-VisCent,0.385915,False
SomMotB-VisPeri,0.574617,False
TempPar-ContA,0.976927,False
TempPar-ContB,0.192959,False
TempPar-ContC,2.860331,False
TempPar-DefaultA,0.456335,False
TempPar-DefaultB,0.251956,False
TempPar-DefaultC,6.199302,False
TempPar-DorsAttnA,3.59764,False
TempPar-DorsAttnB,1.732786,False
TempPar-LimbicA,0.783776,False
TempPar-LimbicB,0.189849,False
TempPar-SalVentAttnA,4.408585,False
TempPar-SalVentAttnB,0.098749,False
TempPar-SomMotA,0.702915,False
TempPar-SomMotB,0.284545,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.021633,False
TempPar-VisPeri,0.063948,False
VisCent-ContA,0.002218,False
VisCent-ContB,0.328551,False
VisCent-ContC,2.569007,False
VisCent-DefaultA,1.677508,False
VisCent-DefaultB,9.429913,False
VisCent-DefaultC,5.101205,False
VisCent-DorsAttnA,7.573104,False
VisCent-DorsAttnB,2.059215,False
VisCent-LimbicA,0.162305,False
VisCent-LimbicB,0.829806,False
VisCent-SalVentAttnA,3.797076,False
VisCent-SalVentAttnB,3.448651,False
VisCent-SomMotA,2.248469,False
VisCent-SomMotB,2.491132,False
VisCent-TempPar,5.224759,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.179064,False
VisPeri-ContA,0.737886,False
VisPeri-ContB,0.110966,False
VisPeri-ContC,0.738104,False
VisPeri-DefaultA,4.752,False
VisPeri-DefaultB,11.104499,False
VisPeri-DefaultC,0.690729,False
VisPeri-DorsAttnA,2.69148,False
VisPeri-DorsAttnB,1.035415,False
VisPeri-LimbicA,0.379398,False
VisPeri-LimbicB,4.216211,False
VisPeri-SalVentAttnA,0.641507,False
VisPeri-SalVentAttnB,7.144594,False
VisPeri-SomMotA,6.906865,False
VisPeri-SomMotB,0.887351,False
VisPeri-TempPar,1.052615,False
VisPeri-VisCent,4.538328,False
VisPeri-VisPeri,0.0,True
