network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.8251,False
ContA-ContC,0.379404,False
ContA-DefaultA,1.011668,False
ContA-DefaultB,0.779869,False
ContA-DefaultC,3.478911,False
ContA-DorsAttnA,1.067163,False
ContA-DorsAttnB,3.07343,False
ContA-LimbicA,26.317952,False
ContA-LimbicB,2.608141,False
ContA-SalVentAttnA,2.955755,False
ContA-SalVentAttnB,7.201117,False
ContA-SomMotA,1.433813,False
ContA-SomMotB,2.985546,False
ContA-TempPar,6.791468,False
ContA-VisCent,12.484979,False
ContA-VisPeri,5.803476,False
ContB-ContA,6.530453,False
ContB-ContB,0.0,True
ContB-ContC,3.519733,False
ContB-DefaultA,1.478244,False
ContB-DefaultB,0.886903,False
ContB-DefaultC,9.421689,False
ContB-DorsAttnA,10.455712,False
ContB-DorsAttnB,0.325225,False
ContB-LimbicA,6.172939,False
ContB-LimbicB,1.006962,False
ContB-SalVentAttnA,4.89594,False
ContB-SalVentAttnB,4.132009,False
ContB-SomMotA,2.599687,False
ContB-SomMotB,7.551404,False
ContB-TempPar,10.685716,False
ContB-VisCent,9.947477,False
ContB-VisPeri,0.794565,False
ContC-ContA,1.201311,False
ContC-ContB,0.856342,False
ContC-ContC,0.0,True
ContC-DefaultA,0.17915,False
ContC-DefaultB,0.219279,False
ContC-DefaultC,3.009908,False
ContC-DorsAttnA,2.592389,False
ContC-DorsAttnB,1.129298,False
ContC-LimbicA,1.875941,False
ContC-LimbicB,1.964924,False
ContC-SalVentAttnA,2.953726,False
ContC-SalVentAttnB,4.421613,False
ContC-SomMotA,0.054226,False
ContC-SomMotB,1.182127,False
ContC-TempPar,1.230432,False
ContC-VisCent,0.511949,False
ContC-VisPeri,1.344832,False
DefaultA-ContA,0.155117,False
DefaultA-ContB,2.741869,False
DefaultA-ContC,2.367331,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.32258,False
DefaultA-DefaultC,1.649703,False
DefaultA-DorsAttnA,3.280582,False
DefaultA-DorsAttnB,5.09142,False
DefaultA-LimbicA,1.01609,False
DefaultA-LimbicB,10.723758,False
DefaultA-SalVentAttnA,2.706569,False
DefaultA-SalVentAttnB,1.210651,False
DefaultA-SomMotA,1.652437,False
DefaultA-SomMotB,0.653734,False
DefaultA-TempPar,6.305193,False
DefaultA-VisCent,6.815487,False
DefaultA-VisPeri,3.741919,False
DefaultB-ContA,5.078305,False
DefaultB-ContB,5.209429,False
DefaultB-ContC,0.219208,False
DefaultB-DefaultA,0.600438,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.219512,False
DefaultB-DorsAttnA,2.106959,False
DefaultB-DorsAttnB,9.714455,False
DefaultB-LimbicA,2.397015,False
DefaultB-LimbicB,2.983045,False
DefaultB-SalVentAttnA,0.476418,False
DefaultB-SalVentAttnB,0.913826,False
DefaultB-SomMotA,3.55422,False
DefaultB-SomMotB,3.73392,False
DefaultB-TempPar,3.546916,False
DefaultB-VisCent,2.490745,False
DefaultB-VisPeri,4.231223,False
DefaultC-ContA,6.716821,False
DefaultC-ContB,6.279264,False
DefaultC-ContC,1.049338,False
DefaultC-DefaultA,2.700873,False
DefaultC-DefaultB,0.098612,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.382403,False
DefaultC-DorsAttnB,7.066265,False
DefaultC-LimbicA,6.230344,False
