network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.156792,False
ContA-ContC,0.37081,False
ContA-DefaultA,2.110092,False
ContA-DefaultB,7.177434,False
ContA-DefaultC,1.715866,False
ContA-DorsAttnA,1.551292,False
ContA-DorsAttnB,3.372514,False
ContA-LimbicA,35.597908,False
ContA-LimbicB,1.013095,False
ContA-SalVentAttnA,4.34692,False
ContA-SalVentAttnB,3.140744,False
ContA-SomMotA,6.343192,False
ContA-SomMotB,2.024035,False
ContA-TempPar,0.629492,False
ContA-VisCent,1.253001,False
ContA-VisPeri,6.583324,False
ContB-ContA,7.393856,False
ContB-ContB,0.0,True
ContB-ContC,0.079511,False
ContB-DefaultA,2.100646,False
ContB-DefaultB,2.355269,False
ContB-DefaultC,0.95565,False
ContB-DorsAttnA,0.440912,False
ContB-DorsAttnB,2.596792,False
ContB-LimbicA,11.718799,False
ContB-LimbicB,0.018682,False
ContB-SalVentAttnA,9.084782,False
ContB-SalVentAttnB,0.074822,False
ContB-SomMotA,1.465216,False
ContB-SomMotB,0.038471,False
ContB-TempPar,4.88254,False
ContB-VisCent,1.965033,False
ContB-VisPeri,0.28917,False
ContC-ContA,0.28648,False
ContC-ContB,0.557978,False
ContC-ContC,0.0,True
ContC-DefaultA,1.486938,False
ContC-DefaultB,0.710473,False
ContC-DefaultC,1.200349,False
ContC-DorsAttnA,3.0026,False
ContC-DorsAttnB,1.812037,False
ContC-LimbicA,0.942634,False
ContC-LimbicB,0.823838,False
ContC-SalVentAttnA,0.044098,False
ContC-SalVentAttnB,0.912733,False
ContC-SomMotA,6.372368,False
ContC-SomMotB,0.745841,False
ContC-TempPar,0.398074,False
ContC-VisCent,1.49082,False
ContC-VisPeri,1.464906,False
DefaultA-ContA,2.02839,False
DefaultA-ContB,1.825339,False
DefaultA-ContC,16.837167,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.638886,False
DefaultA-DefaultC,6.485673,False
DefaultA-DorsAttnA,4.940805,False
DefaultA-DorsAttnB,0.551379,False
DefaultA-LimbicA,1.976663,False
DefaultA-LimbicB,7.355139,False
DefaultA-SalVentAttnA,0.128816,False
DefaultA-SalVentAttnB,1.233547,False
DefaultA-SomMotA,5.710076,False
DefaultA-SomMotB,0.48415,False
DefaultA-TempPar,5.322611,False
DefaultA-VisCent,2.629667,False
DefaultA-VisPeri,4.933499,False
DefaultB-ContA,0.363954,False
DefaultB-ContB,4.974616,False
DefaultB-ContC,2.878042,False
DefaultB-DefaultA,3.165913,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,18.156051,False
DefaultB-DorsAttnA,12.185788,False
DefaultB-DorsAttnB,2.800118,False
DefaultB-LimbicA,0.249121,False
DefaultB-LimbicB,6.58683,False
DefaultB-SalVentAttnA,0.684769,False
DefaultB-SalVentAttnB,1.301045,False
DefaultB-SomMotA,7.160623,False
DefaultB-SomMotB,1.493834,False
DefaultB-TempPar,13.795576,False
DefaultB-VisCent,0.705358,False
DefaultB-VisPeri,13.582809,False
DefaultC-ContA,0.032801,False
DefaultC-ContB,3.363545,False
DefaultC-ContC,0.368051,False
DefaultC-DefaultA,0.984418,False
DefaultC-DefaultB,27.910748,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.878165,False
DefaultC-DorsAttnB,2.285528,False
DefaultC-LimbicA,0.333759,False
DefaultC-LimbicB,2.520229,False
DefaultC-SalVentAttnA,2.727487,False
DefaultC-SalVentAttnB,1.021651,False
DefaultC-SomMotA,10.613526,False
DefaultC-SomMotB,1.414105,False
DefaultC-TempPar,6.848572,False
DefaultC-VisCent,1.16029,False
DefaultC-VisPeri,4.917465,False
DorsAttnA-ContA,0.278283,False
DorsAttnA-ContB,1.460583,False
DorsAttnA-ContC,0.127053,False
DorsAttnA-DefaultA,6.291221,False
DorsAttnA-DefaultB,18.560088,False
DorsAttnA-DefaultC,15.437818,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,17.293883,False
DorsAttnA-LimbicA,2.315801,False
DorsAttnA-LimbicB,6.453387,False
DorsAttnA-SalVentAttnA,6.085919,False
DorsAttnA-SalVentAttnB,3.08035,False
DorsAttnA-SomMotA,3.691442,False
DorsAttnA-SomMotB,1.92668,False
DorsAttnA-TempPar,8.956557,False
DorsAttnA-VisCent,0.265466,False
DorsAttnA-VisPeri,3.427413,False
DorsAttnB-ContA,2.254735,False
DorsAttnB-ContB,1.527525,False
DorsAttnB-ContC,0.794847,False
DorsAttnB-DefaultA,2.843327,False
DorsAttnB-DefaultB,3.242406,False
DorsAttnB-DefaultC,0.042418,False
DorsAttnB-DorsAttnA,9.42892,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.899436,False
DorsAttnB-LimbicB,2.318497,False
DorsAttnB-SalVentAttnA,2.052472,False
DorsAttnB-SalVentAttnB,2.962194,False
DorsAttnB-SomMotA,3.980622,False
DorsAttnB-SomMotB,3.241553,False
DorsAttnB-TempPar,0.398354,False
DorsAttnB-VisCent,3.345526,False
DorsAttnB-VisPeri,4.176877,False
LimbicA-ContA,8.016361,False
LimbicA-ContB,15.236675,False
LimbicA-ContC,0.28176,False
LimbicA-DefaultA,2.252428,False
LimbicA-DefaultB,4.576519,False
LimbicA-DefaultC,4.6921,False
LimbicA-DorsAttnA,0.681717,False
LimbicA-DorsAttnB,1.086114,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.831475,False
LimbicA-SalVentAttnA,1.202533,False
LimbicA-SalVentAttnB,0.468293,False
LimbicA-SomMotA,2.312798,False
LimbicA-SomMotB,2.544709,False
LimbicA-TempPar,4.424643,False
LimbicA-VisCent,0.485332,False
LimbicA-VisPeri,5.788681,False
LimbicB-ContA,0.100932,False
LimbicB-ContB,1.176504,False
LimbicB-ContC,1.091234,False
LimbicB-DefaultA,4.259088,False
LimbicB-DefaultB,5.886004,False
LimbicB-DefaultC,6.487052,False
LimbicB-DorsAttnA,4.023971,False
LimbicB-DorsAttnB,1.155535,False
LimbicB-LimbicA,0.0177,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,2.481409,False
LimbicB-SalVentAttnB,1.642437,False
LimbicB-SomMotA,6.456188,False
LimbicB-SomMotB,0.078803,False
LimbicB-TempPar,5.874163,False
LimbicB-VisCent,2.795752,False
LimbicB-VisPeri,6.433232,False
SalVentAttnA-ContA,4.264518,False
SalVentAttnA-ContB,0.731865,False
SalVentAttnA-ContC,0.392565,False
SalVentAttnA-DefaultA,1.521192,False
SalVentAttnA-DefaultB,0.506055,False
SalVentAttnA-DefaultC,0.250264,False
SalVentAttnA-DorsAttnA,1.895792,False
SalVentAttnA-DorsAttnB,4.331581,False
SalVentAttnA-LimbicA,1.780583,False
SalVentAttnA-LimbicB,1.546517,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.329162,False
SalVentAttnA-SomMotA,2.502383,False
SalVentAttnA-SomMotB,1.863393,False
SalVentAttnA-TempPar,0.776821,False
SalVentAttnA-VisCent,0.384274,False
SalVentAttnA-VisPeri,3.895366,False
SalVentAttnB-ContA,2.986239,False
SalVentAttnB-ContB,2.782536,False
SalVentAttnB-ContC,1.53544,False
SalVentAttnB-DefaultA,5.727914,False
SalVentAttnB-DefaultB,13.677559,False
SalVentAttnB-DefaultC,13.927721,False
SalVentAttnB-DorsAttnA,3.195126,False
SalVentAttnB-DorsAttnB,1.070869,False
SalVentAttnB-LimbicA,9.111895,False
SalVentAttnB-LimbicB,46.417295,False
SalVentAttnB-SalVentAttnA,1.464301,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.373098,False
SalVentAttnB-SomMotB,0.424539,False
SalVentAttnB-TempPar,7.589652,False
SalVentAttnB-VisCent,4.117227,False
SalVentAttnB-VisPeri,7.333629,False
SomMotA-ContA,6.011539,False
SomMotA-ContB,13.387167,False
SomMotA-ContC,0.959045,False
SomMotA-DefaultA,14.559844,False
SomMotA-DefaultB,35.523858,False
SomMotA-DefaultC,16.035234,False
SomMotA-DorsAttnA,1.371334,False
SomMotA-DorsAttnB,0.138014,False
SomMotA-LimbicA,4.375679,False
SomMotA-LimbicB,23.885293,False
SomMotA-SalVentAttnA,0.049754,False
SomMotA-SalVentAttnB,14.277828,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,10.183876,False
SomMotA-TempPar,15.587226,False
SomMotA-VisCent,3.840231,False
SomMotA-VisPeri,10.684034,False
SomMotB-ContA,1.628779,False
SomMotB-ContB,0.949429,False
SomMotB-ContC,2.732883,False
SomMotB-DefaultA,4.489528,False
SomMotB-DefaultB,2.478625,False
SomMotB-DefaultC,3.356801,False
SomMotB-DorsAttnA,0.51728,False
SomMotB-DorsAttnB,0.070863,False
SomMotB-LimbicA,0.554403,False
SomMotB-LimbicB,2.760289,False
SomMotB-SalVentAttnA,0.489712,False
SomMotB-SalVentAttnB,1.347813,False
SomMotB-SomMotA,8.608814,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,5.041483,False
SomMotB-VisCent,2.537281,False
SomMotB-VisPeri,2.242184,False
TempPar-ContA,3.20549,False
TempPar-ContB,3.004826,False
TempPar-ContC,0.455751,False
TempPar-DefaultA,0.237568,False
TempPar-DefaultB,0.50988,False
TempPar-DefaultC,0.528114,False
TempPar-DorsAttnA,0.097585,False
TempPar-DorsAttnB,0.207483,False
TempPar-LimbicA,2.687802,False
TempPar-LimbicB,0.988883,False
TempPar-SalVentAttnA,6.618111,False
TempPar-SalVentAttnB,1.667738,False
TempPar-SomMotA,0.650069,False
TempPar-SomMotB,1.197834,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.207141,False
TempPar-VisPeri,0.318601,False
VisCent-ContA,0.363885,False
VisCent-ContB,4.953026,False
VisCent-ContC,2.274414,False
VisCent-DefaultA,0.460793,False
VisCent-DefaultB,0.566045,False
VisCent-DefaultC,2.445819,False
VisCent-DorsAttnA,0.372273,False
VisCent-DorsAttnB,0.274761,False
VisCent-LimbicA,0.218007,False
VisCent-LimbicB,0.726836,False
VisCent-SalVentAttnA,0.835546,False
VisCent-SalVentAttnB,0.099081,False
VisCent-SomMotA,5.357502,False
VisCent-SomMotB,5.272664,False
VisCent-TempPar,8.33549,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.029636,False
VisPeri-ContA,8.912243,False
VisPeri-ContB,19.994126,False
VisPeri-ContC,2.029077,False
VisPeri-DefaultA,14.643641,False
