network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.56846,False
ContA-ContC,8.6698,False
ContA-DefaultA,7.131147,False
ContA-DefaultB,7.607486,False
ContA-DefaultC,0.022403,False
ContA-DorsAttnA,0.549202,False
ContA-DorsAttnB,0.864823,False
ContA-LimbicA,46.571509,False
ContA-LimbicB,16.04533,False
ContA-SalVentAttnA,0.094365,False
ContA-SalVentAttnB,10.667435,False
ContA-SomMotA,8.295138,False
ContA-SomMotB,0.083731,False
ContA-TempPar,0.037618,False
ContA-VisCent,0.152354,False
ContA-VisPeri,4.055224,False
ContB-ContA,5.030075,False
ContB-ContB,0.0,True
ContB-ContC,1.97091,False
ContB-DefaultA,2.003583,False
ContB-DefaultB,1.365311,False
ContB-DefaultC,2.081483,False
ContB-DorsAttnA,0.419707,False
ContB-DorsAttnB,3.752789,False
ContB-LimbicA,2.967993,False
ContB-LimbicB,1.827635,False
ContB-SalVentAttnA,0.602124,False
ContB-SalVentAttnB,3.797594,False
ContB-SomMotA,14.23586,False
ContB-SomMotB,1.577762,False
ContB-TempPar,0.164555,False
ContB-VisCent,4.724709,False
ContB-VisPeri,4.14212,False
ContC-ContA,0.418253,False
ContC-ContB,0.537394,False
ContC-ContC,0.0,True
ContC-DefaultA,0.040311,False
ContC-DefaultB,0.300653,False
ContC-DefaultC,0.692914,False
ContC-DorsAttnA,2.381464,False
ContC-DorsAttnB,0.03438,False
ContC-LimbicA,0.947534,False
ContC-LimbicB,4.228835,False
ContC-SalVentAttnA,0.312301,False
ContC-SalVentAttnB,0.758003,False
ContC-SomMotA,1.088259,False
ContC-SomMotB,0.040299,False
ContC-TempPar,1.454321,False
ContC-VisCent,1.798682,False
ContC-VisPeri,1.053689,False
DefaultA-ContA,6.161977,False
DefaultA-ContB,0.205968,False
DefaultA-ContC,2.195003,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.220516,False
DefaultA-DefaultC,0.072714,False
DefaultA-DorsAttnA,1.491604,False
DefaultA-DorsAttnB,0.000603,False
DefaultA-LimbicA,8.977642,False
DefaultA-LimbicB,15.462072,False
DefaultA-SalVentAttnA,0.062293,False
DefaultA-SalVentAttnB,12.508995,False
DefaultA-SomMotA,0.508258,False
DefaultA-SomMotB,1.8528,False
DefaultA-TempPar,0.04017,False
DefaultA-VisCent,1.115904,False
DefaultA-VisPeri,1.696147,False
DefaultB-ContA,0.310973,False
DefaultB-ContB,2.474318,False
DefaultB-ContC,2.369455,False
DefaultB-DefaultA,4.366203,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.406947,False
DefaultB-DorsAttnA,5.915959,False
DefaultB-DorsAttnB,0.763621,False
DefaultB-LimbicA,0.984674,False
DefaultB-LimbicB,4.464691,False
DefaultB-SalVentAttnA,2.342144,False
DefaultB-SalVentAttnB,4.419615,False
DefaultB-SomMotA,2.861607,False
DefaultB-SomMotB,4.300916,False
DefaultB-TempPar,2.102869,False
DefaultB-VisCent,2.754647,False
DefaultB-VisPeri,8.658052,False
DefaultC-ContA,0.522392,False
DefaultC-ContB,7.627007,False
DefaultC-ContC,0.57916,False
DefaultC-DefaultA,5.006694,False
DefaultC-DefaultB,7.338535,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.910109,False
DefaultC-DorsAttnB,1.220112,False
DefaultC-LimbicA,1.057123,False
DefaultC-LimbicB,0.986729,False
DefaultC-SalVentAttnA,2.36243,False
DefaultC-SalVentAttnB,4.321648,False
DefaultC-SomMotA,16.606942,False
DefaultC-SomMotB,8.986005,False
DefaultC-TempPar,8.478543,False
DefaultC-VisCent,3.051151,False
DefaultC-VisPeri,5.162811,False
DorsAttnA-ContA,0.106833,False
DorsAttnA-ContB,1.758179,False
DorsAttnA-ContC,0.714935,False
DorsAttnA-DefaultA,2.370245,False
DorsAttnA-DefaultB,4.19268,False
DorsAttnA-DefaultC,2.921231,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.459075,False
DorsAttnA-LimbicA,1.214059,False
DorsAttnA-LimbicB,0.718352,False
DorsAttnA-SalVentAttnA,5.183466,False
DorsAttnA-SalVentAttnB,0.508979,False
DorsAttnA-SomMotA,1.729515,False
DorsAttnA-SomMotB,1.110202,False
DorsAttnA-TempPar,0.475719,False
DorsAttnA-VisCent,0.136798,False
DorsAttnA-VisPeri,1.541834,False
DorsAttnB-ContA,1.610236,False
DorsAttnB-ContB,1.795903,False
DorsAttnB-ContC,5.49382,False
DorsAttnB-DefaultA,0.886255,False
DorsAttnB-DefaultB,1.25023,False
DorsAttnB-DefaultC,1.677772,False
DorsAttnB-DorsAttnA,8.449723,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.496025,False
DorsAttnB-LimbicB,0.237043,False
DorsAttnB-SalVentAttnA,3.233254,False
DorsAttnB-SalVentAttnB,0.637831,False
DorsAttnB-SomMotA,0.325348,False
DorsAttnB-SomMotB,0.923735,False
DorsAttnB-TempPar,2.524082,False
DorsAttnB-VisCent,1.251511,False
DorsAttnB-VisPeri,0.761027,False
LimbicA-ContA,6.373072,False
LimbicA-ContB,0.238353,False
LimbicA-ContC,2.611808,False
LimbicA-DefaultA,10.009903,False
LimbicA-DefaultB,7.199298,False
LimbicA-DefaultC,0.238901,False
LimbicA-DorsAttnA,2.656271,False
LimbicA-DorsAttnB,1.489193,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,20.357394,False
LimbicA-SalVentAttnA,0.426557,False
LimbicA-SalVentAttnB,13.082325,False
LimbicA-SomMotA,0.58479,False
LimbicA-SomMotB,0.307543,False
LimbicA-TempPar,0.029875,False
LimbicA-VisCent,0.325059,False
LimbicA-VisPeri,3.897021,False
LimbicB-ContA,0.245301,False
LimbicB-ContB,0.099693,False
LimbicB-ContC,0.574938,False
LimbicB-DefaultA,7.77652,False
LimbicB-DefaultB,5.972001,False
LimbicB-DefaultC,0.222616,False
LimbicB-DorsAttnA,2.772111,False
LimbicB-DorsAttnB,0.000284,False
LimbicB-LimbicA,4.90866,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.067801,False
LimbicB-SalVentAttnB,11.9128,False
LimbicB-SomMotA,1.991667,False
LimbicB-SomMotB,0.003113,False
LimbicB-TempPar,0.322146,False
LimbicB-VisCent,0.587996,False
LimbicB-VisPeri,4.029803,False
SalVentAttnA-ContA,0.308532,False
SalVentAttnA-ContB,0.471646,False
SalVentAttnA-ContC,4.411293,False
SalVentAttnA-DefaultA,2.600182,False
SalVentAttnA-DefaultB,0.378776,False
SalVentAttnA-DefaultC,1.572471,False
SalVentAttnA-DorsAttnA,1.851683,False
SalVentAttnA-DorsAttnB,1.886751,False
SalVentAttnA-LimbicA,0.07659,False
SalVentAttnA-LimbicB,2.769521,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,3.166783,False
SalVentAttnA-SomMotA,0.074536,False
SalVentAttnA-SomMotB,0.404782,False
SalVentAttnA-TempPar,0.717831,False
SalVentAttnA-VisCent,0.989452,False
SalVentAttnA-VisPeri,0.075108,False
SalVentAttnB-ContA,4.389254,False
SalVentAttnB-ContB,0.130558,False
SalVentAttnB-ContC,1.888113,False
SalVentAttnB-DefaultA,19.916997,False
SalVentAttnB-DefaultB,6.62322,False
SalVentAttnB-DefaultC,0.087639,False
SalVentAttnB-DorsAttnA,2.406077,False
SalVentAttnB-DorsAttnB,0.003875,False
SalVentAttnB-LimbicA,14.030981,False
SalVentAttnB-LimbicB,49.851487,False
SalVentAttnB-SalVentAttnA,1.907834,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,4.089385,False
SalVentAttnB-SomMotB,1.208106,False
SalVentAttnB-TempPar,1.639464,False
SalVentAttnB-VisCent,0.409937,False
SalVentAttnB-VisPeri,5.515201,False
SomMotA-ContA,10.791254,False
SomMotA-ContB,12.210194,False
SomMotA-ContC,0.988828,False
SomMotA-DefaultA,2.82268,False
SomMotA-DefaultB,6.13347,False
SomMotA-DefaultC,13.036061,False
SomMotA-DorsAttnA,2.248401,False
SomMotA-DorsAttnB,10.026682,False
SomMotA-LimbicA,9.141709,False
SomMotA-LimbicB,6.187375,False
SomMotA-SalVentAttnA,1.374935,False
SomMotA-SalVentAttnB,10.69763,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,2.054643,False
SomMotA-TempPar,3.689743,False
SomMotA-VisCent,5.54825,False
SomMotA-VisPeri,7.125902,False
SomMotB-ContA,0.225056,False
SomMotB-ContB,2.434103,False
SomMotB-ContC,2.442897,False
SomMotB-DefaultA,1.041054,False
SomMotB-DefaultB,0.077832,False
SomMotB-DefaultC,2.48349,False
SomMotB-DorsAttnA,2.32606,False
SomMotB-DorsAttnB,2.054968,False
SomMotB-LimbicA,0.843246,False
SomMotB-LimbicB,0.0072,False
SomMotB-SalVentAttnA,0.12256,False
SomMotB-SalVentAttnB,0.627595,False
SomMotB-SomMotA,2.951922,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,1.955027,False
SomMotB-VisCent,10.756676,False
SomMotB-VisPeri,1.035342,False
TempPar-ContA,0.503309,False
TempPar-ContB,2.838644,False
TempPar-ContC,0.315301,False
TempPar-DefaultA,7.228961,False
TempPar-DefaultB,0.42706,False
TempPar-DefaultC,12.285532,False
TempPar-DorsAttnA,1.614135,False
TempPar-DorsAttnB,2.726522,False
TempPar-LimbicA,2.547152,False
TempPar-LimbicB,3.793382,False
TempPar-SalVentAttnA,3.324988,False
TempPar-SalVentAttnB,4.789937,False
TempPar-SomMotA,3.79028,False
TempPar-SomMotB,5.818549,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.256593,False
TempPar-VisPeri,4.654706,False
VisCent-ContA,3.549767,False
VisCent-ContB,0.87364,False
VisCent-ContC,0.843404,False
VisCent-DefaultA,3.766944,False
VisCent-DefaultB,0.738634,False
VisCent-DefaultC,1.673066,False
VisCent-DorsAttnA,3.526326,False
VisCent-DorsAttnB,1.942303,False
VisCent-LimbicA,1.561814,False
VisCent-LimbicB,0.116284,False
VisCent-SalVentAttnA,2.542429,False
VisCent-SalVentAttnB,2.711017,False
VisCent-SomMotA,6.785422,False
VisCent-SomMotB,8.955357,False
VisCent-TempPar,3.018463,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.165639,False
VisPeri-ContA,10.406406,False
VisPeri-ContB,7.139243,False
VisPeri-ContC,4.137285,False
VisPeri-DefaultA,7.97307,False
VisPeri-DefaultB,11.896985,False
VisPeri-DefaultC,2.208847,False
VisPeri-DorsAttnA,0.123376,False
VisPeri-DorsAttnB,1.945343,False
VisPeri-LimbicA,8.272701,False
VisPeri-LimbicB,14.949283,False
VisPeri-SalVentAttnA,1.148645,False
VisPeri-SalVentAttnB,12.774571,False
VisPeri-SomMotA,18.542058,False
VisPeri-SomMotB,3.779631,False
VisPeri-TempPar,1.837938,False
VisPeri-VisCent,1.999186,False
VisPeri-VisPeri,0.0,True
