network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.703511,False
ContA-ContC,9.206452,False
ContA-DefaultA,26.933678,False
ContA-DefaultB,10.509301,False
ContA-DefaultC,0.049997,False
ContA-DorsAttnA,5.016965,False
ContA-DorsAttnB,1.681675,False
ContA-LimbicA,23.016333,False
ContA-LimbicB,22.922003,False
ContA-SalVentAttnA,0.247223,False
ContA-SalVentAttnB,16.563659,False
ContA-SomMotA,15.535236,False
ContA-SomMotB,5.028914,False
ContA-TempPar,0.225512,False
ContA-VisCent,0.91008,False
ContA-VisPeri,1.860458,False
ContB-ContA,7.175037,False
ContB-ContB,0.0,True
ContB-ContC,4.200561,False
ContB-DefaultA,8.490863,False
ContB-DefaultB,4.575114,False
ContB-DefaultC,0.751325,False
ContB-DorsAttnA,4.569639,False
ContB-DorsAttnB,6.657876,False
ContB-LimbicA,13.219206,False
ContB-LimbicB,13.480383,False
ContB-SalVentAttnA,0.422056,False
ContB-SalVentAttnB,8.749365,False
ContB-SomMotA,13.638199,False
ContB-SomMotB,1.271757,False
ContB-TempPar,0.603722,False
ContB-VisCent,3.766136,False
ContB-VisPeri,5.029921,False
ContC-ContA,0.5181,False
ContC-ContB,0.075436,False
ContC-ContC,0.0,True
ContC-DefaultA,2.992621,False
ContC-DefaultB,3.008467,False
ContC-DefaultC,0.696977,False
ContC-DorsAttnA,1.107797,False
ContC-DorsAttnB,0.606889,False
ContC-LimbicA,1.908184,False
ContC-LimbicB,3.428988,False
ContC-SalVentAttnA,2.053237,False
ContC-SalVentAttnB,1.921741,False
ContC-SomMotA,2.257938,False
ContC-SomMotB,1.916993,False
ContC-TempPar,0.424822,False
ContC-VisCent,2.026653,False
ContC-VisPeri,1.037831,False
DefaultA-ContA,8.310139,False
DefaultA-ContB,1.4703,False
DefaultA-ContC,30.680672,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.108793,False
DefaultA-DefaultC,0.298226,False
DefaultA-DorsAttnA,4.758145,False
DefaultA-DorsAttnB,0.302533,False
DefaultA-LimbicA,9.474123,False
DefaultA-LimbicB,9.540927,False
DefaultA-SalVentAttnA,1.229785,False
DefaultA-SalVentAttnB,5.871374,False
DefaultA-SomMotA,7.3729,False
DefaultA-SomMotB,5.496743,False
DefaultA-TempPar,0.91349,False
DefaultA-VisCent,0.232956,False
DefaultA-VisPeri,1.151839,False
DefaultB-ContA,1.975737,False
DefaultB-ContB,2.166641,False
DefaultB-ContC,15.183598,False
DefaultB-DefaultA,21.182381,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.037759,False
DefaultB-DorsAttnA,2.591068,False
DefaultB-DorsAttnB,1.818663,False
