network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.292305,False
ContA-ContC,1.933981,False
ContA-DefaultA,2.435674,False
ContA-DefaultB,8.241785,False
ContA-DefaultC,0.092901,False
ContA-DorsAttnA,4.161368,False
ContA-DorsAttnB,2.276007,False
ContA-LimbicA,21.970501,False
ContA-LimbicB,11.926093,False
ContA-SalVentAttnA,2.493666,False
ContA-SalVentAttnB,12.123569,False
ContA-SomMotA,10.243664,False
ContA-SomMotB,7.368513,False
ContA-TempPar,2.033777,False
ContA-VisCent,1.548533,False
ContA-VisPeri,4.365067,False
ContB-ContA,2.235763,False
ContB-ContB,0.0,True
ContB-ContC,1.091806,False
ContB-DefaultA,3.841855,False
ContB-DefaultB,9.353501,False
ContB-DefaultC,5.125479,False
ContB-DorsAttnA,5.006489,False
ContB-DorsAttnB,0.487671,False
ContB-LimbicA,1.710587,False
ContB-LimbicB,8.115564,False
ContB-SalVentAttnA,0.136348,False
ContB-SalVentAttnB,5.26171,False
ContB-SomMotA,6.724507,False
ContB-SomMotB,4.392721,False
ContB-TempPar,1.794481,False
ContB-VisCent,5.051713,False
ContB-VisPeri,2.786008,False
ContC-ContA,2.399115,False
ContC-ContB,0.125209,False
ContC-ContC,0.0,True
ContC-DefaultA,20.628478,False
ContC-DefaultB,4.63369,False
ContC-DefaultC,1.735985,False
ContC-DorsAttnA,3.389033,False
ContC-DorsAttnB,0.230138,False
ContC-LimbicA,2.04308,False
ContC-LimbicB,10.377412,False
ContC-SalVentAttnA,3.726548,False
ContC-SalVentAttnB,2.863685,False
ContC-SomMotA,2.232999,False
ContC-SomMotB,1.837188,False
ContC-TempPar,1.273649,False
ContC-VisCent,0.003239,False
ContC-VisPeri,0.178299,False
DefaultA-ContA,5.791287,False
DefaultA-ContB,1.24153,False
DefaultA-ContC,19.890774,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,15.273905,False
DefaultA-DefaultC,0.27174,False
DefaultA-DorsAttnA,1.489115,False
DefaultA-DorsAttnB,1.678244,False
DefaultA-LimbicA,6.897824,False
DefaultA-LimbicB,19.474426,False
DefaultA-SalVentAttnA,6.144856,False
DefaultA-SalVentAttnB,8.927824,False
DefaultA-SomMotA,3.337563,False
DefaultA-SomMotB,0.548663,False
DefaultA-TempPar,2.042537,False
DefaultA-VisCent,0.19606,False
DefaultA-VisPeri,5.163544,False
DefaultB-ContA,1.168186,False
DefaultB-ContB,0.733013,False
DefaultB-ContC,1.664653,False
DefaultB-DefaultA,0.137659,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.825426,False
DefaultB-DorsAttnA,1.750588,False
DefaultB-DorsAttnB,0.218202,False
DefaultB-LimbicA,2.386422,False
DefaultB-LimbicB,8.066477,False
DefaultB-SalVentAttnA,3.271896,False
