network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.288986,False
ContA-ContC,5.207634,False
ContA-DefaultA,2.408523,False
ContA-DefaultB,0.573392,False
ContA-DefaultC,5.737351,False
ContA-DorsAttnA,1.065129,False
ContA-DorsAttnB,0.892474,False
ContA-LimbicA,43.703938,False
ContA-LimbicB,10.837651,False
ContA-SalVentAttnA,2.60702,False
ContA-SalVentAttnB,3.148406,False
ContA-SomMotA,10.493596,False
ContA-SomMotB,3.758831,False
ContA-TempPar,5.887865,False
ContA-VisCent,2.387046,False
ContA-VisPeri,9.550457,False
ContB-ContA,0.370841,False
ContB-ContB,0.0,True
ContB-ContC,0.022805,False
ContB-DefaultA,0.304514,False
ContB-DefaultB,3.637469,False
ContB-DefaultC,5.182591,False
ContB-DorsAttnA,1.087565,False
ContB-DorsAttnB,1.792597,False
ContB-LimbicA,2.427516,False
ContB-LimbicB,1.70252,False
ContB-SalVentAttnA,1.713366,False
ContB-SalVentAttnB,1.279449,False
ContB-SomMotA,3.353409,False
ContB-SomMotB,0.906835,False
ContB-TempPar,3.241243,False
ContB-VisCent,0.964727,False
ContB-VisPeri,1.773962,False
ContC-ContA,1.527629,False
ContC-ContB,0.868117,False
ContC-ContC,0.0,True
ContC-DefaultA,0.463055,False
ContC-DefaultB,2.052561,False
ContC-DefaultC,0.532873,False
ContC-DorsAttnA,2.383247,False
ContC-DorsAttnB,1.086865,False
ContC-LimbicA,2.391025,False
ContC-LimbicB,7.046379,False
ContC-SalVentAttnA,0.626679,False
ContC-SalVentAttnB,0.189288,False
ContC-SomMotA,0.749229,False
ContC-SomMotB,0.889664,False
ContC-TempPar,3.222637,False
ContC-VisCent,1.802302,False
ContC-VisPeri,1.088918,False
DefaultA-ContA,0.394438,False
DefaultA-ContB,2.085432,False
DefaultA-ContC,14.205525,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.693426,False
DefaultA-DefaultC,2.962642,False
DefaultA-DorsAttnA,1.510251,False
DefaultA-DorsAttnB,2.113613,False
DefaultA-LimbicA,0.844698,False
DefaultA-LimbicB,17.948497,False
DefaultA-SalVentAttnA,1.58082,False
DefaultA-SalVentAttnB,2.978711,False
DefaultA-SomMotA,0.068815,False
DefaultA-SomMotB,2.917668,False
DefaultA-TempPar,2.654411,False
DefaultA-VisCent,0.556078,False
DefaultA-VisPeri,0.166146,False
DefaultB-ContA,1.823143,False
DefaultB-ContB,0.160449,False
DefaultB-ContC,3.364185,False
DefaultB-DefaultA,0.13115,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.961464,False
DefaultB-DorsAttnA,0.685065,False
DefaultB-DorsAttnB,1.338795,False
DefaultB-LimbicA,2.163385,False
DefaultB-LimbicB,7.5129,False
DefaultB-SalVentAttnA,6.314053,False
DefaultB-SalVentAttnB,3.310305,False
DefaultB-SomMotA,2.758372,False
DefaultB-SomMotB,1.614126,False
DefaultB-TempPar,6.26522,False
DefaultB-VisCent,0.15602,False
DefaultB-VisPeri,0.312547,False
DefaultC-ContA,2.874284,False
DefaultC-ContB,1.550141,False
DefaultC-ContC,2.126079,False
DefaultC-DefaultA,0.737124,False
DefaultC-DefaultB,8.686678,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.051607,False
DefaultC-DorsAttnB,0.089476,False
DefaultC-LimbicA,1.231001,False
DefaultC-LimbicB,0.091517,False
DefaultC-SalVentAttnA,2.89259,False
DefaultC-SalVentAttnB,1.502719,False
DefaultC-SomMotA,9.561716,False
DefaultC-SomMotB,1.518318,False
DefaultC-TempPar,3.25229,False
DefaultC-VisCent,1.373248,False
DefaultC-VisPeri,1.128725,False
DorsAttnA-ContA,1.056104,False
DorsAttnA-ContB,0.429496,False
DorsAttnA-ContC,6.81506,False
DorsAttnA-DefaultA,4.851673,False
DorsAttnA-DefaultB,4.025105,False
DorsAttnA-DefaultC,1.471464,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.191416,False
DorsAttnA-LimbicA,2.577943,False
DorsAttnA-LimbicB,12.356911,False
DorsAttnA-SalVentAttnA,3.754706,False
DorsAttnA-SalVentAttnB,0.760043,False
DorsAttnA-SomMotA,0.16471,False
DorsAttnA-SomMotB,2.30468,False
DorsAttnA-TempPar,1.852446,False
DorsAttnA-VisCent,1.694076,False
DorsAttnA-VisPeri,1.149157,False
DorsAttnB-ContA,0.060508,False
DorsAttnB-ContB,1.196062,False
DorsAttnB-ContC,1.220405,False
DorsAttnB-DefaultA,0.040358,False
DorsAttnB-DefaultB,1.054784,False
DorsAttnB-DefaultC,0.842905,False
DorsAttnB-DorsAttnA,0.087558,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.651977,False
DorsAttnB-LimbicB,0.158882,False
DorsAttnB-SalVentAttnA,6.253389,False
DorsAttnB-SalVentAttnB,1.18698,False
DorsAttnB-SomMotA,0.069534,False
DorsAttnB-SomMotB,0.492614,False
DorsAttnB-TempPar,1.446417,False
DorsAttnB-VisCent,3.573955,False
DorsAttnB-VisPeri,0.099771,False
LimbicA-ContA,9.262243,False
LimbicA-ContB,0.563412,False
LimbicA-ContC,7.039058,False
LimbicA-DefaultA,2.273928,False
LimbicA-DefaultB,1.12223,False
LimbicA-DefaultC,6.598656,False
LimbicA-DorsAttnA,0.833829,False
