network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.463922,False
ContA-ContC,2.11187,False
ContA-DefaultA,0.093174,False
ContA-DefaultB,0.374144,False
ContA-DefaultC,0.659194,False
ContA-DorsAttnA,1.866962,False
ContA-DorsAttnB,0.758755,False
ContA-LimbicA,10.213755,False
ContA-LimbicB,3.569706,False
ContA-SalVentAttnA,0.529937,False
ContA-SalVentAttnB,7.329935,False
ContA-SomMotA,7.49786,False
ContA-SomMotB,0.952892,False
ContA-TempPar,2.355145,False
ContA-VisCent,0.063467,False
ContA-VisPeri,1.858539,False
ContB-ContA,21.164043,False
ContB-ContB,0.0,True
ContB-ContC,3.862681,False
ContB-DefaultA,1.494149,False
ContB-DefaultB,1.324254,False
ContB-DefaultC,0.337638,False
ContB-DorsAttnA,1.506763,False
ContB-DorsAttnB,0.460855,False
ContB-LimbicA,17.848832,False
ContB-LimbicB,2.608616,False
ContB-SalVentAttnA,1.463891,False
ContB-SalVentAttnB,5.997559,False
ContB-SomMotA,12.191433,False
ContB-SomMotB,0.0886,False
ContB-TempPar,0.61887,False
ContB-VisCent,2.131727,False
ContB-VisPeri,2.089602,False
ContC-ContA,1.737953,False
ContC-ContB,0.663686,False
ContC-ContC,0.0,True
ContC-DefaultA,0.938274,False
ContC-DefaultB,0.025618,False
ContC-DefaultC,0.513258,False
ContC-DorsAttnA,8.982904,False
ContC-DorsAttnB,3.571624,False
ContC-LimbicA,0.481818,False
ContC-LimbicB,7.697033,False
ContC-SalVentAttnA,2.042699,False
ContC-SalVentAttnB,4.395577,False
ContC-SomMotA,2.863113,False
ContC-SomMotB,0.387276,False
ContC-TempPar,0.191758,False
ContC-VisCent,0.341356,False
ContC-VisPeri,1.209074,False
DefaultA-ContA,5.199349,False
DefaultA-ContB,0.921559,False
DefaultA-ContC,5.91356,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.547811,False
DefaultA-DefaultC,10.179615,False
DefaultA-DorsAttnA,10.614718,False
DefaultA-DorsAttnB,1.240282,False
DefaultA-LimbicA,5.965836,False
DefaultA-LimbicB,21.558955,False
DefaultA-SalVentAttnA,5.390027,False
DefaultA-SalVentAttnB,10.49643,False
DefaultA-SomMotA,2.913671,False
DefaultA-SomMotB,2.104818,False
DefaultA-TempPar,8.453548,False
DefaultA-VisCent,0.308346,False
DefaultA-VisPeri,0.3509,False
DefaultB-ContA,4.167734,False
DefaultB-ContB,0.63968,False
DefaultB-ContC,7.284111,False
DefaultB-DefaultA,26.527884,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.290025,False
DefaultB-DorsAttnA,14.039867,False
DefaultB-DorsAttnB,2.026486,False
DefaultB-LimbicA,1.584079,False
DefaultB-LimbicB,16.831814,False
DefaultB-SalVentAttnA,2.529018,False
DefaultB-SalVentAttnB,6.361433,False
DefaultB-SomMotA,2.258743,False
DefaultB-SomMotB,4.246276,False
DefaultB-TempPar,8.146204,False
DefaultB-VisCent,1.554556,False
DefaultB-VisPeri,0.809188,False
DefaultC-ContA,0.230368,False
DefaultC-ContB,1.738641,False
DefaultC-ContC,5.666161,False
DefaultC-DefaultA,1.426763,False
DefaultC-DefaultB,4.606161,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.3401,False
DefaultC-DorsAttnB,3.971721,False
DefaultC-LimbicA,0.167713,False
DefaultC-LimbicB,9.657327,False
DefaultC-SalVentAttnA,6.68295,False
DefaultC-SalVentAttnB,0.294037,False
DefaultC-SomMotA,4.690535,False
DefaultC-SomMotB,2.16745,False
DefaultC-TempPar,3.788564,False
DefaultC-VisCent,4.402885,False
DefaultC-VisPeri,2.401816,False
DorsAttnA-ContA,1.805619,False
DorsAttnA-ContB,4.307484,False
DorsAttnA-ContC,4.478067,False
DorsAttnA-DefaultA,3.418598,False
DorsAttnA-DefaultB,2.717694,False
DorsAttnA-DefaultC,13.242438,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,15.306415,False
DorsAttnA-LimbicA,1.751361,False
DorsAttnA-LimbicB,9.407989,False
DorsAttnA-SalVentAttnA,8.354077,False
DorsAttnA-SalVentAttnB,0.970886,False
DorsAttnA-SomMotA,4.181104,False
DorsAttnA-SomMotB,0.106777,False
DorsAttnA-TempPar,4.446415,False
DorsAttnA-VisCent,1.154094,False
DorsAttnA-VisPeri,3.898865,False
DorsAttnB-ContA,3.288999,False
DorsAttnB-ContB,3.661478,False
DorsAttnB-ContC,0.808957,False
DorsAttnB-DefaultA,1.605812,False
DorsAttnB-DefaultB,1.239417,False
DorsAttnB-DefaultC,0.328964,False
DorsAttnB-DorsAttnA,5.331526,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.501536,False
DorsAttnB-LimbicB,0.802895,False
DorsAttnB-SalVentAttnA,0.525281,False
DorsAttnB-SalVentAttnB,1.340789,False
DorsAttnB-SomMotA,4.220767,False
DorsAttnB-SomMotB,2.517828,False
DorsAttnB-TempPar,0.215679,False
DorsAttnB-VisCent,0.190791,False
DorsAttnB-VisPeri,4.204933,False
LimbicA-ContA,13.25478,False
LimbicA-ContB,5.771151,False
LimbicA-ContC,1.2539,False
LimbicA-DefaultA,0.752319,False
LimbicA-DefaultB,1.280729,False
LimbicA-DefaultC,0.654712,False
LimbicA-DorsAttnA,1.410706,False
LimbicA-DorsAttnB,0.07442,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,1.738582,False
LimbicA-SalVentAttnA,0.114186,False
LimbicA-SalVentAttnB,11.651307,False
LimbicA-SomMotA,3.895621,False
LimbicA-SomMotB,0.295464,False
LimbicA-TempPar,2.386819,False
LimbicA-VisCent,0.220956,False
LimbicA-VisPeri,1.844011,False
LimbicB-ContA,0.378481,False
LimbicB-ContB,1.348866,False
LimbicB-ContC,0.397617,False
LimbicB-DefaultA,0.352666,False
LimbicB-DefaultB,3.374527,False
LimbicB-DefaultC,5.114617,False
LimbicB-DorsAttnA,4.677739,False
LimbicB-DorsAttnB,1.40167,False
LimbicB-LimbicA,0.3609,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.281121,False
LimbicB-SalVentAttnB,0.40809,False
LimbicB-SomMotA,2.387806,False
LimbicB-SomMotB,0.552169,False
LimbicB-TempPar,1.560493,False
LimbicB-VisCent,5.746562,False
LimbicB-VisPeri,2.056305,False
SalVentAttnA-ContA,0.118942,False
SalVentAttnA-ContB,0.65773,False
SalVentAttnA-ContC,0.385641,False
SalVentAttnA-DefaultA,2.189358,False
SalVentAttnA-DefaultB,0.591552,False
SalVentAttnA-DefaultC,1.611085,False
SalVentAttnA-DorsAttnA,1.68216,False
SalVentAttnA-DorsAttnB,1.256278,False
SalVentAttnA-LimbicA,0.064,False
SalVentAttnA-LimbicB,1.645771,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.804109,False
SalVentAttnA-SomMotA,0.320847,False
SalVentAttnA-SomMotB,1.757068,False
SalVentAttnA-TempPar,4.33212,False
SalVentAttnA-VisCent,0.5081,False
SalVentAttnA-VisPeri,1.146188,False
SalVentAttnB-ContA,7.392163,False
SalVentAttnB-ContB,2.737894,False
SalVentAttnB-ContC,0.412572,False
SalVentAttnB-DefaultA,3.836875,False
SalVentAttnB-DefaultB,2.312743,False
SalVentAttnB-DefaultC,3.572545,False
SalVentAttnB-DorsAttnA,3.443531,False
SalVentAttnB-DorsAttnB,0.752649,False
SalVentAttnB-LimbicA,5.796626,False
SalVentAttnB-LimbicB,3.885647,False
SalVentAttnB-SalVentAttnA,4.329749,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,5.320084,False
SalVentAttnB-SomMotB,1.465803,False
SalVentAttnB-TempPar,6.894433,False
SalVentAttnB-VisCent,1.040977,False
SalVentAttnB-VisPeri,1.624922,False
SomMotA-ContA,11.542313,False
SomMotA-ContB,5.584676,False
SomMotA-ContC,1.540702,False
SomMotA-DefaultA,1.810634,False
SomMotA-DefaultB,4.357026,False
SomMotA-DefaultC,2.609848,False
SomMotA-DorsAttnA,1.287018,False
SomMotA-DorsAttnB,0.261204,False
SomMotA-LimbicA,2.715904,False
SomMotA-LimbicB,2.54559,False
SomMotA-SalVentAttnA,0.520991,False
SomMotA-SalVentAttnB,5.711767,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,2.205187,False
SomMotA-TempPar,2.544203,False
SomMotA-VisCent,9.132213,False
SomMotA-VisPeri,4.838763,False
SomMotB-ContA,1.548263,False
SomMotB-ContB,0.992801,False
SomMotB-ContC,1.768851,False
SomMotB-DefaultA,5.625404,False
SomMotB-DefaultB,7.134502,False
SomMotB-DefaultC,4.874602,False
SomMotB-DorsAttnA,6.064582,False
SomMotB-DorsAttnB,3.731902,False
SomMotB-LimbicA,0.649496,False
SomMotB-LimbicB,4.281457,False
SomMotB-SalVentAttnA,6.72263,False
SomMotB-SalVentAttnB,3.139286,False
SomMotB-SomMotA,0.686639,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,6.24377,False
SomMotB-VisCent,3.587362,False
SomMotB-VisPeri,0.047125,False
TempPar-ContA,2.263521,False
TempPar-ContB,0.280337,False
TempPar-ContC,0.198162,False
TempPar-DefaultA,0.301365,False
TempPar-DefaultB,0.096073,False
TempPar-DefaultC,0.346806,False
TempPar-DorsAttnA,3.707845,False
TempPar-DorsAttnB,2.780831,False
TempPar-LimbicA,1.206292,False
TempPar-LimbicB,1.551354,False
TempPar-SalVentAttnA,5.443614,False
TempPar-SalVentAttnB,2.042913,False
TempPar-SomMotA,6.003249,False
TempPar-SomMotB,5.23247,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.386151,False
TempPar-VisPeri,4.241751,False
VisCent-ContA,0.788929,False
VisCent-ContB,2.433971,False
VisCent-ContC,2.08406,False
VisCent-DefaultA,1.087479,False
VisCent-DefaultB,1.742902,False
VisCent-DefaultC,0.354009,False
VisCent-DorsAttnA,1.67596,False
VisCent-DorsAttnB,1.602014,False
VisCent-LimbicA,2.805204,False
VisCent-LimbicB,1.893744,False
VisCent-SalVentAttnA,0.433133,False
VisCent-SalVentAttnB,0.476602,False
VisCent-SomMotA,1.45261,False
VisCent-SomMotB,0.370551,False
VisCent-TempPar,0.081331,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.659178,False
VisPeri-ContA,10.022846,False
VisPeri-ContB,12.916818,False
VisPeri-ContC,0.433105,False
VisPeri-DefaultA,1.063384,False
VisPeri-DefaultB,0.87967,False
VisPeri-DefaultC,0.535978,False
VisPeri-DorsAttnA,1.002594,False
VisPeri-DorsAttnB,0.295969,False
VisPeri-LimbicA,11.670981,False
VisPeri-LimbicB,0.384534,False
VisPeri-SalVentAttnA,9.439526,False
VisPeri-SalVentAttnB,1.460862,False
VisPeri-SomMotA,5.312825,False
VisPeri-SomMotB,1.051305,False
VisPeri-TempPar,0.20533,False
VisPeri-VisCent,10.961327,False
VisPeri-VisPeri,0.0,True
