network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.886407,False
ContA-ContC,3.964153,False
ContA-DefaultA,1.172086,False
ContA-DefaultB,0.44356,False
ContA-DefaultC,0.240549,False
ContA-DorsAttnA,0.678025,False
ContA-DorsAttnB,1.851682,False
ContA-LimbicA,3.285052,False
ContA-LimbicB,1.409167,False
ContA-SalVentAttnA,4.244954,False
ContA-SalVentAttnB,0.825679,False
ContA-SomMotA,7.711155,False
ContA-SomMotB,1.693009,False
ContA-TempPar,3.752219,False
ContA-VisCent,9.862146,False
ContA-VisPeri,4.212697,False
ContB-ContA,2.142628,False
ContB-ContB,0.0,True
ContB-ContC,1.812199,False
ContB-DefaultA,0.035074,False
ContB-DefaultB,0.526075,False
ContB-DefaultC,0.860606,False
ContB-DorsAttnA,7.186515,False
ContB-DorsAttnB,1.321036,False
ContB-LimbicA,1.533273,False
ContB-LimbicB,0.762753,False
ContB-SalVentAttnA,3.217342,False
ContB-SalVentAttnB,1.463384,False
ContB-SomMotA,3.725735,False
ContB-SomMotB,4.478587,False
ContB-TempPar,1.239204,False
ContB-VisCent,0.866512,False
ContB-VisPeri,0.558262,False
ContC-ContA,10.370428,False
ContC-ContB,6.861302,False
ContC-ContC,0.0,True
ContC-DefaultA,8.062005,False
ContC-DefaultB,12.24944,False
ContC-DefaultC,0.203266,False
ContC-DorsAttnA,2.392499,False
ContC-DorsAttnB,0.387988,False
ContC-LimbicA,13.782277,False
ContC-LimbicB,9.159488,False
ContC-SalVentAttnA,1.811481,False
ContC-SalVentAttnB,6.00307,False
ContC-SomMotA,12.687296,False
ContC-SomMotB,3.588679,False
ContC-TempPar,1.202324,False
ContC-VisCent,2.317643,False
ContC-VisPeri,0.016381,False
DefaultA-ContA,17.745721,False
DefaultA-ContB,4.859024,False
DefaultA-ContC,3.451516,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.410428,False
DefaultA-DefaultC,4.750041,False
DefaultA-DorsAttnA,0.810468,False
DefaultA-DorsAttnB,0.770434,False
DefaultA-LimbicA,20.063691,False
DefaultA-LimbicB,15.040013,False
DefaultA-SalVentAttnA,0.146728,False
DefaultA-SalVentAttnB,11.542418,False
DefaultA-SomMotA,11.586969,False
DefaultA-SomMotB,3.267804,False
DefaultA-TempPar,4.76536,False
DefaultA-VisCent,5.943461,False
DefaultA-VisPeri,7.24653,False
DefaultB-ContA,3.490242,False
DefaultB-ContB,5.892322,False
DefaultB-ContC,3.738345,False
DefaultB-DefaultA,9.219256,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.532921,False
DefaultB-DorsAttnA,2.78168,False
DefaultB-DorsAttnB,2.059492,False
DefaultB-LimbicA,3.007686,False
DefaultB-LimbicB,9.004551,False
DefaultB-SalVentAttnA,0.345539,False
DefaultB-SalVentAttnB,3.159265,False
DefaultB-SomMotA,6.387457,False
DefaultB-SomMotB,4.138403,False
DefaultB-TempPar,0.680087,False
DefaultB-VisCent,4.177699,False
DefaultB-VisPeri,4.076986,False
DefaultC-ContA,3.246003,False
DefaultC-ContB,3.963026,False
