network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.91037,False
ContA-ContC,1.631449,False
ContA-DefaultA,5.061866,False
ContA-DefaultB,9.74016,False
ContA-DefaultC,0.788185,False
ContA-DorsAttnA,3.200531,False
ContA-DorsAttnB,6.856878,False
ContA-LimbicA,55.648144,False
ContA-LimbicB,7.660374,False
ContA-SalVentAttnA,1.905194,False
ContA-SalVentAttnB,5.95678,False
ContA-SomMotA,9.133966,False
ContA-SomMotB,4.214246,False
ContA-TempPar,1.373003,False
ContA-VisCent,4.983756,False
ContA-VisPeri,5.467372,False
ContB-ContA,6.548074,False
ContB-ContB,0.0,True
ContB-ContC,0.201072,False
ContB-DefaultA,1.442514,False
ContB-DefaultB,1.495987,False
ContB-DefaultC,2.4687,False
ContB-DorsAttnA,0.212419,False
ContB-DorsAttnB,6.07207,False
ContB-LimbicA,14.850579,False
ContB-LimbicB,2.539277,False
ContB-SalVentAttnA,1.495283,False
ContB-SalVentAttnB,2.936685,False
ContB-SomMotA,4.688824,False
ContB-SomMotB,3.382314,False
ContB-TempPar,4.506475,False
ContB-VisCent,4.465171,False
ContB-VisPeri,3.726677,False
ContC-ContA,1.191607,False
ContC-ContB,0.247523,False
ContC-ContC,0.0,True
ContC-DefaultA,2.20878,False
ContC-DefaultB,1.714343,False
ContC-DefaultC,0.097251,False
ContC-DorsAttnA,1.95446,False
ContC-DorsAttnB,0.509675,False
ContC-LimbicA,1.035325,False
ContC-LimbicB,2.396253,False
ContC-SalVentAttnA,0.718766,False
ContC-SalVentAttnB,0.310942,False
ContC-SomMotA,0.239025,False
ContC-SomMotB,0.181741,False
ContC-TempPar,0.290738,False
ContC-VisCent,0.028583,False
ContC-VisPeri,1.048392,False
DefaultA-ContA,1.170143,False
DefaultA-ContB,1.821926,False
DefaultA-ContC,14.57787,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.075047,False
DefaultA-DefaultC,0.108967,False
DefaultA-DorsAttnA,2.943822,False
DefaultA-DorsAttnB,2.822712,False
DefaultA-LimbicA,1.993696,False
DefaultA-LimbicB,5.475686,False
DefaultA-SalVentAttnA,1.159881,False
DefaultA-SalVentAttnB,1.571493,False
DefaultA-SomMotA,0.821497,False
DefaultA-SomMotB,0.782562,False
DefaultA-TempPar,1.660065,False
DefaultA-VisCent,0.889531,False
DefaultA-VisPeri,0.278702,False
DefaultB-ContA,1.082391,False
DefaultB-ContB,0.077122,False
DefaultB-ContC,4.622618,False
DefaultB-DefaultA,11.414443,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.231318,False
DefaultB-DorsAttnA,1.219269,False
DefaultB-DorsAttnB,0.127747,False
DefaultB-LimbicA,1.830041,False
DefaultB-LimbicB,11.59786,False
DefaultB-SalVentAttnA,1.411407,False
DefaultB-SalVentAttnB,1.396164,False
DefaultB-SomMotA,0.602577,False
DefaultB-SomMotB,0.099664,False
DefaultB-TempPar,0.822949,False
DefaultB-VisCent,0.903709,False
DefaultB-VisPeri,1.139443,False
DefaultC-ContA,3.497232,False
DefaultC-ContB,0.446956,False
DefaultC-ContC,1.107571,False
DefaultC-DefaultA,1.050211,False
DefaultC-DefaultB,6.983916,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.842314,False
DefaultC-DorsAttnB,0.282289,False
DefaultC-LimbicA,2.346866,False
DefaultC-LimbicB,6.136971,False
DefaultC-SalVentAttnA,0.240395,False
DefaultC-SalVentAttnB,1.339849,False
DefaultC-SomMotA,5.322848,False
DefaultC-SomMotB,0.600482,False
DefaultC-TempPar,5.278623,False
DefaultC-VisCent,1.443363,False
DefaultC-VisPeri,5.666388,False
DorsAttnA-ContA,1.57797,False
DorsAttnA-ContB,0.766072,False
DorsAttnA-ContC,1.035076,False
DorsAttnA-DefaultA,0.868515,False
DorsAttnA-DefaultB,8.147768,False
DorsAttnA-DefaultC,5.766462,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.01622,False
DorsAttnA-LimbicA,1.360625,False
DorsAttnA-LimbicB,2.441342,False
DorsAttnA-SalVentAttnA,1.989586,False
DorsAttnA-SalVentAttnB,0.391625,False
DorsAttnA-SomMotA,1.941433,False
DorsAttnA-SomMotB,0.583241,False
DorsAttnA-TempPar,2.296161,False
DorsAttnA-VisCent,3.565399,False
DorsAttnA-VisPeri,0.259903,False
DorsAttnB-ContA,1.239885,False
DorsAttnB-ContB,4.617479,False
DorsAttnB-ContC,2.412491,False
DorsAttnB-DefaultA,1.764121,False
DorsAttnB-DefaultB,0.779799,False
DorsAttnB-DefaultC,2.766951,False
DorsAttnB-DorsAttnA,0.726403,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.198127,False
DorsAttnB-LimbicB,2.809036,False
DorsAttnB-SalVentAttnA,0.72311,False
DorsAttnB-SalVentAttnB,1.953084,False
DorsAttnB-SomMotA,1.246257,False
DorsAttnB-SomMotB,5.867169,False
DorsAttnB-TempPar,3.429419,False
DorsAttnB-VisCent,5.87777,False
DorsAttnB-VisPeri,1.747797,False
LimbicA-ContA,14.830288,False
LimbicA-ContB,7.546944,False
LimbicA-ContC,1.759932,False
LimbicA-DefaultA,1.427132,False
LimbicA-DefaultB,2.186186,False
LimbicA-DefaultC,0.249866,False
LimbicA-DorsAttnA,0.537186,False
LimbicA-DorsAttnB,6.008226,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,4.743293,False
LimbicA-SalVentAttnA,0.749218,False
LimbicA-SalVentAttnB,2.820249,False
LimbicA-SomMotA,5.279605,False
LimbicA-SomMotB,2.791412,False
LimbicA-TempPar,0.838288,False
LimbicA-VisCent,3.645842,False
LimbicA-VisPeri,4.473185,False
LimbicB-ContA,1.589611,False
LimbicB-ContB,3.629899,False
LimbicB-ContC,2.895402,False
LimbicB-DefaultA,0.416931,False
LimbicB-DefaultB,1.819626,False
LimbicB-DefaultC,9.75867,False
LimbicB-DorsAttnA,0.99665,False
LimbicB-DorsAttnB,5.253185,False
LimbicB-LimbicA,4.442932,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,12.029691,False
LimbicB-SalVentAttnB,10.729178,False
LimbicB-SomMotA,1.611894,False
LimbicB-SomMotB,2.054077,False
LimbicB-TempPar,4.936247,False
LimbicB-VisCent,2.335247,False
LimbicB-VisPeri,3.899432,False
SalVentAttnA-ContA,1.557684,False
SalVentAttnA-ContB,3.028448,False
SalVentAttnA-ContC,0.982905,False
SalVentAttnA-DefaultA,0.71024,False
SalVentAttnA-DefaultB,0.967166,False
SalVentAttnA-DefaultC,3.044617,False
SalVentAttnA-DorsAttnA,0.152699,False
SalVentAttnA-DorsAttnB,0.850072,False
SalVentAttnA-LimbicA,2.189587,False
SalVentAttnA-LimbicB,2.125644,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.96733,False
SalVentAttnA-SomMotA,1.8223,False
SalVentAttnA-SomMotB,0.021483,False
SalVentAttnA-TempPar,5.787661,False
SalVentAttnA-VisCent,1.119584,False
SalVentAttnA-VisPeri,0.15184,False
SalVentAttnB-ContA,5.911418,False
SalVentAttnB-ContB,9.122076,False
SalVentAttnB-ContC,0.68302,False
SalVentAttnB-DefaultA,1.089814,False
SalVentAttnB-DefaultB,0.820471,False
SalVentAttnB-DefaultC,4.578257,False
SalVentAttnB-DorsAttnA,0.620443,False
SalVentAttnB-DorsAttnB,7.877525,False
SalVentAttnB-LimbicA,10.614962,False
SalVentAttnB-LimbicB,17.748019,False
SalVentAttnB-SalVentAttnA,13.635524,False
SalVentAttnB-SalVentAttnB,0.0,True
