network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.654529,False
ContA-ContC,0.323937,False
ContA-DefaultA,3.148912,False
ContA-DefaultB,2.827479,False
ContA-DefaultC,0.262141,False
ContA-DorsAttnA,1.07863,False
ContA-DorsAttnB,1.654522,False
ContA-LimbicA,30.231972,False
ContA-LimbicB,14.734418,False
ContA-SalVentAttnA,3.396883,False
ContA-SalVentAttnB,7.540568,False
ContA-SomMotA,1.463192,False
ContA-SomMotB,0.171644,False
ContA-TempPar,3.115902,False
ContA-VisCent,0.111309,False
ContA-VisPeri,3.250225,False
ContB-ContA,3.501789,False
ContB-ContB,0.0,True
ContB-ContC,2.150972,False
ContB-DefaultA,2.705448,False
ContB-DefaultB,9.811501,False
ContB-DefaultC,3.116523,False
ContB-DorsAttnA,0.404574,False
ContB-DorsAttnB,0.681226,False
ContB-LimbicA,1.823893,False
ContB-LimbicB,6.945687,False
ContB-SalVentAttnA,1.836062,False
ContB-SalVentAttnB,3.844932,False
ContB-SomMotA,0.492026,False
ContB-SomMotB,2.33224,False
ContB-TempPar,0.154175,False
ContB-VisCent,0.322521,False
ContB-VisPeri,2.629132,False
ContC-ContA,2.308224,False
ContC-ContB,19.561158,False
ContC-ContC,0.0,True
ContC-DefaultA,8.83495,False
ContC-DefaultB,20.720124,False
ContC-DefaultC,2.872725,False
ContC-DorsAttnA,2.974025,False
ContC-DorsAttnB,1.107803,False
ContC-LimbicA,3.51295,False
ContC-LimbicB,13.433754,False
ContC-SalVentAttnA,1.85439,False
ContC-SalVentAttnB,2.78414,False
ContC-SomMotA,1.131943,False
ContC-SomMotB,7.619878,False
ContC-TempPar,3.234873,False
ContC-VisCent,0.906331,False
ContC-VisPeri,2.58751,False
DefaultA-ContA,2.018408,False
DefaultA-ContB,22.590436,False
DefaultA-ContC,42.986371,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,27.496708,False
DefaultA-DefaultC,2.237585,False
DefaultA-DorsAttnA,1.318846,False
DefaultA-DorsAttnB,0.18569,False
DefaultA-LimbicA,4.20592,False
DefaultA-LimbicB,15.386912,False
DefaultA-SalVentAttnA,5.553125,False
DefaultA-SalVentAttnB,4.186304,False
DefaultA-SomMotA,0.236111,False
DefaultA-SomMotB,8.928213,False
DefaultA-TempPar,9.667366,False
DefaultA-VisCent,1.013398,False
DefaultA-VisPeri,0.055494,False
DefaultB-ContA,0.067198,False
DefaultB-ContB,13.492661,False
DefaultB-ContC,12.601544,False
DefaultB-DefaultA,4.388268,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.560405,False
DefaultB-DorsAttnA,1.008829,False
DefaultB-DorsAttnB,0.566823,False
DefaultB-LimbicA,0.467086,False
DefaultB-LimbicB,4.34447,False
DefaultB-SalVentAttnA,1.502453,False
DefaultB-SalVentAttnB,1.567073,False
DefaultB-SomMotA,0.264248,False
DefaultB-SomMotB,3.996912,False
DefaultB-TempPar,0.116105,False
DefaultB-VisCent,0.556166,False
DefaultB-VisPeri,0.025973,False
DefaultC-ContA,1.524864,False
DefaultC-ContB,1.344269,False
DefaultC-ContC,2.272828,False
DefaultC-DefaultA,0.477831,False
DefaultC-DefaultB,2.894755,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.387157,False
DefaultC-DorsAttnB,1.603311,False
DefaultC-LimbicA,1.149133,False
DefaultC-LimbicB,0.209706,False
DefaultC-SalVentAttnA,0.534332,False
DefaultC-SalVentAttnB,1.750459,False
DefaultC-SomMotA,0.567328,False
DefaultC-SomMotB,1.74283,False
DefaultC-TempPar,0.708065,False
DefaultC-VisCent,0.717964,False
DefaultC-VisPeri,1.540617,False
DorsAttnA-ContA,1.46107,False
DorsAttnA-ContB,2.786873,False
DorsAttnA-ContC,2.590972,False
DorsAttnA-DefaultA,5.968082,False
DorsAttnA-DefaultB,6.198237,False
DorsAttnA-DefaultC,1.43963,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.374099,False
DorsAttnA-LimbicA,1.647913,False
DorsAttnA-LimbicB,1.963336,False
DorsAttnA-SalVentAttnA,2.146789,False
DorsAttnA-SalVentAttnB,0.554401,False
DorsAttnA-SomMotA,1.020405,False
DorsAttnA-SomMotB,2.584006,False
DorsAttnA-TempPar,2.748177,False
DorsAttnA-VisCent,4.64925,False
DorsAttnA-VisPeri,1.058002,False
DorsAttnB-ContA,3.839213,False
DorsAttnB-ContB,0.210432,False
DorsAttnB-ContC,0.091805,False
DorsAttnB-DefaultA,2.931798,False
DorsAttnB-DefaultB,0.818094,False
DorsAttnB-DefaultC,0.436637,False
DorsAttnB-DorsAttnA,2.245947,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.515248,False
DorsAttnB-LimbicB,0.006171,False
DorsAttnB-SalVentAttnA,0.575609,False
DorsAttnB-SalVentAttnB,0.662196,False
DorsAttnB-SomMotA,2.19363,False
DorsAttnB-SomMotB,0.251858,False
DorsAttnB-TempPar,1.259765,False
DorsAttnB-VisCent,0.760116,False
DorsAttnB-VisPeri,7.431385,False
LimbicA-ContA,12.895304,False
LimbicA-ContB,7.11073,False
LimbicA-ContC,2.54247,False
LimbicA-DefaultA,0.914148,False
LimbicA-DefaultB,1.129187,False
LimbicA-DefaultC,0.271873,False
LimbicA-DorsAttnA,0.280993,False
LimbicA-DorsAttnB,2.968244,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,8.806363,False
LimbicA-SalVentAttnA,5.390461,False
LimbicA-SalVentAttnB,11.278113,False
LimbicA-SomMotA,2.403378,False
LimbicA-SomMotB,1.565804,False
LimbicA-TempPar,0.230734,False
LimbicA-VisCent,0.046777,False
