network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,9.266084,False
ContA-ContC,0.826577,False
ContA-DefaultA,0.567861,False
ContA-DefaultB,3.170445,False
ContA-DefaultC,4.183054,False
ContA-DorsAttnA,3.603571,False
ContA-DorsAttnB,0.817885,False
ContA-LimbicA,25.066871,False
ContA-LimbicB,7.581159,False
ContA-SalVentAttnA,1.332922,False
ContA-SalVentAttnB,6.192149,False
ContA-SomMotA,13.40225,False
ContA-SomMotB,0.902956,False
ContA-TempPar,1.870118,False
ContA-VisCent,10.872346,False
ContA-VisPeri,5.407485,False
ContB-ContA,1.397463,False
ContB-ContB,0.0,True
ContB-ContC,0.25082,False
ContB-DefaultA,0.297978,False
ContB-DefaultB,0.749849,False
ContB-DefaultC,1.877232,False
ContB-DorsAttnA,3.515304,False
ContB-DorsAttnB,1.142644,False
ContB-LimbicA,0.799789,False
ContB-LimbicB,1.406951,False
ContB-SalVentAttnA,3.161265,False
ContB-SalVentAttnB,1.157266,False
ContB-SomMotA,6.762357,False
ContB-SomMotB,2.845725,False
ContB-TempPar,1.745088,False
ContB-VisCent,7.021399,False
ContB-VisPeri,1.14443,False
ContC-ContA,0.918425,False
ContC-ContB,0.327842,False
ContC-ContC,0.0,True
ContC-DefaultA,0.260524,False
ContC-DefaultB,1.001059,False
ContC-DefaultC,0.757642,False
ContC-DorsAttnA,1.280671,False
ContC-DorsAttnB,0.088006,False
ContC-LimbicA,2.182725,False
ContC-LimbicB,5.732714,False
ContC-SalVentAttnA,0.270756,False
ContC-SalVentAttnB,0.47968,False
ContC-SomMotA,0.98256,False
ContC-SomMotB,1.141259,False
ContC-TempPar,0.475939,False
ContC-VisCent,1.808361,False
ContC-VisPeri,4.537723,False
DefaultA-ContA,1.431583,False
DefaultA-ContB,0.006009,False
DefaultA-ContC,10.969591,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,14.919737,False
DefaultA-DefaultC,2.052708,False
DefaultA-DorsAttnA,7.817177,False
DefaultA-DorsAttnB,0.659797,False
DefaultA-LimbicA,6.767858,False
DefaultA-LimbicB,7.481256,False
DefaultA-SalVentAttnA,0.129458,False
DefaultA-SalVentAttnB,3.572054,False
DefaultA-SomMotA,2.888579,False
DefaultA-SomMotB,2.431339,False
DefaultA-TempPar,0.060426,False
DefaultA-VisCent,2.024543,False
DefaultA-VisPeri,2.087544,False
DefaultB-ContA,0.553781,False
DefaultB-ContB,0.33981,False
DefaultB-ContC,3.847384,False
DefaultB-DefaultA,2.021034,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.104556,False
DefaultB-DorsAttnA,8.786963,False
DefaultB-DorsAttnB,1.469959,False
DefaultB-LimbicA,0.571546,False
DefaultB-LimbicB,4.013193,False
DefaultB-SalVentAttnA,2.669988,False
DefaultB-SalVentAttnB,1.640528,False
DefaultB-SomMotA,1.009287,False
DefaultB-SomMotB,2.801669,False
DefaultB-TempPar,0.087299,False
DefaultB-VisCent,1.198541,False
DefaultB-VisPeri,1.609089,False
DefaultC-ContA,2.667445,False
DefaultC-ContB,0.526355,False
DefaultC-ContC,1.705099,False
DefaultC-DefaultA,4.914171,False
DefaultC-DefaultB,7.040815,False
