network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.938489,False
ContA-ContC,8.228212,False
ContA-DefaultA,5.456315,False
ContA-DefaultB,3.178507,False
ContA-DefaultC,2.256449,False
ContA-DorsAttnA,13.586172,False
ContA-DorsAttnB,0.182635,False
ContA-LimbicA,32.777267,False
ContA-LimbicB,3.908873,False
ContA-SalVentAttnA,6.645473,False
ContA-SalVentAttnB,0.777029,False
ContA-SomMotA,4.682202,False
ContA-SomMotB,11.98657,False
ContA-TempPar,1.802784,False
ContA-VisCent,0.414882,False
ContA-VisPeri,1.028637,False
ContB-ContA,5.386389,False
ContB-ContB,0.0,True
ContB-ContC,1.769099,False
ContB-DefaultA,1.089669,False
ContB-DefaultB,0.235179,False
ContB-DefaultC,0.03391,False
ContB-DorsAttnA,3.248319,False
ContB-DorsAttnB,0.353583,False
ContB-LimbicA,14.924649,False
ContB-LimbicB,2.584028,False
ContB-SalVentAttnA,5.650347,False
ContB-SalVentAttnB,0.337458,False
ContB-SomMotA,2.113958,False
ContB-SomMotB,4.617817,False
ContB-TempPar,1.530141,False
ContB-VisCent,0.025702,False
ContB-VisPeri,0.09874,False
ContC-ContA,6.632745,False
ContC-ContB,6.555545,False
ContC-ContC,0.0,True
ContC-DefaultA,15.485182,False
ContC-DefaultB,14.774458,False
ContC-DefaultC,5.457545,False
ContC-DorsAttnA,1.176643,False
ContC-DorsAttnB,5.688825,False
ContC-LimbicA,7.506145,False
ContC-LimbicB,15.076274,False
ContC-SalVentAttnA,1.135286,False
ContC-SalVentAttnB,5.075995,False
ContC-SomMotA,3.805596,False
ContC-SomMotB,3.934248,False
ContC-TempPar,0.953096,False
ContC-VisCent,2.805429,False
ContC-VisPeri,1.57308,False
DefaultA-ContA,13.840597,False
DefaultA-ContB,12.35986,False
DefaultA-ContC,39.739271,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,37.912703,False
DefaultA-DefaultC,4.455498,False
DefaultA-DorsAttnA,7.538258,False
DefaultA-DorsAttnB,6.297895,False
DefaultA-LimbicA,15.674304,False
DefaultA-LimbicB,15.16765,False
DefaultA-SalVentAttnA,3.129918,False
DefaultA-SalVentAttnB,3.658751,False
DefaultA-SomMotA,9.228451,False
DefaultA-SomMotB,5.072563,False
DefaultA-TempPar,0.20897,False
DefaultA-VisCent,3.712718,False
DefaultA-VisPeri,2.736359,False
DefaultB-ContA,10.755044,False
DefaultB-ContB,13.958403,False
DefaultB-ContC,11.567595,False
DefaultB-DefaultA,9.061785,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,13.68259,False
