network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.311701,False
ContA-ContC,2.222745,False
ContA-DefaultA,8.219452,False
ContA-DefaultB,0.106726,False
ContA-DefaultC,3.268509,False
ContA-DorsAttnA,0.851839,False
ContA-DorsAttnB,3.07851,False
ContA-LimbicA,24.974013,False
ContA-LimbicB,5.919682,False
ContA-SalVentAttnA,0.290449,False
ContA-SalVentAttnB,0.659093,False
ContA-SomMotA,0.854261,False
ContA-SomMotB,0.55859,False
ContA-TempPar,3.087115,False
ContA-VisCent,2.20301,False
ContA-VisPeri,2.987892,False
ContB-ContA,3.491206,False
ContB-ContB,0.0,True
ContB-ContC,1.271448,False
ContB-DefaultA,0.543428,False
ContB-DefaultB,1.770499,False
ContB-DefaultC,0.636688,False
ContB-DorsAttnA,0.933006,False
ContB-DorsAttnB,2.41531,False
ContB-LimbicA,1.875794,False
ContB-LimbicB,1.994795,False
ContB-SalVentAttnA,2.124198,False
ContB-SalVentAttnB,0.612905,False
ContB-SomMotA,2.866611,False
ContB-SomMotB,1.909848,False
ContB-TempPar,0.766437,False
ContB-VisCent,2.380009,False
ContB-VisPeri,4.090137,False
ContC-ContA,1.036772,False
ContC-ContB,1.152798,False
ContC-ContC,0.0,True
ContC-DefaultA,12.459864,False
ContC-DefaultB,3.082964,False
ContC-DefaultC,1.322193,False
ContC-DorsAttnA,1.668514,False
ContC-DorsAttnB,0.169712,False
ContC-LimbicA,7.353539,False
ContC-LimbicB,2.25815,False
ContC-SalVentAttnA,0.51726,False
ContC-SalVentAttnB,2.984421,False
ContC-SomMotA,0.464495,False
ContC-SomMotB,0.182671,False
ContC-TempPar,0.728068,False
ContC-VisCent,1.220582,False
ContC-VisPeri,0.348794,False
DefaultA-ContA,1.77478,False
DefaultA-ContB,1.932765,False
DefaultA-ContC,7.240719,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.656402,False
DefaultA-DefaultC,0.439055,False
DefaultA-DorsAttnA,3.682731,False
DefaultA-DorsAttnB,2.475822,False
DefaultA-LimbicA,4.03605,False
DefaultA-LimbicB,0.178833,False
DefaultA-SalVentAttnA,0.068867,False
DefaultA-SalVentAttnB,0.355112,False
DefaultA-SomMotA,1.091498,False
DefaultA-SomMotB,1.893511,False
DefaultA-TempPar,0.973008,False
DefaultA-VisCent,3.683996,False
DefaultA-VisPeri,3.405323,False
DefaultB-ContA,2.975142,False
DefaultB-ContB,1.151151,False
DefaultB-ContC,2.603087,False
DefaultB-DefaultA,6.690466,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.006614,False
DefaultB-DorsAttnA,1.538168,False
DefaultB-DorsAttnB,0.732654,False
DefaultB-LimbicA,2.003982,False
DefaultB-LimbicB,0.694626,False
DefaultB-SalVentAttnA,1.157066,False
DefaultB-SalVentAttnB,0.147747,False
DefaultB-SomMotA,0.181512,False
DefaultB-SomMotB,0.132115,False
DefaultB-TempPar,7.822775,False
DefaultB-VisCent,2.473158,False
DefaultB-VisPeri,0.894153,False
DefaultC-ContA,8.506554,False
DefaultC-ContB,1.019656,False
DefaultC-ContC,0.056978,False
DefaultC-DefaultA,1.72349,False
DefaultC-DefaultB,14.539122,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.968221,False
DefaultC-DorsAttnB,0.998059,False
DefaultC-LimbicA,5.706206,False
DefaultC-LimbicB,0.474098,False
DefaultC-SalVentAttnA,0.216213,False
DefaultC-SalVentAttnB,0.08732,False
DefaultC-SomMotA,7.043952,False
DefaultC-SomMotB,3.527023,False
DefaultC-TempPar,6.432929,False
DefaultC-VisCent,1.382942,False
DefaultC-VisPeri,2.325486,False
DorsAttnA-ContA,2.960775,False
DorsAttnA-ContB,1.373305,False
DorsAttnA-ContC,4.193257,False
DorsAttnA-DefaultA,3.049136,False
DorsAttnA-DefaultB,1.022643,False
DorsAttnA-DefaultC,0.605995,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,15.428256,False
DorsAttnA-LimbicA,2.810683,False
DorsAttnA-LimbicB,1.651343,False
DorsAttnA-SalVentAttnA,1.376842,False
DorsAttnA-SalVentAttnB,1.061594,False
DorsAttnA-SomMotA,3.088952,False
DorsAttnA-SomMotB,3.062304,False
DorsAttnA-TempPar,0.309593,False
DorsAttnA-VisCent,2.036457,False
DorsAttnA-VisPeri,4.24575,False
DorsAttnB-ContA,1.884016,False
DorsAttnB-ContB,2.73686,False
DorsAttnB-ContC,0.990981,False
DorsAttnB-DefaultA,1.107165,False
DorsAttnB-DefaultB,1.27657,False
DorsAttnB-DefaultC,1.888422,False
DorsAttnB-DorsAttnA,8.632271,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.443702,False
DorsAttnB-LimbicB,0.151409,False
DorsAttnB-SalVentAttnA,2.706727,False
DorsAttnB-SalVentAttnB,0.458571,False
DorsAttnB-SomMotA,1.690345,False
DorsAttnB-SomMotB,5.15255,False
DorsAttnB-TempPar,0.813695,False
DorsAttnB-VisCent,0.774653,False
DorsAttnB-VisPeri,8.970917,False
LimbicA-ContA,15.817358,False
LimbicA-ContB,0.949059,False
LimbicA-ContC,0.775216,False
LimbicA-DefaultA,0.051347,False
LimbicA-DefaultB,1.198552,False
