network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.24713,False
ContA-ContC,1.642594,False
ContA-DefaultA,6.626896,False
ContA-DefaultB,2.251577,False
ContA-DefaultC,0.065208,False
ContA-DorsAttnA,4.734033,False
ContA-DorsAttnB,0.214281,False
ContA-LimbicA,18.355459,False
ContA-LimbicB,12.953,False
ContA-SalVentAttnA,6.38692,False
ContA-SalVentAttnB,6.179407,False
ContA-SomMotA,3.799501,False
ContA-SomMotB,0.249076,False
ContA-TempPar,1.972011,False
ContA-VisCent,0.076868,False
ContA-VisPeri,0.059035,False
ContB-ContA,2.767988,False
ContB-ContB,0.0,True
ContB-ContC,1.272777,False
ContB-DefaultA,3.864822,False
ContB-DefaultB,0.835915,False
ContB-DefaultC,2.449852,False
ContB-DorsAttnA,1.939769,False
ContB-DorsAttnB,0.106793,False
ContB-LimbicA,4.717919,False
ContB-LimbicB,2.5759,False
ContB-SalVentAttnA,5.902522,False
ContB-SalVentAttnB,2.094831,False
ContB-SomMotA,0.365278,False
ContB-SomMotB,1.04613,False
ContB-TempPar,1.907526,False
ContB-VisCent,2.579894,False
ContB-VisPeri,0.444922,False
ContC-ContA,1.123059,False
ContC-ContB,4.262705,False
ContC-ContC,0.0,True
ContC-DefaultA,6.053863,False
ContC-DefaultB,0.856495,False
ContC-DefaultC,0.216693,False
ContC-DorsAttnA,0.61956,False
ContC-DorsAttnB,0.200507,False
ContC-LimbicA,0.802757,False
ContC-LimbicB,1.289067,False
ContC-SalVentAttnA,1.112061,False
ContC-SalVentAttnB,0.972527,False
ContC-SomMotA,4.250528,False
ContC-SomMotB,6.066616,False
ContC-TempPar,0.907819,False
ContC-VisCent,0.313261,False
ContC-VisPeri,1.311226,False
DefaultA-ContA,0.413316,False
DefaultA-ContB,2.578817,False
DefaultA-ContC,4.783212,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.37469,False
DefaultA-DefaultC,0.013818,False
DefaultA-DorsAttnA,0.93658,False
DefaultA-DorsAttnB,0.360015,False
DefaultA-LimbicA,2.189801,False
DefaultA-LimbicB,5.539832,False
DefaultA-SalVentAttnA,6.428101,False
DefaultA-SalVentAttnB,3.346055,False
DefaultA-SomMotA,0.396527,False
DefaultA-SomMotB,2.722766,False
DefaultA-TempPar,1.144383,False
DefaultA-VisCent,0.093473,False
DefaultA-VisPeri,0.754469,False
DefaultB-ContA,0.733659,False
DefaultB-ContB,12.772746,False
DefaultB-ContC,0.156313,False
DefaultB-DefaultA,3.645847,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.398765,False
DefaultB-DorsAttnA,0.800782,False
DefaultB-DorsAttnB,5.422095,False
DefaultB-LimbicA,0.602079,False
DefaultB-LimbicB,2.23716,False
DefaultB-SalVentAttnA,1.468627,False
DefaultB-SalVentAttnB,0.935872,False
DefaultB-SomMotA,4.993433,False
DefaultB-SomMotB,0.599778,False
DefaultB-TempPar,9.808754,False
DefaultB-VisCent,0.310857,False
DefaultB-VisPeri,5.486178,False
DefaultC-ContA,0.973909,False
DefaultC-ContB,8.186135,False
DefaultC-ContC,0.55575,False
DefaultC-DefaultA,1.380268,False
DefaultC-DefaultB,20.656251,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.591205,False
DefaultC-DorsAttnB,6.299901,False
DefaultC-LimbicA,0.660551,False
DefaultC-LimbicB,2.109917,False
DefaultC-SalVentAttnA,2.281975,False
DefaultC-SalVentAttnB,1.79726,False
DefaultC-SomMotA,0.835615,False
DefaultC-SomMotB,0.796942,False
DefaultC-TempPar,1.072903,False
DefaultC-VisCent,0.053307,False
DefaultC-VisPeri,0.24664,False
DorsAttnA-ContA,2.669949,False
DorsAttnA-ContB,7.115134,False
DorsAttnA-ContC,0.480054,False
DorsAttnA-DefaultA,6.159135,False
DorsAttnA-DefaultB,4.445084,False
DorsAttnA-DefaultC,5.938344,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.410072,False
DorsAttnA-LimbicA,4.226905,False
DorsAttnA-LimbicB,9.21562,False
DorsAttnA-SalVentAttnA,2.150586,False
DorsAttnA-SalVentAttnB,7.51006,False
DorsAttnA-SomMotA,0.274026,False
DorsAttnA-SomMotB,2.18044,False
DorsAttnA-TempPar,1.550378,False
DorsAttnA-VisCent,1.577513,False
DorsAttnA-VisPeri,2.340876,False
DorsAttnB-ContA,2.186598,False
DorsAttnB-ContB,9.798594,False
DorsAttnB-ContC,2.634427,False
DorsAttnB-DefaultA,1.53839,False
DorsAttnB-DefaultB,0.611207,False
DorsAttnB-DefaultC,1.598884,False
DorsAttnB-DorsAttnA,0.136886,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.462646,False
DorsAttnB-LimbicB,3.169839,False
DorsAttnB-SalVentAttnA,6.661693,False
DorsAttnB-SalVentAttnB,1.935553,False
DorsAttnB-SomMotA,5.667633,False
DorsAttnB-SomMotB,11.516986,False
DorsAttnB-TempPar,2.143664,False
DorsAttnB-VisCent,0.534495,False
DorsAttnB-VisPeri,5.934749,False
LimbicA-ContA,10.913717,False
LimbicA-ContB,2.016939,False
LimbicA-ContC,3.136252,False
LimbicA-DefaultA,8.259512,False
LimbicA-DefaultB,1.996513,False
LimbicA-DefaultC,0.314133,False
LimbicA-DorsAttnA,4.497873,False
LimbicA-DorsAttnB,0.359385,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,19.359304,False
LimbicA-SalVentAttnA,12.259484,False
LimbicA-SalVentAttnB,6.83498,False
LimbicA-SomMotA,5.791542,False
LimbicA-SomMotB,2.549527,False
LimbicA-TempPar,0.911628,False
LimbicA-VisCent,1.010605,False
LimbicA-VisPeri,1.241696,False
LimbicB-ContA,1.281277,False
LimbicB-ContB,1.110272,False
LimbicB-ContC,4.493656,False
LimbicB-DefaultA,9.590363,False
LimbicB-DefaultB,1.188579,False
LimbicB-DefaultC,1.063961,False
LimbicB-DorsAttnA,3.507769,False
LimbicB-DorsAttnB,0.418899,False
LimbicB-LimbicA,9.62717,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,14.920813,False
LimbicB-SalVentAttnB,3.845768,False
