network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.637398,False
ContA-ContC,2.147959,False
ContA-DefaultA,0.977291,False
ContA-DefaultB,1.340805,False
ContA-DefaultC,2.92171,False
ContA-DorsAttnA,3.008023,False
ContA-DorsAttnB,0.727143,False
ContA-LimbicA,21.850248,False
ContA-LimbicB,21.705284,False
ContA-SalVentAttnA,0.852002,False
ContA-SalVentAttnB,3.401516,False
ContA-SomMotA,1.161113,False
ContA-SomMotB,0.891648,False
ContA-TempPar,1.467375,False
ContA-VisCent,4.2194,False
ContA-VisPeri,3.316758,False
ContB-ContA,5.811214,False
ContB-ContB,0.0,True
ContB-ContC,2.320645,False
ContB-DefaultA,3.220086,False
ContB-DefaultB,1.773325,False
ContB-DefaultC,1.625881,False
ContB-DorsAttnA,5.668285,False
ContB-DorsAttnB,2.305817,False
ContB-LimbicA,8.066237,False
ContB-LimbicB,8.09259,False
ContB-SalVentAttnA,3.757375,False
ContB-SalVentAttnB,1.230003,False
ContB-SomMotA,0.647275,False
ContB-SomMotB,1.102408,False
ContB-TempPar,0.057756,False
ContB-VisCent,0.406592,False
ContB-VisPeri,2.043267,False
ContC-ContA,3.825684,False
ContC-ContB,1.87119,False
ContC-ContC,0.0,True
ContC-DefaultA,13.787205,False
ContC-DefaultB,1.536364,False
ContC-DefaultC,1.066867,False
ContC-DorsAttnA,2.19592,False
ContC-DorsAttnB,0.273136,False
ContC-LimbicA,3.144015,False
ContC-LimbicB,8.8938,False
ContC-SalVentAttnA,0.806293,False
ContC-SalVentAttnB,1.547287,False
ContC-SomMotA,1.356333,False
ContC-SomMotB,1.442837,False
ContC-TempPar,0.338949,False
ContC-VisCent,0.703211,False
ContC-VisPeri,0.639598,False
DefaultA-ContA,2.740905,False
DefaultA-ContB,3.936788,False
DefaultA-ContC,12.479235,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.454557,False
DefaultA-DefaultC,0.536927,False
DefaultA-DorsAttnA,2.663237,False
DefaultA-DorsAttnB,1.923324,False
DefaultA-LimbicA,2.627545,False
DefaultA-LimbicB,6.261685,False
DefaultA-SalVentAttnA,1.745046,False
DefaultA-SalVentAttnB,1.340001,False
DefaultA-SomMotA,0.746283,False
DefaultA-SomMotB,1.194826,False
DefaultA-TempPar,1.441145,False
DefaultA-VisCent,0.889336,False
DefaultA-VisPeri,0.933101,False
DefaultB-ContA,0.090917,False
DefaultB-ContB,0.25513,False
DefaultB-ContC,0.191643,False
DefaultB-DefaultA,6.141233,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.09133,False
DefaultB-DorsAttnA,3.196265,False
DefaultB-DorsAttnB,0.083261,False
DefaultB-LimbicA,1.912911,False
DefaultB-LimbicB,4.418026,False
DefaultB-SalVentAttnA,1.114339,False
DefaultB-SalVentAttnB,1.722355,False
DefaultB-SomMotA,1.708224,False
DefaultB-SomMotB,1.466192,False
DefaultB-TempPar,3.368056,False
DefaultB-VisCent,2.914258,False
DefaultB-VisPeri,1.646691,False
DefaultC-ContA,1.96284,False
DefaultC-ContB,1.834546,False
DefaultC-ContC,1.544685,False
DefaultC-DefaultA,2.225147,False
DefaultC-DefaultB,29.895964,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.229072,False
DefaultC-DorsAttnB,0.863076,False
DefaultC-LimbicA,1.79996,False
DefaultC-LimbicB,8.667215,False
DefaultC-SalVentAttnA,0.970459,False
DefaultC-SalVentAttnB,0.857487,False
DefaultC-SomMotA,0.426916,False
DefaultC-SomMotB,3.922795,False
DefaultC-TempPar,2.31881,False
DefaultC-VisCent,2.296414,False
DefaultC-VisPeri,1.063907,False
DorsAttnA-ContA,1.134876,False
DorsAttnA-ContB,0.7013,False
DorsAttnA-ContC,8.055318,False
DorsAttnA-DefaultA,8.688156,False
DorsAttnA-DefaultB,13.73231,False
DorsAttnA-DefaultC,10.080897,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.802594,False
DorsAttnA-LimbicA,5.31276,False
DorsAttnA-LimbicB,4.209779,False
DorsAttnA-SalVentAttnA,1.942438,False
DorsAttnA-SalVentAttnB,6.644062,False
DorsAttnA-SomMotA,7.822479,False
DorsAttnA-SomMotB,1.853201,False
DorsAttnA-TempPar,6.761092,False
DorsAttnA-VisCent,0.430869,False
DorsAttnA-VisPeri,2.247295,False
DorsAttnB-ContA,2.977736,False
DorsAttnB-ContB,4.478877,False
DorsAttnB-ContC,2.971437,False
DorsAttnB-DefaultA,1.895948,False
DorsAttnB-DefaultB,0.367531,False
DorsAttnB-DefaultC,1.478048,False
DorsAttnB-DorsAttnA,0.782303,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.044959,False
DorsAttnB-LimbicB,0.38371,False
DorsAttnB-SalVentAttnA,0.198668,False
DorsAttnB-SalVentAttnB,0.446349,False
DorsAttnB-SomMotA,3.444356,False
DorsAttnB-SomMotB,0.184497,False
DorsAttnB-TempPar,0.525639,False
DorsAttnB-VisCent,0.487859,False
DorsAttnB-VisPeri,0.139705,False
LimbicA-ContA,9.387167,False
