network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.770271,False
ContA-ContC,1.654072,False
ContA-DefaultA,1.040399,False
ContA-DefaultB,3.843699,False
ContA-DefaultC,1.044408,False
ContA-DorsAttnA,6.498559,False
ContA-DorsAttnB,0.03846,False
ContA-LimbicA,15.663625,False
ContA-LimbicB,9.585706,False
ContA-SalVentAttnA,0.442838,False
ContA-SalVentAttnB,2.82748,False
ContA-SomMotA,8.785336,False
ContA-SomMotB,8.087802,False
ContA-TempPar,1.189701,False
ContA-VisCent,2.806813,False
ContA-VisPeri,5.559632,False
ContB-ContA,4.780537,False
ContB-ContB,0.0,True
ContB-ContC,2.238349,False
ContB-DefaultA,2.467934,False
ContB-DefaultB,4.887765,False
ContB-DefaultC,2.595397,False
ContB-DorsAttnA,6.560868,False
ContB-DorsAttnB,1.494199,False
ContB-LimbicA,9.177911,False
ContB-LimbicB,2.429694,False
ContB-SalVentAttnA,0.023389,False
ContB-SalVentAttnB,1.197139,False
ContB-SomMotA,5.290238,False
ContB-SomMotB,3.973565,False
ContB-TempPar,0.411425,False
ContB-VisCent,2.916826,False
ContB-VisPeri,2.901663,False
ContC-ContA,1.699203,False
ContC-ContB,3.705982,False
ContC-ContC,0.0,True
ContC-DefaultA,12.619343,False
ContC-DefaultB,12.881089,False
ContC-DefaultC,5.248156,False
ContC-DorsAttnA,23.063835,False
ContC-DorsAttnB,0.656202,False
ContC-LimbicA,3.199722,False
ContC-LimbicB,5.234659,False
ContC-SalVentAttnA,0.241524,False
ContC-SalVentAttnB,2.831844,False
ContC-SomMotA,4.48599,False
ContC-SomMotB,2.190402,False
ContC-TempPar,1.314166,False
ContC-VisCent,0.205826,False
ContC-VisPeri,3.338198,False
DefaultA-ContA,3.627609,False
DefaultA-ContB,1.13685,False
DefaultA-ContC,20.117171,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.844602,False
DefaultA-DefaultC,6.527251,False
DefaultA-DorsAttnA,13.560803,False
DefaultA-DorsAttnB,1.410577,False
DefaultA-LimbicA,8.496771,False
DefaultA-LimbicB,11.944087,False
DefaultA-SalVentAttnA,0.98141,False
DefaultA-SalVentAttnB,4.225828,False
DefaultA-SomMotA,5.398448,False
DefaultA-SomMotB,4.812053,False
DefaultA-TempPar,4.749479,False
DefaultA-VisCent,3.19121,False
DefaultA-VisPeri,2.96284,False
DefaultB-ContA,3.239084,False
DefaultB-ContB,2.511852,False
DefaultB-ContC,8.617533,False
DefaultB-DefaultA,3.653379,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.93666,False
DefaultB-DorsAttnA,15.684287,False
DefaultB-DorsAttnB,4.353963,False
DefaultB-LimbicA,3.274711,False
DefaultB-LimbicB,9.725038,False
DefaultB-SalVentAttnA,1.679405,False
DefaultB-SalVentAttnB,8.499889,False
DefaultB-SomMotA,6.731024,False
DefaultB-SomMotB,0.154132,False
DefaultB-TempPar,1.511375,False
DefaultB-VisCent,4.36361,False
DefaultB-VisPeri,0.884594,False
DefaultC-ContA,0.212598,False
DefaultC-ContB,0.90837,False
DefaultC-ContC,2.978452,False
DefaultC-DefaultA,0.189288,False
DefaultC-DefaultB,10.619103,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.465501,False
DefaultC-DorsAttnB,2.727915,False
DefaultC-LimbicA,0.827982,False
DefaultC-LimbicB,3.12394,False
DefaultC-SalVentAttnA,2.653704,False
