network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.401465,False
ContA-ContC,0.192437,False
ContA-DefaultA,0.391773,False
ContA-DefaultB,8.099255,False
ContA-DefaultC,0.604957,False
ContA-DorsAttnA,0.110673,False
ContA-DorsAttnB,1.807582,False
ContA-LimbicA,34.412721,False
ContA-LimbicB,10.43154,False
ContA-SalVentAttnA,0.56915,False
ContA-SalVentAttnB,1.095301,False
ContA-SomMotA,3.706478,False
ContA-SomMotB,1.498843,False
ContA-TempPar,0.325759,False
ContA-VisCent,6.198583,False
ContA-VisPeri,0.387898,False
ContB-ContA,2.74722,False
ContB-ContB,0.0,True
ContB-ContC,2.261398,False
ContB-DefaultA,4.965839,False
ContB-DefaultB,8.136241,False
ContB-DefaultC,8.27225,False
ContB-DorsAttnA,4.446867,False
ContB-DorsAttnB,1.404086,False
ContB-LimbicA,2.793617,False
ContB-LimbicB,2.856952,False
ContB-SalVentAttnA,0.752997,False
ContB-SalVentAttnB,2.323978,False
ContB-SomMotA,6.15706,False
ContB-SomMotB,6.443082,False
ContB-TempPar,0.658914,False
ContB-VisCent,9.829807,False
ContB-VisPeri,0.10866,False
ContC-ContA,4.17375,False
ContC-ContB,0.248325,False
ContC-ContC,0.0,True
ContC-DefaultA,8.177545,False
ContC-DefaultB,11.553083,False
ContC-DefaultC,1.455056,False
ContC-DorsAttnA,6.654571,False
ContC-DorsAttnB,3.814497,False
ContC-LimbicA,8.355647,False
ContC-LimbicB,16.390096,False
ContC-SalVentAttnA,6.491498,False
ContC-SalVentAttnB,4.644118,False
ContC-SomMotA,9.679011,False
ContC-SomMotB,2.480604,False
ContC-TempPar,1.306309,False
ContC-VisCent,0.61009,False
ContC-VisPeri,4.644485,False
DefaultA-ContA,1.978725,False
DefaultA-ContB,3.097897,False
DefaultA-ContC,35.109391,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,14.007405,False
DefaultA-DefaultC,0.013944,False
DefaultA-DorsAttnA,3.501563,False
DefaultA-DorsAttnB,6.070481,False
DefaultA-LimbicA,5.714219,False
DefaultA-LimbicB,17.61885,False
DefaultA-SalVentAttnA,1.179521,False
DefaultA-SalVentAttnB,1.426539,False
DefaultA-SomMotA,2.49532,False
DefaultA-SomMotB,3.445821,False
DefaultA-TempPar,2.022458,False
DefaultA-VisCent,0.752467,False
DefaultA-VisPeri,2.103587,False
DefaultB-ContA,0.305308,False
DefaultB-ContB,3.719839,False
DefaultB-ContC,2.34869,False
DefaultB-DefaultA,1.698827,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.899721,False
DefaultB-DorsAttnA,0.51512,False
DefaultB-DorsAttnB,2.092541,False
DefaultB-LimbicA,1.890919,False
DefaultB-LimbicB,2.669296,False
DefaultB-SalVentAttnA,1.21048,False
DefaultB-SalVentAttnB,2.232233,False
DefaultB-SomMotA,1.366519,False
DefaultB-SomMotB,3.908565,False
DefaultB-TempPar,1.462027,False
DefaultB-VisCent,4.487156,False
DefaultB-VisPeri,0.392814,False
DefaultC-ContA,2.7283,False
DefaultC-ContB,11.764035,False
DefaultC-ContC,0.503979,False
DefaultC-DefaultA,1.89332,False
DefaultC-DefaultB,11.907096,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.252771,False
DefaultC-DorsAttnB,3.083516,False
DefaultC-LimbicA,0.146464,False
DefaultC-LimbicB,0.558798,False
DefaultC-SalVentAttnA,0.173915,False
DefaultC-SalVentAttnB,1.28726,False
DefaultC-SomMotA,1.6416,False
DefaultC-SomMotB,5.209168,False
DefaultC-TempPar,17.731976,False
DefaultC-VisCent,5.373099,False
DefaultC-VisPeri,0.468661,False
DorsAttnA-ContA,0.296782,False
DorsAttnA-ContB,5.759452,False
DorsAttnA-ContC,6.584036,False
DorsAttnA-DefaultA,4.389031,False
DorsAttnA-DefaultB,5.299159,False
DorsAttnA-DefaultC,3.646796,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.791235,False
DorsAttnA-LimbicA,0.504204,False
DorsAttnA-LimbicB,5.481007,False
DorsAttnA-SalVentAttnA,3.402704,False
DorsAttnA-SalVentAttnB,2.17994,False
DorsAttnA-SomMotA,0.009801,False
DorsAttnA-SomMotB,3.274924,False
DorsAttnA-TempPar,7.613438,False
DorsAttnA-VisCent,0.642059,False
DorsAttnA-VisPeri,0.051293,False
DorsAttnB-ContA,4.648992,False
DorsAttnB-ContB,6.489251,False
DorsAttnB-ContC,0.506045,False
DorsAttnB-DefaultA,0.99864,False
DorsAttnB-DefaultB,1.224437,False
DorsAttnB-DefaultC,2.031439,False
DorsAttnB-DorsAttnA,0.417106,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.342607,False
DorsAttnB-LimbicB,0.314317,False
DorsAttnB-SalVentAttnA,0.176128,False
DorsAttnB-SalVentAttnB,1.537654,False
DorsAttnB-SomMotA,0.578517,False
DorsAttnB-SomMotB,0.106494,False
DorsAttnB-TempPar,1.745799,False
DorsAttnB-VisCent,0.555482,False
DorsAttnB-VisPeri,1.359922,False
LimbicA-ContA,28.312978,False
LimbicA-ContB,7.396436,False
LimbicA-ContC,0.137601,False
LimbicA-DefaultA,0.61182,False
LimbicA-DefaultB,5.643778,False
LimbicA-DefaultC,0.011474,False
LimbicA-DorsAttnA,1.054971,False
LimbicA-DorsAttnB,5.046153,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.290436,False
LimbicA-SalVentAttnA,1.33082,False
LimbicA-SalVentAttnB,1.135724,False
LimbicA-SomMotA,5.655419,False
LimbicA-SomMotB,0.948903,False
