network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.99182,False
ContA-ContC,8.50868,False
ContA-DefaultA,26.493733,False
ContA-DefaultB,15.932454,False
ContA-DefaultC,4.249388,False
ContA-DorsAttnA,0.394673,False
ContA-DorsAttnB,1.362702,False
ContA-LimbicA,12.080936,False
ContA-LimbicB,27.444498,False
ContA-SalVentAttnA,0.204987,False
ContA-SalVentAttnB,8.143458,False
ContA-SomMotA,5.176558,False
ContA-SomMotB,1.873038,False
ContA-TempPar,2.065519,False
ContA-VisCent,0.457708,False
ContA-VisPeri,2.856357,False
ContB-ContA,5.42033,False
ContB-ContB,0.0,True
ContB-ContC,2.187851,False
ContB-DefaultA,5.235529,False
ContB-DefaultB,4.428852,False
ContB-DefaultC,1.368853,False
ContB-DorsAttnA,0.269304,False
ContB-DorsAttnB,0.092107,False
ContB-LimbicA,2.735858,False
ContB-LimbicB,3.107494,False
ContB-SalVentAttnA,0.604682,False
ContB-SalVentAttnB,2.647012,False
ContB-SomMotA,1.84391,False
ContB-SomMotB,1.976636,False
ContB-TempPar,0.0518,False
ContB-VisCent,0.029091,False
ContB-VisPeri,3.269248,False
ContC-ContA,1.449947,False
ContC-ContB,1.38394,False
ContC-ContC,0.0,True
ContC-DefaultA,1.67381,False
ContC-DefaultB,0.50991,False
ContC-DefaultC,0.085492,False
ContC-DorsAttnA,2.120564,False
ContC-DorsAttnB,0.116418,False
ContC-LimbicA,1.273212,False
ContC-LimbicB,0.731102,False
ContC-SalVentAttnA,2.78019,False
ContC-SalVentAttnB,0.346811,False
ContC-SomMotA,3.127105,False
ContC-SomMotB,0.808294,False
ContC-TempPar,1.128925,False
ContC-VisCent,0.987966,False
ContC-VisPeri,0.641569,False
DefaultA-ContA,1.656238,False
DefaultA-ContB,4.34976,False
DefaultA-ContC,17.472568,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.361391,False
DefaultA-DefaultC,4.05256,False
DefaultA-DorsAttnA,0.724973,False
DefaultA-DorsAttnB,2.728391,False
DefaultA-LimbicA,2.145175,False
DefaultA-LimbicB,4.414413,False
DefaultA-SalVentAttnA,0.89087,False
DefaultA-SalVentAttnB,1.229585,False
DefaultA-SomMotA,1.20942,False
DefaultA-SomMotB,1.424276,False
DefaultA-TempPar,0.952605,False
DefaultA-VisCent,2.169065,False
DefaultA-VisPeri,1.710954,False
DefaultB-ContA,2.259917,False
DefaultB-ContB,0.789954,False
DefaultB-ContC,1.359027,False
DefaultB-DefaultA,5.841166,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,18.592406,False
DefaultB-DorsAttnA,4.519611,False
DefaultB-DorsAttnB,3.656496,False
DefaultB-LimbicA,0.757826,False
