network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.532514,False
ContA-ContC,7.732751,False
ContA-DefaultA,9.506704,False
ContA-DefaultB,13.095639,False
ContA-DefaultC,4.413411,False
ContA-DorsAttnA,2.457417,False
ContA-DorsAttnB,1.954771,False
ContA-LimbicA,32.705462,False
ContA-LimbicB,23.541109,False
ContA-SalVentAttnA,1.698856,False
ContA-SalVentAttnB,12.832073,False
ContA-SomMotA,3.966317,False
ContA-SomMotB,0.920027,False
ContA-TempPar,1.677224,False
ContA-VisCent,6.3729,False
ContA-VisPeri,6.266131,False
ContB-ContA,0.403034,False
ContB-ContB,0.0,True
ContB-ContC,1.577276,False
ContB-DefaultA,0.418252,False
ContB-DefaultB,7.436224,False
ContB-DefaultC,5.69497,False
ContB-DorsAttnA,5.226506,False
ContB-DorsAttnB,0.258624,False
ContB-LimbicA,2.030842,False
ContB-LimbicB,4.218831,False
ContB-SalVentAttnA,3.499815,False
ContB-SalVentAttnB,0.634142,False
ContB-SomMotA,1.782123,False
ContB-SomMotB,0.548833,False
ContB-TempPar,0.247157,False
ContB-VisCent,2.376204,False
ContB-VisPeri,0.794695,False
ContC-ContA,3.857951,False
ContC-ContB,1.542488,False
ContC-ContC,0.0,True
ContC-DefaultA,9.625451,False
ContC-DefaultB,3.970821,False
ContC-DefaultC,1.644406,False
ContC-DorsAttnA,0.36774,False
ContC-DorsAttnB,0.095692,False
ContC-LimbicA,10.924851,False
ContC-LimbicB,5.419044,False
ContC-SalVentAttnA,1.038929,False
ContC-SalVentAttnB,1.861475,False
ContC-SomMotA,1.688099,False
ContC-SomMotB,1.186524,False
ContC-TempPar,0.374506,False
ContC-VisCent,4.180965,False
ContC-VisPeri,0.979587,False
DefaultA-ContA,2.62073,False
DefaultA-ContB,2.59774,False
DefaultA-ContC,13.1448,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,2.78547,False
DefaultA-DefaultC,2.002524,False
DefaultA-DorsAttnA,4.542335,False
DefaultA-DorsAttnB,1.744022,False
DefaultA-LimbicA,8.087067,False
DefaultA-LimbicB,10.419722,False
DefaultA-SalVentAttnA,0.095231,False
DefaultA-SalVentAttnB,14.806037,False
DefaultA-SomMotA,3.713581,False
DefaultA-SomMotB,0.435945,False
DefaultA-TempPar,2.330652,False
DefaultA-VisCent,6.621332,False
DefaultA-VisPeri,3.347269,False
DefaultB-ContA,2.300878,False
DefaultB-ContB,2.388054,False
DefaultB-ContC,0.441945,False
DefaultB-DefaultA,0.639338,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,16.776878,False
DefaultB-DorsAttnA,16.233591,False
DefaultB-DorsAttnB,1.45012,False
DefaultB-LimbicA,2.440531,False
DefaultB-LimbicB,2.120646,False
DefaultB-SalVentAttnA,1.784,False
DefaultB-SalVentAttnB,4.277934,False
DefaultB-SomMotA,6.92273,False
DefaultB-SomMotB,0.108083,False
DefaultB-TempPar,2.957101,False
DefaultB-VisCent,2.862874,False
DefaultB-VisPeri,4.829269,False
DefaultC-ContA,0.606854,False
DefaultC-ContB,1.499321,False
DefaultC-ContC,0.64526,False
DefaultC-DefaultA,2.68392,False
DefaultC-DefaultB,11.523159,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.070789,False
DefaultC-DorsAttnB,4.059119,False
DefaultC-LimbicA,0.552281,False
DefaultC-LimbicB,0.572989,False
DefaultC-SalVentAttnA,3.130974,False
DefaultC-SalVentAttnB,0.297137,False
DefaultC-SomMotA,4.639457,False
DefaultC-SomMotB,0.101301,False
DefaultC-TempPar,11.241351,False
DefaultC-VisCent,2.505623,False
DefaultC-VisPeri,1.288747,False
DorsAttnA-ContA,2.487268,False
DorsAttnA-ContB,2.806433,False
DorsAttnA-ContC,3.3568,False
DorsAttnA-DefaultA,7.493663,False
DorsAttnA-DefaultB,9.14442,False
DorsAttnA-DefaultC,5.54147,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,18.223317,False
DorsAttnA-LimbicA,1.201539,False
DorsAttnA-LimbicB,5.992092,False
DorsAttnA-SalVentAttnA,1.154096,False
DorsAttnA-SalVentAttnB,4.635419,False
DorsAttnA-SomMotA,2.361392,False
DorsAttnA-SomMotB,3.9441,False
DorsAttnA-TempPar,1.32453,False
DorsAttnA-VisCent,0.431912,False
DorsAttnA-VisPeri,0.60457,False
DorsAttnB-ContA,0.609662,False
DorsAttnB-ContB,9.977397,False
DorsAttnB-ContC,0.204222,False
DorsAttnB-DefaultA,0.604671,False
