network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.518431,False
ContA-ContC,6.916511,False
ContA-DefaultA,3.238633,False
ContA-DefaultB,2.12064,False
ContA-DefaultC,4.628919,False
ContA-DorsAttnA,1.101286,False
ContA-DorsAttnB,2.839739,False
ContA-LimbicA,24.30945,False
ContA-LimbicB,9.645766,False
ContA-SalVentAttnA,8.190595,False
ContA-SalVentAttnB,3.975105,False
ContA-SomMotA,5.091972,False
ContA-SomMotB,3.595845,False
ContA-TempPar,1.836323,False
ContA-VisCent,2.321657,False
ContA-VisPeri,0.188565,False
ContB-ContA,15.013728,False
ContB-ContB,0.0,True
ContB-ContC,13.170934,False
ContB-DefaultA,9.464076,False
ContB-DefaultB,10.060086,False
ContB-DefaultC,12.959151,False
ContB-DorsAttnA,4.068578,False
ContB-DorsAttnB,4.187578,False
ContB-LimbicA,17.65573,False
ContB-LimbicB,12.51178,False
ContB-SalVentAttnA,12.581781,False
ContB-SalVentAttnB,3.532937,False
ContB-SomMotA,13.86013,False
ContB-SomMotB,7.387439,False
ContB-TempPar,6.208174,False
ContB-VisCent,2.395844,False
ContB-VisPeri,1.769006,False
ContC-ContA,3.630202,False
ContC-ContB,5.484253,False
ContC-ContC,0.0,True
ContC-DefaultA,14.325536,False
ContC-DefaultB,4.628072,False
ContC-DefaultC,4.926702,False
ContC-DorsAttnA,5.40956,False
ContC-DorsAttnB,2.619036,False
ContC-LimbicA,3.964797,False
ContC-LimbicB,8.088634,False
ContC-SalVentAttnA,3.999945,False
ContC-SalVentAttnB,2.950003,False
ContC-SomMotA,7.076927,False
ContC-SomMotB,4.007528,False
ContC-TempPar,1.132491,False
ContC-VisCent,1.028506,False
ContC-VisPeri,2.620821,False
DefaultA-ContA,7.051424,False
DefaultA-ContB,7.330794,False
DefaultA-ContC,16.371649,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.834413,False
DefaultA-DefaultC,5.537808,False
DefaultA-DorsAttnA,5.692485,False
DefaultA-DorsAttnB,11.19061,False
DefaultA-LimbicA,6.073164,False
DefaultA-LimbicB,6.050866,False
DefaultA-SalVentAttnA,7.822683,False
DefaultA-SalVentAttnB,0.766389,False
DefaultA-SomMotA,11.673888,False
DefaultA-SomMotB,8.262142,False
DefaultA-TempPar,1.598359,False
DefaultA-VisCent,3.610918,False
DefaultA-VisPeri,2.959269,False
DefaultB-ContA,7.163417,False
DefaultB-ContB,7.713608,False
DefaultB-ContC,10.843081,False
DefaultB-DefaultA,19.454129,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,9.942799,False
DefaultB-DorsAttnA,6.508307,False
DefaultB-DorsAttnB,4.489765,False
DefaultB-LimbicA,14.168301,False
DefaultB-LimbicB,5.825103,False
DefaultB-SalVentAttnA,7.078881,False
DefaultB-SalVentAttnB,1.773086,False
DefaultB-SomMotA,5.555436,False
DefaultB-SomMotB,5.233489,False
DefaultB-TempPar,0.257771,False
DefaultB-VisCent,5.389208,False
DefaultB-VisPeri,0.529282,False
DefaultC-ContA,5.802577,False
DefaultC-ContB,6.261286,False
DefaultC-ContC,0.65156,False
DefaultC-DefaultA,3.181398,False
DefaultC-DefaultB,8.110666,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.665902,False
DefaultC-DorsAttnB,5.827379,False
DefaultC-LimbicA,7.532615,False
DefaultC-LimbicB,4.100039,False
DefaultC-SalVentAttnA,5.061725,False
DefaultC-SalVentAttnB,2.48827,False
DefaultC-SomMotA,5.495141,False
DefaultC-SomMotB,2.180539,False
DefaultC-TempPar,0.254509,False
DefaultC-VisCent,4.380665,False
DefaultC-VisPeri,0.560272,False
DorsAttnA-ContA,11.656142,False
DorsAttnA-ContB,4.54319,False
DorsAttnA-ContC,8.276736,False
DorsAttnA-DefaultA,7.717021,False
DorsAttnA-DefaultB,10.976455,False
DorsAttnA-DefaultC,7.021666,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.008999,False
DorsAttnA-LimbicA,3.619382,False
DorsAttnA-LimbicB,15.884148,False
DorsAttnA-SalVentAttnA,2.966945,False
DorsAttnA-SalVentAttnB,6.279052,False
DorsAttnA-SomMotA,2.768328,False
