network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.163941,False
ContA-ContC,1.855085,False
ContA-DefaultA,10.357264,False
ContA-DefaultB,1.678685,False
ContA-DefaultC,1.050542,False
ContA-DorsAttnA,4.335849,False
ContA-DorsAttnB,6.983121,False
ContA-LimbicA,19.720413,False
ContA-LimbicB,20.160578,False
ContA-SalVentAttnA,1.324752,False
ContA-SalVentAttnB,4.88196,False
ContA-SomMotA,0.95346,False
ContA-SomMotB,0.249228,False
ContA-TempPar,1.338802,False
ContA-VisCent,0.66797,False
ContA-VisPeri,0.470538,False
ContB-ContA,5.313229,False
ContB-ContB,0.0,True
ContB-ContC,0.388959,False
ContB-DefaultA,1.213057,False
ContB-DefaultB,0.749782,False
ContB-DefaultC,0.758578,False
ContB-DorsAttnA,6.260454,False
ContB-DorsAttnB,6.375091,False
ContB-LimbicA,4.240298,False
ContB-LimbicB,9.225476,False
ContB-SalVentAttnA,1.836779,False
ContB-SalVentAttnB,4.349979,False
ContB-SomMotA,2.43676,False
ContB-SomMotB,2.405687,False
ContB-TempPar,3.732259,False
ContB-VisCent,0.207493,False
ContB-VisPeri,2.004136,False
ContC-ContA,12.297733,False
ContC-ContB,8.355752,False
ContC-ContC,0.0,True
ContC-DefaultA,8.890447,False
ContC-DefaultB,6.708436,False
ContC-DefaultC,0.280014,False
ContC-DorsAttnA,4.42138,False
ContC-DorsAttnB,3.559534,False
ContC-LimbicA,16.984772,False
ContC-LimbicB,8.233402,False
ContC-SalVentAttnA,0.782419,False
ContC-SalVentAttnB,7.911521,False
ContC-SomMotA,4.372856,False
ContC-SomMotB,0.65885,False
ContC-TempPar,6.810267,False
ContC-VisCent,0.326115,False
ContC-VisPeri,5.417233,False
DefaultA-ContA,15.828106,False
DefaultA-ContB,9.860282,False
DefaultA-ContC,31.970824,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.443506,False
DefaultA-DefaultC,0.751137,False
DefaultA-DorsAttnA,2.226,False
DefaultA-DorsAttnB,4.764762,False
DefaultA-LimbicA,24.052644,False
DefaultA-LimbicB,14.072422,False
DefaultA-SalVentAttnA,4.750502,False
