network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.072009,False
ContA-ContC,7.467677,False
ContA-DefaultA,4.124085,False
ContA-DefaultB,4.233884,False
ContA-DefaultC,1.340474,False
ContA-DorsAttnA,13.832479,False
ContA-DorsAttnB,1.611034,False
ContA-LimbicA,9.64916,False
ContA-LimbicB,14.730942,False
ContA-SalVentAttnA,2.401155,False
ContA-SalVentAttnB,4.548559,False
ContA-SomMotA,3.425894,False
ContA-SomMotB,0.038967,False
ContA-TempPar,0.965554,False
ContA-VisCent,0.181894,False
ContA-VisPeri,4.288533,False
ContB-ContA,8.639195,False
ContB-ContB,0.0,True
ContB-ContC,8.510649,False
ContB-DefaultA,2.021685,False
ContB-DefaultB,2.943017,False
ContB-DefaultC,1.22724,False
ContB-DorsAttnA,4.667986,False
ContB-DorsAttnB,2.202078,False
ContB-LimbicA,8.629046,False
ContB-LimbicB,11.213435,False
ContB-SalVentAttnA,1.188956,False
ContB-SalVentAttnB,7.535044,False
ContB-SomMotA,3.832189,False
ContB-SomMotB,1.117557,False
ContB-TempPar,1.59795,False
ContB-VisCent,0.694839,False
ContB-VisPeri,5.903623,False
ContC-ContA,0.338606,False
ContC-ContB,0.08288,False
ContC-ContC,0.0,True
ContC-DefaultA,11.045181,False
ContC-DefaultB,1.733207,False
ContC-DefaultC,2.634288,False
ContC-DorsAttnA,5.350399,False
ContC-DorsAttnB,0.638057,False
ContC-LimbicA,1.818421,False
ContC-LimbicB,8.98718,False
ContC-SalVentAttnA,4.385439,False
ContC-SalVentAttnB,1.348611,False
ContC-SomMotA,1.319787,False
ContC-SomMotB,1.663155,False
ContC-TempPar,3.995592,False
ContC-VisCent,1.823821,False
ContC-VisPeri,0.32911,False
DefaultA-ContA,1.716819,False
DefaultA-ContB,0.417681,False
DefaultA-ContC,25.801325,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,25.189313,False
DefaultA-DefaultC,7.021534,False
DefaultA-DorsAttnA,8.809824,False
DefaultA-DorsAttnB,4.798335,False
DefaultA-LimbicA,3.414418,False
DefaultA-LimbicB,6.266602,False
DefaultA-SalVentAttnA,11.496628,False
DefaultA-SalVentAttnB,2.741701,False
DefaultA-SomMotA,1.297822,False
DefaultA-SomMotB,2.195283,False
DefaultA-TempPar,6.360076,False
DefaultA-VisCent,2.02935,False
DefaultA-VisPeri,2.112242,False
DefaultB-ContA,0.800562,False
DefaultB-ContB,1.171424,False
DefaultB-ContC,5.171957,False
DefaultB-DefaultA,7.039163,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.18258,False
DefaultB-DorsAttnA,7.001804,False
DefaultB-DorsAttnB,0.753928,False
DefaultB-LimbicA,0.05723,False
DefaultB-LimbicB,2.029866,False
DefaultB-SalVentAttnA,15.062681,False
DefaultB-SalVentAttnB,2.228933,False
DefaultB-SomMotA,0.289522,False
DefaultB-SomMotB,0.304148,False
DefaultB-TempPar,11.905247,False
DefaultB-VisCent,2.290326,False
DefaultB-VisPeri,4.140045,False
DefaultC-ContA,0.935265,False
DefaultC-ContB,2.564549,False
DefaultC-ContC,2.349145,False
DefaultC-DefaultA,1.262704,False
DefaultC-DefaultB,1.254013,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,13.793463,False
DefaultC-DorsAttnB,1.419716,False
DefaultC-LimbicA,0.00987,False
DefaultC-LimbicB,1.682327,False
DefaultC-SalVentAttnA,1.828606,False
DefaultC-SalVentAttnB,0.61094,False
DefaultC-SomMotA,1.321216,False
DefaultC-SomMotB,1.270325,False
DefaultC-TempPar,11.205951,False
DefaultC-VisCent,1.926621,False
DefaultC-VisPeri,3.230455,False
DorsAttnA-ContA,2.661438,False
DorsAttnA-ContB,0.173218,False
DorsAttnA-ContC,1.475674,False
DorsAttnA-DefaultA,0.171491,False
DorsAttnA-DefaultB,0.93984,False
DorsAttnA-DefaultC,7.617749,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.877376,False
DorsAttnA-LimbicA,0.039623,False
DorsAttnA-LimbicB,2.541549,False
DorsAttnA-SalVentAttnA,6.552762,False
DorsAttnA-SalVentAttnB,0.599095,False
DorsAttnA-SomMotA,0.76022,False
DorsAttnA-SomMotB,0.015606,False
DorsAttnA-TempPar,6.12013,False
DorsAttnA-VisCent,0.041281,False
DorsAttnA-VisPeri,3.137359,False
DorsAttnB-ContA,1.68457,False
DorsAttnB-ContB,0.209234,False
DorsAttnB-ContC,1.158308,False
DorsAttnB-DefaultA,0.340207,False
DorsAttnB-DefaultB,1.440704,False
DorsAttnB-DefaultC,0.409323,False
DorsAttnB-DorsAttnA,1.109186,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.344104,False
DorsAttnB-LimbicB,9.780831,False
DorsAttnB-SalVentAttnA,4.506479,False
DorsAttnB-SalVentAttnB,3.696202,False
DorsAttnB-SomMotA,1.048269,False
DorsAttnB-SomMotB,0.570656,False
DorsAttnB-TempPar,4.08785,False
DorsAttnB-VisCent,0.472065,False
DorsAttnB-VisPeri,4.548786,False
LimbicA-ContA,10.587523,False
LimbicA-ContB,1.901708,False
LimbicA-ContC,3.000316,False
LimbicA-DefaultA,2.805697,False
LimbicA-DefaultB,6.316618,False
LimbicA-DefaultC,1.702975,False
LimbicA-DorsAttnA,12.210134,False
LimbicA-DorsAttnB,1.870011,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.642674,False
LimbicA-SalVentAttnA,1.997093,False
LimbicA-SalVentAttnB,8.411226,False
LimbicA-SomMotA,0.787705,False
LimbicA-SomMotB,0.048188,False
LimbicA-TempPar,1.55361,False
LimbicA-VisCent,0.564719,False
LimbicA-VisPeri,0.857179,False
LimbicB-ContA,0.797973,False
LimbicB-ContB,0.14334,False
LimbicB-ContC,0.264786,False
LimbicB-DefaultA,1.889229,False
LimbicB-DefaultB,0.297205,False
LimbicB-DefaultC,0.26329,False
LimbicB-DorsAttnA,2.017601,False
LimbicB-DorsAttnB,2.204965,False
LimbicB-LimbicA,0.59036,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.27687,False
LimbicB-SalVentAttnB,4.879358,False
LimbicB-SomMotA,0.985198,False
LimbicB-SomMotB,0.501358,False
LimbicB-TempPar,0.972907,False
LimbicB-VisCent,1.216119,False
LimbicB-VisPeri,0.338713,False
SalVentAttnA-ContA,0.626184,False
SalVentAttnA-ContB,0.937279,False
SalVentAttnA-ContC,0.579787,False
SalVentAttnA-DefaultA,0.436627,False
SalVentAttnA-DefaultB,0.1571,False
SalVentAttnA-DefaultC,3.107374,False
SalVentAttnA-DorsAttnA,0.618333,False
SalVentAttnA-DorsAttnB,0.000136,False
SalVentAttnA-LimbicA,0.544717,False
SalVentAttnA-LimbicB,0.7138,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.13396,False
SalVentAttnA-SomMotA,0.54219,False
SalVentAttnA-SomMotB,0.198469,False
SalVentAttnA-TempPar,1.65483,False
SalVentAttnA-VisCent,0.516734,False
SalVentAttnA-VisPeri,0.056716,False
SalVentAttnB-ContA,1.528292,False
SalVentAttnB-ContB,1.166771,False
SalVentAttnB-ContC,1.555518,False
SalVentAttnB-DefaultA,1.567295,False
SalVentAttnB-DefaultB,0.682727,False
SalVentAttnB-DefaultC,0.755589,False
SalVentAttnB-DorsAttnA,5.199652,False
SalVentAttnB-DorsAttnB,6.468021,False
SalVentAttnB-LimbicA,3.115106,False
SalVentAttnB-LimbicB,37.23088,False
SalVentAttnB-SalVentAttnA,2.797424,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,2.150087,False
SalVentAttnB-SomMotB,1.877814,False
SalVentAttnB-TempPar,1.159375,False
SalVentAttnB-VisCent,0.825737,False
SalVentAttnB-VisPeri,0.944785,False
SomMotA-ContA,10.734432,False
SomMotA-ContB,9.138014,False
SomMotA-ContC,9.486238,False
SomMotA-DefaultA,2.383326,False
SomMotA-DefaultB,2.306023,False
SomMotA-DefaultC,3.488077,False
SomMotA-DorsAttnA,3.971558,False
SomMotA-DorsAttnB,7.151918,False
SomMotA-LimbicA,10.438651,False
SomMotA-LimbicB,19.907844,False
SomMotA-SalVentAttnA,0.486187,False
SomMotA-SalVentAttnB,13.151123,False
SomMotA-SomMotA,0.0,True
