network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,13.262267,False
ContA-ContC,2.845691,False
ContA-DefaultA,8.001223,False
ContA-DefaultB,8.856912,False
ContA-DefaultC,0.284861,False
ContA-DorsAttnA,0.120949,False
ContA-DorsAttnB,0.294436,False
ContA-LimbicA,20.963258,False
ContA-LimbicB,4.968669,False
ContA-SalVentAttnA,1.987424,False
ContA-SalVentAttnB,5.491031,False
ContA-SomMotA,5.619706,False
ContA-SomMotB,0.749585,False
ContA-TempPar,0.0453,False
ContA-VisCent,0.742913,False
ContA-VisPeri,1.841884,False
ContB-ContA,3.667518,False
ContB-ContB,0.0,True
ContB-ContC,1.632427,False
ContB-DefaultA,1.149431,False
ContB-DefaultB,10.724734,False
ContB-DefaultC,2.928316,False
ContB-DorsAttnA,2.421747,False
ContB-DorsAttnB,2.231563,False
ContB-LimbicA,3.689,False
ContB-LimbicB,2.93361,False
ContB-SalVentAttnA,1.605242,False
ContB-SalVentAttnB,7.42928,False
ContB-SomMotA,4.868688,False
ContB-SomMotB,0.271173,False
ContB-TempPar,0.652522,False
ContB-VisCent,3.689661,False
ContB-VisPeri,1.258599,False
ContC-ContA,1.031569,False
ContC-ContB,0.892058,False
ContC-ContC,0.0,True
ContC-DefaultA,7.23969,False
ContC-DefaultB,4.224367,False
ContC-DefaultC,0.22967,False
ContC-DorsAttnA,0.480397,False
ContC-DorsAttnB,0.208753,False
ContC-LimbicA,1.958391,False
ContC-LimbicB,0.403577,False
ContC-SalVentAttnA,0.951741,False
ContC-SalVentAttnB,1.002953,False
ContC-SomMotA,0.511082,False
ContC-SomMotB,0.17242,False
ContC-TempPar,0.231927,False
ContC-VisCent,1.391365,False
ContC-VisPeri,0.278199,False
DefaultA-ContA,4.042634,False
DefaultA-ContB,3.428492,False
DefaultA-ContC,11.527612,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.600527,False
DefaultA-DefaultC,0.575366,False
DefaultA-DorsAttnA,2.126762,False
DefaultA-DorsAttnB,0.026759,False
DefaultA-LimbicA,7.340962,False
DefaultA-LimbicB,5.130649,False
DefaultA-SalVentAttnA,0.86787,False
DefaultA-SalVentAttnB,4.153446,False
DefaultA-SomMotA,1.341518,False
DefaultA-SomMotB,0.140103,False
DefaultA-TempPar,0.122751,False
DefaultA-VisCent,3.531264,False
DefaultA-VisPeri,0.979924,False
DefaultB-ContA,2.70172,False
DefaultB-ContB,1.954338,False
DefaultB-ContC,4.057375,False
DefaultB-DefaultA,4.828289,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.691922,False
DefaultB-DorsAttnA,0.04341,False
DefaultB-DorsAttnB,0.166365,False
DefaultB-LimbicA,0.749487,False
DefaultB-LimbicB,2.511646,False
DefaultB-SalVentAttnA,0.088822,False
DefaultB-SalVentAttnB,1.215496,False
DefaultB-SomMotA,5.570488,False
DefaultB-SomMotB,1.363495,False
DefaultB-TempPar,2.439821,False
DefaultB-VisCent,0.362578,False
DefaultB-VisPeri,0.277446,False
