network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,12.685062,False
ContA-ContC,2.2445,False
ContA-DefaultA,1.138328,False
ContA-DefaultB,6.591747,False
ContA-DefaultC,1.71975,False
ContA-DorsAttnA,9.538985,False
ContA-DorsAttnB,2.466783,False
ContA-LimbicA,42.640859,False
ContA-LimbicB,9.010575,False
ContA-SalVentAttnA,1.108431,False
ContA-SalVentAttnB,11.235918,False
ContA-SomMotA,4.865358,False
ContA-SomMotB,0.039195,False
ContA-TempPar,0.020414,False
ContA-VisCent,0.178867,False
ContA-VisPeri,2.709377,False
ContB-ContA,10.8463,False
ContB-ContB,0.0,True
ContB-ContC,1.371312,False
ContB-DefaultA,2.080013,False
ContB-DefaultB,10.41968,False
ContB-DefaultC,3.325788,False
ContB-DorsAttnA,6.64617,False
ContB-DorsAttnB,2.71053,False
ContB-LimbicA,10.231722,False
ContB-LimbicB,11.884909,False
ContB-SalVentAttnA,5.009443,False
ContB-SalVentAttnB,5.568363,False
ContB-SomMotA,5.735577,False
ContB-SomMotB,2.78433,False
ContB-TempPar,0.364546,False
ContB-VisCent,0.199207,False
ContB-VisPeri,0.611544,False
ContC-ContA,1.384141,False
ContC-ContB,0.487677,False
ContC-ContC,0.0,True
ContC-DefaultA,8.583616,False
ContC-DefaultB,0.670591,False
ContC-DefaultC,1.435098,False
ContC-DorsAttnA,4.562482,False
ContC-DorsAttnB,1.186646,False
ContC-LimbicA,1.517253,False
ContC-LimbicB,0.116424,False
ContC-SalVentAttnA,1.630547,False
ContC-SalVentAttnB,0.917968,False
ContC-SomMotA,1.032573,False
ContC-SomMotB,11.326902,False
ContC-TempPar,0.166718,False
ContC-VisCent,0.177157,False
ContC-VisPeri,1.058639,False
DefaultA-ContA,6.203173,False
DefaultA-ContB,0.674013,False
DefaultA-ContC,42.969242,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.757197,False
DefaultA-DefaultC,0.946807,False
DefaultA-DorsAttnA,0.583325,False
DefaultA-DorsAttnB,0.616018,False
DefaultA-LimbicA,1.740358,False
DefaultA-LimbicB,2.772358,False
DefaultA-SalVentAttnA,0.150161,False
DefaultA-SalVentAttnB,3.638466,False
DefaultA-SomMotA,1.233134,False
DefaultA-SomMotB,2.872312,False
DefaultA-TempPar,0.038398,False
DefaultA-VisCent,2.941948,False
DefaultA-VisPeri,3.900812,False
DefaultB-ContA,2.32888,False
DefaultB-ContB,1.962467,False
DefaultB-ContC,2.209972,False
DefaultB-DefaultA,2.285208,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,9.403826,False
DefaultB-DorsAttnA,4.620988,False
DefaultB-DorsAttnB,0.308958,False
DefaultB-LimbicA,5.785717,False
DefaultB-LimbicB,9.823696,False
DefaultB-SalVentAttnA,2.063096,False
DefaultB-SalVentAttnB,4.386506,False
DefaultB-SomMotA,1.571114,False
DefaultB-SomMotB,2.468437,False
DefaultB-TempPar,0.436404,False
DefaultB-VisCent,1.849059,False
DefaultB-VisPeri,0.827892,False
